日付,時刻,始値,高値,安値,終値
2014-12-30,後場,252.36,254.04,251.54,253.55
2014-12-30,前場,254.38,254.74,250.96,252.02
2014-12-29,後場,255.98,256.81,251.26,254.42
2014-12-29,前場,252.56,257.83,252.56,256.46
2014-12-26,後場,248.38,251.94,247.90,251.94
2014-12-26,前場,239.11,247.99,238.94,247.74
2014-12-25,後場,237.70,239.02,237.51,238.66
2014-12-25,前場,238.28,239.97,238.04,238.13
2014-12-24,後場,239.33,240.46,238.91,239.10
2014-12-24,前場,245.70,245.89,239.42,239.42
2014-12-22,後場,247.60,248.04,246.73,246.85
2014-12-22,前場,253.10,253.58,247.57,247.58
2014-12-19,後場,249.38,253.07,249.38,252.61
2014-12-19,前場,253.55,253.93,248.33,249.37
2014-12-18,後場,254.04,255.09,252.76,252.82
2014-12-18,前場,256.19,257.03,253.39,254.99
2014-12-17,後場,256.66,256.66,253.98,254.40
2014-12-17,前場,253.94,257.94,253.48,256.16
2014-12-16,後場,258.20,258.20,254.78,256.26
2014-12-16,前場,261.09,261.42,257.58,258.52
2014-12-15,後場,268.69,268.88,263.89,264.13
2014-12-15,前場,265.74,269.32,265.60,268.92
2014-12-12,後場,268.50,269.28,267.18,268.12
2014-12-12,前場,271.13,271.19,267.79,268.13
2014-12-11,後場,264.39,269.56,264.37,269.29
2014-12-11,前場,263.20,265.59,261.43,265.23
2014-12-10,後場,268.32,268.38,264.36,265.49
2014-12-10,前場,265.30,271.20,264.59,268.57
2014-12-09,後場,271.37,271.48,268.12,268.43
2014-12-09,前場,270.38,271.97,269.93,271.13
2014-12-08,後場,275.01,275.10,272.20,272.44
2014-12-08,前場,276.40,276.59,273.50,274.99
2014-12-05,後場,274.62,275.84,273.66,275.72
2014-12-05,前場,276.51,277.00,273.06,274.85
2014-12-04,後場,277.96,279.63,275.94,278.04
2014-12-04,前場,278.44,283.32,277.87,277.96
2014-12-03,後場,281.99,282.08,277.68,277.68
2014-12-03,前場,286.29,287.37,282.37,282.80
2014-12-02,後場,286.32,286.32,284.44,285.79
2014-12-02,前場,283.37,286.95,283.03,286.09
2014-12-01,後場,282.41,283.81,282.04,282.88
2014-12-01,前場,282.59,284.85,278.71,282.08
2014-11-28,後場,284.77,284.77,280.97,282.84
2014-11-28,前場,282.83,288.14,282.82,284.17
2014-11-27,後場,283.16,283.34,280.51,281.34
2014-11-27,前場,282.20,284.02,281.39,283.35
2014-11-26,後場,284.24,284.37,281.11,282.21
2014-11-26,前場,280.86,284.82,279.75,284.33
2014-11-25,後場,277.44,278.67,276.64,277.95
2014-11-25,前場,275.48,278.10,273.53,277.79
2014-11-21,後場,269.81,274.41,269.25,273.38
2014-11-21,前場,269.42,270.55,267.54,269.87
2014-11-20,後場,271.54,274.25,269.92,270.37
2014-11-20,前場,271.35,274.31,268.07,272.41
2014-11-19,後場,266.09,271.56,265.22,271.39
2014-11-19,前場,265.32,268.15,263.49,266.33
2014-11-18,後場,259.27,263.37,259.10,263.34
2014-11-18,前場,255.66,259.89,255.66,259.02
2014-11-17,後場,257.20,257.78,254.61,254.81
2014-11-17,前場,259.97,260.21,256.88,257.18
2014-11-14,後場,260.84,261.41,258.80,259.63
2014-11-14,前場,261.98,264.22,259.78,260.20
2014-11-13,後場,263.93,265.24,262.09,262.36
2014-11-13,前場,265.21,265.84,261.65,264.10
2014-11-12,後場,268.69,269.68,266.12,266.70
2014-11-12,前場,271.71,272.63,268.43,268.88
2014-11-11,後場,273.30,273.83,271.23,272.09
2014-11-11,前場,273.04,275.60,272.71,273.47
2014-11-10,後場,269.29,271.73,268.57,271.66
2014-11-10,前場,267.72,269.73,266.29,268.63
2014-11-07,後場,264.97,266.84,264.80,266.73
2014-11-07,前場,264.51,267.47,264.45,265.04
2014-11-06,後場,268.30,268.69,261.44,263.39
2014-11-06,前場,265.97,268.57,264.88,267.91
2014-11-05,後場,260.20,264.41,259.84,264.41
2014-11-05,前場,255.15,260.61,254.80,260.04
2014-11-04,後場,257.31,257.68,255.28,255.37
2014-11-04,前場,259.70,261.84,253.92,257.84
2014-10-31,後場,252.60,255.95,252.15,255.94
2014-10-31,前場,256.87,257.70,250.81,252.53
2014-10-30,後場,259.41,259.51,255.89,255.95
2014-10-30,前場,259.59,262.72,259.15,259.71
2014-10-29,後場,257.71,260.37,257.58,260.37
2014-10-29,前場,258.91,259.34,256.85,257.61
2014-10-28,後場,257.22,258.15,257.07,257.78
2014-10-28,前場,256.74,260.47,255.77,257.20
2014-10-27,後場,260.68,261.05,258.11,258.11
2014-10-27,前場,266.22,266.69,260.64,260.90
2014-10-24,後場,267.15,267.29,264.01,264.88
2014-10-24,前場,269.10,274.81,266.97,267.07
2014-10-23,後場,267.73,270.39,263.33,265.24
2014-10-23,前場,263.06,267.95,262.21,267.86
2014-10-22,後場,260.20,262.69,259.47,262.69
2014-10-22,前場,259.93,262.01,259.13,260.40
2014-10-21,後場,260.49,260.49,256.39,257.92
2014-10-21,前場,262.56,263.14,259.43,260.52
2014-10-20,後場,261.05,264.37,261.05,262.79
2014-10-20,前場,256.10,262.61,256.10,261.27
2014-10-17,後場,255.15,255.15,251.19,251.28
2014-10-17,前場,256.33,261.04,254.95,255.00
2014-10-16,後場,258.82,259.53,253.25,254.21
2014-10-16,前場,256.59,261.59,251.49,258.32
2014-10-15,後場,254.18,261.88,254.11,261.69
2014-10-15,前場,257.83,261.80,253.80,253.80
2014-10-14,後場,259.05,259.86,255.15,255.48
2014-10-14,前場,258.62,260.62,253.48,258.16
2014-10-10,後場,263.57,264.24,258.94,263.53
2014-10-10,前場,264.62,265.29,261.24,263.14
2014-10-09,後場,276.54,276.62,268.46,269.27
