日付,始値,高値,安値,終値
2014-12-30,254.38,254.74,250.96,253.55
2014-12-29,252.56,257.83,251.26,254.42
2014-12-26,239.11,251.94,238.94,251.94
2014-12-25,238.28,239.97,237.51,238.66
2014-12-24,245.70,245.89,238.91,239.10
2014-12-22,253.10,253.58,246.73,246.85
2014-12-19,253.55,253.93,248.33,252.61
2014-12-18,256.19,257.03,252.76,252.82
2014-12-17,253.94,257.94,253.48,254.40
2014-12-16,261.09,261.42,254.78,256.26
2014-12-15,265.74,269.32,263.89,264.13
2014-12-12,271.13,271.19,267.18,268.12
2014-12-11,263.20,269.56,261.43,269.29
2014-12-10,265.30,271.20,264.36,265.49
2014-12-09,270.38,271.97,268.12,268.43
2014-12-08,276.40,276.59,272.20,272.44
2014-12-05,276.51,277.00,273.06,275.72
2014-12-04,278.44,283.32,275.94,278.04
2014-12-03,286.29,287.37,277.68,277.68
2014-12-02,283.37,286.95,283.03,285.79
2014-12-01,282.59,284.85,278.71,282.88
2014-11-28,282.83,288.14,280.97,282.84
2014-11-27,282.20,284.02,280.51,281.34
2014-11-26,280.86,284.82,279.75,282.21
2014-11-25,275.48,278.67,273.53,277.95
2014-11-21,269.42,274.41,267.54,273.38
2014-11-20,271.35,274.31,268.07,270.37
2014-11-19,265.32,271.56,263.49,271.39
2014-11-18,255.66,263.37,255.66,263.34
2014-11-17,259.97,260.21,254.61,254.81
2014-11-14,261.98,264.22,258.80,259.63
2014-11-13,265.21,265.84,261.65,262.36
2014-11-12,271.71,272.63,266.12,266.70
2014-11-11,273.04,275.60,271.23,272.09
2014-11-10,267.72,271.73,266.29,271.66
2014-11-07,264.51,267.47,264.45,266.73
2014-11-06,265.97,268.69,261.44,263.39
2014-11-05,255.15,264.41,254.80,264.41
2014-11-04,259.70,261.84,253.92,255.37
2014-10-31,256.87,257.70,250.81,255.94
2014-10-30,259.59,262.72,255.89,255.95
2014-10-29,258.91,260.37,256.85,260.37
2014-10-28,256.74,260.47,255.77,257.78
2014-10-27,266.22,266.69,258.11,258.11
2014-10-24,269.10,274.81,264.01,264.88
2014-10-23,263.06,270.39,262.21,265.24
2014-10-22,259.93,262.69,259.13,262.69
2014-10-21,262.56,263.14,256.39,257.92
2014-10-20,256.10,264.37,256.10,262.79
2014-10-17,256.33,261.04,251.19,251.28
2014-10-16,256.59,261.59,251.49,254.21
2014-10-15,257.83,261.88,253.80,261.69
2014-10-14,258.62,260.62,253.48,255.48
2014-10-10,264.62,265.29,258.94,263.53
2014-10-09,284.66,284.86,268.46,269.27
2014-10-08,279.65,284.54,277.48,283.78
2014-10-07,292.93,293.89,283.57,284.24
2014-10-06,296.72,297.78,294.32,295.77
2014-10-03,284.87,294.57,283.40,294.26
2014-10-02,286.51,288.08,280.25,283.70
2014-10-01,302.23,302.35,291.71,291.71
2014-09-30,306.30,308.29,300.71,301.39
2014-09-29,315.43,317.69,307.50,307.85
2014-09-26,306.78,315.90,306.36,315.12
2014-09-25,311.46,312.27,308.53,309.80
2014-09-24,311.16,312.18,309.20,310.62
2014-09-22,315.11,316.68,313.33,313.42
2014-09-19,313.90,316.43,313.40,314.21
2014-09-18,312.56,315.01,309.68,312.16
2014-09-17,315.25,316.08,310.20,311.16
2014-09-16,322.25,330.10,316.25,316.25
2014-09-12,312.95,318.82,311.70,318.82
2014-09-11,312.33,314.25,310.44,312.81
2014-09-10,318.19,319.76,310.06,311.63
2014-09-09,318.77,320.93,316.07,316.97
2014-09-08,322.23,322.83,315.26,316.76
2014-09-05,332.61,337.45,320.26,324.44
2014-09-04,337.14,347.06,329.49,329.63
2014-09-03,329.16,337.28,328.55,337.08
2014-09-02,330.47,335.79,327.41,328.21
2014-09-01,324.56,329.81,324.03,329.06
2014-08-29,320.05,324.27,316.75,322.95
2014-08-28,330.00,330.09,319.01,319.43
2014-08-27,340.68,343.96,329.33,331.75
2014-08-26,342.55,344.30,337.01,338.75
2014-08-25,337.88,343.13,337.33,340.39
2014-08-22,340.64,341.11,332.63,338.29
2014-08-21,338.13,341.89,336.56,341.32
2014-08-20,345.84,345.93,336.84,337.35
2014-08-19,350.08,350.08,343.42,345.79
2014-08-18,337.32,345.89,336.85,345.88
2014-08-15,328.02,334.52,327.90,333.31
2014-08-14,320.93,338.02,320.93,324.95
2014-08-13,309.38,319.80,309.12,318.96
2014-08-12,313.21,317.24,308.59,310.96
2014-08-11,307.55,317.19,306.01,315.03
2014-08-08,313.95,314.25,297.91,303.07
2014-08-07,312.80,321.65,306.96,318.22
2014-08-06,319.07,319.46,309.53,313.25
2014-08-05,329.76,331.75,319.96,321.02
2014-08-04,322.19,331.78,322.19,328.41
2014-08-01,327.03,327.23,322.44,323.40
2014-07-31,338.28,340.14,332.66,333.25
2014-07-30,335.29,342.99,335.00,338.77
2014-07-29,330.15,337.24,329.91,335.52
2014-07-28,327.51,331.95,326.97,329.85
2014-07-25,327.44,333.19,325.00,329.46
2014-07-24,322.71,334.02,321.36,328.40
2014-07-23,313.28,324.85,311.13,324.28
2014-07-22,309.80,312.96,308.70,312.43
2014-07-18,308.67,313.48,304.97,310.20
2014-07-17,317.52,318.50,312.85,313.92
2014-07-16,319.49,320.24,317.06,317.23
2014-07-15,317.89,321.66,317.65,321.33
2014-07-14,313.72,315.68,312.31,313.97
2014-07-11,309.57,312.75,306.41,312.54
2014-07-10,316.00,317.23,311.11,312.46
2014-07-09,321.10,321.11,315.88,316.84
