日付,時刻,始値,高値,安値,終値
2016-12-30,後場,262.81,263.75,262.81,263.49
2016-12-30,前場,261.50,262.83,261.49,262.83
2016-12-29,後場,262.10,262.17,261.64,262.01
2016-12-29,前場,262.89,262.94,261.65,262.04
2016-12-28,後場,262.73,263.28,262.69,263.15
2016-12-28,前場,261.46,262.79,261.18,262.60
2016-12-27,後場,262.10,262.15,261.58,261.86
2016-12-27,前場,261.12,262.20,261.12,262.07
2016-12-26,後場,260.99,261.59,260.96,261.35
2016-12-26,前場,260.49,261.09,260.42,260.99
2016-12-22,後場,259.40,259.66,259.05,259.66
2016-12-22,前場,259.39,259.59,258.92,259.42
2016-12-21,後場,260.15,260.52,259.50,259.58
2016-12-21,前場,259.76,260.47,259.76,260.22
2016-12-20,後場,258.93,259.57,258.82,259.49
2016-12-20,前場,258.81,258.97,258.68,258.90
2016-12-19,後場,257.98,258.51,257.98,258.49
2016-12-19,前場,257.67,258.35,257.60,257.98
2016-12-16,後場,257.69,257.70,257.27,257.67
2016-12-16,前場,257.82,258.31,257.57,257.72
2016-12-15,後場,257.34,257.50,256.85,257.11
2016-12-15,前場,257.92,258.33,257.41,257.41
2016-12-14,後場,257.70,257.91,257.53,257.61
2016-12-14,前場,257.82,257.98,257.12,257.61
2016-12-13,後場,256.40,257.30,256.40,257.30
2016-12-13,前場,255.63,256.47,255.50,256.32
2016-12-12,後場,255.19,255.81,254.99,255.54
2016-12-12,前場,255.44,255.73,254.89,255.35
2016-12-09,後場,254.29,254.77,254.10,254.77
2016-12-09,前場,254.77,254.77,253.83,254.26
2016-12-08,後場,255.01,255.05,254.62,254.92
2016-12-08,前場,255.24,255.51,254.96,255.03
2016-12-07,後場,254.42,254.74,254.28,254.68
2016-12-07,前場,254.53,255.00,254.24,254.32
2016-12-06,後場,254.63,254.80,254.44,254.57
2016-12-06,前場,254.91,255.16,254.62,254.73
2016-12-05,後場,254.35,254.62,254.19,254.19
2016-12-05,前場,254.64,254.64,254.06,254.43
2016-12-02,後場,256.32,256.34,254.78,255.18
2016-12-02,前場,256.41,256.47,255.57,256.02
2016-12-01,後場,257.70,257.84,256.62,256.71
2016-12-01,前場,258.15,258.24,257.73,257.79
2016-11-30,後場,256.60,257.15,256.42,257.15
2016-11-30,前場,256.39,256.60,256.07,256.58
2016-11-29,後場,255.50,255.90,255.44,255.90
2016-11-29,前場,255.27,255.58,255.20,255.58
2016-11-28,後場,254.49,255.48,254.37,255.44
2016-11-28,前場,253.68,254.68,253.65,254.52
2016-11-25,後場,253.64,253.65,252.40,252.97
2016-11-25,前場,254.49,254.61,253.74,253.77
2016-11-24,後場,254.58,254.71,254.36,254.53
2016-11-24,前場,254.09,254.72,254.02,254.45
2016-11-22,後場,252.53,253.06,252.53,253.00
2016-11-22,前場,252.45,252.66,252.15,252.51
2016-11-21,後場,252.45,252.94,252.32,252.88
2016-11-21,前場,252.26,252.56,252.06,252.42
2016-11-18,後場,251.42,251.87,251.37,251.64
2016-11-18,前場,251.55,251.81,251.28,251.41
2016-11-17,後場,249.59,250.45,249.59,250.24
2016-11-17,前場,248.36,249.75,248.21,249.63
2016-11-16,後場,248.23,248.47,248.06,248.40
2016-11-16,前場,247.32,248.26,247.22,248.06
2016-11-15,後場,246.47,247.00,246.23,246.91
2016-11-15,前場,247.29,247.29,245.76,246.40
2016-11-14,後場,246.69,246.79,246.57,246.77
2016-11-14,前場,245.61,246.77,245.55,246.71
2016-11-11,後場,244.90,245.14,244.74,244.79
2016-11-11,前場,246.44,246.56,244.79,244.79
2016-11-10,後場,245.84,245.95,245.52,245.64
2016-11-10,前場,242.76,245.71,242.74,245.68
2016-11-09,後場,239.70,240.35,236.82,239.54
2016-11-09,前場,246.35,246.37,241.28,241.53
2016-11-08,後場,246.23,246.32,246.00,246.10
2016-11-08,前場,247.00,247.08,246.07,246.31
2016-11-07,後場,246.23,246.62,246.10,246.53
2016-11-07,前場,246.26,246.61,245.65,246.13
2016-11-04,後場,245.47,245.68,245.19,245.38
2016-11-04,前場,246.43,246.49,244.80,245.48
2016-11-02,後場,247.64,248.12,247.29,247.98
2016-11-02,前場,249.75,249.76,247.84,247.89
2016-11-01,後場,250.69,251.11,250.67,250.91
2016-11-01,前場,251.33,251.40,250.49,250.72
2016-10-31,後場,250.91,251.24,250.79,251.16
2016-10-31,前場,251.11,251.72,250.84,250.85
2016-10-28,後場,249.80,250.90,249.73,250.85
2016-10-28,前場,250.26,250.41,249.81,249.85
2016-10-27,後場,249.97,249.98,249.56,249.77
2016-10-27,前場,250.04,250.14,249.59,250.06
2016-10-26,後場,249.71,250.40,249.69,250.31
2016-10-26,前場,249.20,250.13,249.16,249.82
2016-10-25,後場,248.79,249.18,248.66,249.11
2016-10-25,前場,249.58,249.78,248.67,248.76
2016-10-24,後場,249.24,249.54,249.18,249.29
2016-10-24,前場,249.66,249.97,249.20,249.34
2016-10-21,後場,249.60,249.68,248.98,248.98
2016-10-21,前場,249.34,249.88,249.24,249.56
2016-10-20,後場,249.01,249.35,248.93,249.30
2016-10-20,前場,248.83,249.49,248.81,249.01
2016-10-19,後場,248.66,248.81,248.40,248.62
2016-10-19,前場,247.48,248.65,247.44,248.65
2016-10-18,後場,246.87,247.24,246.83,247.24
2016-10-18,前場,245.92,247.04,245.85,247.04
2016-10-17,後場,245.08,245.62,245.06,245.57
2016-10-17,前場,245.01,245.35,244.89,245.01
2016-10-14,後場,244.32,244.51,244.25,244.40
2016-10-14,前場,244.18,244.54,244.03,244.37
2016-10-13,後場,244.32,244.63,244.26,244.33
2016-10-13,前場,244.03,245.16,244.03,244.50
2016-10-12,後場,244.26,244.44,243.92,243.92
2016-10-12,前場,243.74,244.58,243.74,244.39
2016-10-11,後場,244.55,244.69,244.22,244.32
2016-10-11,前場,244.59,244.96,244.47,244.72
2016-10-07,後場,244.28,244.38,244.00,244.22
2016-10-07,前場,244.69,244.73,243.98,244.29
2016-10-06,後場,244.09,244.75,243.95,244.67
2016-10-06,前場,244.94,245.00,243.98,244.00
2016-10-05,後場,244.44,244.80,244.17,244.60
2016-10-05,前場,244.37,244.57,244.01,244.43
2016-10-04,後場,244.41,244.47,244.13,244.32
2016-10-04,前場,244.24,244.64,243.92,244.61
2016-10-03,後場,244.09,244.23,243.84,244.19
2016-10-03,前場,244.01,244.28,243.34,244.20
2016-09-30,後場,243.22,243.32,242.86,243.06
2016-09-30,前場,242.85,243.66,242.66,243.27
2016-09-29,後場,243.31,243.63,243.20,243.53
2016-09-29,前場,243.07,243.40,242.72,243.37
2016-09-28,後場,242.51,242.76,242.23,242.74
2016-09-28,前場,241.88,242.55,241.68,242.48
2016-09-27,後場,241.44,242.14,241.43,242.09
2016-09-27,前場,240.60,241.42,240.08,241.42
2016-09-26,後場,241.58,241.89,241.15,241.30
2016-09-26,前場,241.76,241.94,241.38,241.56
2016-09-23,後場,240.91,241.13,240.51,241.13
2016-09-23,前場,239.26,240.89,239.25,240.85
2016-09-21,後場,237.55,238.75,237.47,238.75
2016-09-21,前場,237.91,238.11,237.56,237.56
2016-09-20,後場,238.02,238.16,237.42,237.52
2016-09-20,前場,237.59,238.38,237.34,238.09
2016-09-16,後場,236.71,237.68,236.55,237.68
2016-09-16,前場,236.28,236.79,236.28,236.74
2016-09-15,後場,235.97,236.23,235.87,236.16
