日付,始値,高値,安値,終値
2011-12-30,100.22,100.42,100.00,100.42
2011-12-29,99.70,99.90,99.60,99.90
2011-12-28,99.46,99.97,99.45,99.79
2011-12-27,99.92,100.04,99.63,99.63
2011-12-26,100.48,100.54,100.00,100.07
2011-12-22,100.07,100.37,99.82,99.90
2011-12-21,99.76,100.02,99.76,100.00
2011-12-20,98.94,99.62,98.94,99.62
2011-12-19,99.26,99.30,98.77,99.16
2011-12-16,99.45,99.60,99.22,99.42
2011-12-15,99.64,99.99,99.57,99.57
2011-12-14,100.67,100.72,99.83,100.03
2011-12-13,100.45,100.82,100.29,100.82
2011-12-12,100.47,100.88,100.47,100.67
2011-12-09,100.04,100.12,99.92,99.96
2011-12-08,100.46,100.66,99.86,100.08
2011-12-07,99.69,100.06,99.58,100.06
2011-12-06,100.61,100.68,99.75,99.97
2011-12-05,100.13,100.70,100.13,100.69
2011-12-02,99.42,99.69,99.31,99.69
2011-12-01,98.85,99.30,98.85,99.16
2011-11-30,96.95,97.74,96.93,97.41
2011-11-29,95.92,96.36,95.92,96.34
2011-11-28,95.17,95.67,95.17,95.41
2011-11-25,95.49,95.78,95.32,95.32
2011-11-24,96.12,96.12,95.82,96.01
2011-11-22,96.21,96.70,95.91,96.70
2011-11-21,97.24,97.28,96.61,96.61
2011-11-18,97.40,97.40,97.07,97.21
2011-11-17,97.57,97.76,97.47,97.76
2011-11-16,98.76,98.79,98.06,98.17
2011-11-15,99.32,99.32,98.72,98.72
2011-11-14,99.10,99.59,99.10,99.59
2011-11-11,99.36,99.47,99.14,99.19
2011-11-10,99.95,99.96,99.55,99.55
2011-11-09,100.06,100.21,99.73,99.77
2011-11-08,100.92,101.12,100.39,100.52
2011-11-07,101.23,101.59,100.93,101.09
2011-11-04,100.76,101.11,100.74,101.01
2011-11-02,100.96,100.96,100.24,100.38
2011-11-01,101.48,101.51,101.02,101.29
2011-10-31,101.32,101.75,101.24,101.57
2011-10-28,101.44,101.51,100.84,100.89
2011-10-27,100.62,101.12,100.62,101.02
2011-10-26,100.94,100.99,100.72,100.81
2011-10-25,101.23,101.36,101.12,101.12
2011-10-24,100.52,100.69,100.43,100.68
2011-10-21,100.39,100.45,100.03,100.34
2011-10-20,101.03,101.05,100.49,100.60
2011-10-19,101.24,101.36,100.95,101.16
2011-10-18,101.30,101.40,100.98,101.32
2011-10-17,102.06,102.11,101.70,101.70
2011-10-14,102.75,102.87,102.50,102.59
2011-10-13,102.75,103.20,102.70,103.16
2011-10-12,102.85,102.91,102.70,102.78
2011-10-11,102.40,102.91,102.19,102.31
2011-10-07,101.76,102.36,101.53,101.68
2011-10-06,100.82,101.75,100.80,101.22
2011-10-05,101.23,101.36,100.52,100.71
2011-10-04,100.31,100.98,99.90,100.96
2011-10-03,101.48,101.48,100.72,100.89
2011-09-30,101.81,101.84,101.45,101.69
2011-09-29,100.39,101.48,100.33,101.48
2011-09-28,100.69,100.80,100.29,100.43
2011-09-27,99.55,100.32,99.38,100.13
2011-09-26,100.84,100.84,98.16,98.29
2011-09-22,101.82,102.04,101.06,101.21
2011-09-21,102.36,102.91,102.36,102.80
2011-09-20,102.91,102.99,102.52,102.75
2011-09-16,102.49,103.03,102.35,102.97
2011-09-15,102.26,102.40,102.01,102.01
2011-09-14,103.09,103.25,102.18,102.18
2011-09-13,103.07,103.07,102.51,102.59
2011-09-12,103.69,103.69,103.20,103.20
2011-09-09,103.40,104.30,103.38,103.47
2011-09-08,103.75,104.23,103.68,104.12
2011-09-07,102.90,103.17,102.79,103.09
2011-09-06,104.21,104.25,102.57,102.57
2011-09-05,104.00,104.60,103.95,104.60
2011-09-02,105.01,105.01,104.47,104.58
2011-09-01,105.34,105.66,105.01,105.19
2011-08-31,104.03,105.24,103.99,105.24
2011-08-30,103.21,104.07,103.21,103.32
2011-08-29,102.53,103.13,102.21,102.75
2011-08-26,101.20,102.24,101.15,101.80
2011-08-25,100.57,101.14,100.54,101.12
2011-08-24,101.13,101.20,100.08,100.12
2011-08-23,101.36,101.41,100.60,100.91
2011-08-22,102.66,102.92,101.22,101.34
2011-08-19,104.37,104.69,102.58,102.71
2011-08-18,105.24,105.54,105.10,105.14
2011-08-17,104.73,105.20,104.73,105.17
2011-08-16,104.82,105.01,104.60,104.68
2011-08-15,104.04,104.61,104.04,104.55
2011-08-12,103.64,104.12,103.41,103.73
2011-08-11,102.26,103.18,101.88,103.18
2011-08-10,104.90,105.62,103.13,103.16
2011-08-09,103.58,104.15,101.39,104.15
2011-08-08,106.36,106.40,103.78,104.99
2011-08-05,106.78,106.99,105.50,106.99
2011-08-04,108.09,108.34,107.94,107.94
2011-08-03,107.97,107.98,107.63,107.98
2011-08-02,108.79,108.79,108.38,108.63
2011-08-01,108.31,109.17,108.31,108.98
2011-07-29,108.58,108.70,108.10,108.29
2011-07-28,109.05,109.17,108.64,108.67
2011-07-27,109.61,109.61,109.25,109.38
2011-07-26,111.22,111.25,109.58,109.78
2011-07-25,111.36,111.38,111.06,111.17
2011-07-22,110.81,111.31,110.79,111.23
2011-07-21,110.14,110.73,109.79,110.65
2011-07-20,110.12,110.27,109.59,109.72
2011-07-19,109.21,109.46,109.15,109.46
2011-07-15,109.38,109.41,109.17,109.25
2011-07-14,109.29,109.47,109.16,109.47
2011-07-13,108.58,109.18,108.57,109.09
2011-07-12,109.16,109.16,108.65,108.86
2011-07-11,109.36,109.63,109.36,109.47
2011-07-08,109.40,109.73,109.40,109.42
2011-07-07,108.96,109.23,108.87,109.16
2011-07-06,108.64,109.16,108.57,109.16
2011-07-05,108.60,108.60,108.40,108.54
2011-07-04,108.73,108.77,108.32,108.50
2011-07-01,108.63,108.63,107.80,108.08
2011-06-30,108.39,108.62,108.14,108.62
2011-06-29,107.38,108.30,107.31,108.30
2011-06-28,107.48,107.66,106.93,107.11
2011-06-27,107.30,107.49,107.28,107.31
2011-06-24,107.14,107.17,106.83,107.15
2011-06-23,107.69,107.76,107.29,107.42
2011-06-22,107.71,108.05,107.71,107.87
2011-06-21,107.04,107.60,107.04,107.60
2011-06-20,107.52,107.57,106.88,106.88
2011-06-17,107.35,107.49,107.18,107.40
2011-06-16,107.21,107.44,106.96,107.08
2011-06-15,107.70,107.70,107.22,107.43
2011-06-14,107.74,107.87,107.43,107.53
2011-06-13,107.50,107.82,107.45,107.58
2011-06-10,107.62,107.86,107.45,107.86
2011-06-09,107.55,107.64,107.29,107.53
2011-06-08,108.03,108.10,107.35,107.75
2011-06-07,107.27,108.16,107.27,108.16
2011-06-06,107.47,107.64,107.12,107.35
2011-06-03,107.56,108.11,107.31,107.56
2011-06-02,107.67,107.74,107.48,107.70
2011-06-01,108.13,108.34,108.04,108.28
2011-05-31,107.43,108.16,107.39,108.16
2011-05-30,107.17,107.50,107.11,107.44
2011-05-27,106.99,107.13,106.81,107.09
2011-05-26,106.75,107.12,106.65,107.12
