日付,時刻,始値,高値,安値,終値
2017-12-12,後場,173.19,173.19,172.67,172.95
2017-12-12,前場,173.66,174.11,173.02,173.11
2017-12-11,後場,173.11,173.41,173.00,173.32
2017-12-11,前場,172.85,173.46,172.67,173.05
2017-12-08,後場,171.59,172.09,171.41,172.09
2017-12-08,前場,171.64,171.94,171.35,171.60
2017-12-07,後場,170.13,171.09,170.13,171.05
2017-12-07,前場,169.22,170.28,169.22,170.14
2017-12-06,後場,169.55,169.55,168.34,168.54
2017-12-06,前場,169.69,170.20,169.47,169.80
2017-12-05,後場,169.72,170.12,169.72,169.95
2017-12-05,前場,170.89,170.89,168.93,169.73
2017-12-04,後場,172.70,172.78,171.68,171.68
2017-12-04,前場,172.71,173.03,172.35,172.58
2017-12-01,後場,172.59,172.92,172.43,172.80
2017-12-01,前場,173.09,173.19,172.19,172.55
2017-11-30,後場,171.48,172.23,171.29,172.23
2017-11-30,前場,172.42,172.45,170.82,171.53
2017-11-29,後場,172.67,172.78,172.24,172.76
2017-11-29,前場,172.76,173.18,172.62,172.80
2017-11-28,後場,172.55,172.55,172.10,172.34
2017-11-28,前場,172.86,172.87,171.25,172.59
2017-11-27,後場,172.41,172.73,172.35,172.63
2017-11-27,前場,172.48,172.80,172.15,172.30
2017-11-24,後場,170.45,171.44,170.30,171.44
2017-11-24,前場,169.96,170.43,169.72,170.38
2017-11-22,後場,169.64,169.84,169.39,169.84
2017-11-22,前場,169.27,169.79,169.27,169.64
2017-11-21,後場,168.30,168.69,168.17,168.69
2017-11-21,前場,167.76,168.24,167.43,168.22
2017-11-20,後場,166.60,167.12,166.58,167.10
2017-11-20,前場,165.65,166.70,165.52,166.70
2017-11-17,後場,164.79,165.40,164.62,165.39
2017-11-17,前場,164.76,165.49,164.69,164.79
2017-11-16,後場,163.07,163.65,162.96,163.56
2017-11-16,前場,161.18,163.01,161.08,162.97
2017-11-15,後場,162.75,162.80,161.34,161.68
2017-11-15,前場,164.85,165.26,162.87,162.91
2017-11-14,後場,165.46,165.49,165.10,165.12
2017-11-14,前場,165.74,165.96,165.23,165.31
2017-11-13,後場,166.09,166.38,165.95,165.98
2017-11-13,前場,166.47,166.73,166.00,166.10
2017-11-10,後場,165.67,166.36,165.63,166.36
2017-11-10,前場,165.36,165.98,164.92,165.57
2017-11-09,後場,167.37,167.48,164.91,166.40
2017-11-09,前場,166.54,167.66,166.41,167.45
2017-11-08,後場,165.54,165.91,165.48,165.87
2017-11-08,前場,165.10,165.57,164.92,165.51
2017-11-07,後場,165.21,165.35,165.16,165.27
2017-11-07,前場,165.15,165.21,164.88,165.04
2017-11-06,後場,165.50,165.58,165.09,165.44
