日付,始値,高値,安値,終値
2011-12-30,48.02,48.12,47.92,48.12
2011-12-29,47.77,47.87,47.72,47.86
2011-12-28,47.64,47.90,47.63,47.81
2011-12-27,47.85,47.92,47.72,47.72
2011-12-26,48.11,48.14,47.89,47.93
2011-12-22,47.91,48.05,47.80,47.83
2011-12-21,47.77,47.90,47.77,47.88
2011-12-20,47.38,47.70,47.38,47.70
2011-12-19,47.54,47.56,47.29,47.48
2011-12-16,47.63,47.71,47.52,47.61
2011-12-15,47.73,47.89,47.69,47.69
2011-12-14,48.21,48.23,47.81,47.91
2011-12-13,48.11,48.28,48.03,48.28
2011-12-12,48.12,48.31,48.12,48.21
2011-12-09,47.91,47.95,47.85,47.88
2011-12-08,48.11,48.21,47.83,47.93
2011-12-07,47.74,47.92,47.69,47.92
2011-12-06,48.18,48.21,47.77,47.88
2011-12-05,47.95,48.22,47.95,48.22
2011-12-02,47.61,47.74,47.56,47.74
2011-12-01,47.33,47.55,47.33,47.49
2011-11-30,46.42,46.80,46.42,46.65
2011-11-29,45.93,46.15,45.93,46.13
2011-11-28,45.57,45.81,45.57,45.69
2011-11-25,45.72,45.85,45.64,45.64
2011-11-24,46.02,46.02,45.88,45.96
2011-11-22,46.07,46.30,45.92,46.30
2011-11-21,46.56,46.58,46.26,46.26
2011-11-18,46.64,46.64,46.48,46.55
2011-11-17,46.72,46.81,46.67,46.81
2011-11-16,47.29,47.31,46.96,47.01
2011-11-15,47.56,47.56,47.27,47.27
2011-11-14,47.45,47.69,47.45,47.69
2011-11-11,47.58,47.62,47.46,47.49
2011-11-10,47.86,47.86,47.67,47.67
2011-11-09,47.91,47.98,47.76,47.78
2011-11-08,48.34,48.43,48.07,48.13
2011-11-07,48.48,48.65,48.34,48.41
2011-11-04,48.25,48.42,48.24,48.37
2011-11-02,48.35,48.35,48.00,48.07
2011-11-01,48.61,48.62,48.38,48.51
2011-10-31,48.53,48.74,48.50,48.65
2011-10-28,48.58,48.62,48.31,48.33
2011-10-27,48.20,48.43,48.20,48.39
2011-10-26,48.35,48.37,48.24,48.28
2011-10-25,48.48,48.55,48.43,48.43
2011-10-24,48.14,48.22,48.10,48.22
2011-10-21,48.07,48.10,47.90,48.05
2011-10-20,48.38,48.39,48.12,48.17
2011-10-19,48.48,48.54,48.34,48.44
2011-10-18,48.50,48.55,48.35,48.51
2011-10-17,48.86,48.89,48.69,48.69
2011-10-14,49.19,49.24,49.07,49.11
2011-10-13,49.18,49.40,49.16,49.38
2011-10-12,49.23,49.26,49.16,49.20
2011-10-11,49.02,49.26,48.92,48.97
2011-10-07,48.71,48.99,48.60,48.67
2011-10-06,48.27,48.71,48.26,48.45
2011-10-05,48.46,48.52,48.12,48.21
2011-10-04,48.04,48.34,47.83,48.33
2011-10-03,48.59,48.59,48.23,48.32
2011-09-30,48.75,48.76,48.57,48.69
2011-09-29,48.06,48.59,48.03,48.59
2011-09-28,48.20,48.26,48.02,48.08
2011-09-27,47.66,48.02,47.58,47.93
2011-09-26,48.29,48.29,47.00,47.06
2011-09-22,48.77,48.87,48.40,48.47
