日付,時刻,始値,高値,安値,終値
2013-12-30,後場,6039.80,6218.46,6028.54,6131.44
2013-12-30,前場,6061.11,6077.45,5976.58,6040.21
2013-12-27,後場,6109.42,6115.30,5986.88,6001.74
2013-12-27,前場,6117.89,6233.48,5962.88,6113.12
2013-12-26,後場,5803.35,6033.05,5777.16,6032.75
2013-12-26,前場,5515.34,5831.97,5509.81,5807.81
2013-12-25,後場,5427.76,5487.48,5421.67,5443.80
2013-12-25,前場,5338.26,5450.04,5327.80,5431.01
2013-12-24,後場,5379.71,5415.99,5308.57,5314.61
2013-12-24,前場,5440.50,5440.50,5384.28,5384.28
2013-12-20,後場,5464.30,5495.50,5415.53,5422.38
2013-12-20,前場,5518.64,5527.47,5458.11,5475.05
2013-12-19,後場,5669.75,5673.25,5495.55,5495.76
2013-12-19,前場,5611.75,5704.40,5608.81,5669.19
2013-12-18,後場,5523.46,5548.02,5512.96,5540.91
2013-12-18,前場,5516.76,5574.61,5479.92,5512.35
2013-12-17,後場,5584.75,5597.85,5517.32,5536.65
2013-12-17,前場,5477.29,5590.74,5476.37,5573.49
2013-12-16,後場,5628.14,5634.02,5387.32,5418.38
2013-12-16,前場,5645.29,5716.73,5613.07,5637.88
2013-12-13,後場,5700.14,5741.29,5646.81,5646.81
2013-12-13,前場,5748.70,5791.17,5669.19,5698.41
2013-12-12,後場,5644.32,5875.30,5633.01,5773.16
2013-12-12,前場,5602.21,5688.52,5557.51,5648.89
2013-12-11,後場,5680.66,5723.63,5680.66,5692.78
2013-12-11,前場,5824.25,5872.71,5683.19,5683.19
2013-12-10,後場,5930.76,5952.22,5892.50,5912.14
2013-12-10,前場,5962.22,5969.88,5888.39,5943.34
2013-12-09,後場,5981.60,6002.51,5935.02,5944.66
2013-12-09,前場,5902.39,5988.20,5870.53,5981.60
2013-12-06,後場,5739.46,5857.34,5721.60,5832.17
2013-12-06,前場,5852.06,5852.06,5701.31,5722.77
2013-12-05,後場,5914.01,5924.82,5790.21,5838.92
2013-12-05,前場,5863.83,5950.09,5839.17,5907.97
2013-12-04,後場,5676.09,5786.15,5671.72,5786.04
2013-12-04,前場,5699.38,5796.29,5622.25,5664.42
2013-12-03,後場,5733.34,5821.54,5733.34,5799.67
2013-12-03,前場,5665.10,5871.71,5608.71,5726.08
2013-12-02,後場,5520.57,5641.48,5497.99,5612.31
2013-12-02,前場,5426.75,5551.77,5425.94,5532.44
2013-11-29,後場,5376.46,5381.54,5323.39,5371.39
2013-11-29,前場,5314.81,5388.18,5314.81,5376.46
2013-11-28,後場,5284.22,5361.04,5278.69,5312.07
2013-11-28,前場,5295.68,5346.63,5249.05,5280.92
2013-11-27,後場,5336.17,5341.30,5215.31,5232.97
2013-11-27,前場,5218.56,5395.95,5210.08,5346.53
2013-11-26,後場,5173.55,5204.76,5137.27,5195.17
2013-11-26,前場,4973.02,5171.82,4969.01,5167.11
2013-11-25,後場,5099.06,5099.06,5026.30,5030.00
2013-11-25,前場,5136.36,5138.69,5083.89,5093.94
2013-11-22,後場,5177.30,5183.04,5097.34,5145.19
2013-11-22,前場,5176.59,5199.88,5155.49,5170.91
2013-11-21,後場,5149.30,5167.36,5139.96,5155.94
2013-11-21,前場,5154.98,5190.45,5125.24,5154.42
2013-11-20,後場,5208.71,5224.04,5180.70,5186.79
2013-11-20,前場,5238.85,5248.14,5201.97,5219.88
2013-11-19,後場,5166.34,5227.18,5161.07,5202.73
2013-11-19,前場,5169.95,5231.34,5150.46,5164.06
2013-11-18,後場,5105.30,5170.81,5095.00,5155.49
2013-11-18,前場,5101.75,5127.73,5081.20,5105.40
2013-11-15,後場,5068.36,5085.26,5044.06,5062.07
2013-11-15,前場,5083.94,5111.75,5034.06,5058.17
2013-11-14,後場,5072.98,5078.66,5015.54,5022.70
2013-11-14,前場,4925.07,5104.29,4920.61,5070.70
2013-11-13,後場,4899.14,4913.50,4823.89,4903.41
2013-11-13,前場,4742.10,4892.85,4693.03,4874.43
2013-11-12,後場,4733.68,4741.54,4696.64,4720.74
2013-11-12,前場,4609.01,4770.26,4579.73,4726.93
2013-11-11,後場,4637.83,4662.64,4599.42,4630.42
2013-11-11,前場,4782.95,4782.95,4640.21,4641.23
2013-11-08,後場,4769.75,4788.58,4734.44,4785.74
2013-11-08,前場,4824.81,4896.61,4760.21,4772.44
2013-11-07,後場,4861.39,4884.38,4835.56,4861.75
2013-11-07,前場,4824.25,4919.03,4822.12,4865.65
2013-11-06,後場,4901.22,4902.85,4754.33,4755.09
2013-11-06,前場,4834.09,4928.88,4806.49,4895.08
2013-11-05,後場,4919.90,4997.48,4880.83,4883.21
2013-11-05,前場,4887.42,4940.85,4804.21,4918.53
2013-11-01,後場,4908.12,4964.75,4853.53,4920.76
2013-11-01,前場,5046.90,5106.32,4859.77,4889.30
2013-10-31,後場,5057.05,5098.30,4862.96,4992.10
2013-10-31,前場,5110.88,5129.61,4970.43,5045.63
2013-10-30,後場,5172.02,5176.56,5146.52,5153.91
2013-10-30,前場,5922.98,5923.19,5171.44,5172.49
2013-10-29,後場,6106.46,6124.83,5977.72,6001.79
2013-10-29,前場,6114.32,6175.29,6079.49,6112.48
2013-10-28,後場,6165.29,6176.36,6095.36,6101.34
2013-10-28,前場,6063.01,6192.76,6046.81,6177.46
2013-10-25,後場,6062.06,6066.74,5981.75,6019.89
2013-10-25,前場,6074.77,6082.85,6054.18,6067.49
2013-10-24,後場,6026.87,6082.00,6023.33,6079.61
2013-10-24,前場,6006.53,6044.21,5994.17,6023.73
2013-10-23,後場,6072.93,6078.01,6006.03,6019.59
2013-10-23,前場,6106.07,6115.30,6055.03,6086.93
2013-10-22,後場,6038.48,6076.71,6014.50,6062.36
2013-10-22,前場,6084.14,6122.62,5993.97,6036.49
2013-10-21,後場,6073.13,6079.16,6016.70,6051.44
2013-10-21,前場,6109.36,6131.40,6010.62,6063.75
2013-10-18,後場,6055.33,6087.93,5994.57,6087.93
2013-10-18,前場,5973.53,6121.88,5931.06,6062.86
2013-10-17,後場,6032.95,6102.44,5877.12,5904.64
2013-10-17,前場,6152.28,6207.46,6001.54,6001.54
2013-10-16,後場,6117.44,6248.24,6056.23,6059.57
2013-10-16,前場,5591.10,6247.54,5588.26,6116.59
2013-10-15,後場,5496.44,5524.25,5487.07,5515.33
2013-10-15,前場,5551.87,5590.75,5475.60,5491.40
2013-10-11,後場,5574.30,5597.48,5508.50,5543.54
2013-10-11,前場,5547.53,5617.82,5499.08,5572.16
2013-10-10,後場,5470.82,5494.35,5421.37,5452.22
2013-10-10,前場,5469.72,5500.18,5426.85,5444.55
2013-10-09,後場,5464.79,5511.89,5352.83,5399.14
2013-10-09,前場,5268.14,5471.57,5177.46,5451.43
2013-10-08,後場,5194.36,5329.90,5194.36,5293.86
2013-10-08,前場,5265.74,5292.26,5125.03,5197.85
2013-10-07,後場,5454.12,5502.27,5336.53,5337.18
2013-10-07,前場,5644.44,5672.45,5428.00,5449.08
2013-10-04,後場,5691.84,5715.67,5576.05,5599.87
2013-10-04,前場,5481.48,5709.09,5474.11,5687.70
2013-10-03,後場,5531.03,5550.37,5483.43,5501.22
2013-10-03,前場,5562.49,5610.99,5470.77,5532.18
2013-10-02,後場,5643.84,5666.07,5563.58,5606.25
2013-10-02,前場,5718.41,5770.30,5622.30,5650.57
2013-10-01,後場,5801.66,5801.66,5669.81,5721.70
2013-10-01,前場,5788.84,5875.78,5770.25,5798.91
2013-09-30,後場,5826.73,5844.13,5727.93,5727.93
2013-09-30,前場,5823.09,5843.68,5705.75,5816.06
2013-09-27,後場,5693.34,5861.77,5693.34,5823.09
2013-09-27,前場,5622.55,5750.21,5608.00,5693.19
2013-09-26,後場,5664.77,5676.74,5596.98,5630.88
2013-09-26,前場,5474.16,5727.13,5470.57,5638.55
2013-09-25,後場,5606.70,5618.02,5537.31,5553.07
2013-09-25,前場,5762.13,5770.35,5530.93,5597.33
2013-09-24,後場,5907.28,5920.44,5804.85,5804.85
2013-09-24,前場,5893.87,5945.91,5853.35,5903.05
2013-09-20,後場,5945.76,5971.88,5880.41,5910.07
2013-09-20,前場,5922.29,6027.27,5873.93,5945.22
2013-09-19,後場,5930.16,6023.38,5876.93,5887.84
2013-09-19,前場,6143.86,6143.86,5869.75,5947.71
2013-09-18,後場,5761.73,6106.97,5751.81,6098.00
2013-09-18,前場,5719.06,5844.97,5707.64,5735.96
2013-09-17,後場,5648.08,5657.00,5554.46,5635.51
2013-09-17,前場,5548.43,5665.82,5473.51,5657.05
2013-09-13,後場,5486.32,5527.29,5438.12,5507.95
2013-09-13,前場,5522.81,5555.36,5476.25,5498.88
2013-09-12,後場,5486.77,5565.28,5470.42,5533.63
2013-09-12,前場,5519.82,5646.88,5413.59,5462.84
2013-09-11,後場,5539.61,5607.40,5465.93,5509.25
2013-09-11,前場,5249.29,5575.25,5175.17,5569.91
2013-09-10,後場,5323.27,5383.24,5302.18,5314.74
2013-09-10,前場,5584.32,5592.59,5293.46,5343.01
2013-09-09,後場,5605.95,5662.88,5564.73,5606.80
2013-09-09,前場,5665.22,5805.29,5523.61,5617.47
2013-09-06,後場,5591.65,5802.35,5538.26,5561.89
2013-09-06,前場,5788.94,5983.65,5534.62,5565.33
2013-09-05,後場,5483.48,5754.00,5466.88,5717.31
2013-09-05,前場,5353.78,5523.16,5326.61,5506.21
2013-09-04,後場,5371.12,5371.12,5268.39,5268.39
2013-09-04,前場,5138.73,5378.05,5131.36,5357.71
2013-09-03,後場,5014.26,5390.56,5009.38,5206.63
2013-09-03,前場,5039.89,5068.10,4939.34,4993.68
