日付,始値,高値,安値,終値
2016-12-30,3496.32,3543.49,3493.25,3531.27
2016-12-29,3518.98,3524.82,3494.78,3508.23
2016-12-28,3499.24,3541.65,3498.09,3529.58
2016-12-27,3453.61,3503.93,3453.61,3485.33
2016-12-26,3419.42,3474.43,3418.19,3465.13
2016-12-22,3415.19,3424.57,3401.14,3409.28
2016-12-21,3414.25,3430.07,3406.06,3412.04
2016-12-20,3348.08,3413.83,3346.94,3409.27
2016-12-19,3295.93,3357.55,3295.65,3342.23
2016-12-16,3307.12,3345.65,3292.09,3298.14
2016-12-15,3326.35,3335.61,3284.18,3292.73
2016-12-14,3355.63,3376.21,3325.78,3329.27
2016-12-13,3277.98,3356.70,3274.42,3350.78
2016-12-12,3267.87,3272.92,3224.63,3266.58
2016-12-09,3251.34,3254.19,3210.38,3254.19
2016-12-08,3282.75,3299.07,3256.61,3268.72
2016-12-07,3311.82,3319.80,3267.37,3280.97
2016-12-06,3372.15,3375.79,3315.38,3325.21
2016-12-05,3400.22,3400.58,3358.19,3366.17
2016-12-02,3441.89,3450.58,3392.31,3403.21
2016-12-01,3549.74,3552.45,3471.03,3472.38
2016-11-30,3518.97,3537.49,3507.64,3535.35
2016-11-29,3502.48,3529.68,3491.44,3521.18
2016-11-28,3483.56,3514.02,3471.11,3504.34
2016-11-25,3517.51,3519.26,3464.13,3476.18
2016-11-24,3489.58,3522.64,3485.25,3517.91
2016-11-22,3485.36,3488.40,3461.99,3473.42
2016-11-21,3510.98,3517.18,3483.84,3505.30
2016-11-18,3509.80,3526.36,3488.85,3507.27
2016-11-17,3514.98,3520.39,3475.23,3475.23
2016-11-16,3570.22,3613.36,3530.41,3541.39
2016-11-15,3463.40,3546.12,3403.82,3538.46
2016-11-14,3378.88,3481.08,3378.54,3467.45
2016-11-11,3405.23,3413.06,3323.47,3357.42
2016-11-10,3326.40,3398.81,3322.23,3389.18
2016-11-09,3404.10,3413.51,3193.39,3263.44
2016-11-08,3424.21,3425.33,3376.63,3404.44
2016-11-07,3381.24,3412.38,3351.34,3412.38
2016-11-04,3356.75,3373.02,3313.89,3353.48
2016-11-02,3471.68,3472.64,3392.45,3405.01
2016-11-01,3554.85,3554.85,3502.59,3518.36
2016-10-31,3571.97,3623.66,3546.68,3561.44
2016-10-28,3584.23,3599.88,3541.10,3554.45
2016-10-27,3556.91,3568.78,3538.65,3561.67
2016-10-26,3534.25,3582.03,3528.72,3563.61
2016-10-25,3521.46,3538.34,3498.03,3525.81
2016-10-24,3568.06,3589.70,3525.60,3526.12
2016-10-21,3675.03,3689.81,3546.58,3579.32
2016-10-20,3465.24,3739.94,3454.65,3659.93
2016-10-19,3448.11,3471.07,3438.13,3457.42
2016-10-18,3399.82,3441.20,3398.59,3437.00
2016-10-17,3391.32,3409.53,3376.13,3394.34
2016-10-14,3406.67,3411.48,3377.46,3385.03
2016-10-13,3400.99,3447.34,3397.10,3401.25
2016-10-12,3408.41,3428.41,3399.66,3399.92
2016-10-11,3476.96,3492.61,3420.89,3422.17
2016-10-07,3506.17,3507.55,3474.55,3485.29
2016-10-06,3515.22,3516.55,3482.17,3499.72
2016-10-05,3472.86,3501.87,3471.89,3497.52
2016-10-04,3463.20,3481.71,3451.28,3475.22
2016-10-03,3482.79,3495.22,3450.56,3456.75
2016-09-30,3414.09,3469.08,3410.10,3462.58
2016-09-29,3433.53,3466.26,3421.25,3448.26
2016-09-28,3405.54,3428.87,3397.31,3422.48
2016-09-27,3374.14,3427.29,3362.37,3427.29
2016-09-26,3418.38,3419.71,3372.50,3385.34
2016-09-23,3350.55,3413.47,3346.72,3409.13
2016-09-21,3324.16,3359.45,3305.95,3342.52
2016-09-20,3346.26,3388.41,3335.00,3335.16
2016-09-16,3338.58,3366.41,3326.36,3366.41
2016-09-15,3346.46,3375.31,3320.22,3341.24
2016-09-14,3383.50,3400.69,3363.29,3368.56
2016-09-13,3415.78,3429.43,3403.19,3422.48
2016-09-12,3385.70,3419.10,3371.78,3384.47
2016-09-09,3416.18,3442.84,3398.59,3438.54
2016-09-08,3430.56,3433.42,3395.83,3421.91
2016-09-07,3403.65,3451.23,3401.50,3450.46
2016-09-06,3358.74,3423.24,3357.41,3413.52
2016-09-05,3387.64,3389.58,3346.62,3346.62
2016-09-02,3351.01,3367.69,3333.62,3349.48
2016-09-01,3343.60,3360.68,3327.33,3353.62
2016-08-31,3304.21,3330.65,3284.46,3322.16
2016-08-30,3296.89,3302.98,3269.27,3299.55
2016-08-29,3325.95,3331.37,3278.12,3289.02
2016-08-26,3317.46,3324.11,3282.88,3286.10
2016-08-25,3354.85,3377.61,3329.07,3343.39
2016-08-24,3353.21,3354.75,3291.01,3301.86
2016-08-23,3354.80,3386.52,3334.39,3349.63
2016-08-22,3388.31,3393.37,3350.09,3374.75
2016-08-19,3412.71,3422.99,3369.07,3394.14
2016-08-18,3422.27,3434.70,3399.20,3404.78
