日付,時刻,始値,高値,安値,終値
2016-12-30,後場,13588.74,13642.00,13583.38,13614.80
2016-12-30,前場,13534.05,13566.27,13520.84,13564.47
2016-12-29,後場,13642.13,13642.97,13574.90,13622.00
2016-12-29,前場,13713.69,13713.69,13620.69,13645.42
2016-12-28,後場,13790.65,13815.41,13769.64,13780.50
2016-12-28,前場,13778.23,13788.40,13750.97,13785.76
2016-12-27,後場,13839.60,13840.65,13757.99,13775.68
2016-12-27,前場,13751.06,13855.11,13747.50,13826.76
2016-12-26,後場,13795.81,13807.11,13783.34,13785.73
2016-12-26,前場,13813.09,13822.62,13789.35,13793.16
2016-12-22,後場,13808.39,13841.55,13782.96,13841.55
2016-12-22,前場,13828.72,13829.59,13768.16,13823.42
2016-12-21,後場,13905.43,13925.23,13818.14,13850.89
2016-12-21,前場,13942.76,13975.07,13906.80,13917.58
2016-12-20,後場,13864.01,13919.84,13843.07,13912.64
2016-12-20,前場,13862.11,13874.77,13839.28,13855.50
2016-12-19,後場,13856.61,13884.43,13842.86,13877.52
2016-12-19,前場,13842.36,13875.10,13818.38,13853.75
2016-12-16,後場,13878.49,13892.61,13850.52,13882.89
2016-12-16,前場,13905.84,13920.74,13857.88,13884.95
2016-12-15,後場,13779.86,13861.07,13753.63,13804.53
2016-12-15,前場,13814.99,13909.61,13763.60,13774.68
2016-12-14,後場,13775.44,13797.24,13757.96,13772.99
2016-12-14,前場,13796.17,13807.66,13750.37,13768.77
2016-12-13,後場,13694.46,13786.61,13665.41,13786.49
2016-12-13,前場,13659.77,13748.38,13633.79,13695.59
2016-12-12,後場,13658.64,13728.04,13619.52,13712.76
2016-12-12,前場,13771.65,13824.10,13667.58,13691.41
2016-12-09,後場,13631.91,13672.33,13605.97,13655.69
2016-12-09,前場,13547.35,13642.60,13527.52,13625.61
2016-12-08,後場,13442.74,13545.11,13430.65,13545.11
2016-12-08,前場,13477.93,13516.62,13436.32,13449.08
2016-12-07,後場,13291.39,13345.80,13284.38,13344.30
2016-12-07,前場,13302.54,13338.80,13266.09,13289.51
2016-12-06,後場,13216.65,13255.75,13202.08,13238.63
2016-12-06,前場,13288.78,13307.88,13215.46,13244.14
2016-12-05,後場,13166.35,13167.88,13112.43,13156.93
2016-12-05,前場,13191.29,13212.30,13135.56,13160.64
2016-12-02,後場,13282.15,13282.16,13199.82,13258.60
2016-12-02,前場,13281.91,13323.99,13254.62,13287.41
2016-12-01,後場,13425.86,13437.00,13267.55,13311.39
2016-12-01,前場,13339.93,13454.78,13319.23,13435.89
2016-11-30,後場,13200.79,13201.49,13151.20,13182.36
2016-11-30,前場,13207.89,13218.34,13165.31,13201.51
2016-11-29,後場,13187.64,13189.92,13161.02,13179.86
2016-11-29,前場,13122.52,13188.71,13120.88,13187.15
2016-11-28,後場,13111.10,13203.20,13110.40,13187.85
2016-11-28,前場,13086.19,13133.73,13074.21,13097.58
2016-11-25,後場,13191.33,13194.67,13072.21,13146.29
2016-11-25,前場,13141.32,13223.99,13141.32,13202.07
2016-11-24,後場,13112.84,13135.20,13100.25,13105.50
2016-11-24,前場,13118.62,13127.05,13087.91,13094.83
2016-11-22,後場,12991.07,12992.49,12961.27,12983.20
2016-11-22,前場,12934.27,12980.43,12913.08,12968.68
2016-11-21,後場,12913.17,12960.63,12913.17,12945.20
2016-11-21,前場,12879.77,12922.48,12852.99,12909.75
2016-11-18,後場,12861.86,12861.86,12819.33,12819.33
2016-11-18,前場,12897.63,12904.29,12837.26,12853.32
2016-11-17,後場,12761.12,12786.58,12737.15,12786.58
2016-11-17,前場,12702.41,12780.60,12693.67,12770.38
2016-11-16,後場,12767.53,12787.42,12746.15,12777.92
2016-11-16,前場,12741.77,12767.81,12717.90,12765.28
2016-11-15,後場,12597.53,12628.07,12575.82,12615.04
2016-11-15,前場,12613.17,12639.42,12539.74,12591.69
2016-11-14,後場,12571.99,12597.69,12566.23,12583.05
2016-11-14,前場,12461.89,12580.65,12452.02,12561.82
2016-11-11,後場,12426.35,12448.63,12340.33,12383.44
2016-11-11,前場,12459.55,12572.28,12397.58,12404.29
2016-11-10,後場,12294.34,12381.55,12270.42,12351.63
2016-11-10,前場,11889.78,12319.80,11885.78,12274.08
2016-11-09,後場,11724.68,11807.74,11535.44,11662.18
2016-11-09,前場,12300.92,12400.97,11853.92,11942.64
2016-11-08,後場,12203.18,12241.76,12201.12,12218.25
2016-11-08,前場,12256.89,12271.18,12187.55,12208.48
2016-11-07,後場,12217.77,12222.14,12189.29,12212.46
2016-11-07,前場,12224.67,12254.60,12150.08,12201.90
2016-11-04,後場,12036.67,12077.43,12012.72,12066.29
2016-11-04,前場,12129.73,12147.97,11983.47,12051.79
2016-11-02,後場,12257.75,12278.01,12211.55,12259.70
2016-11-02,前場,12335.41,12348.34,12269.48,12288.34
2016-11-01,後場,12477.43,12506.53,12446.86,12486.60
2016-11-01,前場,12483.70,12483.70,12406.86,12448.52
2016-10-31,後場,12458.94,12490.87,12447.44,12487.46
2016-10-31,前場,12432.00,12477.77,12410.82,12439.53
2016-10-28,後場,12449.05,12481.83,12442.36,12478.58
2016-10-28,前場,12460.35,12469.32,12431.31,12445.52
2016-10-27,後場,12368.78,12406.68,12346.51,12387.14
2016-10-27,前場,12381.33,12440.56,12368.02,12392.84
2016-10-26,後場,12362.55,12396.75,12358.03,12395.97
2016-10-26,前場,12330.62,12350.20,12306.02,12340.54
2016-10-25,後場,12343.14,12368.13,12333.51,12349.24
2016-10-25,前場,12308.76,12365.84,12303.41,12338.46
2016-10-24,後場,12230.56,12269.07,12225.48,12259.77
2016-10-24,前場,12245.51,12246.28,12199.94,12215.80
2016-10-21,後場,12289.64,12298.55,12209.84,12231.17
2016-10-21,前場,12291.16,12306.06,12258.91,12300.15
2016-10-20,後場,12226.86,12269.41,12226.86,12269.41
2016-10-20,前場,12136.74,12245.01,12127.11,12232.01
2016-10-19,後場,12140.66,12162.19,12126.44,12145.36
2016-10-19,前場,12128.16,12159.60,12105.54,12142.35
2016-10-18,後場,12098.46,12138.32,12067.97,12137.09
2016-10-18,前場,12078.82,12120.49,12055.02,12102.26
2016-10-17,後場,12086.17,12112.01,12076.41,12102.44
2016-10-17,前場,12036.38,12123.10,12027.66,12063.63
2016-10-14,後場,12022.55,12057.30,12000.63,12046.36
