日付,始値,高値,安値,終値
2017-12-22,16143.68,16201.98,16135.65,16194.07
2017-12-21,16127.52,16152.92,16061.34,16138.80
2017-12-20,16091.77,16146.43,16074.83,16140.42
2017-12-19,16129.44,16148.71,16076.95,16086.39
2017-12-18,15999.75,16105.87,15985.26,16101.98
2017-12-15,15952.70,15977.49,15816.33,15870.85
2017-12-14,16023.60,16056.63,15964.20,16007.69
2017-12-13,16105.83,16112.52,15998.33,16041.81
2017-12-12,16081.60,16140.02,16048.53,16086.00
2017-12-11,16041.37,16074.49,15956.52,16074.49
2017-12-08,15792.73,15993.91,15790.55,15992.31
2017-12-07,15726.79,15837.28,15724.09,15825.72
2017-12-06,15819.76,15836.91,15601.26,15642.21
2017-12-05,15783.92,15910.23,15759.43,15878.81
2017-12-04,15962.19,15969.22,15820.96,15832.47
2017-12-01,15993.81,16021.65,15832.82,15923.64
2017-11-30,15835.44,15911.79,15758.79,15876.76
2017-11-29,15801.36,15828.16,15776.53,15825.25
2017-11-28,15715.70,15773.91,15645.33,15695.54
2017-11-27,15839.11,15846.86,15704.80,15733.50
2017-11-24,15674.49,15787.90,15655.88,15774.98
2017-11-22,15806.43,15831.19,15735.20,15746.46
2017-11-21,15716.74,15779.04,15690.19,15702.44
2017-11-20,15590.94,15651.81,15564.35,15605.75
2017-11-17,15789.04,15836.86,15615.01,15662.45
2017-11-16,15431.20,15702.47,15426.07,15641.77
2017-11-15,15679.40,15679.40,15452.39,15484.67
2017-11-14,15793.28,15844.79,15742.80,15775.85
2017-11-13,15960.31,15960.31,15814.72,15814.72
2017-11-10,15910.92,16026.13,15900.85,15993.18
2017-11-09,16199.27,16410.93,15919.95,16119.73
2017-11-08,16073.78,16147.46,16027.80,16144.90
2017-11-07,15896.20,16111.50,15884.39,16110.88
2017-11-06,15943.12,15963.28,15823.39,15905.43
2017-11-02,15902.77,15909.41,15813.15,15904.66
2017-11-01,15725.52,15864.09,15713.41,15840.80
2017-10-31,15605.47,15650.03,15557.88,15630.13
2017-10-30,15681.75,15697.17,15599.83,15678.11
