日付,時刻,始値,高値,安値,終値
2015-12-30,後場,1462.20,1467.72,1462.20,1463.02
2015-12-30,前場,1466.00,1470.06,1462.92,1464.02
2015-12-29,後場,1450.33,1461.21,1450.30,1459.50
2015-12-29,前場,1444.59,1450.25,1438.40,1448.74
2015-12-28,後場,1442.68,1449.62,1441.99,1446.17
2015-12-28,前場,1439.27,1442.57,1436.43,1441.11
2015-12-25,後場,1436.64,1436.98,1431.54,1434.17
2015-12-25,前場,1441.37,1443.38,1434.16,1437.25
2015-12-24,後場,1448.31,1450.18,1440.39,1441.08
2015-12-24,前場,1462.73,1463.26,1450.91,1451.62
2015-12-22,後場,1450.29,1454.51,1450.20,1450.28
2015-12-22,前場,1449.94,1453.18,1443.10,1449.81
2015-12-21,後場,1433.30,1453.81,1432.41,1447.99
2015-12-21,前場,1443.13,1449.14,1429.46,1430.88
2015-12-18,後場,1477.70,1510.19,1453.28,1453.28
2015-12-18,前場,1477.82,1479.36,1467.71,1475.88
2015-12-17,後場,1489.85,1489.87,1477.51,1479.69
2015-12-17,前場,1481.05,1491.47,1478.60,1489.99
2015-12-16,後場,1455.03,1459.23,1453.11,1456.94
2015-12-16,前場,1442.55,1452.81,1442.09,1452.46
2015-12-15,後場,1432.65,1435.17,1420.28,1420.31
2015-12-15,前場,1444.06,1446.72,1430.89,1433.24
2015-12-14,後場,1435.98,1445.80,1435.98,1444.42
2015-12-14,前場,1438.46,1439.88,1422.31,1433.27
2015-12-11,後場,1464.69,1467.31,1461.99,1465.12
2015-12-11,前場,1450.07,1469.05,1450.07,1465.41
2015-12-10,後場,1459.72,1462.34,1455.60,1456.49
2015-12-10,前場,1455.85,1462.75,1454.01,1457.58
2015-12-09,後場,1471.36,1475.12,1468.95,1470.80
2015-12-09,前場,1475.72,1483.92,1468.88,1469.97
2015-12-08,後場,1483.44,1486.79,1482.21,1483.22
2015-12-08,前場,1500.72,1503.90,1482.79,1483.49
2015-12-07,後場,1507.34,1507.40,1498.26,1498.98
2015-12-07,前場,1502.33,1507.86,1501.54,1507.27
2015-12-04,後場,1485.75,1488.27,1483.47,1488.27
2015-12-04,前場,1490.79,1494.02,1488.00,1489.48
2015-12-03,後場,1511.08,1518.29,1510.51,1515.92
2015-12-03,前場,1513.50,1516.10,1509.61,1511.97
2015-12-02,後場,1518.62,1519.74,1515.23,1515.23
2015-12-02,前場,1513.93,1520.18,1513.46,1520.18
2015-12-01,後場,1510.86,1515.01,1508.11,1515.01
2015-12-01,前場,1499.27,1513.16,1497.81,1512.02
2015-11-30,後場,1495.73,1497.39,1493.06,1494.20
2015-11-30,前場,1506.68,1507.57,1496.78,1498.90
2015-11-27,後場,1509.13,1509.31,1506.31,1508.14
2015-11-27,前場,1517.88,1518.35,1505.15,1509.41
2015-11-26,後場,1516.06,1520.74,1514.65,1515.66
2015-11-26,前場,1513.69,1519.13,1513.25,1515.08
2015-11-25,後場,1505.07,1510.75,1503.93,1508.24
2015-11-25,前場,1513.19,1513.86,1505.46,1507.89
2015-11-24,後場,1514.34,1521.21,1512.97,1518.99
