日付,始値,高値,安値,終値
2013-12-30,869.95,872.14,867.55,871.94
2013-12-27,862.33,864.43,856.07,864.24
2013-12-26,848.65,860.01,848.57,858.39
2013-12-25,842.03,844.99,840.82,844.99
2013-12-24,849.14,851.09,842.28,844.39
2013-12-20,845.82,846.39,842.17,846.39
2013-12-19,847.60,850.50,845.19,847.67
2013-12-18,822.47,837.50,822.47,837.50
2013-12-17,824.26,825.80,820.68,823.30
2013-12-16,826.72,826.72,817.12,817.91
2013-12-13,829.23,835.35,822.92,828.21
2013-12-12,829.77,831.13,825.62,829.93
2013-12-11,835.48,837.04,829.73,835.04
2013-12-10,838.29,839.55,835.85,838.69
2013-12-09,836.54,838.95,834.71,838.23
2013-12-06,819.50,826.15,818.24,825.06
2013-12-05,826.22,830.62,819.34,820.53
2013-12-04,834.65,837.30,827.12,827.83
2013-12-03,844.16,845.88,839.62,843.24
2013-12-02,842.52,844.88,837.92,840.35
2013-11-29,841.02,842.41,834.36,841.26
2013-11-28,841.41,843.40,838.67,843.40
2013-11-27,833.39,837.26,832.31,833.11
2013-11-26,837.94,839.86,835.65,836.66
2013-11-25,839.20,841.89,837.46,841.89
2013-11-22,839.00,840.56,829.85,833.88
2013-11-21,825.06,831.78,824.46,831.42
2013-11-20,827.67,828.84,820.74,822.30
2013-11-19,826.22,827.86,822.27,825.20
2013-11-18,831.94,833.42,826.26,829.14
2013-11-15,819.40,828.09,819.21,826.59
2013-11-14,807.16,815.58,805.80,812.32
2013-11-13,802.71,805.98,799.43,802.62
2013-11-12,790.74,803.24,790.37,803.24
2013-11-11,792.04,792.69,786.43,789.88
2013-11-08,779.29,783.71,779.29,782.28
2013-11-07,793.74,793.75,787.72,788.44
2013-11-06,784.96,797.02,783.67,793.03
2013-11-05,793.57,793.71,783.38,787.07
2013-11-01,798.09,798.20,784.16,787.52
2013-10-31,799.79,801.61,792.82,792.82
2013-10-30,798.44,802.01,797.14,799.89
2013-10-29,790.16,795.56,788.40,791.82
2013-10-28,789.41,795.59,786.37,795.06
2013-10-25,796.97,796.97,780.94,780.94
2013-10-24,791.00,799.23,787.97,798.67
2013-10-23,810.71,812.50,794.59,794.66
2013-10-22,805.89,807.61,804.25,806.76
2013-10-21,804.22,807.89,801.75,804.59
2013-10-18,803.48,804.03,798.07,800.72
2013-10-17,805.34,807.29,797.89,802.29
2013-10-16,797.21,799.16,794.21,796.52
2013-10-15,802.38,802.49,795.55,796.93
2013-10-11,796.08,800.33,793.76,797.18
2013-10-10,778.79,785.42,777.18,785.42
2013-10-09,760.61,777.47,757.96,777.47
2013-10-08,762.82,768.02,759.41,765.89
2013-10-07,775.67,777.74,764.97,765.37
2013-10-04,774.62,780.27,770.26,774.61
2013-10-03,781.55,785.72,778.79,781.67
2013-10-02,792.91,797.04,778.50,781.14
2013-10-01,794.93,799.79,792.17,792.17
2013-09-30,797.82,800.07,791.76,791.84
2013-09-27,813.77,814.41,808.35,809.76
2013-09-26,801.07,812.75,794.71,812.75
2013-09-25,808.11,809.96,805.68,808.33
2013-09-24,805.31,811.56,804.16,809.30
2013-09-20,813.85,815.00,810.55,812.78
2013-09-19,804.27,810.10,799.66,810.10
2013-09-18,791.58,801.04,789.74,795.61
2013-09-17,793.82,794.17,786.76,786.76
2013-09-13,788.01,795.18,784.03,790.94
2013-09-12,793.64,794.44,787.73,791.21
2013-09-11,802.38,802.38,792.94,794.69
2013-09-10,791.12,797.55,790.43,795.71
2013-09-09,785.11,790.22,781.19,784.71
2013-09-06,778.55,779.27,766.73,770.03
2013-09-05,778.97,779.71,771.55,776.02
2013-09-04,763.82,774.27,762.82,774.07
2013-09-03,757.67,768.90,756.92,768.69
2013-09-02,741.86,748.62,740.72,746.45
2013-08-30,751.61,754.36,738.19,739.05
2013-08-29,744.21,746.78,742.56,745.78
2013-08-28,743.65,747.17,736.98,744.04
2013-08-27,756.84,763.46,755.49,757.05
2013-08-26,764.56,766.70,758.25,760.88
2013-08-23,757.32,767.79,756.88,761.93
2013-08-22,743.57,751.14,741.29,745.78
2013-08-21,748.82,752.13,741.10,747.60
2013-08-20,760.22,766.14,749.23,749.23
2013-08-19,762.27,766.13,758.93,766.13
2013-08-16,758.17,766.32,757.58,762.30
2013-08-15,772.67,778.90,767.37,769.43
2013-08-14,778.64,782.49,769.88,782.49
2013-08-13,766.51,773.34,765.65,772.95
2013-08-12,756.07,763.53,754.42,758.30
2013-08-09,765.84,769.62,758.83,761.86
2013-08-08,766.58,779.15,757.97,760.61
2013-08-07,784.45,785.23,770.71,770.71
2013-08-06,789.96,797.49,781.23,797.49
2013-08-05,794.38,795.39,789.45,791.99
2013-08-02,788.79,800.11,787.18,800.11
2013-08-01,758.90,778.55,758.40,778.55
2013-07-31,761.17,767.87,755.86,755.86
2013-07-30,755.11,769.62,753.63,765.48
2013-07-29,766.31,767.74,754.29,754.58
2013-07-26,792.85,794.32,777.18,779.29
2013-07-25,819.13,819.13,803.55,805.03
2013-07-24,818.45,819.57,814.42,818.40
2013-07-23,810.27,821.49,810.16,820.02
2013-07-22,819.62,819.74,808.70,814.78
2013-07-19,823.77,825.18,802.48,812.79
2013-07-18,814.87,819.30,813.89,818.22
2013-07-17,805.65,812.80,805.39,812.80
2013-07-16,810.93,812.10,807.83,810.96
2013-07-12,800.88,807.75,800.02,805.36
2013-07-11,793.27,802.34,791.25,800.46
2013-07-10,802.87,806.59,794.77,801.16
2013-07-09,796.13,802.09,792.68,802.03
2013-07-08,805.47,805.49,784.48,784.48
2013-07-05,791.00,796.31,789.29,796.31
2013-07-04,782.61,787.25,781.76,783.79
2013-07-03,787.56,788.44,782.05,786.77
2013-07-02,779.36,785.04,775.86,785.04
2013-07-01,766.05,771.25,758.02,771.03
2013-06-28,747.32,764.74,746.13,759.50
2013-06-27,725.50,737.23,720.77,737.23
2013-06-26,730.11,732.17,716.54,717.31
