日付,時刻,始値,高値,安値,終値
2013-12-30,後場,1597.51,1600.13,1594.53,1599.41
2013-12-30,前場,1598.54,1598.68,1593.29,1596.33
2013-12-27,後場,1579.99,1587.99,1576.80,1587.73
2013-12-27,前場,1582.67,1583.00,1572.56,1580.24
2013-12-26,後場,1572.85,1577.87,1572.57,1576.25
2013-12-26,前場,1558.60,1573.20,1558.60,1573.20
2013-12-25,後場,1545.67,1552.57,1544.95,1552.57
2013-12-25,前場,1545.35,1551.79,1545.13,1547.87
2013-12-24,後場,1557.76,1557.78,1546.38,1550.24
2013-12-24,前場,1559.13,1562.27,1556.43,1557.89
2013-12-20,後場,1548.24,1555.36,1548.02,1555.36
2013-12-20,前場,1552.62,1553.93,1547.53,1549.12
2013-12-19,後場,1555.21,1559.47,1552.92,1557.06
2013-12-19,前場,1556.88,1562.20,1554.17,1556.07
2013-12-18,後場,1532.09,1538.62,1531.04,1538.62
2013-12-18,前場,1513.56,1532.82,1513.56,1531.58
2013-12-17,後場,1515.54,1515.54,1510.37,1514.97
2013-12-17,前場,1516.09,1519.15,1513.56,1514.84
2013-12-16,後場,1510.33,1512.99,1504.13,1504.16
2013-12-16,前場,1525.34,1525.34,1512.93,1516.75
2013-12-13,後場,1532.93,1539.99,1527.18,1527.18
2013-12-13,前場,1526.23,1532.05,1517.36,1529.27
2013-12-12,後場,1523.50,1530.61,1522.35,1528.72
2013-12-12,前場,1529.23,1531.12,1522.72,1523.67
2013-12-11,後場,1538.50,1544.59,1530.40,1541.25
2013-12-11,前場,1541.29,1544.59,1540.26,1542.07
2013-12-10,後場,1544.49,1548.97,1544.30,1547.32
2013-12-10,前場,1546.33,1547.31,1541.60,1544.47
2013-12-09,後場,1541.00,1545.58,1539.05,1545.58
2013-12-09,前場,1539.54,1544.32,1538.99,1541.25
2013-12-06,後場,1514.51,1520.64,1506.06,1518.43
2013-12-06,前場,1507.77,1516.25,1507.49,1512.06
2013-12-05,後場,1524.30,1527.11,1508.29,1510.93
2013-12-05,前場,1520.35,1528.58,1518.29,1523.22
2013-12-04,後場,1525.89,1533.57,1523.18,1523.64
2013-12-04,前場,1534.11,1539.15,1520.46,1526.86
2013-12-03,後場,1550.40,1554.08,1549.66,1550.61
2013-12-03,前場,1551.16,1552.88,1543.94,1550.58
2013-12-02,後場,1544.61,1546.93,1539.60,1544.73
2013-12-02,前場,1548.15,1552.52,1542.28,1545.56
2013-11-29,後場,1547.12,1547.12,1533.03,1546.66
2013-11-29,前場,1545.80,1548.39,1542.07,1547.51
2013-11-28,後場,1545.07,1550.81,1541.49,1550.81
2013-11-28,前場,1543.85,1546.91,1542.63,1543.79
2013-11-27,後場,1534.15,1536.56,1528.39,1530.01
2013-11-27,前場,1529.52,1537.26,1529.52,1533.04
2013-11-26,後場,1536.21,1543.03,1536.17,1536.71
2013-11-26,前場,1538.55,1539.83,1534.58,1536.96
2013-11-25,後場,1543.86,1547.11,1540.14,1547.11
2013-11-25,前場,1539.93,1545.49,1537.49,1544.21
2013-11-22,後場,1540.84,1542.00,1522.92,1531.19
2013-11-22,前場,1540.03,1543.43,1535.29,1540.54
2013-11-21,後場,1521.80,1527.85,1519.77,1527.85
2013-11-21,前場,1514.82,1527.89,1513.40,1523.77
2013-11-20,後場,1510.31,1512.28,1506.67,1509.31
2013-11-20,前場,1516.86,1519.60,1508.83,1511.15
2013-11-19,後場,1508.80,1516.26,1507.10,1512.00
2013-11-19,前場,1512.30,1516.45,1506.47,1508.41
2013-11-18,後場,1519.63,1523.00,1513.68,1516.94
2013-11-18,前場,1523.56,1525.21,1511.91,1522.64
2013-11-15,後場,1515.05,1518.87,1513.11,1515.84
2013-11-15,前場,1504.63,1515.67,1503.40,1514.89
2013-11-14,後場,1493.93,1498.00,1487.44,1491.76
2013-11-14,前場,1479.58,1485.36,1478.73,1483.79
2013-11-13,後場,1470.06,1471.88,1465.99,1471.15
2013-11-13,前場,1472.74,1478.73,1468.24,1473.90
2013-11-12,後場,1468.60,1475.36,1468.17,1475.36
2013-11-12,前場,1451.61,1471.80,1450.98,1469.02
2013-11-11,後場,1449.91,1451.76,1445.62,1451.10
2013-11-11,前場,1456.42,1458.31,1448.74,1451.85
2013-11-08,後場,1440.20,1441.80,1433.61,1438.91
2013-11-08,前場,1432.63,1440.78,1432.63,1439.70
2013-11-07,後場,1453.28,1455.20,1448.69,1449.47
2013-11-07,前場,1460.68,1460.68,1450.48,1452.39
2013-11-06,後場,1454.82,1466.14,1454.64,1459.05
2013-11-06,前場,1444.45,1453.93,1443.41,1450.39
2013-11-05,後場,1445.25,1452.62,1443.91,1449.09
2013-11-05,前場,1458.81,1458.99,1441.79,1445.14
2013-11-01,後場,1451.43,1451.43,1441.96,1447.81
2013-11-01,前場,1465.26,1466.64,1450.83,1451.71
2013-10-31,後場,1469.47,1472.44,1457.49,1457.49
2013-10-31,前場,1467.73,1472.04,1465.61,1469.34
2013-10-30,後場,1467.70,1468.81,1462.38,1467.42
2013-10-30,前場,1464.39,1470.06,1461.09,1467.58
2013-10-29,後場,1453.01,1457.25,1447.12,1452.64
2013-10-29,前場,1450.30,1459.72,1446.33,1457.87
2013-10-28,後場,1452.93,1459.80,1451.75,1459.20
2013-10-28,前場,1448.64,1449.07,1442.91,1447.41
2013-10-25,後場,1451.42,1451.42,1434.06,1434.06
2013-10-25,前場,1463.82,1463.82,1449.46,1451.55
2013-10-24,後場,1452.98,1468.17,1449.66,1466.93
2013-10-24,前場,1450.10,1457.72,1446.36,1454.79
2013-10-23,後場,1478.94,1479.04,1456.74,1456.74
2013-10-23,前場,1486.62,1489.27,1480.64,1484.07
2013-10-22,後場,1480.14,1482.00,1476.87,1480.05
2013-10-22,前場,1479.80,1480.45,1475.84,1478.71
2013-10-21,後場,1476.92,1479.62,1473.19,1479.33
2013-10-21,前場,1475.21,1482.36,1475.21,1476.92
2013-10-18,後場,1470.47,1472.12,1465.34,1469.96
2013-10-18,前場,1470.84,1473.84,1467.45,1470.45
2013-10-17,後場,1474.46,1475.17,1462.26,1470.64
2013-10-17,前場,1474.84,1477.08,1472.51,1474.94
2013-10-16,後場,1460.55,1460.55,1455.64,1459.99
2013-10-16,前場,1457.95,1461.63,1455.15,1455.65
2013-10-15,後場,1464.14,1464.21,1455.75,1458.43
2013-10-15,前場,1466.04,1466.13,1460.76,1463.54
2013-10-11,後場,1460.62,1462.32,1450.19,1456.83
2013-10-11,前場,1455.30,1458.79,1453.07,1457.43
2013-10-10,後場,1431.83,1436.87,1428.34,1436.87
2013-10-10,前場,1424.03,1434.50,1421.57,1433.16
2013-10-09,後場,1408.65,1419.19,1408.65,1419.19
2013-10-09,前場,1393.99,1407.96,1389.75,1407.80
2013-10-08,後場,1401.66,1407.01,1399.33,1403.16
2013-10-08,前場,1395.50,1400.78,1391.91,1400.06
2013-10-07,後場,1403.46,1408.72,1401.51,1402.53
2013-10-07,前場,1417.94,1419.72,1401.81,1404.57
2013-10-04,後場,1420.03,1428.96,1418.29,1418.29
2013-10-04,前場,1418.85,1424.38,1410.73,1423.30
2013-10-03,後場,1431.65,1437.57,1428.31,1431.04
2013-10-03,前場,1429.38,1436.46,1424.89,1430.77
2013-10-02,後場,1443.96,1444.88,1423.48,1429.03
2013-10-02,前場,1451.71,1457.64,1441.37,1442.93
2013-10-01,後場,1459.70,1460.84,1450.26,1450.69
2013-10-01,前場,1455.11,1463.48,1451.40,1462.12
2013-09-30,後場,1455.14,1464.03,1450.33,1450.33
2013-09-30,前場,1456.45,1457.50,1448.52,1453.72
2013-09-27,後場,1478.50,1481.67,1472.26,1476.83
2013-09-27,前場,1481.47,1481.47,1474.67,1477.54
2013-09-26,後場,1468.78,1479.71,1462.98,1479.71
2013-09-26,前場,1458.06,1466.29,1445.89,1466.29
2013-09-25,後場,1465.16,1470.85,1464.51,1467.47
2013-09-25,前場,1469.90,1471.76,1463.40,1463.89
2013-09-24,後場,1464.36,1475.28,1463.87,1471.36
2013-09-24,前場,1463.39,1473.01,1462.48,1465.63
2013-09-20,後場,1476.62,1476.62,1472.13,1475.97
2013-09-20,前場,1477.81,1479.55,1472.27,1476.07
2013-09-19,後場,1466.16,1472.03,1461.36,1472.03
2013-09-19,前場,1461.75,1463.10,1454.65,1463.10
2013-09-18,後場,1450.98,1456.12,1442.06,1446.66
2013-09-18,前場,1441.26,1453.98,1439.19,1450.84
2013-09-17,後場,1441.95,1442.65,1431.74,1431.74
2013-09-17,前場,1445.62,1446.35,1437.91,1441.36
2013-09-13,後場,1432.64,1440.23,1425.60,1439.80
2013-09-13,前場,1432.77,1445.12,1432.77,1434.92
2013-09-12,後場,1437.74,1440.55,1433.06,1437.74
2013-09-12,前場,1441.39,1443.29,1432.77,1437.35
2013-09-11,後場,1452.69,1453.49,1442.52,1444.52
2013-09-11,前場,1453.98,1455.02,1446.48,1450.96
