日付,始値,高値,安値,終値
2013-12-30,1598.54,1600.13,1593.29,1599.41
2013-12-27,1582.67,1587.99,1572.56,1587.73
2013-12-26,1558.60,1577.87,1558.60,1576.25
2013-12-25,1545.35,1552.57,1544.95,1552.57
2013-12-24,1559.13,1562.27,1546.38,1550.24
2013-12-20,1552.62,1555.36,1547.53,1555.36
2013-12-19,1556.88,1562.20,1552.92,1557.06
2013-12-18,1513.56,1538.62,1513.56,1538.62
2013-12-17,1516.09,1519.15,1510.37,1514.97
2013-12-16,1525.34,1525.34,1504.13,1504.16
2013-12-13,1526.23,1539.99,1517.36,1527.18
2013-12-12,1529.23,1531.12,1522.35,1528.72
2013-12-11,1541.29,1544.59,1530.40,1541.25
2013-12-10,1546.33,1548.97,1541.60,1547.32
2013-12-09,1539.54,1545.58,1538.99,1545.58
2013-12-06,1507.77,1520.64,1506.06,1518.43
2013-12-05,1520.35,1528.58,1508.29,1510.93
2013-12-04,1534.11,1539.15,1520.46,1523.64
2013-12-03,1551.16,1554.08,1543.94,1550.61
2013-12-02,1548.15,1552.52,1539.60,1544.73
2013-11-29,1545.80,1548.39,1533.03,1546.66
2013-11-28,1543.85,1550.81,1541.49,1550.81
2013-11-27,1529.52,1537.26,1528.39,1530.01
2013-11-26,1538.55,1543.03,1534.58,1536.71
2013-11-25,1539.93,1547.11,1537.49,1547.11
2013-11-22,1540.03,1543.43,1522.92,1531.19
2013-11-21,1514.82,1527.89,1513.40,1527.85
2013-11-20,1516.86,1519.60,1506.67,1509.31
2013-11-19,1512.30,1516.45,1506.47,1512.00
2013-11-18,1523.56,1525.21,1511.91,1516.94
2013-11-15,1504.63,1518.87,1503.40,1515.84
2013-11-14,1479.58,1498.00,1478.73,1491.76
2013-11-13,1472.74,1478.73,1465.99,1471.15
2013-11-12,1451.61,1475.36,1450.98,1475.36
2013-11-11,1456.42,1458.31,1445.62,1451.10
2013-11-08,1432.63,1441.80,1432.63,1438.91
2013-11-07,1460.68,1460.68,1448.69,1449.47
2013-11-06,1444.45,1466.14,1443.41,1459.05
2013-11-05,1458.81,1458.99,1441.79,1449.09
2013-11-01,1465.26,1466.64,1441.96,1447.81
2013-10-31,1467.73,1472.44,1457.49,1457.49
2013-10-30,1464.39,1470.06,1461.09,1467.42
2013-10-29,1450.30,1459.72,1446.33,1452.64
2013-10-28,1448.64,1459.80,1442.91,1459.20
2013-10-25,1463.82,1463.82,1434.06,1434.06
2013-10-24,1450.10,1468.17,1446.36,1466.93
2013-10-23,1486.62,1489.27,1456.74,1456.74
2013-10-22,1479.80,1482.00,1475.84,1480.05
2013-10-21,1475.21,1482.36,1473.19,1479.33
2013-10-18,1470.84,1473.84,1465.34,1469.96
2013-10-17,1474.84,1477.08,1462.26,1470.64
2013-10-16,1457.95,1461.63,1455.15,1459.99
2013-10-15,1466.04,1466.13,1455.75,1458.43
2013-10-11,1455.30,1462.32,1450.19,1456.83
2013-10-10,1424.03,1436.87,1421.57,1436.87
2013-10-09,1393.99,1419.19,1389.75,1419.19
2013-10-08,1395.50,1407.01,1391.91,1403.16
2013-10-07,1417.94,1419.72,1401.51,1402.53
2013-10-04,1418.85,1428.96,1410.73,1418.29
2013-10-03,1429.38,1437.57,1424.89,1431.04
2013-10-02,1451.71,1457.64,1423.48,1429.03
2013-10-01,1455.11,1463.48,1450.26,1450.69
2013-09-30,1456.45,1464.03,1448.52,1450.33
2013-09-27,1481.47,1481.67,1472.26,1476.83
2013-09-26,1458.06,1479.71,1445.89,1479.71
2013-09-25,1469.90,1471.76,1463.40,1467.47
2013-09-24,1463.39,1475.28,1462.48,1471.36
2013-09-20,1477.81,1479.55,1472.13,1475.97
2013-09-19,1461.75,1472.03,1454.65,1472.03
2013-09-18,1441.26,1456.12,1439.19,1446.66
2013-09-17,1445.62,1446.35,1431.74,1431.74
2013-09-13,1432.77,1445.12,1425.60,1439.80
2013-09-12,1441.39,1443.29,1432.77,1437.74
2013-09-11,1453.98,1455.02,1442.52,1444.52
2013-09-10,1434.69,1445.36,1433.76,1443.87
2013-09-09,1421.39,1432.22,1417.60,1424.60
2013-09-06,1412.27,1413.21,1390.40,1394.91
2013-09-05,1415.14,1415.14,1400.51,1408.26
2013-09-04,1391.72,1407.98,1390.74,1407.85
2013-09-03,1383.45,1400.45,1382.77,1400.45
2013-09-02,1353.81,1368.84,1352.18,1364.86
2013-08-30,1370.49,1373.36,1345.66,1348.18
2013-08-29,1356.19,1361.38,1353.29,1360.07
2013-08-28,1352.79,1362.17,1342.91,1356.28
2013-08-27,1378.35,1388.13,1374.20,1376.72
2013-08-26,1391.65,1394.61,1381.02,1386.26
2013-08-23,1380.49,1396.92,1379.50,1386.84
2013-08-22,1356.23,1370.00,1351.65,1360.13
2013-08-21,1366.84,1372.39,1351.71,1364.53
2013-08-20,1385.17,1394.65,1366.31,1366.31
2013-08-19,1386.84,1396.41,1382.51,1396.41
2013-08-16,1377.09,1394.80,1377.00,1386.71
2013-08-15,1405.44,1415.11,1393.12,1396.68
2013-08-14,1415.27,1423.92,1399.59,1423.92
2013-08-13,1392.36,1406.93,1392.36,1406.61
2013-08-12,1373.77,1388.22,1371.30,1377.54
2013-08-09,1391.19,1398.15,1379.32,1385.50
2013-08-08,1398.08,1419.18,1379.93,1384.00
2013-08-07,1431.14,1431.80,1404.37,1404.37
2013-08-06,1440.57,1454.01,1422.80,1454.01
2013-08-05,1446.40,1450.17,1439.31,1442.61
2013-08-02,1431.93,1456.97,1428.41,1456.97
2013-08-01,1382.62,1416.06,1382.20,1416.06
2013-07-31,1389.15,1398.52,1378.58,1378.58
2013-07-30,1376.90,1403.23,1373.58,1398.32
2013-07-29,1399.95,1403.18,1378.73,1378.73
2013-07-26,1441.56,1444.21,1420.51,1422.19
2013-07-25,1483.53,1483.76,1460.23,1462.40
2013-07-24,1482.30,1484.99,1475.52,1482.70
2013-07-23,1468.82,1489.32,1468.27,1486.48
2013-07-22,1486.13,1486.13,1466.31,1477.55
2013-07-19,1495.17,1496.74,1457.27,1471.49
2013-07-18,1476.84,1486.43,1475.96,1485.50
2013-07-17,1463.12,1474.16,1462.89,1474.16
2013-07-16,1470.65,1473.77,1467.13,1472.21
2013-07-12,1452.70,1464.93,1451.34,1460.82
2013-07-11,1440.37,1455.00,1435.89,1452.55
2013-07-10,1455.70,1460.94,1441.55,1453.01
2013-07-09,1443.77,1454.73,1434.96,1454.64
2013-07-08,1461.10,1461.31,1425.76,1425.76
2013-07-05,1438.17,1446.45,1435.21,1446.45
2013-07-04,1424.04,1433.41,1422.52,1427.00
2013-07-03,1433.80,1436.02,1424.27,1432.49
2013-07-02,1420.63,1428.97,1412.53,1428.97
2013-07-01,1397.62,1406.39,1383.19,1405.80
2013-06-28,1363.11,1394.22,1361.33,1387.49
2013-06-27,1318.96,1345.52,1312.17,1345.52
2013-06-26,1331.86,1334.82,1303.24,1304.65
2013-06-25,1328.97,1340.05,1298.97,1316.09
2013-06-24,1357.13,1358.15,1326.64,1329.34
2013-06-21,1304.93,1347.09,1290.57,1341.65
2013-06-20,1336.69,1342.52,1323.17,1328.31
2013-06-19,1349.04,1356.36,1337.23,1349.40
2013-06-18,1331.08,1340.27,1319.48,1327.65
2013-06-17,1288.53,1328.79,1286.24,1328.55
2013-06-14,1294.99,1315.65,1291.38,1293.88
2013-06-13,1320.08,1320.63,1269.07,1272.62
2013-06-12,1328.02,1349.07,1317.18,1342.68
2013-06-11,1364.52,1370.05,1344.75,1348.61
2013-06-10,1325.11,1364.88,1325.03,1364.88
2013-06-07,1292.88,1324.31,1273.05,1300.14
2013-06-06,1316.13,1343.91,1310.99,1313.17
2013-06-05,1372.17,1390.33,1331.38,1331.38
2013-06-04,1334.02,1376.67,1319.66,1371.21
2013-06-03,1369.01,1372.84,1342.71,1343.98
2013-05-31,1403.46,1411.59,1384.45,1387.82
2013-05-30,1414.13,1421.35,1377.84,1383.76
2013-05-29,1447.38,1456.43,1429.21,1436.34
2013-05-28,1391.12,1433.57,1391.12,1425.56
2013-05-27,1430.56,1431.15,1403.71,1409.55
2013-05-24,1462.24,1486.65,1395.41,1450.80
2013-05-23,1545.71,1559.47,1442.42,1442.42
2013-05-22,1535.40,1549.41,1534.55,1540.25
2013-05-21,1530.26,1534.46,1527.34,1530.24
2013-05-20,1538.61,1541.79,1533.52,1536.59
2013-05-17,1509.94,1528.24,1507.63,1524.92
2013-05-16,1530.01,1532.61,1502.64,1517.35
2013-05-15,1505.18,1522.02,1505.02,1521.39
2013-05-14,1493.62,1495.28,1486.77,1486.98
2013-05-13,1486.78,1493.12,1484.18,1489.72
2013-05-10,1460.37,1476.06,1458.26,1472.70
2013-05-09,1460.09,1461.71,1437.56,1437.56
2013-05-08,1448.82,1464.49,1448.27,1453.86
2013-05-07,1432.71,1449.30,1432.08,1447.75
2013-05-02,1408.08,1412.29,1400.21,1407.06
2013-05-01,1420.89,1421.10,1410.26,1414.13
2013-04-30,1419.92,1427.14,1417.55,1422.78
2013-04-26,1434.44,1434.88,1416.96,1418.48
2013-04-25,1429.04,1433.10,1423.45,1430.35
2013-04-24,1411.78,1425.28,1408.57,1425.28
2013-04-23,1399.34,1404.25,1395.36,1397.87
2013-04-22,1400.63,1410.54,1398.04,1400.21
2013-04-19,1378.11,1383.33,1364.53,1380.24
2013-04-18,1381.22,1390.21,1373.85,1374.53
2013-04-17,1384.92,1392.16,1383.70,1391.39
2013-04-16,1359.80,1380.81,1355.31,1373.36
2013-04-15,1388.36,1396.99,1380.44,1384.98
2013-04-12,1406.12,1406.12,1390.74,1402.14
2013-04-11,1385.97,1405.02,1385.96,1405.02
2013-04-10,1352.54,1370.89,1352.54,1369.33
2013-04-09,1363.29,1364.53,1346.58,1354.66
2013-04-08,1338.90,1355.88,1334.17,1353.30
2013-04-05,1304.60,1340.99,1302.65,1316.93
2013-04-04,1233.97,1281.59,1224.17,1281.59
2013-04-03,1226.96,1248.35,1226.25,1248.35
2013-04-02,1222.02,1228.10,1197.05,1220.30
2013-04-01,1266.00,1267.21,1231.69,1231.91
2013-03-29,1274.56,1275.37,1262.87,1270.56
2013-03-28,1278.40,1278.72,1262.89,1270.41
2013-03-27,1277.51,1281.14,1275.90,1280.30
