日付,時刻,始値,高値,安値,終値
2015-12-30,後場,1757.71,1763.84,1756.20,1756.20
2015-12-30,前場,1763.59,1768.01,1758.39,1759.17
2015-12-29,後場,1741.66,1756.74,1741.57,1754.20
2015-12-29,前場,1737.65,1741.42,1730.76,1739.33
2015-12-28,後場,1735.64,1744.55,1735.12,1739.50
2015-12-28,前場,1727.23,1736.69,1727.00,1733.90
2015-12-25,後場,1723.81,1723.93,1716.42,1719.80
2015-12-25,前場,1733.31,1735.79,1719.62,1724.65
2015-12-24,後場,1742.85,1744.83,1734.32,1734.46
2015-12-24,前場,1755.65,1757.29,1746.19,1746.71
2015-12-22,後場,1739.23,1744.74,1739.23,1739.54
2015-12-22,前場,1739.76,1742.51,1728.90,1738.24
2015-12-21,後場,1720.44,1744.99,1720.10,1736.76
2015-12-21,前場,1728.75,1736.33,1716.32,1718.09
2015-12-18,後場,1771.85,1812.07,1742.87,1742.87
2015-12-18,前場,1773.92,1776.85,1758.70,1769.32
2015-12-17,後場,1793.03,1793.45,1776.05,1778.69
2015-12-17,前場,1785.25,1796.21,1782.12,1794.00
2015-12-16,後場,1755.18,1761.26,1752.69,1755.97
2015-12-16,前場,1734.02,1753.64,1733.61,1752.53
2015-12-15,後場,1719.83,1723.42,1706.08,1706.08
2015-12-15,前場,1735.75,1738.58,1718.84,1721.21
2015-12-14,後場,1727.49,1738.62,1727.49,1737.17
2015-12-14,前場,1731.46,1733.00,1711.22,1724.22
2015-12-11,後場,1760.98,1766.01,1760.06,1763.75
2015-12-11,前場,1749.29,1767.37,1748.86,1762.37
2015-12-10,後場,1762.27,1764.70,1754.78,1755.79
2015-12-10,前場,1754.77,1762.85,1751.80,1757.97
2015-12-09,後場,1771.76,1776.84,1769.80,1771.52
2015-12-09,前場,1772.32,1784.61,1768.30,1769.75
2015-12-08,後場,1784.64,1788.66,1782.84,1784.05
2015-12-08,前場,1804.29,1810.57,1784.05,1784.71
2015-12-07,後場,1817.20,1817.24,1805.35,1805.89
2015-12-07,前場,1811.61,1818.02,1811.52,1817.28
2015-12-04,後場,1792.62,1796.61,1790.14,1796.61
2015-12-04,前場,1798.13,1802.01,1792.29,1796.58
2015-12-03,後場,1820.76,1831.16,1819.74,1828.24
2015-12-03,前場,1821.94,1826.76,1818.61,1821.50
2015-12-02,後場,1830.59,1832.04,1825.46,1825.46
2015-12-02,前場,1824.97,1832.03,1824.55,1832.03
2015-12-01,後場,1819.86,1824.83,1816.85,1824.83
2015-12-01,前場,1803.58,1822.73,1802.14,1821.34
2015-11-30,後場,1799.44,1800.38,1795.88,1796.44
2015-11-30,前場,1816.60,1816.60,1800.68,1802.98
2015-11-27,後場,1820.33,1821.00,1816.95,1818.99
2015-11-27,前場,1830.64,1831.37,1816.37,1821.13
2015-11-26,後場,1827.94,1834.33,1826.37,1827.83
2015-11-26,前場,1825.50,1832.77,1825.19,1826.01
2015-11-25,後場,1815.73,1822.28,1813.22,1818.93
2015-11-25,前場,1828.00,1828.00,1817.37,1819.17
2015-11-24,後場,1828.56,1837.59,1826.44,1834.16
2015-11-24,前場,1831.44,1831.90,1825.30,1828.16
2015-11-20,後場,1826.02,1834.72,1822.60,1834.72
2015-11-20,前場,1829.56,1829.56,1820.73,1822.92
2015-11-19,後場,1839.59,1841.96,1830.69,1837.71
2015-11-19,前場,1838.67,1849.68,1836.84,1845.02
2015-11-18,後場,1829.23,1830.38,1819.03,1819.83
2015-11-18,前場,1828.81,1834.40,1825.80,1829.34
2015-11-17,後場,1826.91,1828.62,1820.61,1820.61
2015-11-17,前場,1826.20,1828.47,1821.68,1827.57
2015-11-16,後場,1801.98,1807.48,1800.26,1802.84
2015-11-16,前場,1787.90,1808.78,1784.60,1803.35
2015-11-13,後場,1809.66,1820.16,1809.19,1818.64
2015-11-13,前場,1808.59,1816.75,1799.65,1811.32
2015-11-12,後場,1830.38,1832.53,1828.52,1829.94
2015-11-12,前場,1829.89,1833.79,1821.36,1830.00
2015-11-11,後場,1836.01,1839.68,1832.84,1835.13
2015-11-11,前場,1824.13,1836.68,1824.13,1831.62
2015-11-10,後場,1825.16,1834.33,1823.06,1832.57
2015-11-10,前場,1818.19,1829.67,1816.98,1821.12
2015-11-09,後場,1834.93,1838.58,1829.11,1834.26
2015-11-09,前場,1813.11,1838.98,1811.22,1838.98
2015-11-06,後場,1790.20,1798.92,1786.50,1796.01
2015-11-06,前場,1795.51,1796.77,1787.92,1790.55
2015-11-05,後場,1792.91,1794.40,1784.25,1787.39
2015-11-05,前場,1778.29,1791.68,1775.72,1790.11
2015-11-04,後場,1789.46,1791.65,1771.04,1771.33
2015-11-04,前場,1776.63,1789.87,1775.42,1789.47
2015-11-02,後場,1752.55,1754.95,1747.45,1751.51
2015-11-02,前場,1767.43,1767.43,1750.13,1752.75
2015-10-30,後場,1772.13,1804.86,1767.76,1792.15
2015-10-30,前場,1781.81,1785.03,1774.39,1776.64
2015-10-29,後場,1780.47,1787.92,1773.31,1784.31
2015-10-29,前場,1800.33,1801.46,1781.60,1782.00
2015-10-28,後場,1786.34,1788.87,1782.36,1788.83
2015-10-28,前場,1784.88,1792.33,1779.86,1786.62
2015-10-27,後場,1792.25,1792.25,1783.31,1784.34
2015-10-27,前場,1805.69,1807.53,1791.48,1792.03
2015-10-26,後場,1820.54,1821.91,1807.70,1808.22
2015-10-26,前場,1818.04,1823.28,1813.44,1818.41
2015-10-23,後場,1801.44,1803.63,1793.25,1795.55
2015-10-23,前場,1794.65,1804.51,1793.58,1799.18
2015-10-22,後場,1771.68,1772.39,1758.16,1762.05
2015-10-22,前場,1759.11,1775.93,1757.79,1773.96
2015-10-21,後場,1757.81,1774.82,1757.81,1771.59
2015-10-21,前場,1733.04,1757.50,1733.04,1754.38
2015-10-20,後場,1731.49,1738.73,1730.23,1735.16
2015-10-20,前場,1735.65,1736.37,1727.89,1731.77
2015-10-19,後場,1738.05,1742.88,1723.08,1725.41
2015-10-19,前場,1741.55,1741.55,1719.61,1730.12
2015-10-16,後場,1741.17,1745.09,1737.40,1742.45
2015-10-16,前場,1737.21,1751.85,1732.03,1746.34
2015-10-15,後場,1711.46,1724.47,1710.30,1719.82
2015-10-15,前場,1690.44,1717.02,1685.86,1711.84
2015-10-14,後場,1701.43,1703.58,1694.57,1699.14
2015-10-14,前場,1722.71,1725.19,1695.11,1695.71
2015-10-13,後場,1743.07,1744.23,1735.07,1740.44
2015-10-13,前場,1746.08,1752.15,1741.12,1742.15
2015-10-09,後場,1747.03,1758.09,1746.65,1758.09
2015-10-09,前場,1734.24,1744.43,1730.44,1742.36
2015-10-08,後場,1721.32,1726.48,1714.02,1716.19
2015-10-08,前場,1723.74,1738.20,1717.94,1719.13
2015-10-07,後場,1700.93,1731.73,1700.80,1727.08
2015-10-07,前場,1700.15,1715.00,1698.42,1710.74
2015-10-06,後場,1702.54,1710.39,1693.06,1696.90
2015-10-06,前場,1708.58,1715.21,1700.08,1707.25
2015-10-05,後場,1681.81,1689.61,1679.35,1681.65
2015-10-05,前場,1679.99,1686.56,1672.47,1676.65
2015-10-02,後場,1661.18,1665.33,1654.19,1663.73
2015-10-02,前場,1646.86,1662.27,1641.39,1660.03
2015-10-01,後場,1670.61,1671.00,1660.84,1660.84
2015-10-01,前場,1635.21,1659.92,1624.97,1657.81
2015-09-30,後場,1621.51,1632.80,1616.86,1621.71
2015-09-30,前場,1603.44,1618.02,1603.03,1613.70
2015-09-29,後場,1590.58,1590.58,1570.97,1577.02
2015-09-29,前場,1623.92,1623.92,1589.41,1598.04
2015-09-28,後場,1663.98,1664.08,1643.76,1653.04
2015-09-28,前場,1666.00,1675.07,1650.10,1661.06
2015-09-25,後場,1655.60,1680.18,1654.38,1679.69
2015-09-25,前場,1651.08,1669.76,1643.46,1650.38
2015-09-24,後場,1655.74,1661.44,1645.41,1645.41
2015-09-24,前場,1663.12,1668.87,1653.65,1655.06
2015-09-18,後場,1698.59,1698.62,1685.98,1685.98
2015-09-18,前場,1709.83,1710.86,1682.06,1696.89
2015-09-17,後場,1720.17,1728.99,1716.22,1726.47
2015-09-17,前場,1723.20,1728.87,1709.67,1712.48
2015-09-16,後場,1708.56,1710.31,1700.34,1706.32
2015-09-16,前場,1711.76,1718.59,1701.64,1711.67
2015-09-15,後場,1696.19,1706.97,1690.38,1690.75
2015-09-15,前場,1698.45,1725.68,1689.86,1709.27
2015-09-14,後場,1693.16,1703.43,1687.29,1690.64
2015-09-14,前場,1718.90,1719.70,1700.23,1702.31
2015-09-11,後場,1717.28,1720.54,1707.88,1712.47
2015-09-11,前場,1698.03,1718.80,1695.44,1712.27
2015-09-10,後場,1706.60,1716.50,1698.03,1713.65
2015-09-10,前場,1714.33,1714.89,1686.12,1710.25
2015-09-09,後場,1716.74,1748.95,1711.37,1748.95
2015-09-09,前場,1674.75,1716.84,1674.32,1716.82
2015-09-08,後場,1656.96,1660.22,1639.46,1641.18
2015-09-08,前場,1667.98,1674.70,1661.39,1666.43
2015-09-07,後場,1673.08,1675.93,1653.00,1666.26
2015-09-07,前場,1647.17,1673.24,1631.24,1653.55
2015-09-04,後場,1673.46,1673.54,1644.47,1662.17
2015-09-04,前場,1706.91,1706.91,1675.43,1677.07
2015-09-03,後場,1720.71,1721.61,1694.27,1694.32
2015-09-03,前場,1710.16,1724.06,1707.13,1715.38
2015-09-02,後場,1713.20,1718.93,1675.88,1683.96
2015-09-02,前場,1669.45,1706.48,1662.54,1701.16
2015-09-01,後場,1733.92,1736.56,1700.79,1700.79
2015-09-01,前場,1753.57,1756.69,1724.16,1724.86
2015-08-31,後場,1761.05,1768.71,1753.02,1765.10
2015-08-31,前場,1772.38,1777.03,1757.08,1768.10
2015-08-28,後場,1780.87,1791.95,1778.68,1784.75
2015-08-28,前場,1757.45,1788.02,1756.37,1785.19
2015-08-27,後場,1743.35,1745.00,1719.37,1722.43
