日付,始値,高値,安値,終値
2011-12-30,839.74,845.58,837.77,845.58
2011-12-29,833.01,838.19,831.06,837.03
2011-12-28,839.52,841.33,835.50,835.97
2011-12-27,839.41,841.86,838.69,840.59
2011-12-26,847.20,847.56,841.57,842.88
2011-12-22,839.73,841.89,837.72,839.63
2011-12-21,843.82,844.05,839.19,841.78
2011-12-20,833.83,836.17,832.06,832.43
2011-12-19,837.30,837.66,826.75,831.95
2011-12-16,845.14,845.98,840.49,841.79
2011-12-15,851.48,852.74,843.53,843.54
2011-12-14,858.04,859.71,854.03,857.39
2011-12-13,857.09,864.99,855.62,860.74
2011-12-12,869.86,872.02,866.81,868.78
2011-12-09,855.87,862.60,855.61,857.62
2011-12-08,867.82,871.03,863.10,866.25
2011-12-07,861.18,873.89,858.84,872.54
2011-12-06,865.88,869.87,857.11,857.11
2011-12-05,869.47,870.53,864.54,869.86
2011-12-02,861.23,864.81,858.54,863.99
2011-12-01,859.20,866.50,857.53,859.24
2011-11-30,839.57,843.24,833.99,842.99
2011-11-29,835.67,845.50,833.23,844.92
2011-11-28,826.94,833.84,825.90,828.51
2011-11-25,813.41,823.31,813.19,816.93
2011-11-24,816.91,823.70,813.46,816.01
2011-11-22,817.70,831.36,817.70,829.00
2011-11-21,825.71,828.42,824.67,825.93
2011-11-18,830.20,831.74,827.79,829.88
2011-11-17,830.14,841.19,826.79,840.08
2011-11-16,842.56,843.65,833.87,834.91
2011-11-15,844.30,848.25,841.91,843.17
2011-11-14,851.57,854.40,846.33,849.23
2011-11-11,843.85,845.65,836.67,840.22
2011-11-10,848.99,849.44,837.73,843.25
2011-11-09,858.35,866.75,854.91,866.23
2011-11-08,865.41,868.07,849.25,850.72
2011-11-07,867.80,868.66,864.35,868.60
2011-11-04,867.45,871.32,862.28,870.19
2011-11-02,865.40,865.40,855.04,856.08
2011-11-01,879.40,884.86,874.85,876.31
2011-10-31,893.65,906.36,887.52,887.52
2011-10-28,903.71,907.24,896.43,897.94
