日付,時刻,始値,高値,安値,終値
2013-12-30,後場,1077.32,1079.09,1075.53,1078.72
2013-12-30,前場,1076.10,1077.40,1073.51,1076.75
2013-12-27,後場,1063.41,1069.04,1061.68,1069.00
2013-12-27,前場,1064.47,1064.56,1057.70,1063.76
2013-12-26,後場,1058.50,1061.61,1058.44,1060.59
2013-12-26,前場,1048.39,1058.86,1048.29,1058.79
2013-12-25,後場,1039.96,1044.38,1039.27,1044.38
2013-12-25,前場,1040.88,1044.13,1040.47,1041.35
2013-12-24,後場,1048.12,1048.12,1041.17,1043.78
2013-12-24,前場,1049.36,1051.34,1047.93,1048.31
2013-12-20,後場,1042.99,1047.32,1042.78,1047.32
2013-12-20,前場,1045.57,1047.03,1042.77,1043.73
2013-12-19,後場,1047.11,1049.47,1045.47,1048.39
2013-12-19,前場,1049.52,1052.48,1046.41,1047.55
2013-12-18,後場,1034.78,1038.74,1034.09,1038.74
2013-12-18,前場,1023.08,1035.72,1023.08,1034.75
2013-12-17,後場,1024.07,1024.29,1020.85,1024.29
2013-12-17,前場,1023.59,1026.06,1022.63,1023.57
2013-12-16,後場,1020.05,1022.01,1015.94,1016.43
2013-12-16,前場,1029.37,1029.37,1021.95,1024.11
2013-12-13,後場,1033.84,1038.69,1030.16,1030.16
2013-12-13,前場,1030.63,1034.27,1023.97,1031.35
2013-12-12,後場,1028.94,1033.43,1027.98,1032.65
2013-12-12,前場,1032.63,1033.75,1028.44,1029.15
2013-12-11,後場,1037.95,1041.64,1032.58,1039.48
2013-12-11,前場,1039.28,1041.78,1038.78,1040.01
2013-12-10,後場,1041.75,1044.59,1041.66,1043.71
2013-12-10,前場,1043.22,1043.72,1040.64,1041.87
2013-12-09,後場,1039.79,1042.80,1038.50,1042.80
2013-12-09,前場,1039.51,1042.42,1039.21,1039.93
