日付,始値,高値,安値,終値
2014-12-30,1204.76,1204.76,1190.83,1190.83
2014-12-29,1213.06,1213.06,1193.10,1205.69
2014-12-26,1201.39,1209.32,1201.39,1207.99
2014-12-25,1203.92,1205.47,1200.64,1202.77
2014-12-24,1208.56,1208.81,1205.07,1206.91
2014-12-22,1197.38,1198.37,1190.57,1195.62
2014-12-19,1185.30,1191.89,1181.43,1191.89
2014-12-18,1166.19,1174.86,1163.71,1165.47
2014-12-17,1140.13,1151.43,1139.23,1143.81
2014-12-16,1153.29,1155.29,1142.63,1144.90
2014-12-15,1169.22,1177.02,1165.22,1166.86
2014-12-12,1180.65,1195.14,1179.41,1183.57
2014-12-11,1171.95,1183.05,1165.12,1180.82
2014-12-10,1200.79,1203.83,1182.52,1188.40
2014-12-09,1214.11,1218.77,1211.10,1212.85
2014-12-08,1228.24,1228.24,1219.19,1223.08
2014-12-05,1216.55,1221.13,1211.76,1221.13
2014-12-04,1218.46,1219.49,1214.34,1217.55
2014-12-03,1214.40,1217.74,1206.56,1208.57
2014-12-02,1196.14,1208.56,1195.37,1207.09
2014-12-01,1195.34,1205.81,1195.22,1201.32
2014-11-28,1182.03,1191.24,1181.76,1191.24
2014-11-27,1184.02,1185.49,1174.96,1176.50
2014-11-26,1187.25,1192.30,1185.94,1188.07
2014-11-25,1192.78,1192.78,1186.34,1190.13
2014-11-21,1181.15,1184.02,1169.73,1182.84
2014-11-20,1186.45,1186.49,1179.80,1181.06
2014-11-19,1182.72,1189.88,1178.53,1179.27
2014-11-18,1167.41,1179.05,1167.41,1178.56
2014-11-17,1177.50,1178.42,1150.59,1153.65
2014-11-14,1183.47,1183.47,1171.00,1183.38
2014-11-13,1162.20,1174.04,1157.05,1173.45
2014-11-12,1169.82,1176.91,1162.03,1163.10
2014-11-11,1152.45,1164.13,1151.07,1161.30
2014-11-10,1144.82,1148.86,1142.95,1147.62
2014-11-07,1153.87,1156.15,1149.51,1151.33
2014-11-06,1160.00,1162.92,1142.67,1145.28
2014-11-05,1149.36,1157.78,1148.01,1156.59
2014-11-04,1147.63,1172.78,1147.01,1153.72
2014-10-31,1093.19,1129.98,1093.19,1126.17
2014-10-30,1078.40,1086.20,1077.90,1082.50
2014-10-29,1069.28,1078.54,1066.70,1076.36
2014-10-28,1062.21,1064.01,1056.60,1061.37
2014-10-27,1061.64,1066.10,1058.00,1063.93
2014-10-24,1058.88,1060.32,1050.45,1053.72
2014-10-23,1042.52,1050.03,1038.31,1045.02
2014-10-22,1037.66,1048.70,1036.55,1048.70
2014-10-21,1040.34,1040.34,1018.19,1021.28
2014-10-20,1017.53,1039.05,1017.30,1037.94
2014-10-17,1014.82,1017.42,997.26,997.26
2014-10-16,1017.15,1018.73,1009.97,1012.29
2014-10-15,1031.33,1036.56,1026.19,1035.44
2014-10-14,1033.48,1036.19,1025.84,1026.78
2014-10-10,1048.73,1053.49,1046.34,1051.50
2014-10-09,1082.60,1084.49,1064.85,1065.78
2014-10-08,1076.65,1081.15,1072.63,1077.93
2014-10-07,1097.12,1101.83,1090.10,1091.77
2014-10-06,1098.66,1102.44,1093.32,1096.64
2014-10-03,1078.40,1085.69,1076.92,1084.80
2014-10-02,1101.33,1101.55,1081.59,1082.35
2014-10-01,1121.42,1124.43,1114.26,1114.39
2014-09-30,1128.30,1128.30,1112.80,1121.69
2014-09-29,1133.13,1133.15,1128.01,1130.94
2014-09-26,1117.49,1126.35,1117.49,1125.76
2014-09-25,1128.59,1136.99,1127.95,1136.99
2014-09-24,1115.70,1121.68,1115.45,1119.89
2014-09-22,1126.20,1127.15,1120.08,1123.20
2014-09-19,1118.44,1127.82,1116.62,1124.92
2014-09-18,1112.14,1115.86,1111.39,1113.44
2014-09-17,1108.98,1109.98,1103.13,1103.13
2014-09-16,1106.53,1108.94,1104.75,1107.34
2014-09-12,1105.82,1110.29,1104.38,1108.16
2014-09-11,1109.14,1109.14,1104.75,1106.08
2014-09-10,1094.79,1103.23,1094.79,1103.23
2014-09-09,1101.44,1101.72,1097.29,1097.48
2014-09-08,1095.86,1096.60,1091.31,1096.12
2014-09-05,1100.33,1100.33,1090.04,1092.23
2014-09-04,1098.63,1098.88,1093.52,1094.40
2014-09-03,1103.39,1103.50,1097.55,1098.98
2014-09-02,1087.96,1099.89,1087.02,1096.05
2014-09-01,1082.39,1085.02,1081.84,1085.02
2014-08-29,1080.29,1083.51,1077.94,1080.46
2014-08-28,1083.56,1083.75,1079.23,1082.84
2014-08-27,1088.61,1092.18,1082.83,1087.42
2014-08-26,1092.34,1092.58,1086.82,1086.87
2014-08-25,1091.68,1092.56,1088.55,1091.76
2014-08-22,1094.46,1094.46,1085.21,1086.97
2014-08-21,1088.27,1092.28,1087.17,1091.86
2014-08-20,1086.20,1086.52,1082.96,1083.52
2014-08-19,1083.18,1084.82,1080.84,1083.57
2014-08-18,1075.96,1077.03,1073.45,1075.70
2014-08-15,1074.69,1075.47,1072.26,1074.77
2014-08-14,1071.70,1075.41,1070.25,1074.28
