日付,時刻,始値,高値,安値,終値
2010-12-30,後場,1042.07,1047.97,1042.07,1044.70
2010-12-30,前場,1048.86,1049.17,1041.51,1041.51
2010-12-29,後場,1045.89,1050.19,1045.89,1050.19
2010-12-29,前場,1039.61,1044.76,1039.61,1044.76
2010-12-28,後場,1039.04,1040.75,1038.34,1039.85
2010-12-28,前場,1038.07,1039.67,1037.38,1039.67
2010-12-27,後場,1037.62,1039.15,1037.23,1038.57
2010-12-27,前場,1035.00,1038.44,1034.94,1037.73
2010-12-24,後場,1035.41,1035.73,1034.67,1035.28
2010-12-24,前場,1039.08,1039.30,1035.67,1035.74
2010-12-22,後場,1046.99,1046.99,1039.33,1040.81
2010-12-22,前場,1048.18,1048.99,1046.58,1046.58
2010-12-21,後場,1049.36,1051.37,1047.66,1047.66
2010-12-21,前場,1046.20,1048.21,1045.91,1048.21
2010-12-20,後場,1047.91,1047.91,1041.90,1045.38
2010-12-20,前場,1051.06,1051.86,1049.82,1050.15
2010-12-17,後場,1051.28,1051.77,1048.12,1050.70
2010-12-17,前場,1050.34,1053.33,1049.04,1051.40
2010-12-16,後場,1051.28,1053.22,1049.98,1049.98
2010-12-16,前場,1047.65,1051.94,1046.57,1051.94
2010-12-15,後場,1043.20,1049.34,1041.74,1049.34
2010-12-15,前場,1046.14,1046.47,1043.39,1043.56
2010-12-14,後場,1040.00,1043.98,1039.61,1043.98
2010-12-14,前場,1037.67,1041.55,1037.67,1040.25
2010-12-13,後場,1029.17,1036.29,1029.17,1036.29
2010-12-13,前場,1022.55,1028.99,1021.35,1028.92
2010-12-10,後場,1025.30,1025.89,1023.00,1023.47
2010-12-10,前場,1028.69,1028.69,1024.13,1025.69
2010-12-09,後場,1025.05,1026.58,1024.38,1026.51
2010-12-09,前場,1028.66,1029.52,1025.51,1025.51
2010-12-08,後場,1022.86,1027.25,1022.31,1027.25
2010-12-08,前場,1018.72,1024.47,1018.72,1022.91
2010-12-07,後場,1012.91,1017.27,1012.74,1017.27
2010-12-07,前場,1013.98,1014.03,1009.16,1012.66
2010-12-06,後場,1009.32,1013.79,1009.30,1013.75
2010-12-06,前場,1003.78,1010.44,1003.78,1009.59
2010-12-03,後場,1000.40,1001.95,999.59,1001.95
2010-12-03,前場,1002.82,1003.42,1000.19,1000.33
2010-12-02,後場,998.75,998.75,997.38,997.64
2010-12-02,前場,998.07,999.00,995.57,997.59
2010-12-01,後場,980.51,985.82,980.47,985.82
2010-12-01,前場,980.15,983.11,979.03,981.34
2010-11-30,後場,990.47,990.47,981.73,981.73
2010-11-30,前場,992.00,994.33,991.11,993.22
2010-11-29,後場,991.94,994.80,991.94,993.10
2010-11-29,前場,987.33,995.73,987.30,991.36
2010-11-26,後場,988.70,989.01,985.71,985.71
2010-11-26,前場,990.49,994.05,987.84,988.85
2010-11-25,後場,989.00,992.45,988.91,989.86
2010-11-25,前場,988.06,988.97,983.96,988.89
2010-11-24,後場,983.21,985.01,981.69,981.69
2010-11-24,前場,972.71,984.00,971.42,983.77
2010-11-22,後場,983.36,987.10,983.24,986.14
2010-11-22,前場,981.52,983.92,980.79,983.75
2010-11-19,後場,977.49,977.71,974.73,975.89
2010-11-19,前場,983.62,983.62,977.40,977.73
2010-11-18,後場,966.75,976.47,966.75,976.47
2010-11-18,前場,959.88,967.13,959.88,965.13
2010-11-17,後場,954.01,959.34,953.87,958.93
2010-11-17,前場,949.48,954.60,949.48,953.80
2010-11-16,後場,959.38,962.71,957.22,957.39
2010-11-16,前場,964.47,965.14,957.25,958.76
2010-11-15,後場,959.76,962.32,959.18,961.26
2010-11-15,前場,960.36,961.67,958.22,959.98
2010-11-12,後場,958.80,961.07,957.34,957.34
2010-11-12,前場,959.06,964.36,958.98,960.70
2010-11-11,後場,962.50,962.98,958.97,962.72
2010-11-11,前場,961.54,963.89,959.65,962.38
2010-11-10,後場,960.49,962.23,957.63,961.86
2010-11-10,前場,954.28,964.25,954.28,961.00
2010-11-09,後場,954.52,955.59,953.15,954.21
2010-11-09,前場,952.85,955.91,950.70,955.32
2010-11-08,後場,952.56,955.04,950.56,955.04
2010-11-08,前場,951.69,952.70,949.71,952.70
2010-11-05,後場,946.73,948.03,944.48,946.07
2010-11-05,前場,936.68,947.96,936.68,946.93
2010-11-04,後場,928.47,928.47,926.18,926.29
2010-11-04,前場,918.59,931.44,918.59,929.04
2010-11-02,後場,911.72,912.57,910.43,911.56
2010-11-02,前場,917.66,918.17,910.85,910.96
2010-11-01,後場,920.16,923.20,917.65,918.40
2010-11-01,前場,919.40,920.85,916.81,918.60
2010-10-29,後場,914.84,922.79,914.84,922.20
2010-10-29,前場,924.58,926.39,914.79,915.24
2010-10-28,後場,930.69,932.46,928.11,928.11
2010-10-28,前場,934.32,934.80,931.13,931.32
2010-10-27,後場,939.92,940.10,933.95,936.31
2010-10-27,前場,938.99,941.98,937.52,941.02
2010-10-26,後場,937.49,941.36,936.73,937.09
2010-10-26,前場,936.85,941.35,936.43,937.58
2010-10-25,後場,938.50,942.19,938.32,938.32
2010-10-25,前場,942.78,944.14,938.36,938.55
2010-10-22,後場,940.50,943.93,940.32,941.95
2010-10-22,前場,936.29,941.14,936.24,940.56
2010-10-21,後場,936.47,937.45,935.09,936.89
2010-10-21,前場,943.98,943.98,933.59,937.26
2010-10-20,後場,938.25,944.73,938.25,941.99
2010-10-20,前場,942.91,943.10,934.69,936.96
2010-10-19,後場,954.18,954.65,950.18,950.94
2010-10-19,前場,949.94,958.22,949.94,955.32
2010-10-18,後場,952.47,952.49,948.89,951.34
2010-10-18,前場,943.17,954.13,943.17,954.12
2010-10-15,後場,949.10,949.66,942.66,944.10
2010-10-15,前場,952.95,953.10,945.74,947.86
2010-10-14,後場,954.44,958.49,952.84,956.00
2010-10-14,前場,952.63,958.40,952.14,956.74
2010-10-13,後場,954.42,954.70,946.61,947.00
2010-10-13,前場,951.14,956.04,948.70,954.18
2010-10-12,後場,959.87,960.05,948.15,948.15
2010-10-12,前場,977.39,977.65,960.03,960.05
