日付,始値,高値,安値,終値
2017-12-22,2613.39,2622.23,2611.27,2620.25
2017-12-21,2595.03,2612.69,2593.39,2612.57
2017-12-20,2595.49,2605.07,2592.33,2600.22
2017-12-19,2609.77,2609.77,2593.87,2595.76
2017-12-18,2610.51,2611.69,2597.10,2608.63
2017-12-15,2594.96,2603.95,2579.52,2595.07
2017-12-14,2585.54,2601.05,2584.15,2600.65
2017-12-13,2590.36,2593.33,2574.47,2580.58
2017-12-12,2595.08,2604.04,2583.94,2587.29
2017-12-11,2591.33,2591.33,2573.38,2590.14
2017-12-08,2556.03,2584.36,2556.03,2584.36
2017-12-07,2526.78,2565.42,2526.78,2563.64
2017-12-06,2536.55,2551.58,2512.38,2517.18
2017-12-05,2532.08,2544.69,2519.55,2543.37
2017-12-04,2562.59,2571.29,2543.73,2543.73
2017-12-01,2566.48,2568.95,2549.14,2557.58
2017-11-30,2550.83,2559.29,2528.12,2558.08
2017-11-29,2547.12,2555.74,2542.35,2553.05
2017-11-28,2541.28,2542.29,2521.05,2533.13
2017-11-27,2551.78,2551.78,2535.09,2539.70
2017-11-24,2518.52,2542.86,2517.83,2539.35
2017-11-22,2529.66,2534.96,2524.87,2528.08
2017-11-21,2507.75,2522.46,2504.31,2518.12
2017-11-20,2473.22,2499.07,2472.06,2496.54
2017-11-17,2492.14,2493.07,2470.61,2477.22
2017-11-16,2427.12,2481.31,2427.12,2470.19
2017-11-15,2486.16,2486.90,2431.55,2439.06
2017-11-14,2508.20,2513.33,2497.33,2498.06
2017-11-13,2515.70,2518.25,2509.56,2510.70
2017-11-10,2499.44,2519.96,2499.44,2517.67
2017-11-09,2535.19,2551.30,2494.60,2523.90
2017-11-08,2515.69,2530.28,2507.82,2530.28
2017-11-07,2500.85,2519.93,2500.85,2519.93
2017-11-06,2515.33,2517.73,2506.57,2508.89
2017-11-02,2512.56,2513.49,2500.30,2510.43
2017-11-01,2503.29,2511.28,2491.65,2509.75
2017-10-31,2485.07,2498.27,2481.49,2495.68
2017-10-30,2477.26,2485.12,2471.73,2485.12
2017-10-27,2457.92,2475.66,2456.95,2474.84
2017-10-26,2439.25,2455.92,2438.18,2451.50
2017-10-25,2455.49,2458.48,2438.15,2442.57
2017-10-24,2430.68,2451.72,2430.63,2451.72
2017-10-23,2433.19,2434.23,2424.21,2431.79
2017-10-20,2404.40,2419.56,2404.34,2415.21
2017-10-19,2414.62,2420.30,2410.01,2412.16
2017-10-18,2421.02,2424.46,2409.09,2413.63
2017-10-17,2426.19,2426.63,2418.21,2425.05
2017-10-16,2421.89,2431.13,2420.11,2424.13
2017-10-13,2405.88,2422.80,2402.53,2418.89
2017-10-12,2400.57,2413.26,2400.10,2409.20
2017-10-11,2395.75,2398.67,2388.58,2392.92
2017-10-10,2373.53,2393.77,2373.53,2393.77
2017-10-06,2380.04,2382.82,2367.65,2372.95
2017-10-05,2382.37,2389.65,2375.08,2377.03
2017-10-04,2390.66,2391.34,2381.13,2383.88
2017-10-03,2394.79,2394.79,2383.85,2388.40
2017-10-02,2394.26,2394.51,2383.76,2386.61
2017-09-29,2377.36,2386.35,2375.45,2385.12
2017-09-28,2364.51,2379.15,2355.64,2379.14
2017-09-27,2353.56,2356.07,2342.99,2354.74
2017-09-26,2350.93,2358.17,2348.60,2357.61
2017-09-25,2347.33,2357.79,2346.45,2355.63
2017-09-22,2348.56,2352.65,2331.01,2336.94
2017-09-21,2361.58,2362.38,2348.18,2350.62
2017-09-20,2365.48,2368.06,2354.02,2357.26
2017-09-19,2356.02,2367.53,2350.84,2367.32
2017-09-15,2324.87,2341.92,2324.87,2341.92
2017-09-14,2338.41,2343.06,2323.59,2327.63
2017-09-13,2328.03,2337.59,2325.74,2335.50
2017-09-12,2321.47,2321.87,2312.50,2318.90
2017-09-11,2296.92,2310.30,2295.92,2303.64
2017-09-08,2275.55,2287.93,2272.74,2277.61
2017-09-07,2278.21,2290.99,2269.01,2280.63
2017-09-06,2230.43,2269.28,2223.55,2266.29
2017-09-05,2293.48,2293.62,2247.90,2248.45
2017-09-04,2318.80,2320.26,2285.22,2290.70
2017-09-01,2326.41,2331.63,2317.69,2327.43
2017-08-31,2315.65,2321.69,2313.27,2319.47
2017-08-30,2311.22,2313.76,2296.76,2310.93
2017-08-29,2282.24,2302.95,2282.24,2300.86
2017-08-28,2291.70,2298.12,2286.56,2298.12
2017-08-25,2285.87,2287.64,2279.04,2285.31
2017-08-24,2280.17,2289.70,2280.17,2281.70
2017-08-23,2293.58,2293.58,2277.45,2280.78
2017-08-22,2271.62,2280.91,2269.88,2274.28
2017-08-21,2274.14,2278.31,2266.38,2272.62
2017-08-18,2265.35,2275.73,2263.48,2268.56
2017-08-17,2288.72,2296.35,2288.07,2291.36
2017-08-16,2283.61,2292.77,2280.02,2286.59
2017-08-15,2275.65,2288.48,2274.57,2282.49
2017-08-14,2264.83,2269.59,2253.46,2259.26
2017-08-10,2282.70,2294.61,2278.06,2286.95
2017-08-09,2300.71,2301.15,2271.70,2282.87
2017-08-08,2309.62,2314.61,2299.05,2305.50
2017-08-07,2306.54,2309.29,2299.36,2306.93
2017-08-04,2282.40,2297.25,2277.95,2295.59
2017-08-03,2284.28,2287.12,2274.64,2285.40
2017-08-02,2277.70,2290.70,2270.16,2286.84
2017-08-01,2277.98,2281.09,2262.07,2272.88
2017-07-31,2286.39,2287.45,2273.23,2279.75
