日付,時刻,始値,高値,安値,終値
2010-12-30,後場,1122.80,1129.80,1122.80,1126.40
2010-12-30,前場,1132.59,1133.01,1122.12,1122.12
2010-12-29,後場,1128.58,1133.87,1128.58,1133.87
2010-12-29,前場,1121.47,1127.00,1121.44,1127.00
2010-12-28,後場,1121.51,1122.86,1120.93,1122.06
2010-12-28,前場,1120.21,1122.36,1120.05,1122.21
2010-12-27,後場,1119.98,1121.49,1119.60,1120.83
2010-12-27,前場,1119.05,1122.17,1119.05,1120.64
2010-12-24,後場,1121.38,1121.92,1120.76,1121.43
2010-12-24,前場,1126.86,1127.20,1122.34,1122.34
2010-12-22,後場,1135.16,1135.16,1127.76,1130.02
2010-12-22,前場,1136.26,1137.54,1134.97,1135.06
2010-12-21,後場,1136.89,1139.31,1135.66,1135.66
2010-12-21,前場,1133.21,1135.50,1132.94,1135.50
2010-12-20,後場,1136.91,1136.91,1129.61,1132.74
2010-12-20,前場,1141.46,1141.87,1139.63,1139.87
2010-12-17,後場,1140.38,1141.48,1137.97,1141.08
2010-12-17,前場,1137.21,1142.14,1137.20,1140.85
2010-12-16,後場,1138.03,1140.24,1136.83,1137.17
2010-12-16,前場,1133.14,1138.60,1131.94,1138.57
2010-12-15,後場,1129.55,1135.62,1128.13,1135.62
2010-12-15,前場,1132.86,1133.65,1130.05,1130.05
2010-12-14,後場,1124.46,1129.66,1123.83,1129.66
2010-12-14,前場,1120.09,1125.19,1120.09,1124.30
2010-12-13,後場,1108.40,1118.35,1108.40,1118.35
2010-12-13,前場,1100.88,1108.25,1099.95,1108.15
2010-12-10,後場,1101.47,1103.16,1100.49,1101.16
2010-12-10,前場,1105.46,1105.46,1099.48,1102.03
2010-12-09,後場,1098.89,1102.12,1098.44,1101.34
2010-12-09,前場,1101.01,1102.91,1099.16,1099.31
2010-12-08,後場,1092.66,1099.40,1092.47,1099.40
2010-12-08,前場,1087.53,1095.42,1087.53,1093.46
2010-12-07,後場,1080.10,1085.55,1079.74,1085.55
2010-12-07,前場,1080.11,1080.37,1075.79,1079.09
2010-12-06,後場,1075.12,1080.22,1075.03,1080.22
2010-12-06,前場,1069.57,1076.27,1069.57,1075.41
2010-12-03,後場,1066.85,1067.95,1065.76,1067.51
2010-12-03,前場,1070.05,1070.67,1067.16,1067.16
2010-12-02,後場,1065.92,1066.00,1063.57,1063.57
2010-12-02,前場,1063.47,1064.84,1061.50,1064.49
2010-12-01,後場,1043.11,1049.06,1043.11,1048.62
