日付,始値,高値,安値,終値
2011-12-30,1038.22,1046.81,1037.39,1046.81
2011-12-29,1030.82,1034.91,1026.87,1034.39
2011-12-28,1034.27,1035.63,1031.27,1031.52
2011-12-27,1033.55,1035.69,1033.38,1035.61
2011-12-26,1043.37,1043.39,1036.86,1037.35
2011-12-22,1042.74,1043.53,1037.51,1037.85
2011-12-21,1044.86,1045.42,1040.53,1042.33
2011-12-20,1029.86,1036.79,1027.96,1036.45
2011-12-19,1031.89,1032.18,1021.64,1027.58
2011-12-16,1046.69,1047.71,1033.91,1033.91
2011-12-15,1053.98,1054.12,1043.00,1043.00
2011-12-14,1061.90,1062.89,1057.71,1057.71
2011-12-13,1056.81,1065.04,1056.10,1063.70
2011-12-12,1063.46,1068.22,1063.35,1064.39
2011-12-09,1046.21,1053.83,1045.71,1053.09
2011-12-08,1054.45,1055.05,1050.33,1053.73
2011-12-07,1043.71,1057.71,1043.56,1056.24
2011-12-06,1056.47,1056.95,1039.54,1039.54
2011-12-05,1054.47,1059.08,1053.49,1058.76
2011-12-02,1047.09,1049.62,1045.96,1049.54
2011-12-01,1048.19,1050.95,1041.86,1044.67
2011-11-30,1030.91,1036.43,1027.35,1035.52
2011-11-29,1019.50,1035.29,1018.86,1035.29
2011-11-28,1005.45,1015.14,1005.45,1011.74
2011-11-25,1006.42,1009.89,1001.26,1001.26
2011-11-24,1009.13,1009.43,1004.82,1006.28
2011-11-22,1006.91,1020.55,1006.86,1020.55
2011-11-21,1013.23,1015.04,1011.84,1015.04
2011-11-18,1011.92,1016.18,1010.44,1015.19
2011-11-17,1009.77,1021.81,1005.97,1021.02
2011-11-16,1023.88,1024.14,1012.36,1012.80
2011-11-15,1025.62,1027.51,1023.77,1024.97
2011-11-14,1029.77,1031.25,1027.08,1029.59
2011-11-11,1024.06,1024.81,1015.82,1021.82
2011-11-10,1028.33,1028.37,1019.77,1025.02
2011-11-09,1036.37,1045.79,1034.50,1045.79
2011-11-08,1046.41,1049.29,1031.13,1031.13
2011-11-07,1049.98,1051.89,1045.40,1051.89
2011-11-04,1042.12,1051.87,1041.76,1051.70
2011-11-02,1041.23,1041.60,1032.83,1037.38
2011-11-01,1056.40,1058.69,1051.81,1052.91
2011-10-31,1066.65,1076.09,1062.14,1062.14
2011-10-28,1075.80,1078.43,1065.89,1065.89
2011-10-27,1051.55,1063.67,1044.67,1063.67
2011-10-26,1043.65,1053.22,1039.10,1050.28
2011-10-25,1065.34,1066.38,1049.49,1050.44
2011-10-24,1055.78,1063.36,1055.78,1063.36
2011-10-21,1049.95,1051.58,1047.34,1048.59
2011-10-20,1056.52,1056.75,1047.79,1049.70
2011-10-19,1069.53,1070.32,1058.69,1059.70
2011-10-18,1066.77,1069.62,1062.23,1062.23
2011-10-17,1070.76,1076.03,1068.38,1074.55
2011-10-14,1068.28,1069.10,1058.51,1058.51
2011-10-13,1083.40,1083.88,1077.56,1077.81
2011-10-12,1067.93,1077.16,1065.59,1075.20
2011-10-11,1068.82,1077.34,1068.82,1074.78
2011-10-07,1057.25,1066.23,1057.19,1057.62
2011-10-06,1041.87,1053.57,1041.87,1051.34
2011-10-05,1065.83,1066.27,1033.70,1033.70
2011-10-04,1065.12,1065.12,1056.80,1062.11
2011-10-03,1084.70,1085.04,1064.01,1074.98
2011-09-30,1104.86,1104.86,1088.07,1100.81
2011-09-29,1072.73,1101.53,1072.61,1101.53
2011-09-28,1052.96,1079.99,1052.96,1079.99
2011-09-27,1035.94,1053.01,1035.94,1053.01
2011-09-26,1048.17,1048.17,1021.32,1021.32
2011-09-22,1057.68,1057.76,1045.05,1050.53
2011-09-21,1073.20,1074.08,1063.90,1063.90
2011-09-20,1081.93,1081.95,1070.98,1070.98
2011-09-16,1071.34,1094.60,1071.22,1094.60
2011-09-15,1058.90,1065.51,1058.76,1064.64
2011-09-14,1065.70,1070.61,1047.59,1048.44
2011-09-13,1057.10,1066.22,1055.38,1063.79
2011-09-12,1058.15,1058.35,1051.01,1053.07
2011-09-09,1070.82,1079.13,1070.74,1072.87
2011-09-08,1078.61,1079.99,1070.62,1074.98
2011-09-07,1066.54,1071.73,1066.21,1071.23
2011-09-06,1072.72,1073.19,1055.78,1058.62
2011-09-05,1078.78,1079.94,1073.89,1076.45
2011-09-02,1087.23,1090.23,1082.79,1089.23
2011-09-01,1093.73,1096.65,1090.73,1094.09
2011-08-31,1086.68,1088.77,1081.88,1088.11
2011-08-30,1081.56,1087.18,1081.04,1086.57
2011-08-29,1063.96,1073.97,1058.85,1070.42
2011-08-26,1052.98,1061.54,1052.27,1061.54
2011-08-25,1050.78,1061.76,1050.53,1051.64
2011-08-24,1057.24,1060.77,1038.78,1039.81
2011-08-23,1042.35,1049.24,1039.74,1047.55
2011-08-22,1047.01,1051.55,1033.60,1033.60
2011-08-19,1047.17,1052.85,1047.17,1050.07
2011-08-18,1076.65,1076.68,1063.40,1064.82
2011-08-17,1069.96,1076.72,1066.60,1075.44
2011-08-16,1071.16,1074.77,1067.43,1070.98
2011-08-15,1073.63,1074.77,1063.41,1066.37
2011-08-12,1075.95,1076.30,1057.60,1060.35
2011-08-11,1039.16,1063.18,1037.74,1063.18
2011-08-10,1062.05,1065.69,1054.12,1055.70
2011-08-09,1026.26,1041.95,1000.32,1041.95
2011-08-08,1060.92,1063.98,1046.58,1048.17
2011-08-05,1082.31,1082.34,1064.21,1074.13
2011-08-04,1108.73,1114.37,1105.32,1106.07
2011-08-03,1113.73,1113.99,1104.05,1104.31
2011-08-02,1135.97,1135.97,1127.29,1127.71
2011-08-01,1127.68,1144.32,1127.68,1141.33
2011-07-29,1134.67,1137.22,1126.21,1126.21
2011-07-28,1141.45,1141.69,1132.10,1138.43
2011-07-27,1156.91,1156.91,1146.45,1151.08
2011-07-26,1157.90,1164.62,1157.79,1161.45
2011-07-25,1160.31,1160.83,1156.99,1156.99
2011-07-22,1158.25,1161.40,1154.91,1161.16
2011-07-21,1157.82,1158.29,1152.51,1153.23
