日付,時刻,始値,高値,安値,終値
2017-12-12,後場,3172.14,3183.90,3172.14,3176.59
2017-12-12,前場,3177.54,3178.82,3166.73,3170.87
2017-12-11,後場,3197.99,3197.99,3179.77,3179.77
2017-12-11,前場,3186.48,3202.14,3186.48,3200.23
2017-12-08,後場,3204.46,3208.98,3196.71,3196.71
2017-12-08,前場,3232.87,3232.87,3202.20,3202.85
2017-12-07,後場,3233.90,3236.84,3226.06,3228.35
2017-12-07,前場,3249.59,3249.59,3228.68,3230.31
2017-12-06,後場,3252.40,3274.31,3252.40,3266.90
2017-12-06,前場,3231.15,3240.17,3227.93,3238.88
2017-12-05,後場,3226.66,3226.66,3215.36,3220.84
2017-12-05,前場,3240.21,3245.38,3231.50,3231.82
2017-12-04,後場,3211.89,3230.20,3211.25,3228.27
2017-12-04,前場,3202.90,3216.71,3200.66,3213.82
2017-12-01,後場,3216.73,3221.23,3204.17,3210.93
2017-12-01,前場,3197.41,3227.67,3191.62,3222.84
2017-11-30,後場,3234.48,3234.81,3212.20,3218.98
2017-11-30,前場,3226.73,3242.24,3226.41,3234.81
2017-11-29,後場,3234.85,3237.46,3229.64,3229.64
2017-11-29,前場,3234.20,3237.78,3228.67,3231.27
2017-11-28,後場,3250.17,3260.56,3250.17,3255.36
2017-11-28,前場,3248.87,3264.45,3239.45,3244.32
2017-11-27,後場,3242.71,3252.43,3241.41,3246.92
2017-11-27,前場,3225.21,3247.24,3225.21,3242.71
2017-11-24,後場,3249.85,3252.12,3237.52,3239.79
2017-11-24,前場,3261.86,3264.46,3252.77,3252.77
2017-11-22,後場,3237.82,3248.89,3235.54,3246.28
2017-11-22,前場,3238.79,3244.98,3231.63,3238.79
2017-11-21,後場,3251.46,3257.36,3243.92,3257.36
2017-11-21,前場,3257.03,3260.97,3243.26,3250.15
2017-11-20,後場,3282.27,3284.56,3273.77,3278.67
2017-11-20,前場,3284.23,3289.47,3271.15,3282.27
2017-11-17,後場,3262.31,3280.65,3259.03,3271.15
2017-11-17,前場,3245.93,3272.79,3237.09,3272.13
2017-11-16,後場,3292.62,3298.24,3261.52,3275.08
2017-11-16,前場,3320.08,3320.08,3288.98,3289.31
2017-11-15,後場,3288.71,3315.31,3286.76,3308.50
2017-11-15,前場,3264.37,3293.90,3264.37,3290.33
2017-11-14,後場,3237.46,3246.85,3230.34,3244.90
2017-11-14,前場,3241.34,3249.76,3230.66,3241.02
2017-11-13,後場,3222.70,3236.49,3218.21,3236.49
2017-11-13,前場,3213.08,3226.87,3211.16,3222.06
2017-11-10,後場,3211.44,3214.63,3199.98,3206.35
2017-11-10,前場,3219.72,3225.13,3201.89,3217.49
2017-11-09,後場,3143.72,3221.86,3133.24,3184.06
2017-11-09,前場,3166.27,3167.86,3130.70,3131.34
2017-11-08,後場,3189.49,3189.81,3176.12,3176.12
