日付,始値,高値,安値,終値
2017-12-22,3160.01,3161.91,3149.57,3151.47
2017-12-21,3167.60,3178.36,3161.27,3162.54
2017-12-20,3175.87,3177.14,3163.80,3165.07
2017-12-19,3164.77,3177.13,3162.86,3175.55
2017-12-18,3188.15,3192.01,3169.83,3170.79
2017-12-15,3199.52,3225.99,3195.38,3214.51
2017-12-14,3187.40,3197.59,3181.99,3188.68
2017-12-13,3173.41,3192.16,3170.87,3183.90
2017-12-12,3177.54,3183.90,3166.73,3176.59
2017-12-11,3186.48,3202.14,3179.77,3179.77
2017-12-08,3232.87,3232.87,3196.71,3196.71
2017-12-07,3249.59,3249.59,3226.06,3228.35
2017-12-06,3231.15,3274.31,3227.93,3266.90
2017-12-05,3240.21,3245.38,3215.36,3220.84
2017-12-04,3202.90,3230.20,3200.66,3228.27
2017-12-01,3197.41,3227.67,3191.62,3210.93
2017-11-30,3226.73,3242.24,3212.20,3218.98
2017-11-29,3234.20,3237.78,3228.67,3229.64
2017-11-28,3248.87,3264.45,3239.45,3255.36
2017-11-27,3225.21,3252.43,3225.21,3246.92
2017-11-24,3261.86,3264.46,3237.52,3239.79
2017-11-22,3238.79,3248.89,3231.63,3246.28
2017-11-21,3257.03,3260.97,3243.26,3257.36
2017-11-20,3284.23,3289.47,3271.15,3278.67
2017-11-17,3245.93,3280.65,3237.09,3271.15
2017-11-16,3320.08,3320.08,3261.52,3275.08
2017-11-15,3264.37,3315.31,3264.37,3308.50
2017-11-14,3241.34,3249.76,3230.34,3244.90
2017-11-13,3213.08,3236.49,3211.16,3236.49
2017-11-10,3219.72,3225.13,3199.98,3206.35
2017-11-09,3166.27,3221.86,3130.70,3184.06
2017-11-08,3190.76,3199.68,3176.12,3176.12
2017-11-07,3225.31,3225.95,3183.76,3183.76
2017-11-06,3211.15,3234.96,3208.58,3220.80
2017-11-02,3219.20,3237.30,3217.91,3218.23
2017-11-01,3252.74,3255.03,3226.91,3231.48
2017-10-31,3273.65,3282.78,3265.50,3269.74
2017-10-30,3262.24,3276.91,3257.35,3260.61
2017-10-27,3276.42,3284.32,3259.30,3260.28
2017-10-26,3301.79,3302.78,3287.94,3292.55
2017-10-25,3275.48,3305.39,3272.52,3297.17
2017-10-24,3310.80,3312.79,3286.98,3286.98
2017-10-23,3304.81,3315.82,3304.81,3309.15
2017-10-20,3350.53,3351.20,3333.51,3337.18
2017-10-19,3337.17,3345.88,3330.81,3338.18
2017-10-18,3348.23,3355.60,3345.21,3348.56
2017-10-17,3343.52,3362.66,3339.82,3350.91
2017-10-16,3371.48,3374.52,3349.17,3358.97
2017-10-13,3402.68,3407.10,3370.07,3379.93
2017-10-12,3391.47,3399.98,3390.45,3396.91
2017-10-11,3409.17,3415.31,3402.70,3403.72
2017-10-10,3429.04,3429.72,3407.13,3407.13
2017-10-06,3421.16,3429.40,3416.35,3423.22
2017-10-05,3426.66,3435.92,3423.23,3432.83
2017-10-04,3423.57,3434.89,3419.80,3428.72
2017-10-03,3437.68,3446.31,3428.02,3429.06
2017-10-02,3442.53,3456.67,3442.18,3451.49
2017-09-29,3454.25,3461.83,3448.39,3449.08
2017-09-28,3448.05,3462.98,3444.93,3446.32
2017-09-27,3470.96,3482.01,3469.23,3470.96
2017-09-26,3458.53,3460.94,3450.24,3453.69
2017-09-25,3451.96,3458.55,3446.41,3453.69
2017-09-22,3457.89,3480.04,3451.31,3470.70
2017-09-21,3441.60,3462.73,3439.18,3462.04
2017-09-20,3468.27,3469.31,3456.50,3463.77
2017-09-19,3490.57,3491.27,3461.65,3463.77
2017-09-15,3547.07,3547.78,3521.93,3526.18
2017-09-14,3530.81,3543.16,3518.45,3541.05
2017-09-13,3532.59,3535.78,3525.13,3529.75
2017-09-12,3554.64,3557.50,3545.32,3551.41
2017-09-11,3594.18,3596.72,3572.05,3585.11
2017-09-08,3623.57,3634.78,3614.89,3627.55
2017-09-07,3616.70,3624.68,3599.99,3617.06
2017-09-06,3656.30,3660.66,3627.59,3631.22
2017-09-05,3602.41,3638.10,3601.32,3634.13
2017-09-04,3583.16,3610.65,3578.52,3605.29
2017-09-01,3561.37,3584.61,3560.66,3569.95
2017-08-31,3582.87,3582.87,3567.77,3574.60
2017-08-30,3601.25,3611.38,3587.49,3596.54
2017-08-29,3637.77,3638.13,3616.45,3618.98
2017-08-28,3612.11,3625.14,3605.59,3613.56
2017-08-25,3625.89,3629.16,3611.73,3620.80
2017-08-24,3622.30,3631.70,3611.82,3631.70
2017-08-23,3589.36,3617.62,3589.36,3613.99
2017-08-22,3625.96,3629.58,3613.63,3623.05
2017-08-21,3613.28,3631.74,3613.28,3625.23
2017-08-18,3623.74,3630.90,3613.00,3620.16
2017-08-17,3581.48,3586.84,3573.60,3581.48
2017-08-16,3578.61,3583.26,3571.45,3578.97
2017-08-15,3589.10,3592.72,3564.87,3578.61
2017-08-14,3610.88,3623.04,3599.43,3617.32
2017-08-10,3573.32,3587.62,3562.95,3577.25
2017-08-09,3548.22,3591.74,3545.04,3575.82
2017-08-08,3526.67,3545.73,3524.20,3537.96
2017-08-07,3527.00,3533.74,3522.75,3529.49
2017-08-04,3551.12,3556.43,3542.26,3546.51
2017-08-03,3540.49,3554.30,3538.37,3541.20
2017-08-02,3538.01,3551.15,3530.90,3540.14
2017-08-01,3574.38,3574.74,3552.22,3552.93
2017-07-31,3574.38,3579.02,3561.18,3574.74
2017-07-28,3562.27,3576.85,3560.49,3569.03
2017-07-27,3571.57,3573.00,3535.52,3556.58
2017-07-26,3554.40,3577.66,3553.33,3569.79
2017-07-25,3570.17,3578.38,3561.25,3578.38
2017-07-24,3574.78,3585.78,3562.71,3568.39
