日付,時刻,始値,高値,安値,終値
2016-12-30,後場,1870.97,1877.97,1870.61,1874.45
2016-12-30,前場,1863.09,1867.77,1860.56,1867.63
2016-12-29,後場,1875.41,1875.53,1865.52,1871.15
2016-12-29,前場,1883.55,1883.57,1870.74,1876.45
2016-12-28,後場,1890.43,1894.36,1888.99,1890.61
2016-12-28,前場,1889.18,1890.41,1886.68,1890.07
2016-12-27,後場,1898.43,1898.69,1889.88,1891.84
2016-12-27,前場,1892.63,1900.62,1892.24,1897.22
2016-12-26,後場,1895.89,1897.89,1894.65,1894.74
2016-12-26,前場,1892.68,1896.32,1891.72,1895.65
2016-12-22,後場,1890.79,1893.75,1887.50,1893.75
2016-12-22,前場,1891.68,1893.14,1888.51,1892.95
2016-12-21,後場,1903.62,1905.32,1891.94,1895.18
2016-12-21,前場,1908.46,1909.67,1904.02,1904.64
2016-12-20,後場,1899.24,1909.13,1899.24,1906.88
2016-12-20,前場,1893.73,1899.11,1892.61,1898.38
2016-12-19,後場,1891.35,1896.40,1890.70,1895.75
2016-12-19,前場,1890.40,1894.14,1887.03,1891.06
2016-12-16,後場,1890.04,1893.79,1887.81,1892.03
2016-12-16,前場,1898.37,1898.55,1889.05,1890.84
2016-12-15,後場,1884.01,1893.28,1880.15,1886.29
2016-12-15,前場,1886.34,1896.69,1882.01,1883.08
2016-12-14,後場,1884.17,1887.70,1882.23,1882.87
2016-12-14,前場,1885.78,1890.02,1882.18,1883.54
2016-12-13,後場,1871.68,1884.12,1870.15,1883.62
2016-12-13,前場,1867.67,1875.49,1863.73,1871.04
2016-12-12,後場,1863.34,1869.46,1857.28,1867.36
2016-12-12,前場,1867.96,1873.94,1862.79,1866.00
2016-12-09,後場,1848.81,1854.73,1845.83,1852.42
2016-12-09,前場,1838.14,1851.21,1835.81,1848.46
2016-12-08,後場,1827.91,1839.86,1826.33,1839.86
2016-12-08,前場,1834.88,1837.61,1828.16,1829.37
2016-12-07,後場,1812.69,1819.58,1812.14,1819.36
2016-12-07,前場,1817.60,1820.29,1810.36,1812.60
2016-12-06,後場,1809.69,1813.85,1808.16,1811.55
2016-12-06,前場,1822.43,1824.10,1809.96,1813.14
2016-12-05,後場,1808.89,1809.18,1802.66,1808.02
2016-12-05,前場,1812.24,1816.42,1808.56,1808.56
2016-12-02,後場,1824.29,1824.29,1813.09,1820.16
2016-12-02,前場,1833.21,1836.08,1822.65,1825.16
2016-12-01,後場,1857.77,1859.87,1836.94,1842.57
2016-12-01,前場,1850.99,1862.56,1848.68,1859.13
2016-11-30,後場,1834.92,1835.14,1830.21,1834.65
2016-11-30,前場,1835.63,1837.12,1831.07,1834.50
2016-11-29,後場,1833.02,1833.30,1830.27,1831.81
2016-11-29,前場,1825.12,1833.33,1825.12,1833.02
2016-11-28,後場,1821.86,1832.96,1821.45,1830.97
2016-11-28,前場,1821.36,1825.50,1818.17,1819.88
2016-11-25,後場,1831.95,1832.46,1819.60,1828.33
2016-11-25,前場,1826.84,1834.05,1826.84,1833.28
2016-11-24,後場,1824.01,1826.48,1820.56,1820.99
2016-11-24,前場,1822.84,1824.46,1818.30,1821.79
2016-11-22,後場,1810.37,1810.84,1807.30,1809.37
