日付,始値,高値,安値,終値
2015-12-30,1929.64,1933.44,1924.69,1927.32
2015-12-29,1899.66,1922.33,1891.73,1920.56
2015-12-28,1899.07,1905.50,1889.00,1901.89
2015-12-25,1896.11,1902.96,1889.30,1892.23
2015-12-24,1927.99,1928.97,1893.04,1894.67
2015-12-22,1913.31,1917.96,1904.95,1912.55
2015-12-21,1904.24,1916.05,1883.84,1909.51
2015-12-18,1946.39,1988.67,1916.37,1916.37
2015-12-17,1944.71,1959.80,1941.31,1947.54
2015-12-16,1898.75,1913.51,1894.60,1913.07
2015-12-15,1899.87,1903.48,1869.48,1869.88
2015-12-14,1890.93,1900.95,1871.36,1899.48
2015-12-11,1907.58,1931.87,1907.58,1925.20
2015-12-10,1911.58,1920.74,1909.63,1911.80
2015-12-09,1942.27,1951.76,1928.95,1931.87
2015-12-08,1971.00,1977.82,1949.02,1950.80
2015-12-07,1969.91,1978.74,1967.44,1968.66
2015-12-04,1956.21,1960.79,1945.41,1950.90
2015-12-03,1988.19,1991.88,1982.64,1988.84
2015-12-02,1988.30,1995.80,1986.49,1989.79
2015-12-01,1969.90,1989.74,1968.94,1989.74
2015-11-30,1978.04,1979.24,1963.71,1965.55
2015-11-27,1993.30,1993.30,1974.69,1979.07
2015-11-26,1986.34,1996.20,1986.34,1989.84
2015-11-25,1984.24,1984.60,1974.12,1979.83
2015-11-24,1984.73,1994.08,1981.30,1991.76
2015-11-20,1971.55,1985.31,1967.52,1985.31
2015-11-19,1978.92,1986.85,1968.01,1975.94
2015-11-18,1969.98,1976.97,1959.25,1960.70
2015-11-17,1964.66,1966.94,1958.33,1958.33
2015-11-16,1927.68,1948.06,1927.05,1941.80
2015-11-13,1949.07,1961.09,1943.46,1960.60
2015-11-12,1963.65,1973.62,1962.08,1968.10
2015-11-11,1951.45,1971.72,1951.45,1967.49
2015-11-10,1939.52,1957.15,1939.52,1956.61
2015-11-09,1943.32,1960.99,1941.56,1957.91
2015-11-06,1926.32,1933.39,1922.26,1930.39
2015-11-05,1909.48,1923.37,1907.09,1918.61
2015-11-04,1910.15,1918.87,1899.53,1899.53
2015-11-02,1899.67,1901.62,1881.97,1886.34
2015-10-30,1904.36,1933.45,1896.62,1921.27
2015-10-29,1912.34,1914.54,1889.61,1902.04
2015-10-28,1894.75,1902.29,1889.99,1898.35
2015-10-27,1908.25,1910.62,1892.09,1892.89
2015-10-26,1915.65,1918.99,1906.29,1906.99
2015-10-23,1886.79,1899.01,1885.29,1892.65
2015-10-22,1855.79,1867.89,1849.90,1854.41
2015-10-21,1833.02,1868.66,1832.31,1865.73
2015-10-20,1845.44,1845.44,1831.60,1836.61
2015-10-19,1845.07,1847.93,1826.94,1834.53
2015-10-16,1848.22,1856.66,1840.30,1844.98
2015-10-15,1798.21,1833.00,1796.09,1829.42
2015-10-14,1823.97,1826.18,1798.92,1802.98
2015-10-13,1845.35,1850.38,1836.56,1839.44
2015-10-09,1827.86,1851.64,1822.38,1851.64
2015-10-08,1829.60,1835.20,1809.98,1812.32
2015-10-07,1819.99,1833.87,1804.55,1829.77
2015-10-06,1832.63,1839.08,1813.60,1818.02
2015-10-05,1797.50,1811.77,1790.14,1805.23
2015-10-02,1759.61,1779.57,1756.61,1777.07
2015-10-01,1749.52,1783.20,1741.17,1774.45
2015-09-30,1721.52,1744.89,1720.05,1737.12
2015-09-29,1743.35,1743.45,1692.69,1696.51
2015-09-28,1780.11,1789.76,1764.06,1773.03
2015-09-25,1758.18,1784.16,1746.99,1784.16
2015-09-24,1776.96,1784.16,1754.53,1754.53
2015-09-18,1817.22,1817.82,1796.68,1798.29
2015-09-17,1819.89,1833.29,1815.08,1829.14
2015-09-16,1814.17,1814.77,1794.55,1803.25
2015-09-15,1804.76,1826.72,1793.49,1793.49
2015-09-14,1824.08,1824.71,1791.57,1794.23
2015-09-11,1801.21,1826.72,1798.81,1815.44
2015-09-10,1812.46,1816.23,1781.53,1814.10
2015-09-09,1770.55,1847.25,1770.55,1847.25
2015-09-08,1785.03,1787.03,1734.60,1736.34
2015-09-07,1767.01,1793.11,1746.74,1780.92
2015-09-04,1835.04,1835.04,1762.51,1781.65
2015-09-03,1836.15,1848.94,1822.15,1822.53
2015-09-02,1791.00,1846.44,1786.22,1810.81
2015-09-01,1885.57,1886.83,1822.12,1822.12
2015-08-31,1902.23,1906.44,1882.58,1898.69
2015-08-28,1892.01,1917.82,1891.29,1911.59
2015-08-27,1862.87,1887.13,1851.02,1856.53
2015-08-26,1791.12,1839.44,1777.16,1830.71
2015-08-25,1797.96,1870.59,1747.39,1774.35
2015-08-24,1906.84,1910.38,1834.47,1834.47
2015-08-21,1970.48,1972.60,1944.25,1944.25
2015-08-20,2023.74,2029.23,2004.64,2004.96
2015-08-19,2051.52,2054.86,2028.32,2028.32
2015-08-18,2067.73,2069.96,2060.09,2060.85
2015-08-17,2061.57,2069.42,2057.47,2065.42
2015-08-14,2051.62,2064.61,2051.25,2055.57
2015-08-13,2041.38,2059.19,2034.13,2056.17
2015-08-12,2069.43,2075.91,2038.96,2051.17
2015-08-11,2095.71,2097.67,2064.18,2078.39
2015-08-10,2061.32,2085.77,2059.17,2085.77
2015-08-07,2058.17,2067.98,2048.86,2066.50
2015-08-06,2070.54,2079.15,2061.85,2061.85
2015-08-05,2043.34,2065.14,2043.13,2054.28
2015-08-04,2036.20,2044.62,2033.51,2044.62
2015-08-03,2033.52,2040.68,2023.42,2040.68
2015-07-31,2023.40,2032.41,2019.71,2032.41
2015-07-30,2026.69,2032.96,2014.27,2018.77
2015-07-29,2021.50,2021.50,2002.87,2013.48
2015-07-28,1998.60,2022.87,1990.43,2012.72
2015-07-27,2030.67,2036.35,2013.15,2020.16
2015-07-24,2047.05,2050.47,2041.57,2045.37
2015-07-23,2047.75,2052.28,2044.46,2052.22
2015-07-22,2046.75,2048.29,2037.79,2039.73
2015-07-21,2056.24,2061.76,2051.90,2061.20
2015-07-17,2045.85,2046.15,2041.18,2044.97
2015-07-16,2036.08,2043.36,2032.43,2043.16
2015-07-15,2021.72,2025.86,2016.25,2025.54
2015-07-14,2011.95,2017.24,2005.74,2012.15
2015-07-13,1965.64,1986.88,1963.75,1983.82
2015-07-10,1953.68,1972.60,1940.73,1946.50
2015-07-09,1915.34,1948.22,1880.49,1947.11
2015-07-08,2003.75,2005.05,1949.30,1949.30
2015-07-07,2010.17,2016.36,2008.96,2010.14
2015-07-06,1989.82,2002.78,1979.51,1986.76
2015-07-03,2016.03,2023.17,2011.43,2020.29
2015-07-02,2023.66,2028.43,2014.03,2017.23
2015-07-01,1997.30,2005.37,1990.57,2003.54
2015-06-30,1984.96,1993.89,1982.71,1992.89
2015-06-29,1993.67,2000.15,1979.30,1981.58
2015-06-26,2035.03,2039.67,2023.33,2033.20
2015-06-25,2041.37,2048.86,2039.60,2039.63
2015-06-24,2055.65,2058.52,2050.92,2052.16
2015-06-23,2029.60,2048.63,2026.77,2048.63
2015-06-22,1998.71,2017.46,1998.71,2017.10
2015-06-19,1994.98,2002.89,1989.48,1999.53
2015-06-18,1994.47,1996.51,1977.92,1977.92
2015-06-17,2006.89,2009.52,1990.32,1996.13
2015-06-16,2004.79,2008.86,1996.86,2000.64
2015-06-15,1993.45,2012.73,1993.45,2011.32
2015-06-12,2010.51,2012.18,2004.50,2010.99
2015-06-11,1993.16,2006.54,1992.54,2006.51
2015-06-10,1987.00,2000.62,1978.28,1979.92
2015-06-09,2002.65,2005.79,1985.72,1985.87
2015-06-08,2030.09,2030.60,2011.80,2017.95
2015-06-05,2020.11,2029.58,2017.21,2027.31
2015-06-04,2033.51,2033.53,2023.71,2029.57
2015-06-03,2031.47,2033.16,2024.69,2030.08
2015-06-02,2041.27,2045.16,2031.58,2038.27
2015-06-01,2021.98,2038.93,2020.26,2036.69
2015-05-29,2032.30,2040.92,2031.06,2034.23
2015-05-28,2036.04,2041.96,2028.57,2034.53
2015-05-27,2018.93,2030.30,2017.08,2025.85
2015-05-26,2024.40,2026.93,2018.91,2022.51
2015-05-25,2020.44,2024.91,2018.12,2023.93
2015-05-22,2012.82,2013.69,2001.31,2012.63
2015-05-21,2015.47,2023.14,2009.02,2011.33
2015-05-20,2005.81,2016.84,2002.46,2010.50
2015-05-19,1988.25,1997.12,1986.19,1991.42
2015-05-18,1972.66,1982.42,1970.49,1982.42
2015-05-15,1959.95,1969.53,1956.61,1968.97
2015-05-14,1955.16,1960.77,1946.15,1947.92
2015-05-13,1947.01,1964.42,1940.77,1962.14
2015-05-12,1957.25,1957.65,1939.57,1955.58
2015-05-11,1965.85,1967.05,1953.31,1954.35
2015-05-08,1935.15,1948.24,1932.50,1941.45
2015-05-07,1936.18,1948.04,1928.42,1932.29
2015-05-01,1957.38,1961.40,1937.79,1952.53
2015-04-30,1992.00,1992.10,1956.82,1960.86
2015-04-28,2005.69,2015.79,2005.68,2010.49
2015-04-27,2000.66,2003.50,1990.29,1999.67
2015-04-24,2005.99,2005.99,1994.25,1997.27
2015-04-23,2014.24,2017.24,2000.15,2008.47
2015-04-22,1996.12,2007.56,1994.52,2003.35
2015-04-21,1968.30,1990.03,1964.90,1990.03
2015-04-20,1948.76,1967.99,1942.87,1957.56
2015-04-17,1980.08,1980.09,1963.75,1964.96
2015-04-16,1985.86,1988.50,1969.50,1986.56
2015-04-15,1983.16,1992.65,1982.91,1986.20
2015-04-14,1985.52,1994.76,1985.40,1991.11
2015-04-13,1998.34,1999.36,1980.30,1990.18
2015-04-10,2006.18,2006.18,1991.43,1995.80
2015-04-09,1999.51,2005.43,1995.25,2002.91
2015-04-08,1990.51,1999.91,1985.32,1993.57
2015-04-07,1977.08,1985.46,1972.32,1980.94
2015-04-06,1949.92,1963.67,1945.34,1962.06
2015-04-03,1946.04,1962.98,1946.04,1962.98
2015-04-02,1930.09,1961.39,1928.31,1948.16
2015-04-01,1927.91,1934.28,1906.27,1919.35
2015-03-31,1979.41,1983.14,1938.72,1938.72
2015-03-30,1951.50,1961.29,1944.59,1957.09
2015-03-27,1951.39,1976.23,1932.06,1949.80
2015-03-26,1976.67,1978.44,1954.70,1962.22
2015-03-25,1988.90,1993.07,1970.89,1991.53
2015-03-24,1987.30,1991.01,1977.10,1986.60
2015-03-23,1983.57,1995.54,1980.45,1992.46
2015-03-20,1970.98,1977.11,1963.28,1976.63
2015-03-19,1975.21,1981.12,1954.09,1970.50
2015-03-18,1960.60,1975.90,1958.90,1974.54
2015-03-17,1957.29,1965.60,1952.02,1960.57
2015-03-16,1942.64,1949.82,1937.04,1941.11
2015-03-13,1933.30,1950.98,1928.28,1943.73
2015-03-12,1903.65,1926.33,1903.32,1924.05
2015-03-11,1887.13,1906.94,1885.54,1898.85
2015-03-10,1910.40,1914.33,1886.32,1894.71
2015-03-09,1905.39,1906.95,1890.59,1899.85
2015-03-06,1892.64,1911.96,1891.94,1911.96
2015-03-05,1878.99,1889.97,1878.16,1889.31
2015-03-04,1884.30,1885.37,1865.99,1882.28
2015-03-03,1896.97,1896.97,1882.73,1893.35
2015-03-02,1891.18,1897.23,1885.53,1887.54
2015-02-27,1885.88,1891.81,1878.31,1884.76
2015-02-26,1863.57,1880.02,1863.57,1880.02
2015-02-25,1872.13,1873.59,1862.42,1866.00
2015-02-24,1857.76,1867.18,1851.25,1867.18
2015-02-23,1864.98,1867.21,1851.42,1859.14
2015-02-20,1850.96,1853.52,1845.56,1852.80
2015-02-19,1834.44,1846.39,1834.44,1844.54
2015-02-18,1821.26,1832.79,1818.97,1832.12
2015-02-17,1799.19,1808.59,1793.89,1806.47
2015-02-16,1808.37,1810.13,1798.80,1802.54
2015-02-13,1793.91,1801.16,1792.32,1796.52
2015-02-12,1792.79,1802.77,1790.74,1796.80
2015-02-10,1768.36,1769.89,1760.65,1769.89
2015-02-09,1777.42,1777.56,1761.69,1768.49
2015-02-06,1770.10,1770.52,1758.90,1761.81
2015-02-05,1762.67,1765.44,1751.13,1753.47
2015-02-04,1759.88,1775.82,1756.35,1764.42
2015-02-03,1776.14,1776.14,1733.51,1740.55
2015-02-02,1758.13,1769.53,1751.68,1766.95
2015-01-30,1786.86,1789.63,1771.76,1771.76
2015-01-29,1779.89,1784.56,1768.14,1770.78
2015-01-28,1773.86,1795.94,1773.86,1791.52
2015-01-27,1774.31,1787.52,1773.08,1787.52
2015-01-26,1739.06,1757.93,1739.06,1757.93
2015-01-23,1763.10,1763.55,1753.88,1758.95
2015-01-22,1750.49,1752.13,1735.46,1745.71
2015-01-21,1750.24,1751.88,1737.61,1748.61
2015-01-20,1727.20,1753.84,1726.95,1753.84
2015-01-19,1722.27,1724.59,1712.37,1722.09
2015-01-16,1698.65,1710.96,1684.70,1710.96
2015-01-15,1706.56,1730.55,1704.12,1726.58
2015-01-14,1710.05,1716.29,1697.59,1699.87
2015-01-13,1701.10,1719.53,1691.90,1719.53
2015-01-09,1729.45,1729.89,1714.46,1720.79
2015-01-08,1711.42,1724.71,1707.22,1717.00
2015-01-07,1685.93,1701.83,1685.74,1691.85
2015-01-06,1711.43,1713.37,1693.14,1693.14
2015-01-05,1737.74,1752.40,1725.62,1741.02
