日付,時刻,始値,高値,安値,終値
2013-12-30,後場,695.43,696.66,694.09,696.54
2013-12-30,前場,695.45,695.94,692.71,695.04
2013-12-27,後場,687.62,690.55,685.44,690.22
2013-12-27,前場,688.89,689.20,683.92,687.94
2013-12-26,後場,685.52,687.57,684.64,685.71
2013-12-26,前場,677.19,686.00,677.12,685.86
2013-12-25,後場,671.52,674.22,670.71,674.10
2013-12-25,前場,671.60,674.26,671.39,671.93
2013-12-24,後場,676.85,676.95,671.95,673.80
2013-12-24,前場,677.89,679.20,676.32,676.59
2013-12-20,後場,673.53,675.67,672.82,675.64
2013-12-20,前場,675.07,676.21,672.76,673.29
2013-12-19,後場,677.27,678.85,675.90,677.89
2013-12-19,前場,678.75,681.15,676.54,677.50
2013-12-18,後場,666.72,670.92,666.47,670.57
2013-12-18,前場,657.02,667.12,657.02,666.56
2013-12-17,後場,657.81,658.04,655.83,658.04
2013-12-17,前場,659.04,659.92,657.15,657.94
2013-12-16,後場,655.95,657.29,653.58,653.88
2013-12-16,前場,659.87,660.44,656.68,658.57
2013-12-13,後場,663.51,667.51,661.72,662.10
2013-12-13,前場,662.51,665.30,657.63,662.10
2013-12-12,後場,660.75,663.99,659.75,663.42
2013-12-12,前場,662.61,664.07,660.46,660.86
2013-12-11,後場,665.65,667.77,662.34,666.10
2013-12-11,前場,666.58,667.67,665.71,666.77
2013-12-10,後場,667.26,669.38,667.16,668.42
2013-12-10,前場,669.05,669.57,666.27,667.16
2013-12-09,後場,667.30,668.73,665.83,668.73
2013-12-09,前場,667.85,669.82,667.23,667.66
2013-12-06,後場,657.33,660.07,653.88,659.11
2013-12-06,前場,655.67,658.10,654.62,656.18
2013-12-05,後場,660.70,662.05,655.02,656.31
2013-12-05,前場,659.27,663.08,658.10,659.84
2013-12-04,後場,661.90,664.98,660.34,660.63
2013-12-04,前場,665.84,668.61,660.11,662.20
2013-12-03,後場,673.25,674.89,672.56,672.93
2013-12-03,前場,673.29,674.72,669.59,673.43
2013-12-02,後場,670.90,671.61,668.55,670.54
2013-12-02,前場,672.19,673.85,669.38,671.08
2013-11-29,後場,671.13,671.32,665.85,671.14
2013-11-29,前場,670.91,671.87,669.37,671.47
2013-11-28,後場,671.40,673.62,669.60,673.62
2013-11-28,前場,671.97,673.15,670.47,671.13
2013-11-27,後場,667.59,668.46,664.55,665.41
2013-11-27,前場,666.29,668.81,665.29,667.05
2013-11-26,後場,668.58,671.30,668.42,668.82
2013-11-26,前場,669.33,670.55,667.93,669.00
2013-11-25,後場,673.00,673.49,670.69,673.49
2013-11-25,前場,671.05,673.56,669.71,673.15
2013-11-22,後場,671.50,671.74,663.42,666.61
2013-11-22,前場,671.13,672.87,668.85,671.50
2013-11-21,後場,663.60,664.83,662.46,664.83
2013-11-21,前場,659.40,664.93,658.67,664.27
2013-11-20,後場,658.46,659.28,656.57,657.70
2013-11-20,前場,662.64,663.65,657.92,658.99
2013-11-19,後場,659.41,662.44,658.51,660.62
2013-11-19,前場,662.23,663.33,658.50,659.57
2013-11-18,後場,665.88,667.24,662.93,664.28
2013-11-18,前場,666.37,667.72,661.22,667.20
2013-11-15,後場,661.34,663.22,660.45,662.02
2013-11-15,前場,657.54,661.74,656.53,661.08
2013-11-14,後場,651.89,653.77,648.74,651.21
2013-11-14,前場,647.34,648.80,645.73,647.99
2013-11-13,後場,641.80,643.50,640.35,643.12
2013-11-13,前場,644.05,645.56,640.89,643.26
2013-11-12,後場,641.16,644.02,640.85,644.02
2013-11-12,前場,634.03,642.29,633.53,641.62
2013-11-11,後場,632.35,633.48,630.50,633.09
2013-11-11,前場,633.59,634.89,630.95,633.10
2013-11-08,後場,625.72,626.23,622.75,625.19
2013-11-08,前場,623.34,626.70,623.01,625.19
2013-11-07,後場,630.47,631.73,629.21,630.08
2013-11-07,前場,634.53,634.61,629.41,629.85
2013-11-06,後場,631.71,636.81,631.48,633.53
2013-11-06,前場,627.55,630.81,626.21,629.43
