日付,始値,高値,安値,終値
2013-12-30,695.45,696.66,692.71,696.54
2013-12-27,688.89,690.55,683.92,690.22
2013-12-26,677.19,687.57,677.12,685.71
2013-12-25,671.60,674.26,670.71,674.10
2013-12-24,677.89,679.20,671.95,673.80
2013-12-20,675.07,676.21,672.76,675.64
2013-12-19,678.75,681.15,675.90,677.89
2013-12-18,657.02,670.92,657.02,670.57
2013-12-17,659.04,659.92,655.83,658.04
2013-12-16,659.87,660.44,653.58,653.88
2013-12-13,662.51,667.51,657.63,662.10
2013-12-12,662.61,664.07,659.75,663.42
2013-12-11,666.58,667.77,662.34,666.10
2013-12-10,669.05,669.57,666.27,668.42
2013-12-09,667.85,669.82,665.83,668.73
2013-12-06,655.67,660.07,653.88,659.11
2013-12-05,659.27,663.08,655.02,656.31
2013-12-04,665.84,668.61,660.11,660.63
2013-12-03,673.29,674.89,669.59,672.93
2013-12-02,672.19,673.85,668.55,670.54
2013-11-29,670.91,671.87,665.85,671.14
2013-11-28,671.97,673.62,669.60,673.62
2013-11-27,666.29,668.81,664.55,665.41
2013-11-26,669.33,671.30,667.93,668.82
2013-11-25,671.05,673.56,669.71,673.49
2013-11-22,671.13,672.87,663.42,666.61
2013-11-21,659.40,664.93,658.67,664.83
2013-11-20,662.64,663.65,656.57,657.70
2013-11-19,662.23,663.33,658.50,660.62
2013-11-18,666.37,667.72,661.22,664.28
2013-11-15,657.54,663.22,656.53,662.02
2013-11-14,647.34,653.77,645.73,651.21
2013-11-13,644.05,645.56,640.35,643.12
2013-11-12,634.03,644.02,633.53,644.02
2013-11-11,633.59,634.89,630.50,633.09
2013-11-08,623.34,626.70,622.75,625.19
2013-11-07,634.53,634.61,629.21,630.08
2013-11-06,627.55,636.81,626.21,633.53
2013-11-05,637.19,637.37,628.12,630.19
2013-11-01,639.76,640.32,628.87,632.21
2013-10-31,641.47,642.16,634.59,634.71
2013-10-30,640.31,643.42,639.37,641.14
2013-10-29,634.87,638.27,632.69,635.62
2013-10-28,633.79,639.21,631.89,638.56
2013-10-25,638.73,638.73,626.64,626.64
2013-10-24,634.87,641.17,632.69,640.71
2013-10-23,649.13,650.63,636.49,636.86
2013-10-22,644.93,646.76,644.07,646.37
2013-10-21,644.34,647.07,641.83,644.16
2013-10-18,644.63,644.95,639.36,641.52
2013-10-17,647.56,648.83,640.26,643.55
2013-10-16,641.18,642.52,638.46,640.40
2013-10-15,645.78,646.01,639.94,641.18
2013-10-11,640.18,643.60,638.34,641.32
2013-10-10,627.38,632.55,625.50,632.55
2013-10-09,613.09,625.60,610.30,625.60
2013-10-08,617.37,619.70,613.07,617.95
2013-10-07,626.50,628.33,617.65,618.75
2013-10-04,624.89,629.31,621.14,624.69
2013-10-03,628.46,633.81,626.86,630.55
2013-10-02,636.40,640.03,626.02,628.20
2013-10-01,638.03,641.54,635.55,635.61
2013-09-30,639.91,641.40,634.44,634.87
2013-09-27,652.52,654.13,648.81,649.54
2013-09-26,642.06,652.34,638.60,652.34
2013-09-25,648.95,650.76,647.32,649.11
2013-09-24,646.41,652.24,645.32,650.13
2013-09-20,652.49,654.02,650.22,652.23
2013-09-19,645.74,649.98,641.82,649.98
2013-09-18,636.43,644.47,634.65,639.49
2013-09-17,638.92,639.05,632.27,632.37
2013-09-13,635.00,640.60,631.69,637.20
2013-09-12,638.38,639.24,633.61,637.31
2013-09-11,644.95,644.95,637.46,639.09
2013-09-10,635.47,640.85,634.80,639.25
2013-09-09,631.35,634.89,626.99,630.26
2013-09-06,625.31,626.54,616.49,619.48
2013-09-05,626.86,627.25,620.67,623.70
2013-09-04,614.15,622.82,613.18,622.54
2013-09-03,607.42,618.06,606.99,617.64
2013-09-02,595.49,601.00,594.89,598.93
2013-08-30,603.53,606.64,592.86,593.19
2013-08-29,598.51,600.50,596.38,598.93
2013-08-28,598.12,600.76,592.58,598.34
2013-08-27,607.57,613.63,607.27,608.46
2013-08-26,614.65,616.44,609.14,611.64
2013-08-23,608.92,617.37,608.43,612.60
2013-08-22,597.77,603.80,595.77,599.83
2013-08-21,602.17,604.55,596.40,600.63
2013-08-20,610.26,615.41,602.07,602.52
2013-08-19,612.33,614.88,609.85,614.87
2013-08-16,609.52,615.55,608.94,612.37
2013-08-15,621.39,626.12,616.67,618.51
2013-08-14,626.49,628.57,619.18,628.57
2013-08-13,616.28,622.41,615.72,621.36
2013-08-12,608.33,613.08,605.97,609.30
2013-08-09,615.92,619.29,610.17,612.78
2013-08-08,615.26,626.45,609.55,611.48
2013-08-07,629.77,630.86,619.55,619.55
2013-08-06,633.77,640.03,626.78,640.03
2013-08-05,638.20,639.61,634.44,636.62
2013-08-02,635.53,642.75,633.42,642.75
2013-08-01,610.50,626.84,609.41,626.65
2013-07-31,611.31,617.01,607.28,607.28
2013-07-30,606.69,616.48,603.99,612.98
2013-07-29,615.82,616.42,605.15,605.57
2013-07-26,636.85,637.69,622.92,625.25
2013-07-25,657.04,657.33,644.29,645.59
2013-07-24,657.60,658.65,653.73,657.22
2013-07-23,651.08,660.51,650.51,658.94
2013-07-22,656.74,657.07,648.80,653.67
2013-07-19,659.26,660.68,642.49,651.87
2013-07-18,651.92,655.86,651.48,654.88
2013-07-17,643.75,650.27,643.55,650.27
2013-07-16,647.29,649.14,645.76,648.16
2013-07-12,638.99,644.86,638.59,643.00
2013-07-11,634.36,640.59,631.69,638.89
2013-07-10,642.24,645.48,635.12,640.65
2013-07-09,636.60,642.27,634.12,642.05
2013-07-08,644.68,645.27,627.62,627.62
2013-07-05,633.15,637.83,631.69,637.82
2013-07-04,627.31,630.95,626.56,627.60
2013-07-03,632.54,632.60,626.99,630.79
2013-07-02,625.57,630.72,623.31,630.72
2013-07-01,616.09,619.47,608.29,618.96
2013-06-28,600.54,614.76,599.60,610.05
2013-06-27,584.13,592.75,580.61,592.72
2013-06-26,586.05,588.76,575.97,577.30
2013-06-25,583.27,589.10,571.85,578.43
2013-06-24,597.87,598.52,582.17,584.05
2013-06-21,575.48,594.01,570.17,591.54
2013-06-20,589.00,594.03,585.25,586.08
2013-06-19,589.48,594.93,587.44,593.18
2013-06-18,580.08,584.51,575.33,580.22
2013-06-17,564.11,579.10,562.82,578.63
2013-06-14,573.05,580.21,566.59,567.22
2013-06-13,580.39,581.23,559.82,562.73
2013-06-12,585.39,594.62,579.40,590.86
2013-06-11,599.05,604.73,589.90,594.77
2013-06-10,578.53,598.51,578.43,598.51
2013-06-07,566.76,579.29,554.02,567.33
2013-06-06,574.37,589.26,572.45,575.56
2013-06-05,599.97,608.16,581.64,582.52
2013-06-04,578.92,605.10,572.49,601.82
2013-06-03,598.51,599.42,579.86,582.43
2013-05-31,614.66,617.72,604.78,605.43
2013-05-30,617.23,621.89,602.87,605.74
2013-05-29,634.60,638.77,623.64,626.27
2013-05-28,606.13,628.90,605.47,623.97
2013-05-27,625.64,627.07,611.90,612.12
2013-05-24,648.26,659.34,608.36,635.13
2013-05-23,682.57,688.87,636.77,637.72
2013-05-22,679.37,684.60,678.31,678.34
2013-05-21,674.81,678.01,672.97,674.30
2013-05-20,676.39,679.12,675.39,676.90
2013-05-17,662.15,670.37,660.63,668.27
2013-05-16,673.77,675.66,661.12,666.85
2013-05-15,664.25,676.21,663.96,673.43
2013-05-14,660.81,661.72,653.19,654.27
2013-05-13,646.74,661.48,646.41,657.94
2013-05-10,634.40,639.57,633.62,638.98
2013-05-09,632.84,634.75,624.11,624.15
2013-05-08,628.55,634.22,626.91,629.83
2013-05-07,620.83,628.34,620.65,627.40
2013-05-02,608.13,612.28,606.56,610.07
2013-05-01,618.65,618.65,612.05,612.17
2013-04-30,621.84,622.49,617.29,619.03
2013-04-26,627.61,628.40,619.92,620.73
2013-04-25,620.26,625.01,617.37,624.10
2013-04-24,615.83,618.06,611.82,618.06
2013-04-23,611.40,613.04,607.85,608.55
2013-04-22,613.81,618.37,610.57,611.53
2013-04-19,604.91,605.98,597.31,603.81
2013-04-18,605.25,611.74,602.37,602.37
2013-04-17,607.41,611.89,604.70,610.53
2013-04-16,599.61,605.96,593.28,601.11
2013-04-15,613.64,618.85,607.84,611.12
2013-04-12,620.92,621.22,613.92,620.81
2013-04-11,608.59,620.62,608.59,620.62
2013-04-10,586.96,602.57,586.57,600.31
2013-04-09,593.56,595.26,583.94,586.98
2013-04-08,578.22,587.77,577.61,587.67
2013-04-05,562.64,583.05,562.49,567.76
2013-04-04,528.60,552.17,524.65,551.96
2013-04-03,530.01,535.31,526.14,535.31
2013-04-02,523.76,530.47,515.35,526.17
2013-04-01,545.08,546.29,529.62,530.08
2013-03-29,550.91,550.96,543.96,546.50
2013-03-28,554.29,554.66,544.86,549.63
2013-03-27,555.76,556.77,554.33,555.86
2013-03-26,554.49,558.88,554.27,554.98
2013-03-25,559.61,560.47,556.40,557.48
2013-03-22,558.78,559.53,552.88,552.88
2013-03-21,564.37,566.71,562.88,563.72
2013-03-19,555.59,559.18,554.69,557.74
2013-03-18,556.12,556.45,548.10,548.10
2013-03-15,561.56,564.29,558.90,563.34
2013-03-14,560.12,560.26,552.92,558.16
2013-03-13,556.28,560.55,555.29,555.92
2013-03-12,565.60,568.55,557.90,558.26
2013-03-11,552.27,561.00,551.32,559.84
2013-03-08,540.40,546.70,540.39,545.73
2013-03-07,543.21,544.65,536.70,537.88
2013-03-06,538.11,539.85,535.11,539.66
2013-03-05,537.67,538.89,530.94,531.38
2013-03-04,534.66,539.65,532.34,533.65
2013-03-01,523.24,530.67,522.88,530.28
2013-02-28,519.15,525.76,518.99,525.56
2013-02-27,524.03,524.04,512.27,512.27
2013-02-26,522.24,529.15,520.03,523.04
2013-02-25,530.57,532.36,528.87,531.41
2013-02-22,517.81,522.97,513.33,522.24
2013-02-21,528.46,530.69,521.82,523.79
2013-02-20,533.07,534.25,530.10,531.67
2013-02-19,526.09,530.21,525.74,527.21
2013-02-18,524.80,532.13,524.52,529.50
2013-02-15,521.66,522.12,509.36,517.63
2013-02-14,530.83,532.34,523.73,526.71
2013-02-13,533.59,535.40,526.06,528.98
2013-02-12,535.15,541.08,534.80,535.14
2013-02-08,528.90,531.70,525.91,526.71
2013-02-07,531.10,537.27,528.54,532.98
2013-02-06,523.63,535.38,523.41,532.58
2013-02-05,517.25,523.71,514.69,514.92
2013-02-04,517.17,524.65,515.25,524.00
2013-02-01,514.85,516.99,511.86,512.80
2013-01-31,507.09,512.69,505.66,511.05
2013-01-30,499.70,505.99,498.73,505.72
2013-01-29,490.81,500.55,490.78,498.12
2013-01-28,497.79,497.79,492.20,492.20
2013-01-25,488.76,493.75,488.70,493.73
2013-01-24,471.96,482.26,471.81,481.80
2013-01-23,477.13,482.06,475.63,475.63
2013-01-22,486.40,489.70,478.65,482.84
2013-01-21,491.09,491.12,484.18,485.70
2013-01-18,485.61,489.63,485.43,489.63
2013-01-17,477.96,479.71,469.22,477.72
2013-01-16,482.70,482.83,472.73,473.30
2013-01-15,487.83,488.85,483.52,485.00
2013-01-11,483.23,484.99,480.27,482.29
2013-01-10,475.00,479.19,473.79,476.58
2013-01-09,460.47,472.64,459.71,470.46
2013-01-08,469.43,471.44,463.79,466.42
2013-01-07,479.49,479.58,470.49,471.58
2013-01-04,468.53,476.62,468.15,475.68
