日付,時刻,始値,高値,安値,終値
2010-12-30,後場,1136.26,1141.84,1136.08,1136.50
2010-12-30,前場,1145.28,1146.06,1135.22,1135.62
2010-12-29,後場,1145.47,1148.14,1145.14,1148.14
2010-12-29,前場,1141.08,1144.41,1139.96,1143.72
2010-12-28,後場,1142.44,1143.30,1141.58,1141.61
2010-12-28,前場,1143.28,1144.87,1142.21,1143.39
2010-12-27,後場,1144.35,1146.19,1143.37,1143.93
2010-12-27,前場,1140.25,1144.20,1139.94,1143.39
2010-12-24,後場,1139.39,1140.10,1138.27,1140.10
2010-12-24,前場,1140.62,1142.89,1139.00,1139.50
2010-12-22,後場,1148.79,1149.44,1142.76,1145.32
2010-12-22,前場,1145.21,1150.13,1144.87,1148.44
2010-12-21,後場,1145.97,1148.22,1145.57,1145.86
2010-12-21,前場,1140.13,1142.54,1139.59,1142.54
2010-12-20,後場,1137.05,1137.74,1132.06,1136.16
2010-12-20,前場,1142.96,1144.16,1140.62,1140.97
2010-12-17,後場,1142.21,1142.64,1140.55,1141.96
2010-12-17,前場,1142.81,1145.76,1141.51,1142.16
2010-12-16,後場,1143.75,1147.50,1142.55,1142.85
2010-12-16,前場,1139.63,1144.30,1138.76,1144.13
2010-12-15,後場,1139.88,1142.74,1137.88,1141.06
2010-12-15,前場,1144.25,1144.25,1139.23,1140.19
2010-12-14,後場,1136.27,1140.41,1134.96,1140.41
2010-12-14,前場,1133.56,1139.08,1133.53,1136.62
2010-12-13,後場,1125.81,1134.74,1125.81,1134.74
2010-12-13,前場,1122.36,1125.49,1120.94,1125.45
2010-12-10,後場,1124.73,1126.54,1122.53,1123.14
2010-12-10,前場,1131.43,1131.43,1121.35,1124.68
2010-12-09,後場,1122.73,1127.79,1122.39,1127.43
2010-12-09,前場,1125.51,1127.71,1122.99,1123.82
2010-12-08,後場,1116.46,1122.10,1116.42,1122.10
2010-12-08,前場,1115.16,1120.91,1114.75,1116.93
2010-12-07,後場,1109.29,1113.37,1108.84,1111.61
2010-12-07,前場,1113.06,1113.06,1107.73,1108.40
2010-12-06,後場,1112.27,1115.03,1112.16,1114.57
2010-12-06,前場,1112.54,1114.64,1111.03,1112.60
2010-12-03,後場,1111.05,1112.50,1109.61,1111.82
2010-12-03,前場,1116.83,1118.67,1111.22,1111.22
2010-12-02,後場,1111.44,1111.49,1108.60,1109.28
2010-12-02,前場,1110.85,1113.69,1108.45,1110.08
2010-12-01,後場,1086.85,1095.19,1086.85,1095.19
2010-12-01,前場,1088.55,1090.72,1086.08,1087.77
2010-11-30,後場,1099.28,1099.28,1088.69,1088.69
2010-11-30,前場,1102.52,1106.11,1102.14,1104.24
2010-11-29,後場,1103.48,1108.21,1103.48,1105.97
2010-11-29,前場,1098.77,1107.95,1098.70,1101.87
2010-11-26,後場,1100.96,1101.33,1096.13,1096.13
2010-11-26,前場,1100.22,1105.48,1099.18,1100.83
2010-11-25,後場,1101.01,1105.48,1099.93,1099.93
2010-11-25,前場,1104.70,1104.70,1097.13,1100.56
2010-11-24,後場,1096.50,1100.12,1095.34,1095.84
2010-11-24,前場,1090.26,1099.83,1086.17,1098.21
2010-11-22,後場,1106.88,1111.08,1106.65,1107.12
2010-11-22,前場,1108.62,1109.06,1104.65,1107.43
2010-11-19,後場,1101.62,1103.37,1099.18,1099.60
2010-11-19,前場,1108.74,1109.13,1102.72,1103.20
2010-11-18,後場,1086.22,1098.69,1086.22,1098.69
