日付,始値,高値,安値,終値
2012-12-28,1086.98,1088.86,1079.51,1086.66
2012-12-27,1078.79,1085.74,1076.08,1079.41
2012-12-26,1064.84,1071.35,1063.02,1071.34
2012-12-25,1066.66,1069.31,1056.60,1059.06
2012-12-21,1070.08,1074.63,1047.55,1052.39
2012-12-20,1057.62,1068.68,1055.22,1059.84
2012-12-19,1044.16,1060.76,1043.72,1060.76
2012-12-18,1023.53,1037.15,1023.53,1032.31
2012-12-17,1025.73,1026.62,1019.79,1020.91
2012-12-14,1006.13,1014.86,1005.41,1012.31
2012-12-13,1009.84,1014.49,1008.34,1010.00
2012-12-12,1001.64,1001.92,998.08,999.98
2012-12-11,994.58,995.58,990.11,993.37
2012-12-10,1003.74,1003.84,994.72,996.42
2012-12-07,997.36,1000.46,996.52,998.64
2012-12-06,996.74,998.00,993.54,996.76
2012-12-05,982.58,993.76,981.71,988.06
2012-12-04,984.88,990.25,984.07,988.20
2012-12-03,992.43,993.69,986.62,987.90
2012-11-30,989.41,993.06,982.60,987.57
2012-11-29,981.31,986.51,980.90,985.05
2012-11-28,983.32,985.51,974.87,974.87
2012-11-27,983.58,990.08,983.35,987.77
2012-11-26,991.87,995.35,985.04,985.13
2012-11-22,980.03,982.03,976.68,981.25
2012-11-21,970.09,972.66,963.78,969.35
2012-11-20,969.49,969.65,960.78,963.06
2012-11-19,961.59,966.55,961.59,963.23
2012-11-16,939.19,950.95,939.19,949.56
2012-11-15,916.79,932.06,916.17,932.06
2012-11-14,912.30,914.43,911.11,912.98
2012-11-13,914.84,916.24,907.88,913.17
2012-11-12,918.40,920.06,913.18,913.18
2012-11-09,920.87,925.50,919.31,923.50
2012-11-08,931.92,934.92,928.15,929.33
2012-11-07,946.99,947.27,937.73,942.43
2012-11-06,942.12,942.12,939.10,941.38
2012-11-05,946.09,949.05,942.90,945.26
2012-11-02,948.20,951.38,947.41,950.50
2012-11-01,938.94,941.57,932.58,939.40
2012-10-31,932.74,942.67,931.89,938.17
2012-10-30,936.52,941.01,926.96,926.96
2012-10-29,938.29,942.12,933.04,935.60
2012-10-26,949.60,951.55,936.30,936.79
2012-10-25,939.28,949.84,938.65,949.70
2012-10-24,936.88,948.27,936.88,939.41
2012-10-23,957.38,957.49,943.66,947.15
2012-10-22,941.00,954.64,940.61,952.65
2012-10-19,946.62,954.44,946.62,953.51
2012-10-18,942.59,951.83,941.85,950.87
2012-10-17,933.58,939.04,931.84,935.03
2012-10-16,919.67,926.49,918.96,925.69
2012-10-15,906.65,915.58,903.46,913.79
2012-10-12,907.51,911.91,906.05,907.87
2012-10-11,898.48,908.88,897.86,902.31
2012-10-10,908.33,909.15,904.13,905.96
2012-10-09,927.72,930.36,919.56,919.68
2012-10-05,931.24,933.79,926.55,931.64
2012-10-04,922.93,933.95,920.77,929.43
2012-10-03,922.92,925.32,917.06,919.30
2012-10-02,928.19,930.64,923.54,924.10
2012-10-01,925.51,925.55,919.78,925.55
2012-09-28,945.54,946.10,927.69,931.95
2012-09-27,932.81,944.48,932.58,942.29
2012-09-26,939.12,943.47,936.47,938.41
2012-09-25,948.94,957.58,947.81,957.58
2012-09-24,953.05,955.36,949.29,952.56
2012-09-21,954.12,960.73,952.99,955.99
2012-09-20,961.51,966.56,951.68,952.74
2012-09-19,961.21,972.57,956.92,966.67
2012-09-18,957.38,963.14,954.96,958.51
2012-09-14,951.24,959.56,948.72,956.63
2012-09-13,936.73,942.90,934.15,940.62
2012-09-12,926.54,937.58,926.33,937.58
2012-09-11,924.75,925.48,919.80,925.48
2012-09-10,928.31,932.40,925.40,931.91
2012-09-07,923.09,929.18,920.10,929.18
2012-09-06,908.75,909.53,903.76,908.69
2012-09-05,916.02,916.14,907.53,907.53
2012-09-04,921.79,921.79,914.27,918.39
2012-09-03,924.71,932.72,919.63,920.84
2012-08-31,930.92,934.76,924.63,924.63
2012-08-30,947.36,947.36,938.06,940.01
2012-08-29,943.85,948.73,942.71,947.91
2012-08-28,957.68,958.08,939.84,943.18
2012-08-27,962.40,963.75,954.66,954.66
2012-08-24,956.61,959.17,954.37,957.00
2012-08-23,958.60,967.72,957.36,966.32
2012-08-22,966.68,967.99,959.07,963.96
2012-08-21,966.23,970.52,965.59,967.16
2012-08-20,971.75,972.88,964.73,966.40
2012-08-17,962.87,967.89,959.62,967.85
2012-08-16,948.26,959.38,948.17,959.38
2012-08-15,949.25,949.28,939.23,944.46
2012-08-14,947.03,951.48,943.45,947.25
2012-08-13,942.26,945.50,941.41,944.01
2012-08-10,946.56,950.50,939.01,943.83
2012-08-09,941.33,950.71,939.62,950.22
2012-08-08,947.66,952.63,938.38,942.39
2012-08-07,929.55,940.66,928.78,939.95
2012-08-06,927.87,932.93,926.75,929.87
2012-08-03,915.20,915.80,910.06,914.96
2012-08-02,922.93,931.47,922.47,926.37
2012-08-01,923.55,924.02,918.86,922.30
2012-07-31,922.09,933.09,920.32,930.55
2012-07-30,927.18,927.51,918.45,924.77
2012-07-27,914.18,918.08,911.03,918.08
2012-07-26,897.26,904.11,891.32,903.48
2012-07-25,899.99,899.99,888.88,892.82
2012-07-24,908.56,912.15,902.75,907.01
2012-07-23,917.88,921.19,910.75,910.75
2012-07-20,943.01,943.03,926.47,927.40
2012-07-19,943.36,948.28,940.59,944.22
2012-07-18,943.05,944.59,934.34,935.79
2012-07-17,944.52,947.22,939.20,939.45
2012-07-13,941.98,948.23,941.74,943.19
2012-07-12,957.71,957.91,943.88,944.67
2012-07-11,955.06,957.10,952.60,957.08
2012-07-10,967.96,972.75,958.72,958.72
2012-07-09,965.79,970.12,965.16,965.47
2012-07-06,978.39,982.55,971.07,975.47
2012-07-05,981.43,987.39,979.61,981.20
2012-07-04,986.44,988.20,982.69,984.13
2012-07-03,976.03,983.91,976.03,982.12
2012-07-02,984.36,984.36,972.30,972.30
2012-06-29,954.07,977.12,953.42,973.24
2012-06-28,950.27,959.75,950.27,958.99
2012-06-27,935.29,942.13,931.26,942.13
2012-06-26,935.28,940.59,928.15,933.81
2012-06-25,954.86,954.86,941.41,941.82
2012-06-22,942.99,952.68,942.89,949.04
2012-06-21,949.52,955.86,948.24,952.91
2012-06-20,938.42,945.93,937.61,944.55
2012-06-19,930.73,935.43,926.43,928.56
2012-06-18,933.80,939.10,932.91,933.78
2012-06-15,921.63,922.88,915.99,918.33
2012-06-14,913.51,919.22,912.91,917.16
2012-06-13,916.20,920.24,913.70,918.15
2012-06-12,908.94,917.14,906.19,915.52
2012-06-11,921.35,927.50,920.25,922.77
2012-06-08,921.96,922.30,903.12,907.14
2012-06-07,919.77,923.62,916.89,923.62
2012-06-06,898.82,910.21,895.80,908.20
2012-06-05,884.27,895.93,882.53,895.16
2012-06-04,879.40,881.20,874.97,879.08
2012-06-01,900.14,902.35,893.52,896.02
2012-05-31,901.75,909.33,899.34,909.33
2012-05-30,916.78,917.98,907.72,914.55
2012-05-29,908.56,918.87,903.98,918.87
2012-05-28,913.63,914.92,908.60,911.41
2012-05-25,917.38,917.38,908.98,912.65
2012-05-24,909.83,916.01,905.55,912.83
2012-05-23,925.76,925.76,911.16,911.97
2012-05-22,925.87,928.85,923.60,926.83
2012-05-21,915.28,921.89,914.41,916.48
2012-05-18,928.38,928.55,913.92,917.01
2012-05-17,931.49,946.10,928.79,944.39
2012-05-16,942.60,944.22,929.46,933.94
2012-05-15,948.00,950.40,937.04,944.72
2012-05-14,959.25,964.07,954.99,956.44
2012-05-11,967.85,969.95,958.45,958.49
2012-05-10,965.48,973.65,963.63,967.33
2012-05-09,973.98,974.45,965.17,967.87
2012-05-08,982.90,983.06,977.84,981.41
2012-05-07,983.08,983.70,974.36,975.74
2012-05-02,1003.57,1005.77,998.70,1002.01
2012-05-01,1013.15,1013.42,996.48,997.71
2012-04-27,1023.34,1035.51,1011.76,1016.41
2012-04-26,1029.34,1031.80,1021.10,1023.76
2012-04-25,1026.79,1026.95,1020.85,1023.00
2012-04-24,1014.76,1019.55,1012.56,1016.00
2012-04-23,1029.29,1034.89,1021.37,1023.09
2012-04-20,1028.59,1029.03,1023.80,1026.13
2012-04-19,1028.21,1032.66,1026.84,1028.94
2012-04-18,1028.30,1036.83,1028.30,1035.44
2012-04-17,1017.14,1020.99,1014.59,1014.99
2012-04-16,1019.70,1022.67,1015.71,1015.93
2012-04-13,1032.33,1035.23,1027.92,1030.67
2012-04-12,1020.91,1025.51,1016.54,1023.60
2012-04-11,1013.84,1021.77,1011.83,1018.50
2012-04-10,1032.91,1038.91,1025.88,1028.08
2012-04-09,1030.72,1035.62,1028.38,1028.38
2012-04-06,1044.85,1048.88,1040.94,1043.58
2012-04-05,1044.93,1055.42,1041.18,1052.29
2012-04-04,1076.36,1078.60,1054.31,1055.82
2012-04-03,1079.68,1079.68,1073.37,1075.61
2012-04-02,1089.34,1090.95,1081.30,1081.95
2012-03-30,1082.85,1083.41,1076.44,1079.79
2012-03-29,1087.89,1089.51,1081.23,1084.10
2012-03-28,1090.85,1093.67,1086.36,1092.58
2012-03-27,1089.97,1102.69,1089.97,1102.69
2012-03-26,1080.51,1081.83,1076.64,1076.64
2012-03-23,1078.01,1080.60,1077.23,1077.51
2012-03-22,1082.45,1091.79,1082.26,1089.59
2012-03-21,1092.19,1093.81,1085.06,1085.43
2012-03-19,1097.60,1099.99,1095.87,1097.54
2012-03-16,1090.27,1095.52,1089.32,1095.52
2012-03-15,1090.01,1095.04,1085.47,1091.56
2012-03-14,1085.13,1088.80,1083.34,1083.34
2012-03-13,1069.98,1079.68,1068.42,1068.42
2012-03-12,1079.23,1079.50,1068.35,1068.35
2012-03-09,1069.77,1078.30,1064.35,1072.70
2012-03-08,1049.48,1056.96,1048.89,1056.83
2012-03-07,1031.96,1040.65,1031.96,1039.82
