日付,時刻,始値,高値,安値,終値
2015-12-30,後場,1955.41,1962.22,1955.41,1956.20
2015-12-30,前場,1961.04,1965.22,1955.95,1957.33
2015-12-29,後場,1939.18,1953.44,1939.18,1951.26
2015-12-29,前場,1931.14,1938.86,1923.34,1936.94
2015-12-28,後場,1928.69,1937.81,1927.71,1933.35
2015-12-28,前場,1924.45,1928.00,1920.19,1926.48
2015-12-25,後場,1920.43,1920.60,1913.54,1916.87
2015-12-25,前場,1926.43,1929.19,1917.04,1920.98
2015-12-24,後場,1936.14,1938.43,1925.44,1926.27
2015-12-24,前場,1955.25,1955.96,1939.52,1940.43
2015-12-22,後場,1939.30,1944.48,1938.88,1938.88
2015-12-22,前場,1939.46,1942.52,1929.58,1938.31
2015-12-21,後場,1916.12,1943.60,1915.72,1935.94
2015-12-21,前場,1929.41,1937.56,1912.22,1913.36
2015-12-18,後場,1975.66,2017.00,1943.31,1943.31
2015-12-18,前場,1975.19,1977.67,1962.48,1973.19
2015-12-17,後場,1991.12,1991.21,1975.37,1978.19
2015-12-17,前場,1979.94,1993.59,1976.65,1991.70
2015-12-16,後場,1945.13,1950.69,1942.79,1947.88
2015-12-16,前場,1929.18,1942.25,1928.60,1941.88
2015-12-15,後場,1915.57,1919.40,1899.64,1899.64
2015-12-15,前場,1931.26,1934.62,1914.01,1916.90
2015-12-14,後場,1920.77,1933.19,1920.77,1931.65
2015-12-14,前場,1923.84,1925.37,1903.17,1916.84
2015-12-11,後場,1958.15,1961.84,1954.94,1958.99
2015-12-11,前場,1941.95,1964.14,1941.95,1959.44
2015-12-10,後場,1953.08,1955.21,1946.35,1947.41
2015-12-10,前場,1947.26,1955.71,1944.47,1948.97
2015-12-09,後場,1967.48,1972.29,1964.24,1966.66
2015-12-09,前場,1972.63,1984.08,1964.17,1965.53
2015-12-08,後場,1983.40,1987.85,1981.93,1983.28
2015-12-08,前場,2004.52,2010.53,1982.78,1983.59
2015-12-07,後場,2015.10,2015.10,2003.26,2004.11
2015-12-07,前場,2007.97,2015.86,2007.83,2015.16
2015-12-04,後場,1987.43,1989.96,1983.95,1989.96
2015-12-04,前場,1993.52,1997.40,1989.72,1991.48
2015-12-03,後場,2020.41,2029.56,2019.38,2026.52
2015-12-03,前場,2022.84,2026.50,2018.15,2021.31
2015-12-02,後場,2029.95,2031.43,2025.65,2025.65
2015-12-02,前場,2024.63,2031.99,2023.14,2031.99
2015-12-01,後場,2019.81,2025.26,2016.14,2025.26
2015-12-01,前場,2003.73,2022.74,2002.75,2021.30
2015-11-30,後場,2000.08,2001.94,1996.24,1997.84
2015-11-30,前場,2014.15,2014.74,2001.17,2003.84
