日付,始値,高値,安値,終値
2017-12-22,2306.07,2313.63,2304.73,2312.36
2017-12-21,2300.60,2305.17,2292.60,2304.19
2017-12-20,2294.54,2303.28,2293.55,2302.35
2017-12-19,2302.61,2303.96,2293.71,2294.79
2017-12-18,2285.95,2298.80,2283.30,2298.23
2017-12-15,2278.08,2281.07,2259.27,2267.35
2017-12-14,2286.80,2290.72,2279.49,2285.89
2017-12-13,2296.93,2298.72,2283.46,2289.30
2017-12-12,2294.13,2301.88,2289.46,2294.66
2017-12-11,2287.61,2292.46,2276.33,2292.46
2017-12-08,2255.13,2280.35,2255.13,2280.31
2017-12-07,2243.66,2259.77,2243.66,2258.23
2017-12-06,2256.88,2259.31,2226.58,2231.90
2017-12-05,2250.75,2268.12,2246.97,2264.20
2017-12-04,2276.89,2278.48,2257.71,2259.01
2017-12-01,2280.73,2284.86,2259.59,2271.21
2017-11-30,2260.07,2270.34,2249.22,2265.58
2017-11-29,2254.89,2258.64,2252.48,2258.09
2017-11-28,2244.87,2251.42,2234.05,2240.29
2017-11-27,2261.06,2261.06,2242.28,2246.18
2017-11-24,2235.85,2252.68,2234.15,2251.03
2017-11-22,2251.81,2256.82,2244.91,2246.63
2017-11-21,2239.20,2248.52,2236.72,2239.10
2017-11-20,2220.93,2229.74,2217.36,2224.60
2017-11-17,2246.98,2253.12,2223.39,2229.79
2017-11-16,2197.20,2236.14,2197.20,2227.20
2017-11-15,2235.46,2235.46,2200.14,2204.84
2017-11-14,2251.24,2258.91,2245.57,2248.89
2017-11-13,2271.28,2272.70,2254.73,2254.73
2017-11-10,2266.47,2280.62,2262.60,2276.14
2017-11-09,2304.89,2330.75,2264.74,2292.15
2017-11-08,2287.43,2297.84,2280.95,2297.84
2017-11-07,2263.05,2292.38,2262.72,2292.38
2017-11-06,2273.15,2275.01,2256.22,2266.31
2017-11-02,2267.42,2268.33,2254.74,2268.10
2017-11-01,2244.16,2261.92,2242.72,2258.80
2017-10-31,2229.79,2235.42,2223.54,2232.57
2017-10-30,2237.72,2240.91,2227.63,2238.74
2017-10-27,2228.25,2239.62,2222.83,2239.00
2017-10-26,2211.20,2220.42,2210.48,2217.34
2017-10-25,2228.94,2231.00,2208.62,2214.21
2017-10-24,2205.28,2221.15,2204.02,2221.15
2017-10-23,2209.26,2209.26,2202.05,2206.40
2017-10-20,2179.03,2190.17,2178.67,2187.94
2017-10-19,2187.88,2191.89,2182.07,2187.18
2017-10-18,2180.41,2182.55,2175.64,2180.36
2017-10-17,2183.38,2185.81,2171.10,2178.75
2017-10-16,2165.54,2179.76,2163.66,2173.46
2017-10-13,2145.77,2166.41,2142.99,2160.10
2017-10-12,2152.90,2153.62,2147.63,2149.38
2017-10-11,2141.85,2145.82,2138.02,2145.18
2017-10-10,2129.29,2143.07,2129.04,2143.07
2017-10-06,2134.21,2137.21,2129.26,2132.99
2017-10-05,2130.90,2133.04,2125.16,2127.09
2017-10-04,2132.89,2135.25,2125.93,2129.70
2017-10-03,2124.36,2130.32,2119.07,2129.57
2017-10-02,2121.23,2121.46,2112.63,2115.88
2017-09-29,2114.32,2117.88,2109.62,2117.30
2017-09-28,2118.14,2120.01,2109.01,2119.10
2017-09-27,2104.09,2105.21,2097.31,2104.26
2017-09-26,2111.98,2117.02,2110.49,2114.76
2017-09-25,2115.92,2119.16,2111.79,2114.87
2017-09-22,2112.31,2116.30,2098.68,2104.48
2017-09-21,2122.09,2123.70,2109.21,2109.70
2017-09-20,2105.97,2113.14,2105.21,2108.67
2017-09-19,2092.96,2109.96,2092.48,2108.62
2017-09-15,2059.95,2074.56,2059.60,2072.04
2017-09-14,2069.48,2076.61,2062.10,2063.44
2017-09-13,2068.35,2072.80,2066.60,2070.02
2017-09-12,2055.69,2060.98,2053.97,2057.53
2017-09-11,2033.12,2045.52,2031.69,2038.34
