日付,時刻,始値,高値,安値,終値
2017-12-12,後場,2384.16,2384.16,2376.86,2379.93
2017-12-12,前場,2384.20,2390.75,2380.20,2383.51
2017-12-11,後場,2369.12,2379.97,2368.33,2379.97
2017-12-11,前場,2379.69,2379.69,2365.61,2367.90
2017-12-08,後場,2363.71,2373.36,2362.89,2373.36
2017-12-08,前場,2347.72,2364.81,2347.72,2364.09
2017-12-07,後場,2351.23,2358.68,2350.96,2356.92
2017-12-07,前場,2328.81,2353.58,2328.81,2352.72
2017-12-06,後場,2335.34,2335.34,2318.12,2321.40
2017-12-06,前場,2341.83,2351.58,2339.87,2344.93
2017-12-05,後場,2337.92,2350.11,2337.92,2349.13
2017-12-05,前場,2333.56,2336.05,2327.24,2334.76
2017-12-04,後場,2360.70,2361.04,2343.76,2343.76
2017-12-04,前場,2360.87,2367.35,2357.89,2359.19
2017-12-01,後場,2352.47,2358.41,2350.13,2355.28
2017-12-01,前場,2362.63,2365.48,2347.65,2349.51
2017-11-30,後場,2340.49,2356.91,2340.43,2354.42
2017-11-30,前場,2348.16,2348.49,2332.60,2339.40
2017-11-29,後場,2347.37,2349.39,2341.48,2349.39
2017-11-29,前場,2343.04,2351.31,2340.06,2349.25
2017-11-28,後場,2335.39,2335.54,2329.47,2329.47
2017-11-28,前場,2338.37,2340.26,2323.81,2338.95
2017-11-27,後場,2339.35,2339.85,2334.10,2338.40
2017-11-27,前場,2349.90,2349.90,2335.94,2339.28
2017-11-24,後場,2333.45,2341.71,2332.44,2338.56
2017-11-24,前場,2323.50,2330.45,2322.88,2330.29
2017-11-22,後場,2335.60,2336.62,2329.34,2331.98
2017-11-22,前場,2331.61,2336.05,2328.86,2334.81
2017-11-21,後場,2317.80,2326.13,2316.33,2320.88
2017-11-21,前場,2312.50,2320.98,2311.14,2319.45
2017-11-20,後場,2297.91,2304.86,2297.43,2302.12
2017-11-20,前場,2282.09,2298.48,2280.80,2297.02
2017-11-17,後場,2290.73,2293.30,2281.89,2287.11
2017-11-17,前場,2304.02,2304.43,2285.19,2285.62
2017-11-16,後場,2280.51,2296.72,2276.53,2284.83
2017-11-16,前場,2251.15,2284.19,2251.15,2284.09
2017-11-15,後場,2280.49,2281.33,2255.66,2261.98
2017-11-15,前場,2306.78,2306.78,2279.70,2280.48
2017-11-14,後場,2326.31,2329.74,2318.48,2318.96
2017-11-14,前場,2327.69,2332.88,2321.47,2323.77
2017-11-13,後場,2333.91,2337.05,2330.29,2330.86
2017-11-13,前場,2339.59,2339.64,2330.53,2334.41
2017-11-10,後場,2340.34,2345.41,2338.45,2342.66
2017-11-10,前場,2326.37,2342.30,2326.37,2337.09
2017-11-09,後場,2367.07,2374.90,2323.28,2350.03
2017-11-09,前場,2358.90,2374.57,2358.63,2374.49
2017-11-08,後場,2340.21,2354.17,2340.21,2354.17
2017-11-08,前場,2339.91,2341.56,2333.56,2341.56
2017-11-07,後場,2339.10,2345.79,2338.65,2345.79
