日付,始値,高値,安値,終値
2007-12-28,1307.45,1307.45,1292.65,1292.86
2007-12-27,1321.03,1321.03,1312.11,1316.95
2007-12-26,1303.33,1322.05,1303.26,1322.05
2007-12-25,1299.99,1309.67,1294.60,1300.20
2007-12-21,1278.16,1287.92,1267.38,1287.92
2007-12-20,1301.23,1302.08,1276.93,1278.53
2007-12-19,1307.68,1312.58,1295.04,1295.04
2007-12-18,1298.37,1318.11,1290.79,1309.41
2007-12-17,1334.70,1334.96,1307.71,1307.73
2007-12-14,1350.95,1360.75,1337.80,1341.16
2007-12-13,1375.53,1375.97,1351.12,1351.12
2007-12-12,1363.75,1380.37,1355.32,1379.99
2007-12-11,1377.54,1382.98,1373.57,1375.71
2007-12-10,1378.11,1380.53,1367.69,1371.69
2007-12-07,1372.11,1382.33,1372.11,1374.49
2007-12-06,1367.70,1370.94,1353.86,1364.96
2007-12-05,1344.92,1357.13,1338.99,1357.13
2007-12-04,1369.26,1371.96,1349.41,1349.41
2007-12-03,1373.92,1379.82,1364.77,1370.17
2007-11-30,1344.90,1370.44,1344.90,1363.93
2007-11-29,1332.74,1346.59,1332.74,1344.90
2007-11-28,1320.04,1326.51,1311.01,1320.05
2007-11-27,1292.87,1316.00,1282.29,1316.00
2007-11-26,1291.49,1310.70,1291.49,1304.25
2007-11-22,1281.25,1293.03,1273.17,1288.30
2007-11-21,1308.49,1312.92,1287.91,1289.23
2007-11-20,1293.83,1307.60,1268.76,1306.54
2007-11-19,1335.53,1341.44,1306.36,1308.52
2007-11-16,1349.03,1349.06,1329.53,1336.80
2007-11-15,1358.74,1369.89,1358.07,1362.15
2007-11-14,1333.26,1356.96,1333.26,1356.96
2007-11-13,1317.58,1326.83,1307.70,1317.44
2007-11-12,1346.52,1346.52,1314.12,1321.63
2007-11-09,1372.14,1381.91,1361.02,1361.02
2007-11-08,1385.83,1385.83,1358.24,1369.04
2007-11-07,1432.36,1433.20,1403.33,1403.39
2007-11-06,1411.73,1435.20,1411.73,1427.41
2007-11-05,1447.15,1447.15,1419.03,1419.03
2007-11-02,1452.32,1457.45,1439.73,1449.60
2007-11-01,1470.57,1477.32,1465.85,1470.73
2007-10-31,1452.04,1467.32,1445.35,1467.32
2007-10-30,1441.96,1451.79,1434.46,1451.02
2007-10-29,1438.30,1447.46,1438.30,1443.77
2007-10-26,1424.14,1429.93,1418.75,1429.25
2007-10-25,1432.38,1434.03,1415.55,1419.99
2007-10-24,1439.85,1450.26,1430.85,1434.42
2007-10-23,1432.93,1439.94,1425.60,1433.02
2007-10-22,1433.39,1433.39,1405.34,1427.06
2007-10-19,1467.56,1467.56,1451.73,1453.77
2007-10-18,1452.78,1476.29,1452.78,1476.29
2007-10-17,1463.54,1468.60,1439.97,1450.88
2007-10-16,1496.79,1496.84,1472.36,1472.36
2007-10-15,1506.79,1511.07,1494.32,1502.79
2007-10-12,1508.22,1512.73,1497.20,1497.20
2007-10-11,1495.59,1513.73,1489.36,1513.73
2007-10-10,1505.58,1507.74,1491.51,1493.52
2007-10-09,1493.91,1503.50,1493.91,1495.20
2007-10-05,1484.62,1492.28,1482.83,1485.38
