日付,時刻,始値,高値,安値,終値
2015-12-30,後場,1394.51,1394.51,1384.71,1393.39
2015-12-30,前場,1386.39,1393.67,1380.22,1391.71
2015-12-29,後場,1418.37,1418.37,1397.25,1400.39
2015-12-29,前場,1430.07,1441.77,1418.65,1421.51
2015-12-28,後場,1433.90,1435.35,1420.25,1426.93
2015-12-28,前場,1440.28,1446.96,1435.06,1437.38
2015-12-25,後場,1446.44,1456.79,1446.15,1451.90
2015-12-25,前場,1437.52,1451.61,1433.50,1445.57
2015-12-24,後場,1423.33,1438.95,1419.93,1437.81
2015-12-24,前場,1395.51,1418.51,1394.38,1417.09
2015-12-22,後場,1418.79,1419.36,1411.10,1419.36
2015-12-22,前場,1418.50,1433.03,1413.95,1420.21
2015-12-21,後場,1452.45,1453.02,1412.32,1423.63
2015-12-21,前場,1432.95,1458.10,1421.37,1456.41
2015-12-18,後場,1368.40,1412.89,1311.35,1412.89
2015-12-18,前場,1368.94,1386.41,1365.67,1371.67
2015-12-17,後場,1346.25,1369.07,1345.97,1364.85
2015-12-17,前場,1362.31,1367.10,1342.59,1345.40
2015-12-16,後場,1412.96,1416.82,1404.35,1408.80
2015-12-16,前場,1437.89,1438.78,1417.71,1418.30
2015-12-15,後場,1460.36,1484.20,1454.61,1484.20
2015-12-15,前場,1437.08,1462.65,1432.20,1458.34
2015-12-14,後場,1451.88,1451.88,1434.27,1436.51
2015-12-14,前場,1447.41,1477.03,1445.45,1457.47
2015-12-11,後場,1398.52,1403.04,1393.14,1397.38
2015-12-11,前場,1421.99,1421.99,1389.75,1396.54
2015-12-10,後場,1406.03,1415.46,1402.98,1414.07
2015-12-10,前場,1414.35,1418.23,1402.42,1411.85
2015-12-09,後場,1385.80,1390.17,1378.98,1386.89
2015-12-09,前場,1378.71,1390.17,1362.89,1388.26
2015-12-08,後場,1363.72,1365.85,1357.84,1363.98
2015-12-08,前場,1335.66,1364.52,1327.64,1363.45
2015-12-07,後場,1321.28,1337.28,1321.28,1336.19
2015-12-07,前場,1330.77,1331.04,1320.20,1321.01
2015-12-04,後場,1358.84,1363.29,1355.44,1355.44
2015-12-04,前場,1350.99,1355.96,1346.02,1353.61
2015-12-03,後場,1316.20,1317.51,1304.41,1308.34
2015-12-03,前場,1313.06,1319.08,1308.34,1314.89
2015-12-02,後場,1303.88,1309.39,1302.05,1309.39
2015-12-02,前場,1310.70,1312.53,1301.26,1301.26
2015-12-01,後場,1317.18,1322.03,1309.91,1309.91
2015-12-01,前場,1339.00,1340.08,1313.14,1315.03
2015-11-30,後場,1343.90,1348.93,1341.52,1346.81
2015-11-30,前場,1325.38,1342.58,1324.58,1338.87
2015-11-27,後場,1321.95,1326.15,1321.43,1323.26
2015-11-27,前場,1305.96,1327.98,1305.96,1321.17
2015-11-26,後場,1309.09,1312.01,1301.42,1310.42
2015-11-26,前場,1314.12,1314.39,1304.86,1311.21
2015-11-25,後場,1328.60,1330.43,1318.94,1323.12
2015-11-25,前場,1313.72,1327.82,1313.46,1323.64
2015-11-24,後場,1313.23,1315.32,1301.18,1304.85
2015-11-24,前場,1311.92,1317.16,1309.82,1313.49
2015-11-20,後場,1321.39,1326.12,1309.30,1309.30
2015-11-20,前場,1322.18,1330.59,1322.18,1325.59
2015-11-19,後場,1312.16,1324.19,1308.42,1313.77
2015-11-19,前場,1311.09,1314.03,1297.99,1303.87
2015-11-18,後場,1322.31,1338.37,1320.71,1337.03
2015-11-18,前場,1323.92,1326.59,1315.89,1321.78
2015-11-17,後場,1328.02,1337.83,1326.66,1337.83
2015-11-17,前場,1330.20,1335.93,1326.93,1327.20
2015-11-16,後場,1362.93,1364.80,1356.50,1363.19
2015-11-16,前場,1383.82,1386.49,1354.89,1361.05
2015-11-13,後場,1349.69,1350.76,1338.29,1339.09
2015-11-13,前場,1353.67,1363.75,1339.88,1347.84
2015-11-12,後場,1323.44,1328.21,1322.92,1326.09
2015-11-12,前場,1329.27,1336.41,1320.27,1323.97
2015-11-11,後場,1322.91,1327.71,1317.31,1323.18
2015-11-11,前場,1342.37,1342.37,1323.98,1328.77
2015-11-10,後場,1345.01,1348.20,1331.97,1333.04
2015-11-10,前場,1354.86,1355.39,1340.22,1350.07
2015-11-09,後場,1331.19,1338.64,1325.67,1330.64
2015-11-09,前場,1357.11,1359.60,1325.12,1325.12
2015-11-06,後場,1386.43,1392.01,1374.72,1378.90
2015-11-06,前場,1382.81,1390.06,1378.62,1385.60
2015-11-05,後場,1386.85,1397.36,1385.42,1394.24
2015-11-05,前場,1408.45,1411.29,1387.98,1390.83
2015-11-04,後場,1392.59,1421.24,1390.28,1421.24
2015-11-04,前場,1408.22,1410.24,1392.59,1393.17
2015-11-02,後場,1444.20,1453.10,1440.58,1446.70
2015-11-02,前場,1425.00,1448.09,1424.45,1444.20
2015-10-30,後場,1419.85,1427.75,1372.14,1391.06
2015-10-30,前場,1411.38,1417.03,1402.63,1413.64
2015-10-29,後場,1419.28,1429.16,1405.74,1411.38
2015-10-29,前場,1391.91,1418.44,1390.22,1416.74
2015-10-28,後場,1413.37,1420.47,1410.82,1411.10
2015-10-28,前場,1416.49,1424.15,1405.43,1412.81
2015-10-27,後場,1407.08,1419.59,1407.08,1418.48
2015-10-27,前場,1390.95,1408.75,1389.29,1407.91
2015-10-26,後場,1373.48,1390.97,1371.50,1390.12
2015-10-26,前場,1376.02,1382.50,1370.09,1376.30
2015-10-23,後場,1401.92,1414.25,1399.28,1410.43
2015-10-23,前場,1415.42,1417.48,1399.86,1406.03
2015-10-22,後場,1451.99,1474.34,1451.41,1467.67
2015-10-22,前場,1469.12,1470.86,1447.06,1448.51
