日付,始値,高値,安値,終値
2016-12-30,1194.33,1195.74,1174.75,1179.46
2016-12-29,1164.49,1187.30,1163.80,1179.70
2016-12-28,1153.43,1157.35,1146.74,1152.05
2016-12-27,1155.96,1156.19,1140.32,1152.97
2016-12-26,1146.33,1150.67,1144.50,1150.21
2016-12-22,1144.26,1153.61,1141.76,1141.76
2016-12-21,1125.03,1144.90,1120.06,1140.16
2016-12-20,1138.84,1141.11,1127.96,1129.32
2016-12-19,1137.71,1143.59,1133.40,1134.08
2016-12-16,1125.87,1137.76,1125.64,1131.82
2016-12-15,1142.33,1152.22,1128.08,1143.71
2016-12-14,1145.56,1153.60,1144.42,1149.69
2016-12-13,1167.60,1173.64,1147.40,1147.40
2016-12-12,1150.34,1177.95,1143.31,1160.87
2016-12-09,1188.56,1192.85,1167.85,1170.23
2016-12-08,1201.76,1210.59,1190.23,1190.23
2016-12-07,1237.29,1242.53,1226.54,1226.54
2016-12-06,1242.19,1256.88,1238.64,1249.28
2016-12-05,1261.03,1275.01,1258.04,1267.02
2016-12-02,1244.83,1259.21,1237.40,1248.30
2016-12-01,1235.85,1246.96,1212.86,1239.38
2016-11-30,1259.09,1268.95,1257.06,1263.13
2016-11-29,1275.51,1275.51,1262.88,1264.65
2016-11-28,1283.23,1285.01,1260.09,1262.88
2016-11-25,1271.53,1285.60,1257.45,1271.53
2016-11-24,1277.11,1282.58,1273.21,1279.46
2016-11-22,1312.34,1315.74,1300.28,1301.85
2016-11-21,1324.41,1328.69,1307.83,1310.24
2016-11-18,1324.04,1337.52,1323.24,1337.25
2016-11-17,1365.04,1366.93,1347.49,1347.49
2016-11-16,1359.90,1363.51,1348.53,1350.19
2016-11-15,1386.81,1403.25,1380.96,1387.09
2016-11-14,1420.55,1422.28,1389.48,1392.94
2016-11-11,1420.79,1448.20,1395.12,1438.39
2016-11-10,1566.71,1567.36,1434.93,1442.43
2016-11-09,1475.85,1660.85,1454.63,1630.97
2016-11-08,1485.71,1501.56,1482.72,1494.38
2016-11-07,1493.43,1511.19,1485.77,1495.88
2016-11-04,1519.25,1552.22,1513.60,1531.72
2016-11-02,1469.03,1496.57,1466.74,1485.38
2016-11-01,1438.05,1452.11,1431.17,1434.32
2016-10-31,1446.67,1450.69,1433.75,1434.61
2016-10-28,1440.71,1447.42,1435.17,1435.76
2016-10-27,1460.53,1466.64,1445.38,1457.62
2016-10-26,1471.43,1477.00,1455.87,1456.16
2016-10-25,1478.92,1478.92,1464.04,1467.61
2016-10-24,1491.74,1502.20,1486.36,1488.75
2016-10-21,1478.71,1498.86,1476.93,1493.83
2016-10-20,1514.33,1515.54,1481.97,1481.97
2016-10-19,1516.14,1520.99,1508.27,1512.21
2016-10-18,1528.65,1534.43,1513.72,1513.72
2016-10-17,1534.83,1541.28,1517.64,1522.86
2016-10-14,1548.74,1556.17,1532.97,1535.14
2016-10-13,1532.35,1558.02,1519.36,1546.27
2016-10-12,1545.97,1546.57,1524.15,1546.27
2016-10-11,1520.56,1521.78,1501.30,1515.06
2016-10-07,1522.11,1538.53,1520.29,1527.89
2016-10-06,1518.15,1522.13,1505.87,1520.29
2016-10-05,1542.48,1550.86,1529.44,1534.10
2016-10-04,1566.27,1569.42,1549.90,1551.79
2016-10-03,1572.55,1577.96,1555.98,1574.14
2016-09-30,1592.33,1609.34,1579.96,1593.26
2016-09-29,1552.24,1559.18,1535.22,1546.25
2016-09-28,1567.59,1589.99,1561.77,1575.88
2016-09-27,1599.90,1616.80,1533.85,1533.85
2016-09-26,1539.69,1570.06,1539.38,1565.15
2016-09-23,1541.19,1551.88,1530.50,1533.86
2016-09-21,1613.69,1632.74,1525.23,1526.84
2016-09-20,1643.97,1644.63,1597.09,1614.34
2016-09-16,1645.89,1652.17,1623.72,1628.02
2016-09-15,1642.17,1665.84,1638.93,1654.49
2016-09-14,1621.10,1625.26,1606.05,1620.78
2016-09-13,1586.20,1613.74,1583.00,1600.93
2016-09-12,1596.26,1615.51,1585.70,1600.61
2016-09-09,1550.00,1559.90,1539.78,1552.78
