日付,時刻,始値,高値,安値,終値
2016-12-30,後場,1775.87,1782.70,1775.68,1778.81
2016-12-30,前場,1766.98,1772.42,1766.23,1772.28
2016-12-29,後場,1783.13,1783.13,1774.64,1781.28
2016-12-29,前場,1793.21,1794.78,1781.10,1782.98
2016-12-28,後場,1807.76,1810.48,1803.90,1805.82
2016-12-28,前場,1805.19,1807.27,1801.34,1807.10
2016-12-27,後場,1812.63,1812.98,1800.33,1803.38
2016-12-27,前場,1798.36,1815.09,1797.41,1811.30
2016-12-26,後場,1806.70,1807.69,1804.36,1805.14
2016-12-26,前場,1813.03,1814.50,1806.44,1807.11
2016-12-22,後場,1812.96,1819.06,1810.28,1819.06
2016-12-22,前場,1817.17,1817.17,1805.54,1815.15
2016-12-21,後場,1827.87,1829.95,1815.70,1820.32
2016-12-21,前場,1832.19,1839.58,1826.84,1828.73
2016-12-20,後場,1820.96,1826.85,1816.14,1826.71
2016-12-20,前場,1823.54,1824.23,1818.05,1819.48
2016-12-19,後場,1827.64,1830.18,1825.12,1829.24
2016-12-19,前場,1828.58,1831.42,1822.28,1827.43
2016-12-16,後場,1835.82,1836.68,1830.97,1836.31
2016-12-16,前場,1839.76,1840.11,1831.37,1837.10
2016-12-15,後場,1818.18,1829.90,1815.64,1823.30
2016-12-15,前場,1825.15,1837.85,1816.19,1817.68
2016-12-14,後場,1815.50,1819.50,1814.28,1817.17
2016-12-14,前場,1821.07,1821.07,1811.27,1814.76
2016-12-13,後場,1808.48,1820.05,1801.75,1820.05
2016-12-13,前場,1804.32,1816.96,1798.08,1808.28
2016-12-12,後場,1804.71,1815.73,1798.16,1814.60
2016-12-12,前場,1829.83,1837.24,1805.77,1808.96
2016-12-09,後場,1810.21,1815.73,1807.07,1814.25
2016-12-09,前場,1800.74,1810.76,1795.13,1809.50
2016-12-08,後場,1781.82,1796.60,1780.40,1796.60
2016-12-08,前場,1785.06,1791.82,1780.16,1782.34
2016-12-07,後場,1754.64,1764.66,1754.33,1764.66
2016-12-07,前場,1751.73,1759.75,1750.58,1754.70
2016-12-06,後場,1735.79,1742.74,1733.63,1741.00
2016-12-06,前場,1740.54,1745.29,1735.52,1739.62
2016-12-05,後場,1721.51,1721.72,1713.98,1720.74
2016-12-05,前場,1724.74,1725.89,1714.80,1720.62
2016-12-02,後場,1735.83,1737.61,1726.12,1734.97
2016-12-02,前場,1727.67,1736.94,1727.38,1736.86
2016-12-01,後場,1740.98,1741.82,1721.59,1726.78
2016-12-01,前場,1723.65,1744.68,1722.44,1742.74
2016-11-30,後場,1706.33,1706.38,1698.64,1702.24
2016-11-30,前場,1706.89,1708.27,1700.80,1706.85
2016-11-29,後場,1703.73,1704.08,1699.35,1702.84
2016-11-29,前場,1694.54,1703.83,1694.19,1703.63
2016-11-28,後場,1694.11,1707.75,1694.11,1705.92
2016-11-28,前場,1687.76,1696.44,1685.49,1692.04
2016-11-25,後場,1703.41,1704.07,1686.00,1696.74
2016-11-25,前場,1698.07,1709.78,1697.94,1705.39
2016-11-24,後場,1692.58,1695.95,1691.27,1692.95
2016-11-24,前場,1694.06,1695.66,1689.15,1690.34
2016-11-22,後場,1675.07,1676.20,1670.96,1674.92
2016-11-22,前場,1668.18,1675.25,1665.99,1672.49
2016-11-21,後場,1666.32,1671.94,1666.32,1670.12
2016-11-21,前場,1660.35,1667.46,1656.46,1665.11
2016-11-18,後場,1657.80,1657.80,1651.58,1652.16
2016-11-18,前場,1663.09,1664.88,1654.22,1657.37
2016-11-17,後場,1640.54,1644.89,1636.51,1644.89
2016-11-17,前場,1634.13,1642.37,1630.59,1641.86
2016-11-16,後場,1644.38,1648.08,1641.52,1646.89
2016-11-16,前場,1638.93,1645.24,1637.64,1644.25
2016-11-15,後場,1620.49,1624.66,1615.03,1620.66
2016-11-15,前場,1619.59,1627.04,1610.81,1619.70
2016-11-14,後場,1611.58,1614.72,1611.19,1614.00
2016-11-14,前場,1594.12,1613.16,1593.91,1610.59
2016-11-11,後場,1589.80,1591.47,1576.72,1582.68
2016-11-11,前場,1580.53,1604.03,1579.86,1585.83
2016-11-10,後場,1558.71,1569.44,1555.99,1565.21
2016-11-10,前場,1499.18,1561.05,1499.12,1557.09
2016-11-09,後場,1479.62,1487.51,1453.15,1469.21
2016-11-09,前場,1555.86,1566.38,1497.21,1507.26
2016-11-08,後場,1541.44,1547.93,1541.44,1545.22
2016-11-08,前場,1545.53,1549.32,1539.44,1542.75
2016-11-07,後場,1542.90,1542.98,1538.57,1540.70
2016-11-07,前場,1542.32,1546.76,1534.11,1541.51
2016-11-04,後場,1517.28,1523.13,1515.15,1521.88
2016-11-04,前場,1527.93,1532.57,1510.33,1519.67
2016-11-02,後場,1545.35,1548.38,1539.80,1546.25
2016-11-02,前場,1553.87,1556.30,1546.73,1549.29
2016-11-01,後場,1573.21,1576.78,1569.60,1575.09
2016-11-01,前場,1571.75,1572.74,1563.96,1569.07
2016-10-31,後場,1569.11,1572.21,1566.99,1571.90
2016-10-31,前場,1564.28,1570.13,1562.95,1567.50
2016-10-28,後場,1566.78,1571.04,1566.42,1570.45
2016-10-28,前場,1564.86,1568.00,1563.64,1566.85
2016-10-27,後場,1550.94,1556.65,1548.03,1553.72
2016-10-27,前場,1551.91,1560.00,1550.91,1553.84
2016-10-26,後場,1548.97,1554.16,1548.75,1554.15
2016-10-26,前場,1547.27,1547.95,1541.85,1546.01
2016-10-25,後場,1549.56,1552.14,1547.26,1549.65
2016-10-25,前場,1544.64,1553.50,1544.64,1549.35
2016-10-24,後場,1534.40,1538.64,1533.57,1537.84
2016-10-24,前場,1536.65,1537.04,1529.88,1532.31
2016-10-21,後場,1542.73,1544.26,1532.53,1535.74
2016-10-21,前場,1540.42,1544.88,1536.95,1544.28
2016-10-20,後場,1532.29,1537.81,1532.09,1537.81
2016-10-20,前場,1519.85,1533.67,1518.18,1532.53
2016-10-19,後場,1519.76,1522.21,1518.15,1520.17
2016-10-19,前場,1519.57,1521.70,1514.87,1519.64
2016-10-18,後場,1515.23,1520.89,1510.97,1520.89
2016-10-18,前場,1513.75,1517.79,1507.25,1515.65
2016-10-17,後場,1516.51,1518.93,1514.16,1517.11
2016-10-17,前場,1511.95,1522.63,1509.21,1513.02
2016-10-14,後場,1504.85,1511.21,1503.49,1510.60
2016-10-14,前場,1502.51,1509.92,1497.47,1501.58
2016-10-13,後場,1498.67,1504.61,1497.40,1503.16
2016-10-13,前場,1512.03,1519.95,1501.02,1502.02
2016-10-12,後場,1511.10,1511.50,1503.75,1503.76
2016-10-12,前場,1503.98,1515.50,1503.46,1513.23
2016-10-11,後場,1526.77,1526.77,1519.64,1521.26
2016-10-11,前場,1520.44,1531.30,1520.04,1527.43
2016-10-07,後場,1514.65,1516.84,1510.66,1516.84
2016-10-07,前場,1519.32,1521.24,1513.76,1514.87
2016-10-06,後場,1523.13,1524.86,1518.46,1519.47
2016-10-06,前場,1519.87,1528.82,1519.18,1522.34
2016-10-05,後場,1509.15,1510.91,1506.27,1508.77
2016-10-05,前場,1502.03,1509.89,1496.80,1509.17
2016-10-04,後場,1494.08,1498.05,1489.88,1496.04
2016-10-04,前場,1486.72,1496.99,1485.80,1496.60
2016-10-03,後場,1490.25,1490.43,1481.04,1482.46
2016-10-03,前場,1486.42,1493.72,1483.16,1490.20
2016-09-30,後場,1477.23,1482.14,1475.87,1475.87
2016-09-30,前場,1477.68,1478.79,1467.25,1475.83
2016-09-29,後場,1502.40,1507.40,1500.79,1501.73
2016-09-29,前場,1497.85,1505.38,1494.60,1502.31
2016-09-28,後場,1478.88,1484.92,1478.21,1484.18
2016-09-28,前場,1491.06,1493.58,1476.77,1480.06
2016-09-27,後場,1492.08,1512.19,1491.79,1512.19
2016-09-27,前場,1481.52,1487.97,1469.58,1487.51
2016-09-26,後場,1509.17,1511.22,1498.64,1500.86
2016-09-26,前場,1514.96,1515.17,1506.43,1508.70
2016-09-23,後場,1518.81,1520.51,1516.53,1519.11
2016-09-23,前場,1517.56,1521.75,1510.31,1518.66
2016-09-21,後場,1473.85,1528.65,1472.60,1527.91
2016-09-21,前場,1480.17,1481.25,1468.03,1471.58
2016-09-20,後場,1482.73,1486.06,1475.72,1478.76
2016-09-20,前場,1464.66,1487.73,1464.66,1482.65
2016-09-16,後場,1467.56,1475.18,1465.22,1472.72
2016-09-16,前場,1464.00,1470.29,1461.78,1468.80
2016-09-15,後場,1459.11,1462.49,1455.49,1460.04
2016-09-15,前場,1466.02,1467.97,1454.15,1459.62
2016-09-14,後場,1484.61,1485.72,1477.89,1478.81
2016-09-14,前場,1478.04,1484.38,1474.37,1483.21
2016-09-13,後場,1489.13,1492.74,1483.28,1489.55
2016-09-13,前場,1500.83,1501.69,1486.36,1486.98
2016-09-12,後場,1493.42,1494.68,1486.74,1494.37
2016-09-12,前場,1496.77,1503.17,1488.89,1493.90
2016-09-09,後場,1520.58,1523.29,1518.68,1518.68
2016-09-09,前場,1517.18,1524.21,1515.27,1516.37
2016-09-08,後場,1516.67,1519.69,1509.27,1518.70
2016-09-08,前場,1520.38,1522.26,1516.51,1519.74
2016-09-07,後場,1514.01,1525.41,1511.91,1524.49
2016-09-07,前場,1517.77,1521.79,1513.26,1516.62
2016-09-06,後場,1536.21,1536.75,1531.99,1535.38
2016-09-06,前場,1529.39,1536.57,1527.60,1534.08
2016-09-05,後場,1540.41,1540.74,1526.23,1527.42
2016-09-05,前場,1542.75,1545.47,1536.68,1543.88
2016-09-02,後場,1518.26,1523.36,1513.48,1522.13
2016-09-02,前場,1515.60,1521.26,1511.28,1520.28
2016-09-01,後場,1517.88,1520.70,1514.60,1518.11
2016-09-01,前場,1509.87,1520.33,1506.50,1518.08
2016-08-31,後場,1506.21,1510.36,1506.21,1509.04
2016-08-31,前場,1499.62,1506.06,1498.90,1504.91
2016-08-30,後場,1485.11,1487.32,1483.03,1484.48
2016-08-30,前場,1477.97,1486.13,1476.36,1485.56
2016-08-29,後場,1484.44,1485.92,1480.14,1481.13
2016-08-29,前場,1471.65,1484.64,1470.97,1483.98
2016-08-26,後場,1452.37,1456.98,1446.97,1446.97
2016-08-26,前場,1458.45,1458.64,1448.33,1455.61
2016-08-25,後場,1464.53,1467.20,1462.43,1464.36
2016-08-25,前場,1464.83,1464.83,1459.18,1461.87
2016-08-24,後場,1467.97,1469.15,1464.94,1465.91
2016-08-24,前場,1464.38,1473.30,1463.08,1466.16
2016-08-23,後場,1456.90,1466.90,1449.48,1454.98
2016-08-23,前場,1462.49,1464.64,1456.64,1458.90
2016-08-22,後場,1465.70,1470.83,1464.77,1469.33
2016-08-22,前場,1466.00,1469.32,1458.26,1465.20
