日付,始値,高値,安値,終値
2010-12-30,1090.22,1090.88,1078.94,1080.99
2010-12-29,1085.39,1093.04,1084.26,1093.04
2010-12-28,1086.39,1088.49,1085.56,1085.77
2010-12-27,1082.83,1088.65,1082.36,1086.08
2010-12-24,1085.00,1086.84,1081.16,1083.03
2010-12-22,1088.06,1094.19,1086.84,1089.71
2010-12-21,1083.78,1092.41,1083.06,1088.83
2010-12-20,1088.45,1089.45,1076.46,1080.60
2010-12-17,1087.89,1091.64,1085.64,1087.34
2010-12-16,1082.55,1092.45,1081.71,1087.27
2010-12-15,1088.58,1088.58,1081.58,1084.73
2010-12-14,1076.77,1084.39,1076.49,1084.39
2010-12-13,1063.39,1077.60,1061.96,1077.60
2010-12-10,1071.22,1071.22,1061.78,1064.56
2010-12-09,1063.83,1068.17,1061.01,1067.39
2010-12-08,1052.11,1059.80,1051.86,1059.80
2010-12-07,1050.32,1050.48,1045.07,1048.50
2010-12-06,1049.39,1052.60,1047.55,1052.05
2010-12-03,1053.87,1055.87,1046.07,1048.07
2010-12-02,1048.39,1050.71,1045.24,1045.99
2010-12-01,1026.13,1032.61,1022.90,1032.61
2010-11-30,1041.00,1043.87,1026.50,1026.50
2010-11-29,1037.17,1046.85,1037.10,1044.73
2010-11-26,1038.83,1044.34,1035.01,1035.01
2010-11-25,1044.66,1044.66,1036.30,1038.53
2010-11-24,1030.73,1039.77,1026.35,1035.65
2010-11-22,1050.15,1052.60,1045.76,1048.33
2010-11-19,1049.59,1050.43,1040.66,1041.42
2010-11-18,1015.41,1039.54,1013.91,1039.54
2010-11-17,999.74,1014.27,999.74,1013.60
2010-11-16,1020.00,1020.83,1006.30,1009.32
2010-11-15,1014.93,1015.48,1008.77,1013.58
2010-11-12,1014.32,1019.85,1008.21,1008.21
2010-11-11,1018.79,1022.88,1016.32,1020.12
2010-11-10,999.43,1015.17,998.95,1013.90
2010-11-09,991.24,998.57,989.71,993.62
2010-11-08,996.35,997.92,990.60,996.22
2010-11-05,979.31,995.09,979.19,988.84
2010-11-04,961.98,971.52,961.57,965.28
2010-11-02,949.63,950.90,944.98,949.90
2010-11-01,955.68,960.43,948.68,951.11
2010-10-29,963.59,966.26,951.38,962.22
2010-10-28,966.97,970.24,962.96,964.29
2010-10-27,974.14,976.31,963.53,969.73
2010-10-26,972.67,978.48,970.71,970.71
2010-10-25,978.50,981.10,972.95,974.52
2010-10-22,974.59,982.33,973.44,978.66
2010-10-21,978.15,979.90,967.53,973.43
2010-10-20,978.47,979.45,968.05,978.05
2010-10-19,986.22,995.60,985.70,990.01
2010-10-18,980.29,990.58,979.64,985.22
2010-10-15,990.11,990.19,977.01,979.39
2010-10-14,986.60,997.73,985.18,993.33
2010-10-13,987.57,991.24,976.30,977.56
2010-10-12,1006.99,1007.18,979.58,981.39
