日付,時刻,始値,高値,安値,終値
2016-12-30,後場,1720.78,1727.26,1720.42,1723.16
2016-12-30,前場,1712.79,1717.29,1710.74,1717.29
2016-12-29,後場,1726.45,1726.48,1715.83,1721.85
2016-12-29,前場,1732.81,1734.44,1722.26,1727.06
2016-12-28,後場,1741.52,1745.58,1739.94,1741.28
2016-12-28,前場,1735.98,1741.45,1734.61,1741.39
2016-12-27,後場,1744.28,1744.46,1733.92,1736.70
2016-12-27,前場,1735.30,1746.78,1735.06,1743.03
2016-12-26,後場,1740.11,1740.75,1737.17,1737.48
2016-12-26,前場,1739.36,1741.22,1738.30,1739.93
2016-12-22,後場,1735.23,1738.10,1732.38,1738.10
2016-12-22,前場,1737.18,1737.18,1730.47,1737.09
2016-12-21,後場,1747.02,1748.91,1734.49,1738.12
2016-12-21,前場,1751.16,1752.96,1746.53,1748.36
2016-12-20,後場,1742.83,1751.20,1741.52,1749.43
2016-12-20,前場,1742.05,1744.92,1739.58,1741.93
2016-12-19,後場,1740.56,1746.36,1739.53,1745.24
2016-12-19,前場,1741.62,1743.77,1735.56,1740.29
2016-12-16,後場,1743.59,1746.37,1740.47,1745.37
2016-12-16,前場,1745.57,1746.10,1739.98,1745.15
2016-12-15,後場,1726.95,1737.41,1723.33,1731.23
2016-12-15,前場,1728.89,1739.88,1725.00,1726.46
2016-12-14,後場,1725.41,1728.87,1724.48,1725.45
2016-12-14,前場,1729.81,1731.60,1722.72,1724.24
2016-12-13,後場,1716.57,1729.13,1713.97,1728.68
2016-12-13,前場,1710.26,1721.85,1707.75,1716.19
2016-12-12,後場,1706.76,1715.68,1701.27,1714.53
2016-12-12,前場,1717.42,1721.32,1706.99,1709.62
2016-12-09,後場,1701.05,1705.97,1697.58,1704.15
2016-12-09,前場,1693.07,1702.76,1688.76,1700.65
2016-12-08,後場,1678.09,1692.95,1677.36,1692.95
2016-12-08,前場,1685.87,1688.12,1678.31,1679.00
2016-12-07,後場,1662.50,1669.63,1662.01,1669.61
2016-12-07,前場,1662.96,1667.49,1659.42,1662.38
2016-12-06,後場,1651.23,1656.86,1649.56,1655.51
2016-12-06,前場,1661.72,1663.66,1651.00,1654.47
2016-12-05,後場,1644.60,1645.76,1639.33,1645.16
2016-12-05,前場,1649.83,1651.48,1642.03,1643.89
2016-12-02,後場,1659.95,1660.37,1650.01,1656.54
2016-12-02,前場,1661.36,1665.58,1656.51,1661.06
2016-12-01,後場,1682.08,1683.74,1662.13,1667.16
2016-12-01,前場,1671.77,1685.48,1668.96,1683.49
2016-11-30,後場,1655.69,1656.54,1651.76,1654.13
2016-11-30,前場,1656.18,1657.78,1650.60,1655.44
2016-11-29,後場,1652.79,1653.49,1649.02,1652.56
2016-11-29,前場,1646.91,1653.41,1646.91,1652.60
2016-11-28,後場,1645.71,1656.74,1645.51,1654.73
2016-11-28,前場,1643.74,1648.25,1641.86,1644.29
2016-11-25,後場,1655.26,1655.73,1642.28,1650.75
2016-11-25,前場,1649.81,1658.31,1649.48,1656.66
2016-11-24,後場,1647.38,1649.64,1644.13,1645.12
2016-11-24,前場,1648.14,1648.14,1642.06,1645.55
2016-11-22,後場,1634.90,1636.34,1631.62,1635.42
2016-11-22,前場,1627.98,1634.17,1625.80,1632.25
2016-11-21,後場,1626.25,1630.03,1626.25,1628.91
2016-11-21,前場,1623.50,1627.30,1620.22,1625.20
2016-11-18,後場,1616.70,1619.27,1614.45,1616.03
2016-11-18,前場,1618.96,1618.99,1612.06,1614.79
2016-11-17,後場,1603.15,1605.97,1600.17,1605.97
2016-11-17,前場,1595.40,1606.79,1592.51,1604.21
2016-11-16,後場,1600.18,1603.91,1598.19,1603.62
2016-11-16,前場,1600.12,1601.24,1594.47,1599.98
2016-11-15,後場,1582.74,1585.93,1579.78,1584.92
2016-11-15,前場,1590.51,1592.31,1577.68,1581.52
2016-11-14,後場,1585.37,1589.04,1584.91,1587.40
2016-11-14,前場,1571.30,1586.23,1570.48,1584.30
2016-11-11,後場,1567.76,1569.19,1555.33,1560.02
2016-11-11,前場,1582.62,1589.64,1564.18,1564.45
2016-11-10,後場,1564.47,1573.47,1560.52,1571.22
2016-11-10,前場,1523.51,1569.22,1522.96,1562.29
2016-11-09,後場,1502.00,1513.24,1479.16,1494.39
2016-11-09,前場,1569.36,1582.55,1520.97,1529.56
2016-11-08,後場,1559.24,1564.99,1559.00,1561.67
2016-11-08,前場,1566.35,1567.01,1557.45,1560.25
2016-11-07,後場,1564.14,1566.00,1560.56,1563.89
2016-11-07,前場,1566.12,1569.58,1556.44,1562.97
2016-11-04,後場,1542.75,1548.64,1540.93,1547.64
2016-11-04,前場,1548.48,1554.40,1535.37,1545.06
2016-11-02,後場,1563.15,1566.14,1558.29,1563.96
2016-11-02,前場,1572.43,1574.08,1564.16,1566.74
2016-11-01,後場,1588.53,1591.15,1585.52,1590.93
2016-11-01,前場,1587.56,1587.56,1580.55,1584.91
2016-10-31,後場,1585.95,1591.05,1585.34,1590.86
2016-10-31,前場,1585.94,1590.90,1581.51,1583.79
2016-10-28,後場,1588.63,1595.38,1587.66,1594.87
2016-10-28,前場,1594.12,1596.09,1588.22,1588.72
2016-10-27,後場,1582.61,1587.24,1580.09,1585.13
2016-10-27,前場,1585.64,1592.09,1584.90,1585.81
2016-10-26,後場,1582.85,1587.93,1582.60,1587.66
2016-10-26,前場,1580.19,1582.38,1577.18,1580.29
2016-10-25,後場,1580.12,1583.90,1579.58,1582.49
2016-10-25,前場,1576.38,1583.38,1576.14,1579.52
2016-10-24,後場,1566.76,1572.45,1565.93,1571.59
2016-10-24,前場,1567.12,1568.56,1563.15,1564.87
2016-10-21,後場,1569.72,1570.51,1562.37,1564.99
2016-10-21,前場,1571.14,1572.45,1567.46,1571.27
2016-10-20,後場,1564.13,1570.20,1563.88,1570.20
2016-10-20,前場,1556.01,1566.70,1554.70,1564.73
2016-10-19,後場,1554.93,1558.15,1552.36,1556.43
2016-10-19,前場,1552.02,1557.90,1550.54,1555.59
2016-10-18,後場,1546.86,1552.82,1543.99,1552.30
2016-10-18,前場,1540.89,1549.86,1540.89,1546.96
2016-10-17,後場,1539.92,1544.00,1539.32,1542.74
2016-10-17,前場,1534.72,1544.41,1532.12,1536.76
2016-10-14,後場,1533.40,1538.28,1531.52,1537.31
2016-10-14,前場,1532.32,1540.10,1527.30,1530.00
2016-10-13,後場,1529.07,1537.14,1528.84,1535.82
2016-10-13,前場,1540.66,1547.04,1531.56,1532.26
2016-10-12,後場,1541.63,1542.69,1534.89,1535.03
2016-10-12,前場,1533.10,1546.84,1533.10,1544.06
2016-10-11,後場,1552.57,1552.57,1546.82,1548.65
2016-10-11,前場,1545.65,1556.12,1545.27,1553.80
2016-10-07,後場,1540.70,1542.22,1537.34,1542.22
2016-10-07,前場,1544.71,1544.97,1539.64,1541.27
2016-10-06,後場,1548.11,1550.44,1545.19,1546.33
2016-10-06,前場,1548.24,1552.33,1545.26,1547.69
2016-10-05,後場,1543.71,1544.74,1539.40,1541.54
2016-10-05,前場,1538.90,1544.60,1533.94,1543.26
2016-10-04,後場,1532.80,1536.24,1529.89,1535.23
2016-10-04,前場,1529.87,1535.61,1528.46,1535.55
2016-10-03,後場,1531.73,1531.98,1524.56,1526.91
2016-10-03,前場,1527.04,1534.03,1524.11,1531.76
2016-09-30,後場,1515.64,1520.99,1514.95,1514.95
2016-09-30,前場,1514.21,1517.58,1506.35,1514.22
2016-09-29,後場,1537.65,1543.41,1535.79,1538.34
2016-09-29,前場,1535.59,1540.59,1531.78,1537.33
2016-09-28,後場,1520.11,1525.56,1517.93,1525.36
2016-09-28,前場,1527.51,1531.25,1518.47,1522.12
2016-09-27,後場,1524.64,1544.09,1524.11,1544.09
2016-09-27,前場,1509.92,1520.33,1502.72,1520.33
2016-09-26,後場,1531.65,1534.08,1522.28,1524.63
2016-09-26,前場,1538.14,1538.44,1529.21,1531.24
2016-09-23,後場,1537.80,1540.72,1536.45,1540.52
2016-09-23,前場,1533.34,1540.94,1528.39,1538.43
2016-09-21,後場,1497.40,1540.64,1496.58,1540.00
2016-09-21,前場,1500.51,1501.84,1494.02,1495.72
2016-09-20,後場,1502.94,1508.58,1499.85,1502.91
2016-09-20,前場,1485.55,1509.13,1485.34,1502.88
2016-09-16,後場,1488.96,1497.97,1488.96,1497.26
2016-09-16,前場,1488.48,1492.18,1486.65,1490.34
2016-09-15,後場,1483.22,1485.77,1478.73,1483.37
2016-09-15,前場,1486.41,1488.37,1478.91,1483.76
2016-09-14,後場,1501.85,1503.03,1494.26,1495.74
2016-09-14,前場,1492.95,1501.78,1491.39,1500.45
2016-09-13,後場,1501.34,1505.40,1496.86,1503.44
2016-09-13,前場,1505.21,1508.67,1498.52,1499.09
2016-09-12,後場,1500.23,1500.27,1492.87,1499.16
2016-09-12,前場,1500.25,1506.21,1494.95,1501.03
2016-09-09,後場,1522.11,1524.35,1520.53,1521.75
2016-09-09,前場,1522.48,1525.95,1516.35,1518.07
2016-09-08,後場,1521.31,1524.73,1514.11,1523.73
2016-09-08,前場,1523.45,1525.28,1522.09,1523.94
