日付,始値,高値,安値,終値
2008-12-30,881.31,890.18,879.02,889.58
2008-12-29,875.77,885.84,870.64,885.10
2008-12-26,869.45,876.65,867.87,876.65
2008-12-25,859.75,866.12,859.30,866.12
2008-12-24,869.84,869.84,855.54,857.79
2008-12-22,865.98,878.18,865.65,876.95
2008-12-19,869.55,877.49,863.15,863.42
2008-12-18,867.53,880.58,865.54,870.99
2008-12-17,874.41,880.70,848.97,871.10
2008-12-16,876.66,876.79,862.66,864.40
2008-12-15,858.34,886.51,858.34,882.57
2008-12-12,870.10,873.55,831.75,847.26
2008-12-11,864.88,880.50,855.84,880.50
2008-12-10,850.36,870.53,849.91,866.60
2008-12-09,850.63,860.98,843.59,851.97
2008-12-08,822.99,851.30,822.06,847.96
2008-12-05,824.68,829.69,818.08,818.14
2008-12-04,827.86,834.21,815.96,824.15
2008-12-03,821.13,829.29,814.19,827.22
2008-12-02,839.93,839.93,811.55,811.55
2008-12-01,857.44,857.59,843.61,851.04
2008-11-28,855.24,862.11,849.85,860.88
2008-11-27,848.58,859.45,846.25,854.06
2008-11-26,846.55,849.19,838.30,842.83
2008-11-25,840.41,862.03,830.46,856.33
2008-11-21,799.12,831.52,784.20,828.29
2008-11-20,840.40,840.40,809.89,809.89
2008-11-19,854.12,859.68,838.13,850.83
2008-11-18,852.39,861.48,846.31,852.00
2008-11-17,844.97,879.04,833.96,856.88
2008-11-14,858.96,877.03,845.54,852.89
2008-11-13,859.52,859.52,838.19,844.73
2008-11-12,873.47,879.72,864.90,872.63
2008-11-11,898.67,906.30,877.76,883.27
2008-11-10,876.11,909.80,876.11,905.25
2008-11-07,879.45,885.52,843.79,864.20
2008-11-06,928.40,928.93,886.00,892.45
2008-11-05,910.61,942.64,910.61,942.64
2008-11-04,859.84,902.43,859.82,899.39
2008-10-31,878.37,881.99,848.75,848.82
2008-10-30,826.74,883.27,826.52,883.27
2008-10-29,792.29,826.14,788.37,823.37
2008-10-28,724.04,782.05,713.45,780.22
2008-10-27,773.05,789.09,723.83,726.80
2008-10-24,837.74,837.74,779.92,782.28
2008-10-23,845.28,845.49,807.32,843.25
2008-10-22,908.56,908.56,857.96,857.96
2008-10-21,911.24,925.90,902.93,918.75
2008-10-20,879.92,902.14,871.59,899.12
2008-10-17,851.83,875.83,851.74,872.19
2008-10-16,903.21,903.21,834.24,839.06
2008-10-15,904.79,922.86,888.47,918.36
2008-10-14,821.32,911.87,821.32,911.87
2008-10-10,857.32,857.32,793.32,807.90
2008-10-09,869.03,894.99,861.08,870.96
2008-10-08,934.42,934.92,869.68,873.50
2008-10-07,954.80,958.89,917.20,948.14
