日付,時刻,始値,高値,安値,終値
2011-12-30,後場,698.25,702.48,697.97,702.48
2011-12-30,前場,697.86,698.76,696.25,697.66
2011-12-29,後場,693.27,696.83,692.26,695.95
2011-12-29,前場,693.04,693.04,690.58,692.11
2011-12-28,後場,698.65,698.65,695.54,695.97
2011-12-28,前場,699.92,701.11,697.98,697.98
2011-12-27,後場,700.72,701.67,700.04,700.38
2011-12-27,前場,699.56,701.60,698.87,700.18
2011-12-26,後場,703.95,704.25,702.32,702.74
2011-12-26,前場,706.75,706.75,703.12,703.26
2011-12-22,後場,700.08,700.37,697.56,699.18
2011-12-22,前場,699.67,701.26,699.14,699.21
2011-12-21,後場,700.94,701.73,699.20,701.50
2011-12-21,前場,703.56,704.06,700.64,700.79
2011-12-20,後場,694.33,695.41,693.67,694.43
2011-12-20,前場,693.69,696.79,693.34,694.98
2011-12-19,後場,690.22,695.41,688.16,692.48
2011-12-19,前場,696.67,697.15,692.82,693.65
2011-12-16,後場,701.25,702.30,699.35,700.42
2011-12-16,前場,703.36,704.52,700.41,701.21
2011-12-15,後場,706.45,708.22,701.93,702.60
2011-12-15,前場,710.30,711.19,704.83,705.21
2011-12-14,後場,715.11,717.51,713.46,716.57
2011-12-14,前場,717.23,718.40,713.86,715.08
2011-12-13,後場,717.68,722.92,717.68,719.80
2011-12-13,前場,715.75,718.24,714.94,716.99
2011-12-12,後場,726.33,729.69,726.29,726.35
2011-12-12,前場,727.42,728.18,724.33,725.91
2011-12-09,後場,716.60,721.63,715.92,717.40
2011-12-09,前場,716.79,719.72,716.24,718.98
2011-12-08,後場,725.58,730.36,725.24,726.73
2011-12-08,前場,728.20,728.27,723.44,723.95
2011-12-07,後場,725.70,733.50,725.32,732.66
2011-12-07,前場,725.28,726.53,722.84,725.22
2011-12-06,後場,726.72,726.72,722.12,722.20
2011-12-06,前場,728.65,730.67,727.05,727.59
2011-12-05,後場,732.91,734.04,731.94,733.20
2011-12-05,前場,735.56,735.68,731.29,732.92
2011-12-02,後場,728.04,731.41,726.25,731.41
2011-12-02,前場,729.67,732.17,727.63,727.91
2011-12-01,後場,727.78,731.81,726.68,727.91
2011-12-01,前場,726.12,731.51,726.12,728.38
2011-11-30,後場,706.08,712.65,704.07,712.60
2011-11-30,前場,708.75,710.81,707.54,709.05
2011-11-29,後場,705.67,714.98,705.56,714.23
2011-11-29,前場,704.72,707.53,703.34,704.56
2011-11-28,後場,698.08,701.88,697.83,698.27
2011-11-28,前場,695.66,702.26,694.98,699.87
2011-11-25,後場,685.52,691.73,684.80,687.27
2011-11-25,前場,684.11,689.18,684.02,686.94
2011-11-24,後場,691.26,691.61,684.87,685.89
2011-11-24,前場,687.81,692.53,684.47,690.96
2011-11-22,後場,697.82,700.23,693.27,698.31
2011-11-22,前場,689.75,699.22,689.24,698.41
2011-11-21,後場,697.83,698.10,696.20,696.86
2011-11-21,前場,698.60,699.46,696.67,698.06
2011-11-18,後場,699.97,702.99,699.66,701.66
2011-11-18,前場,700.54,701.49,698.10,700.30
2011-11-17,後場,705.94,710.54,705.94,709.52
2011-11-17,前場,699.47,706.99,697.59,705.00
2011-11-16,後場,705.96,705.96,702.64,703.51
2011-11-16,前場,711.13,712.36,708.71,709.03
2011-11-15,後場,714.50,714.65,710.51,711.48
2011-11-15,前場,711.78,715.76,711.64,714.47
2011-11-14,後場,717.22,718.25,714.15,717.36
2011-11-14,前場,718.65,721.17,715.86,716.15
2011-11-11,後場,709.82,711.96,708.50,709.35
2011-11-11,前場,712.26,713.24,704.67,705.26
2011-11-10,後場,709.51,711.60,707.80,710.38
2011-11-10,前場,717.98,717.98,708.23,712.61
2011-11-09,後場,728.31,732.96,723.66,732.55
2011-11-09,前場,725.57,729.91,725.57,729.28
2011-11-08,後場,728.68,729.36,717.63,719.15
2011-11-08,前場,728.57,730.88,727.22,728.81
2011-11-07,後場,728.97,731.81,728.07,731.81
2011-11-07,前場,730.84,730.84,727.46,728.54
2011-11-04,後場,729.61,733.97,727.45,733.11
2011-11-04,前場,729.62,732.05,726.32,729.70
2011-11-02,後場,721.00,723.65,718.52,718.59
2011-11-02,前場,725.15,725.15,716.81,719.72
2011-11-01,後場,739.53,739.98,733.69,735.29
2011-11-01,前場,738.87,742.44,736.19,741.30
2011-10-31,後場,755.19,755.25,745.16,745.16
2011-10-31,前場,752.70,761.95,750.35,757.70
2011-10-28,後場,756.97,758.10,753.48,756.27
2011-10-28,前場,761.37,764.16,758.79,759.15
2011-10-27,後場,738.44,749.40,738.44,749.11
2011-10-27,前場,732.29,734.15,727.62,734.15
2011-10-26,後場,727.43,735.21,726.94,730.33
2011-10-26,前場,722.36,726.27,716.53,725.96
2011-10-25,後場,733.54,734.32,728.82,728.92
2011-10-25,前場,740.23,740.77,732.90,734.59
2011-10-24,後場,732.84,737.05,732.45,736.63
2011-10-24,前場,728.12,734.21,728.07,732.04
2011-10-21,後場,722.35,722.89,719.64,722.89
2011-10-21,前場,722.28,724.43,721.53,722.33
2011-10-20,後場,720.93,724.43,719.37,722.88
2011-10-20,前場,727.80,727.80,721.78,722.13
2011-10-19,後場,734.11,734.73,729.68,731.52
2011-10-19,前場,737.08,738.12,734.15,734.75
2011-10-18,後場,731.77,733.56,730.88,731.78
2011-10-18,前場,730.50,734.43,727.47,731.46
2011-10-17,後場,740.46,743.70,740.18,741.39
2011-10-17,前場,738.62,741.73,738.14,741.16
2011-10-14,後場,729.34,729.34,726.89,727.42
2011-10-14,前場,728.70,730.93,725.78,729.78
2011-10-13,後場,735.94,736.77,732.58,733.55
2011-10-13,前場,733.41,735.43,732.17,734.88
2011-10-12,後場,722.02,726.57,721.96,725.18
2011-10-12,前場,721.14,721.59,717.09,721.05
2011-10-11,後場,725.46,727.88,724.56,725.84
2011-10-11,前場,721.89,727.75,721.35,725.25
2011-10-07,後場,714.73,717.42,709.76,710.80
2011-10-07,前場,709.53,715.57,709.42,713.92
2011-10-06,後場,703.34,703.34,699.86,702.53
2011-10-06,前場,695.39,705.08,695.22,704.66
2011-10-05,後場,689.10,692.21,685.89,687.60
2011-10-05,前場,700.64,701.93,687.58,688.59
2011-10-04,後場,691.62,698.10,689.02,697.33
2011-10-04,前場,696.34,697.09,689.07,693.34
2011-10-03,後場,700.42,709.05,697.61,707.57
2011-10-03,前場,714.75,715.73,702.61,702.99
2011-09-30,後場,728.06,730.31,722.71,728.16
2011-09-30,前場,730.95,733.20,726.37,728.90
2011-09-29,後場,716.94,730.31,716.51,730.31
2011-09-29,前場,716.61,721.05,714.59,715.63
2011-09-28,後場,723.47,726.19,721.72,723.93
2011-09-28,前場,719.01,726.64,719.00,723.51
2011-09-27,後場,713.58,721.24,712.50,721.24
2011-09-27,前場,709.95,713.72,709.46,712.84
2011-09-26,後場,701.46,706.68,698.92,701.07
2011-09-26,前場,719.21,719.21,699.73,703.07
2011-09-22,後場,718.56,719.86,716.20,719.37
2011-09-22,前場,725.18,725.25,718.45,721.11
2011-09-21,後場,732.00,734.63,732.00,732.91
2011-09-21,前場,728.81,733.35,728.03,730.80
2011-09-20,後場,729.57,730.22,726.44,728.34
2011-09-20,前場,732.49,732.61,726.81,728.95
2011-09-16,後場,737.15,740.12,736.55,739.68
2011-09-16,前場,732.02,736.89,731.40,736.09
2011-09-15,後場,720.65,723.52,719.78,721.95
2011-09-15,前場,720.76,725.98,720.40,721.97
2011-09-14,後場,713.23,713.23,709.00,710.36
2011-09-14,前場,718.05,721.91,716.07,716.07
2011-09-13,後場,711.80,719.11,711.72,717.36
2011-09-13,前場,712.19,713.13,708.52,711.13
2011-09-12,後場,706.55,706.94,703.36,706.30
2011-09-12,前場,707.58,707.90,702.22,706.05
2011-09-09,後場,727.05,727.15,720.23,721.46
2011-09-09,前場,723.56,728.02,723.46,727.39
2011-09-08,後場,727.77,727.77,723.15,726.82
2011-09-08,前場,732.26,734.01,728.03,728.33
2011-09-07,後場,719.77,725.11,718.69,723.19
2011-09-07,前場,719.71,720.94,717.89,719.36
2011-09-06,後場,717.50,717.50,708.24,709.14
2011-09-06,前場,719.84,719.84,715.93,716.85
2011-09-05,後場,729.01,729.88,724.39,727.00
2011-09-05,前場,734.36,735.57,728.47,729.85
2011-09-02,後場,744.53,747.56,741.35,744.41
2011-09-02,前場,749.56,750.96,745.68,745.70
2011-09-01,後場,756.96,758.37,752.86,755.20
2011-09-01,前場,751.91,758.09,750.44,757.12
2011-08-31,後場,743.58,746.32,741.88,745.73
2011-08-31,前場,743.04,743.60,740.18,742.10
2011-08-30,後場,749.15,749.67,742.79,743.33
2011-08-30,前場,743.45,749.02,742.65,748.74
2011-08-29,後場,736.12,741.36,730.59,734.05
2011-08-29,前場,732.78,735.11,726.00,734.98
2011-08-26,後場,727.30,731.73,726.02,731.24
2011-08-26,前場,724.78,728.08,723.56,727.02
2011-08-25,後場,728.73,734.14,725.84,726.15
