日付,始値,高値,安値,終値
2007-12-28,1358.47,1358.47,1345.85,1352.97
2007-12-27,1377.98,1379.65,1369.68,1371.34
2007-12-26,1379.30,1382.35,1373.30,1382.35
2007-12-25,1365.00,1376.52,1364.93,1375.01
2007-12-21,1338.82,1350.43,1329.24,1348.32
2007-12-20,1345.07,1347.88,1336.78,1338.02
2007-12-19,1346.19,1358.76,1334.91,1334.91
2007-12-18,1339.92,1359.49,1328.11,1350.30
2007-12-17,1374.66,1380.73,1352.45,1355.20
2007-12-14,1393.26,1401.57,1375.03,1382.49
2007-12-13,1417.21,1417.41,1390.04,1391.44
2007-12-12,1417.64,1429.17,1404.42,1426.22
2007-12-11,1434.70,1441.52,1432.25,1436.63
2007-12-10,1436.59,1438.54,1418.07,1425.54
2007-12-07,1428.36,1445.59,1428.36,1432.44
2007-12-06,1412.59,1418.36,1403.27,1416.60
2007-12-05,1384.02,1398.60,1375.93,1396.96
2007-12-04,1406.04,1411.90,1386.13,1389.44
2007-12-03,1426.41,1430.10,1405.66,1410.23
2007-11-30,1398.68,1422.67,1398.68,1418.60
2007-11-29,1378.05,1400.19,1377.54,1398.61
2007-11-28,1373.00,1378.32,1358.22,1361.97
2007-11-27,1348.46,1374.84,1330.08,1368.39
2007-11-26,1343.65,1375.59,1340.66,1364.15
2007-11-22,1329.21,1350.76,1321.40,1342.68
2007-11-21,1364.29,1370.72,1335.40,1342.47
2007-11-20,1335.58,1371.45,1319.60,1371.01
2007-11-19,1369.98,1382.18,1350.99,1351.93
2007-11-16,1378.71,1378.71,1359.05,1367.33
2007-11-15,1395.79,1411.63,1394.79,1394.79
2007-11-14,1378.39,1393.64,1375.49,1391.63
2007-11-13,1363.71,1373.55,1348.59,1361.81
2007-11-12,1382.82,1383.14,1350.94,1367.21
2007-11-09,1414.41,1428.15,1399.36,1400.49
2007-11-08,1430.51,1430.51,1402.97,1415.48
2007-11-07,1472.33,1473.50,1447.96,1449.60
2007-11-06,1451.31,1476.71,1450.25,1463.26
2007-11-05,1488.00,1488.00,1461.70,1465.42
2007-11-02,1502.02,1503.42,1488.24,1491.81
2007-11-01,1512.49,1522.54,1512.49,1520.77
2007-10-31,1500.24,1506.14,1486.95,1506.14
2007-10-30,1505.30,1510.19,1491.07,1505.51
2007-10-29,1495.64,1516.01,1495.64,1506.07
2007-10-26,1467.87,1484.76,1465.69,1484.76
2007-10-25,1477.58,1481.13,1459.51,1464.51
2007-10-24,1492.19,1500.81,1476.71,1478.51
2007-10-23,1483.90,1496.83,1481.41,1488.11
2007-10-22,1483.86,1484.07,1455.73,1477.38
2007-10-19,1521.74,1521.95,1499.13,1505.82
2007-10-18,1521.37,1534.53,1521.02,1529.85
2007-10-17,1534.80,1534.85,1502.08,1517.65
