日付,時刻,始値,高値,安値,終値
2016-12-30,後場,34601.54,34858.41,34587.65,34719.56
2016-12-30,前場,34282.18,34469.63,34240.53,34469.63
2016-12-29,後場,34826.43,34833.55,34477.88,34712.62
2016-12-29,前場,35182.09,35203.43,34712.62,34847.77
2016-12-28,後場,35601.75,35729.68,35509.35,35566.21
2016-12-28,前場,35523.56,35587.53,35402.74,35580.43
2016-12-27,後場,35844.14,35851.27,35438.04,35537.78
2016-12-27,前場,35445.16,35929.64,35438.04,35794.27
2016-12-26,後場,35680.70,35730.95,35608.93,35623.28
2016-12-26,前場,35745.30,35802.73,35651.99,35680.70
2016-12-22,後場,35709.16,35888.86,35594.15,35888.86
2016-12-22,前場,35809.79,35816.98,35515.09,35795.41
2016-12-21,後場,36251.24,36323.82,35786.76,35939.17
2016-12-21,前場,36425.42,36585.09,36236.73,36287.53
2016-12-20,後場,36034.58,36330.89,35933.40,36287.53
2016-12-20,前場,35983.99,36077.94,35911.72,35983.99
2016-12-19,後場,36019.90,36157.49,35954.72,36135.76
2016-12-19,前場,36019.90,36114.04,35831.61,36012.66
2016-12-16,後場,36158.01,36244.01,36021.83,36208.18
2016-12-16,前場,36394.52,36401.69,36064.84,36201.01
2016-12-15,後場,35692.89,36099.30,35571.68,35835.49
2016-12-15,前場,35878.27,36320.33,35621.59,35664.37
2016-12-14,後場,35642.96,35771.56,35578.66,35650.11
2016-12-14,前場,35778.70,35814.43,35528.65,35614.39
2016-12-13,後場,35269.56,35721.55,35107.12,35721.55
2016-12-13,前場,35107.12,35509.68,34923.50,35255.43
2016-12-12,後場,35038.69,35367.98,34800.47,35311.93
2016-12-12,前場,35627.22,35837.41,35066.71,35171.81
2016-12-09,後場,34886.98,35100.58,34769.84,35031.68
2016-12-09,前場,34501.10,34942.10,34377.07,34866.30
2016-12-08,後場,33950.93,34452.87,33897.39,34452.87
2016-12-08,前場,34138.32,34312.32,33924.16,33984.39
2016-12-07,後場,33146.88,33462.38,33133.74,33462.38
2016-12-07,前場,33179.75,33376.93,33041.72,33146.88
2016-12-06,後場,32728.12,32929.07,32669.78,32864.25
2016-12-06,前場,33045.75,33136.50,32728.12,32864.25
2016-12-05,後場,32443.40,32449.98,32199.91,32410.50
2016-12-05,前場,32568.44,32647.41,32311.79,32423.66
2016-12-02,後場,32996.86,33003.49,32612.41,32904.06
2016-12-02,前場,32996.86,33195.72,32864.29,33030.00
2016-12-01,後場,33682.71,33734.76,32947.51,33142.69
2016-12-01,前場,33233.78,33825.85,33168.72,33741.27
2016-11-30,後場,32615.59,32615.59,32381.65,32531.11
2016-11-30,前場,32635.09,32687.07,32440.13,32615.59
2016-11-29,後場,32531.16,32537.67,32401.01,32492.12
2016-11-29,前場,32212.29,32531.16,32212.29,32531.16
2016-11-28,後場,32156.32,32608.77,32156.32,32537.67
2016-11-28,前場,32020.59,32259.74,31975.34,32078.76
2016-11-25,後場,32510.62,32529.89,31964.60,32317.91
2016-11-25,前場,32317.91,32671.21,32317.91,32574.86
2016-11-24,後場,32162.98,32270.33,32099.83,32118.77
2016-11-24,前場,32175.61,32213.50,32042.99,32080.88
2016-11-22,後場,31594.49,31613.32,31462.72,31575.67
2016-11-22,前場,31324.67,31550.57,31243.10,31500.37
2016-11-21,後場,31251.86,31430.23,31251.86,31374.87
2016-11-21,前場,31048.89,31270.31,30950.47,31214.95
2016-11-18,後場,30894.05,30894.05,30747.55,30753.65
2016-11-18,前場,31052.77,31071.08,30784.18,30869.64
2016-11-17,後場,30412.03,30521.69,30296.28,30521.69
2016-11-17,前場,30125.70,30497.32,30083.06,30454.68
2016-11-16,後場,30395.49,30496.38,30294.61,30460.77
2016-11-16,前場,30253.07,30401.43,30175.93,30383.63
2016-11-15,後場,29588.78,29718.78,29494.22,29671.51
2016-11-15,前場,29677.42,29801.52,29328.76,29559.23
2016-11-14,後場,29501.58,29616.15,29478.67,29547.41
2016-11-14,前場,28997.47,29553.14,28963.10,29467.21
2016-11-11,後場,28870.81,28927.94,28448.09,28642.31
2016-11-11,前場,28990.78,29499.18,28716.58,28739.43
2016-11-10,後場,28316.55,28680.11,28224.38,28562.34
2016-11-10,前場,26611.42,28429.20,26601.17,28255.11
2016-11-09,後場,25918.26,26256.40,25039.10,25602.67
2016-11-09,前場,28527.56,28927.69,26526.91,26904.50
2016-11-08,後場,28099.33,28285.12,28099.33,28178.15
2016-11-08,前場,28341.42,28397.72,28043.03,28133.11
2016-11-07,後場,28161.00,28188.51,28045.47,28150.00
2016-11-07,前場,28194.01,28331.54,27874.94,28105.99
2016-11-04,後場,27341.68,27551.78,27273.54,27506.35
2016-11-04,前場,27744.85,27852.74,27114.54,27426.86
2016-11-02,後場,28374.52,28468.73,28162.55,28392.19
2016-11-02,前場,28727.81,28774.91,28415.74,28504.06
2016-11-01,後場,29387.28,29505.01,29257.76,29440.26
2016-11-01,前場,29363.73,29375.50,29075.27,29251.88
2016-10-31,後場,29293.20,29452.02,29257.90,29434.37
2016-10-31,前場,29187.32,29404.96,29104.97,29222.61
2016-10-28,後場,29242.78,29422.43,29231.19,29410.84
2016-10-28,前場,29312.32,29358.69,29179.03,29236.99
2016-10-27,後場,28894.99,29057.42,28796.37,28976.20
2016-10-27,前場,28918.19,29219.85,28889.19,28999.41
2016-10-26,後場,28838.28,29010.97,28826.77,29005.21
2016-10-26,前場,28705.89,28792.23,28596.52,28746.18
2016-10-25,後場,28735.32,28843.16,28706.94,28780.72
2016-10-25,前場,28565.05,28848.83,28565.05,28718.29
2016-10-24,後場,28264.63,28423.01,28236.35,28377.76
2016-10-24,前場,28321.19,28332.51,28123.22,28191.10
2016-10-21,後場,28532.49,28572.40,28184.67,28281.60
2016-10-21,前場,28572.40,28606.61,28418.45,28583.81
2016-10-20,後場,28325.21,28509.68,28319.62,28509.68
2016-10-20,前場,27911.54,28392.29,27889.18,28336.39
2016-10-19,後場,27939.50,28017.69,27861.32,27950.67
2016-10-19,前場,27878.07,28023.27,27788.72,27945.09
2016-10-18,後場,27750.66,27922.75,27611.88,27922.75
2016-10-18,前場,27650.74,27839.48,27545.26,27761.76
2016-10-17,後場,27701.14,27800.26,27651.57,27756.21
2016-10-17,前場,27541.43,27849.83,27425.78,27579.98
2016-10-14,後場,27388.29,27574.20,27328.14,27535.92
2016-10-14,前場,27295.34,27530.45,27164.11,27273.47
2016-10-13,後場,27164.11,27366.42,27131.30,27339.08
2016-10-13,前場,27585.13,27814.78,27235.19,27262.53
2016-10-12,後場,27584.72,27607.05,27333.50,27339.08
2016-10-12,前場,27344.66,27746.63,27339.08,27662.88
2016-10-11,後場,28052.51,28052.51,27858.74,27914.11
2016-10-11,前場,27814.45,28163.24,27792.31,28080.19
2016-10-07,後場,27637.06,27681.58,27486.83,27681.58
2016-10-07,前場,27787.30,27820.68,27609.24,27648.19
2016-10-06,後場,27919.94,27980.60,27787.60,27820.68
2016-10-06,前場,27859.28,28079.86,27815.17,27892.37
2016-10-05,後場,27605.25,27654.32,27485.30,27572.53
2016-10-05,前場,27425.32,27627.06,27278.11,27599.80
2016-10-04,後場,27154.23,27294.00,27057.46,27261.75
2016-10-04,前場,27014.45,27256.37,26960.69,27240.24
2016-10-03,後場,27097.85,27108.47,26816.30,26880.05
2016-10-03,前場,26906.61,27182.84,26832.24,27103.16
2016-09-30,後場,26616.10,26796.90,26561.31,26561.31
2016-09-30,前場,26577.75,26665.41,26276.41,26566.79
2016-09-29,後場,27399.46,27582.31,27340.31,27394.09
2016-09-29,前場,27291.91,27496.26,27173.60,27388.71
2016-09-28,後場,26695.05,26905.17,26656.35,26888.58
2016-09-28,前場,27037.87,27142.92,26634.23,26744.82
2016-09-27,後場,26990.16,27646.08,26973.90,27646.08
2016-09-27,前場,26502.29,26843.80,26209.57,26838.38
2016-09-26,後場,27364.09,27447.09,27015.46,27104.00
2016-09-26,前場,27563.30,27568.83,27275.55,27336.42
2016-09-23,後場,27646.20,27718.47,27585.05,27668.44
2016-09-23,前場,27535.01,27729.59,27340.44,27651.76
2016-09-21,後場,26235.36,27822.67,26166.81,27796.30
2016-09-21,前場,26377.75,26414.66,26066.61,26150.99
2016-09-20,後場,26477.02,26607.76,26262.61,26367.20
2016-09-20,前場,25891.31,26644.36,25880.85,26477.02
2016-09-16,後場,25921.09,26214.48,25900.50,26147.56
2016-09-16,前場,25869.62,25988.00,25771.82,25957.12
2016-09-15,後場,25709.51,25804.13,25567.59,25735.79
2016-09-15,前場,25935.54,25988.11,25551.82,25725.28
2016-09-14,後場,26516.66,26527.30,26229.24,26282.47
2016-09-14,前場,26277.14,26516.66,26207.95,26463.43
2016-09-13,後場,26575.19,26713.60,26399.51,26612.46
2016-09-13,前場,26857.34,26910.58,26474.04,26490.01
2016-09-12,後場,26595.81,26623.27,26354.13,26617.78
2016-09-12,前場,26694.68,26881.43,26447.50,26623.27
2016-09-09,後場,27535.30,27606.93,27463.66,27463.66
2016-09-09,前場,27513.26,27695.10,27336.93,27381.01
2016-09-08,後場,27468.73,27596.15,27202.79,27551.83
2016-09-08,前場,27546.29,27651.56,27501.97,27573.99
2016-09-07,後場,27378.60,27734.82,27350.77,27701.42
2016-09-07,前場,27339.64,27540.01,27278.42,27450.96
2016-09-06,後場,27790.98,27873.40,27719.55,27829.44
2016-09-06,前場,27516.26,27807.46,27477.79,27736.03
2016-09-05,後場,27773.12,27811.40,27428.55,27472.30
2016-09-05,前場,28024.70,28024.70,27723.89,27893.44
2016-09-02,後場,27254.00,27379.16,27096.18,27346.51
2016-09-02,前場,27128.83,27373.72,27107.06,27324.74
2016-09-01,後場,27129.78,27253.49,27075.99,27210.46
2016-09-01,前場,26925.39,27199.70,26828.58,27145.92
2016-08-31,後場,26746.25,26950.82,26746.25,26893.12
2016-08-31,前場,26678.06,26772.48,26620.36,26714.78
2016-08-30,後場,26263.70,26331.94,26190.22,26226.96
2016-08-30,前場,26121.99,26310.94,26048.51,26295.20
2016-08-29,後場,26328.55,26363.90,26192.21,26242.71
2016-08-29,前場,26071.02,26353.80,26035.68,26308.35
2016-08-26,後場,25392.99,25584.65,25247.94,25247.94
2016-08-26,前場,25677.89,25688.25,25279.02,25538.03
2016-08-25,後場,25937.04,26035.84,25848.64,25900.64
2016-08-25,前場,25978.64,25983.84,25801.84,25833.04
2016-08-24,後場,26014.82,26086.60,25953.30,25999.44
2016-08-24,前場,25937.92,26143.00,25835.38,25943.05
2016-08-23,後場,25671.65,26033.95,25449.09,25635.42
2016-08-23,前場,25728.58,25790.69,25640.60,25738.94
2016-08-22,後場,25776.43,25919.57,25735.53,25878.68
2016-08-22,前場,25725.30,25842.89,25587.27,25766.20
2016-08-19,後場,25419.65,25632.75,25348.61,25561.71
2016-08-19,前場,25541.42,25729.15,25282.66,25318.17
2016-08-18,後場,25976.30,25976.30,25368.91,25368.91
2016-08-18,前場,25829.69,25986.77,25583.59,25981.54
2016-08-17,後場,25908.27,26252.42,25872.32,26180.51
2016-08-17,前場,25630.91,26021.28,25630.91,25892.86
2016-08-16,後場,26036.18,26194.65,25682.27,25682.27
2016-08-16,前場,26469.32,26506.30,26331.99,26384.81
2016-08-15,後場,26539.27,26539.27,26384.54,26411.22
2016-08-15,前場,26507.26,26667.33,26459.24,26587.29
2016-08-12,後場,26498.89,26735.95,26493.62,26678.00
2016-08-12,前場,26714.88,26772.83,26504.15,26509.42
2016-08-10,後場,26287.95,26504.81,26240.35,26340.84
2016-08-10,前場,26229.77,26272.08,26086.96,26229.77
2016-08-09,後場,26098.64,26457.01,26098.64,26446.63
2016-08-09,前場,25958.41,26207.71,25942.83,26072.68
2016-08-08,後場,25724.09,25968.80,25664.17,25968.80
2016-08-08,前場,25579.27,25843.95,25534.32,25719.10
2016-08-05,後場,24985.05,25160.68,24904.76,24970.00
2016-08-05,前場,25180.76,25341.33,25005.12,25130.57
2016-08-04,後場,24774.76,25149.61,24735.30,25090.43
2016-08-04,前場,24878.34,25026.31,24320.99,24542.95
2016-08-03,後場,25011.93,25017.09,24573.67,24661.32
2016-08-03,前場,25089.27,25140.83,24841.78,25063.49
2016-08-02,後場,26158.68,26190.66,25780.18,25780.18
2016-08-02,前場,26137.35,26297.28,26036.07,26238.64
2016-08-01,後場,26590.39,26787.91,26472.95,26654.45
2016-08-01,前場,26120.62,26670.47,25741.59,26633.10
2016-07-29,後場,26024.52,26738.74,25367.66,26691.82
2016-07-29,前場,25857.70,26165.28,25748.22,25868.13
2016-07-28,後場,26082.23,26140.87,25970.26,26066.23
2016-07-28,前場,26380.80,26434.11,25932.94,26199.52
2016-07-27,後場,26960.44,27033.43,26428.63,26658.04
2016-07-27,前場,26444.27,26715.39,26340.00,26439.06
2016-07-26,後場,26074.24,26363.84,25897.27,26068.88
2016-07-26,前場,26481.82,26481.82,25908.00,25988.44
2016-07-25,後場,27002.62,27045.66,26765.90,26814.32
2016-07-25,前場,26981.10,27363.09,26895.02,27088.70
2016-07-22,後場,26873.01,26900.40,26653.90,26900.40
2016-07-22,前場,26675.81,27031.86,26675.81,26938.74
2016-07-21,後場,27512.27,27517.68,27117.54,27387.90
2016-07-21,前場,27587.97,27701.53,27436.57,27458.20
2016-07-20,後場,26765.79,27052.66,26684.60,27036.43
2016-07-20,前場,26857.81,26906.52,26565.52,26722.49
2016-07-19,後場,26719.11,27063.49,26708.51,27063.49
2016-07-19,前場,26830.37,26830.37,26464.79,26660.82
2016-07-15,後場,26717.08,26832.60,26302.25,26491.28
2016-07-15,前場,26412.52,26738.08,26223.48,26717.08
2016-07-14,後場,26244.66,26301.46,26084.57,26254.99
2016-07-14,前場,25852.18,26265.31,25805.70,26208.51
2016-07-13,後場,26033.30,26129.25,25705.04,25821.19
2016-07-13,前場,26043.40,26391.85,25851.49,25917.14
2016-07-12,後場,25395.15,25631.36,25226.43,25250.53
2016-07-12,前場,24879.34,25703.67,24850.42,25351.77
2016-07-11,後場,23986.72,24398.97,23861.25,24103.22
2016-07-11,前場,23193.58,24044.97,23193.58,23977.76
2016-07-08,後場,22763.93,22777.73,22404.93,22404.93
2016-07-08,前場,23122.92,23316.22,22722.50,22750.12
2016-07-07,後場,23180.37,23208.35,22886.53,23012.46
2016-07-07,前場,23180.37,23474.20,23031.12,23208.35
2016-07-06,後場,22773.68,23320.29,22759.17,23320.29
2016-07-06,前場,23460.57,23470.24,22705.96,22807.54
2016-07-05,後場,24039.80,24186.15,23961.75,24186.15
2016-07-05,前場,24195.90,24269.07,23912.97,24054.43
2016-07-04,後場,24333.19,24448.88,24294.62,24391.03
2016-07-04,前場,23860.79,24366.93,23812.59,24328.37
