日付,始値,高値,安値,終値
2014-12-30,33997.68,33997.68,33221.61,33221.61
2014-12-29,34469.14,34475.97,33348.19,34038.53
2014-12-26,33809.36,34249.76,33809.36,34175.23
2014-12-25,33938.49,34013.51,33761.16,33877.11
2014-12-24,34216.04,34249.52,34001.73,34102.18
2014-12-22,33612.67,33685.99,33219.43,33486.04
2014-12-19,32868.33,33326.07,32722.10,33326.07
2014-12-18,31873.46,32382.80,31701.63,31787.55
2014-12-17,30473.90,31137.98,30430.86,30682.96
2014-12-16,31198.07,31313.08,30623.05,30744.45
2014-12-15,32103.52,32511.47,31860.06,31945.60
2014-12-12,32742.36,33568.30,32663.70,32899.69
2014-12-11,32316.42,32901.46,31910.89,32775.14
2014-12-10,33989.05,34169.25,32914.76,33240.51
2014-12-09,34696.66,34936.10,34527.65,34654.41
2014-12-08,35526.82,35526.82,34978.95,35210.74
2014-12-05,34826.47,35119.43,34554.45,35119.43
2014-12-04,34916.52,34998.97,34710.40,34875.30
2014-12-03,34668.36,34880.79,34243.48,34353.13
2014-12-02,33652.67,34338.77,33605.12,34264.04
2014-12-01,33644.22,34205.85,33637.54,33965.15
2014-11-28,32863.54,33430.27,32850.52,33430.27
2014-11-27,33016.03,33129.10,32510.55,32570.41
2014-11-26,33228.76,33495.87,33141.95,33255.47
2014-11-25,33527.49,33527.49,33211.01,33389.03
2014-11-21,32861.93,33032.74,32244.37,32967.05
2014-11-20,33196.44,33202.99,32783.20,32848.79
2014-11-19,32966.46,33359.07,32724.34,32796.32
2014-11-18,32152.62,32749.20,32152.62,32717.80
2014-11-17,32732.92,32779.15,31240.56,31399.04
2014-11-14,33062.39,33062.39,32327.67,33016.87
2014-11-13,31896.57,32548.04,31615.54,32509.72
2014-11-12,32317.11,32692.96,31877.55,31934.89
2014-11-11,31409.59,32020.33,31297.42,31852.07
2014-11-10,30953.58,31210.43,30859.61,31160.31
2014-11-07,31447.14,31571.09,31217.82,31323.19
2014-11-06,31876.07,32015.55,30868.06,30988.51
2014-11-05,31319.91,31755.35,31193.70,31698.56
2014-11-04,31127.74,32614.58,31097.77,31553.41
2014-10-31,28176.27,30175.45,28176.27,29976.64
2014-10-30,27384.00,27781.98,27356.74,27612.97
2014-10-29,26893.33,27364.49,26771.57,27258.61
2014-10-28,26480.44,26597.33,26220.10,26469.81
2014-10-27,26455.98,26669.71,26263.09,26565.45
2014-10-24,26331.76,26413.83,25931.62,26065.00
2014-10-23,25520.38,25918.01,25303.49,25649.48
2014-10-22,25323.92,25824.80,25250.26,25819.89
2014-10-21,25485.41,25485.41,24395.86,24552.96
2014-10-20,24414.07,25427.61,24404.68,25338.45
2014-10-17,24308.60,24415.09,23461.53,23461.53
2014-10-16,24471.02,24486.25,24090.49,24202.11
2014-10-15,25194.20,25429.05,24924.37,25369.09
2014-10-14,25293.49,25440.21,24910.97,24984.33
2014-10-10,26086.80,26297.04,25930.46,26200.01
2014-10-09,27787.08,27897.33,26905.13,26954.74
2014-10-08,27476.30,27719.35,27255.85,27561.08
2014-10-07,28541.35,28820.72,28182.16,28261.98
2014-10-06,28618.75,28830.83,28367.61,28507.14
2014-10-03,27604.17,27971.11,27520.77,27904.40
2014-10-02,28813.70,28825.51,27751.56,27798.76
2014-10-01,29850.58,30023.82,29498.13,29504.10
2014-09-30,30232.90,30232.90,29376.56,29868.50
2014-09-29,30505.09,30505.09,30215.89,30366.51
2014-09-26,29700.60,30156.30,29700.60,30125.51
2014-09-25,30348.42,30790.59,30306.59,30790.59
2014-09-24,29677.80,29972.65,29665.76,29876.37
2014-09-22,30213.55,30267.79,29888.09,30086.98
2014-09-19,29798.79,30312.26,29716.17,30135.20
2014-09-18,29422.79,29636.92,29388.06,29509.60
2014-09-17,29275.37,29327.93,28936.65,28936.65
2014-09-16,29228.78,29287.44,29082.14,29199.45
2014-09-12,29199.94,29427.84,29123.97,29328.50
2014-09-11,29345.16,29345.16,29147.82,29217.47
2014-09-10,28560.86,29020.13,28560.86,29020.13
2014-09-09,28950.85,28962.31,28704.38,28704.38
2014-09-08,28624.42,28675.58,28397.06,28658.53
2014-09-05,28876.80,28876.80,28316.97,28419.80
2014-09-04,28781.39,28798.66,28516.55,28562.61
2014-09-03,28998.69,29033.00,28707.11,28787.15
2014-09-02,28122.62,28777.29,28072.26,28587.04
2014-09-01,27849.47,27977.14,27821.71,27977.14
2014-08-29,27749.52,27927.94,27632.44,27755.10
2014-08-28,27905.86,27917.10,27675.42,27877.76
2014-08-27,28153.09,28360.76,27872.46,28102.58
2014-08-26,28375.04,28392.04,28057.62,28063.29
2014-08-25,28352.27,28374.76,28166.74,28341.03
2014-08-22,28529.91,28529.91,28031.18,28110.52
2014-08-21,28075.56,28365.06,28042.16,28337.22
2014-08-20,28003.35,28031.21,27797.16,27836.17
2014-08-19,27858.53,27946.45,27732.15,27864.03
2014-08-18,27506.83,27534.28,27347.64,27473.90
2014-08-15,27457.42,27490.35,27314.73,27446.45
2014-08-14,27332.63,27500.55,27251.38,27440.96
2014-08-13,26749.96,27153.38,26739.20,27083.46
2014-08-12,26841.83,27097.93,26809.82,26895.19
2014-08-11,26435.19,26763.70,26229.87,26676.44
2014-08-08,26478.88,26521.99,25519.74,25665.23
2014-08-07,26670.47,26942.29,26292.05,26942.29
2014-08-06,27045.92,27045.92,26529.57,26649.15
2014-08-05,27830.69,27836.23,27154.19,27176.37
2014-08-04,27730.92,27932.15,27579.99,27725.33
2014-08-01,27864.00,28158.38,27818.71,27948.92
2014-07-31,28732.02,28794.57,28288.51,28305.57
2014-07-30,28339.94,28470.36,28243.55,28430.66
2014-07-29,28244.27,28390.70,28210.48,28351.28
2014-07-28,27869.08,28249.24,27869.08,28159.79
2014-07-25,27617.94,27952.94,27606.96,27952.94
2014-07-24,27618.58,27745.40,27276.73,27458.68
2014-07-23,27718.04,27767.73,27513.74,27568.96
2014-07-22,27444.54,27705.45,27433.66,27607.61
2014-07-18,26968.32,27178.19,26769.50,27178.19
2014-07-17,27785.78,27901.81,27515.05,27614.50
2014-07-16,27608.98,27830.02,27531.61,27625.55
2014-07-15,27527.43,27822.02,27521.98,27631.08
2014-07-14,26922.25,27335.53,26863.21,27276.49
2014-07-11,26571.68,26868.78,26512.26,26836.37
2014-07-10,27575.93,27608.95,27009.23,27009.23
2014-07-09,27232.71,27570.90,27199.44,27509.91
2014-07-08,27625.71,27938.25,27363.41,27720.59
2014-07-07,28090.50,28231.20,27904.76,27904.76
2014-07-04,28291.54,28291.54,28063.16,28141.15
2014-07-03,28125.37,28125.37,27728.53,27851.49
2014-07-02,28040.83,28112.95,27891.02,27946.51
2014-07-01,27284.94,27887.89,27187.16,27741.22
2014-06-30,26924.52,27165.35,26635.53,27160.00
2014-06-27,27161.17,27188.37,26415.91,26758.62
2014-06-26,27264.25,27361.76,27123.41,27199.25
2014-06-25,27206.11,27376.08,27085.49,27085.49
2014-06-24,27179.08,27556.79,26965.58,27414.46
2014-06-23,27579.15,27617.55,27271.92,27370.67
2014-06-20,27518.82,27639.54,27238.97,27431.02
2014-06-19,26660.06,27457.78,26649.42,27436.51
2014-06-18,26261.67,26632.73,26204.18,26590.92
2014-06-17,26089.44,26307.67,26058.26,26131.01
2014-06-16,26281.01,26286.28,25795.69,25980.32
2014-06-13,25702.20,26438.63,25696.97,26375.96
2014-06-12,25805.98,26156.69,25638.47,26114.81
2014-06-11,25770.85,26177.54,25770.85,26172.39
2014-06-10,26067.50,26249.46,25635.98,25739.96
2014-06-09,26348.10,26353.30,25984.32,25994.71
2014-06-06,26108.67,26160.48,25891.06,25984.32
2014-06-05,26067.55,26150.61,25756.04,25906.60
2014-06-04,25855.59,25958.52,25670.32,25958.52
2014-06-03,25869.20,25869.20,25676.22,25732.08
2014-06-02,25003.01,25470.58,25003.01,25391.83
2014-05-30,24692.83,24781.31,24471.61,24609.26
2014-05-29,24271.35,24697.25,24261.56,24579.76
2014-05-28,24472.09,24627.93,24350.34,24476.96
2014-05-27,24316.28,24739.64,24301.68,24350.34
2014-05-26,24207.35,24330.88,24107.58,24330.88
2014-05-23,23578.81,23993.78,23578.81,23755.99
2014-05-22,22920.58,23434.84,22780.74,23313.04
2014-05-21,22355.54,22586.95,22305.63,22555.19
2014-05-20,22781.51,22921.36,22583.02,22686.77
2014-05-19,22917.98,22991.31,22519.29,22555.95
2014-05-16,23036.57,23036.57,22629.17,22913.40
2014-05-15,23489.73,23690.33,23145.83,23685.55
2014-05-14,23611.35,23881.38,23545.03,23881.38
2014-05-13,23540.73,23760.35,23504.13,23687.15
2014-05-12,23132.25,23313.05,22877.29,22877.29
2014-05-09,22760.69,23403.64,22760.69,23178.61
2014-05-08,22881.22,23239.09,22786.09,22962.76
2014-05-07,23409.66,23428.76,22650.19,22650.19
2014-05-02,23801.36,23882.53,23672.45,23882.53
2014-05-01,23286.55,23872.98,23286.55,23872.98
2014-04-30,23355.01,23396.44,23018.93,23087.99
2014-04-28,22967.48,23061.03,22780.37,23018.93
2014-04-25,23138.08,23689.87,23017.52,23388.47
2014-04-24,23565.83,23584.67,23029.07,23184.45
2014-04-23,23385.25,23542.29,23302.11,23542.29
2014-04-22,23628.94,23713.36,23094.26,23094.26
2014-04-21,23634.25,23874.26,23370.70,23450.71
2014-04-18,23479.53,23530.71,23279.49,23530.71
2014-04-17,23326.01,23563.27,23088.75,23260.88
2014-04-16,22479.33,23260.88,22470.50,23260.88
2014-04-15,22367.26,22371.65,22011.67,22077.52
2014-04-14,21778.59,22381.47,21778.59,21950.21
2014-04-11,21767.89,22260.76,21514.67,22003.02
2014-04-10,23175.07,23315.47,22486.65,22608.94
2014-04-09,23018.26,23174.11,22479.88,22645.17
2014-04-08,24133.27,24162.70,23588.80,23613.32
2014-04-07,24789.01,24875.10,24388.95,24525.68
2014-04-04,25209.18,25457.68,25188.90,25320.75
2014-04-03,25331.12,25622.63,25220.55,25356.25
2014-04-02,25100.27,25587.08,25085.37,25130.08
2014-04-01,24990.65,24990.65,24574.31,24837.00
2014-03-31,24613.66,24835.53,24232.61,24782.48
2014-03-28,23675.52,24140.58,23400.28,24116.85
2014-03-27,22969.91,23826.57,22612.18,23727.72
2014-03-26,23502.26,23683.22,23233.13,23534.74
2014-03-25,23019.90,23483.36,22802.07,23200.65
2014-03-24,22691.29,23487.87,22673.29,23172.84
2014-03-20,23436.37,23515.38,22502.27,22502.27
2014-03-19,23530.15,23898.32,22952.26,23236.54
2014-03-18,23548.76,23653.95,23265.20,23301.79
2014-03-17,23016.17,23225.49,22602.17,22867.31
2014-03-14,23949.13,23998.85,23188.45,23258.05
2014-03-13,24953.98,25159.01,24788.96,24858.97
2014-03-12,25442.75,25494.99,24967.43,25003.99
2014-03-11,26028.58,26245.95,25816.37,26116.56
2014-03-10,26057.17,26220.09,25699.79,25878.48
2014-03-07,26391.93,26485.22,25930.64,26277.90
2014-03-06,25369.19,26046.51,25227.66,25915.09
2014-03-05,25497.33,25706.57,25268.17,25273.15
2014-03-04,24215.49,25066.97,24200.73,24909.47
2014-03-03,24679.89,24705.12,23902.81,24609.24
2014-02-28,25469.31,25489.69,24852.95,25229.90
2014-02-27,25665.42,25830.57,25340.28,25469.31
2014-02-26,25710.61,26155.25,25694.92,25804.77
2014-02-25,25966.24,26191.01,25828.31,26155.25
2014-02-24,25614.15,26184.27,24992.67,25542.24
2014-02-21,25101.72,25725.09,25101.72,25680.92
2014-02-20,25288.18,25436.37,24450.18,24542.16
2014-02-19,25533.31,25693.16,25327.07,25548.78
2014-02-18,24709.06,25868.90,24630.76,25780.81
2014-02-17,24208.64,24503.04,23701.88,24469.26
2014-02-14,24865.23,25187.51,23724.85,24131.42
2014-02-13,25657.03,25667.28,24657.61,24790.86
2014-02-12,25516.32,25876.20,25481.33,25626.28
2014-02-10,25054.87,25054.87,24591.79,24991.50
2014-02-07,24032.25,24386.42,23911.09,24372.44
2014-02-06,23473.10,23622.28,23184.06,23300.61
2014-02-05,23081.53,23489.06,22687.43,23309.93
2014-02-04,23822.60,23847.36,22391.86,22391.86
2014-02-03,25454.53,25660.76,24748.18,24753.33
2014-01-31,26354.88,26411.91,25385.30,25779.35
2014-01-30,26421.71,26421.71,25645.88,25924.53
2014-01-29,26606.22,27322.92,26559.48,27317.73
2014-01-28,26370.54,26501.42,25967.42,25967.42
2014-01-27,26631.59,26703.69,26104.73,26176.83
2014-01-24,28017.23,28086.23,27476.66,27729.69
2014-01-23,29532.65,29620.54,28753.31,28753.31
2014-01-22,29076.83,29455.59,28744.69,29298.26
2014-01-21,29158.34,29506.84,29129.30,29135.10
2014-01-20,29281.61,29281.61,28837.77,29042.17
2014-01-17,28973.14,29287.05,28868.50,29199.85
2014-01-16,29298.72,29676.66,29025.44,29066.15
2014-01-15,28663.84,29071.96,28613.52,29071.96
2014-01-14,28410.54,28428.10,27824.99,27953.81
2014-01-10,28850.81,29312.18,28716.48,29277.14
2014-01-09,29461.99,29461.99,28940.44,29201.22
2014-01-08,29015.90,29633.87,28918.62,29633.87
2014-01-07,28812.71,29033.19,28545.82,28609.64
2014-01-06,29281.10,29393.09,28632.77,29009.98
