日付,時刻,始値,高値,安値,終値
2010-12-30,後場,124.13,124.75,124.01,124.08
2010-12-30,前場,125.20,125.20,123.94,124.05
2010-12-29,後場,125.74,125.98,125.18,125.73
2010-12-29,前場,125.19,126.02,125.19,125.52
2010-12-28,後場,125.09,125.21,124.39,124.74
2010-12-28,前場,125.16,125.52,124.61,125.12
2010-12-27,後場,125.84,126.46,125.78,126.19
2010-12-27,前場,125.40,126.10,125.33,125.70
2010-12-24,後場,124.85,125.76,124.63,125.76
2010-12-24,前場,124.37,125.66,124.37,124.79
2010-12-22,後場,123.67,124.17,123.01,123.74
2010-12-22,前場,123.82,124.17,123.37,123.49
2010-12-21,後場,123.25,124.00,123.12,123.44
2010-12-21,前場,122.35,123.36,122.22,123.01
2010-12-20,後場,122.55,122.55,121.40,122.27
2010-12-20,前場,123.33,123.72,122.78,122.94
2010-12-17,後場,123.85,124.06,123.27,123.60
2010-12-17,前場,124.22,124.39,123.78,123.88
2010-12-16,後場,124.34,124.70,124.03,124.10
2010-12-16,前場,123.41,124.64,123.26,124.38
2010-12-15,後場,124.10,124.20,123.31,123.66
2010-12-15,前場,125.28,125.67,124.13,124.19
2010-12-14,後場,124.04,124.53,123.60,124.53
2010-12-14,前場,122.61,124.64,122.33,124.31
2010-12-13,後場,119.51,122.01,119.51,122.01
2010-12-13,前場,119.04,119.85,118.66,119.67
2010-12-10,後場,118.26,119.60,118.26,119.19
2010-12-10,前場,119.48,119.58,118.39,118.39
2010-12-09,後場,118.42,118.96,118.30,118.95
2010-12-09,前場,118.91,119.54,118.38,118.42
2010-12-08,後場,117.42,118.38,117.40,118.38
2010-12-08,前場,116.74,118.22,116.68,117.45
2010-12-07,後場,117.45,117.61,116.66,116.95
2010-12-07,前場,117.70,118.10,117.25,117.26
2010-12-06,後場,117.83,118.73,117.69,117.80
2010-12-06,前場,117.87,118.40,117.58,117.70
2010-12-03,後場,117.67,117.87,116.98,117.67
2010-12-03,前場,117.84,118.38,117.50,117.53
2010-12-02,後場,117.30,117.38,116.96,117.05
2010-12-02,前場,117.42,117.90,117.01,117.14
2010-12-01,後場,114.74,116.28,114.73,115.93
2010-12-01,前場,114.47,115.08,113.86,114.88
2010-11-30,後場,115.25,115.25,114.13,114.13
2010-11-30,前場,116.48,117.19,115.63,115.91
2010-11-29,後場,116.29,116.54,115.99,116.23
2010-11-29,前場,116.02,117.05,115.96,116.18
2010-11-26,後場,116.48,116.91,116.05,116.32
2010-11-26,前場,115.63,116.93,115.39,116.41
2010-11-25,後場,115.74,116.18,115.49,115.62
2010-11-25,前場,116.54,116.67,115.54,115.58
2010-11-24,後場,115.90,116.59,115.24,115.79
2010-11-24,前場,115.06,116.88,113.72,116.05
2010-11-22,後場,115.98,117.37,115.80,116.90
2010-11-22,前場,115.30,116.06,115.30,116.01
