日付,始値,高値,安値,終値
2015-12-30,121.75,122.33,120.24,120.42
2015-12-29,119.67,120.74,118.32,120.57
2015-12-28,119.19,120.07,118.29,119.91
2015-12-25,121.29,121.70,118.90,119.17
2015-12-24,121.80,122.73,120.61,120.88
2015-12-22,117.68,119.33,117.16,119.05
2015-12-21,118.43,119.48,117.33,118.58
2015-12-18,121.00,122.38,118.16,118.21
2015-12-17,121.91,123.06,121.40,122.02
2015-12-16,119.93,122.13,119.93,121.37
2015-12-15,119.18,119.43,117.87,117.87
2015-12-14,120.16,120.16,118.02,119.57
2015-12-11,121.68,122.95,121.46,122.77
2015-12-10,121.78,123.07,121.78,122.53
2015-12-09,120.51,123.53,120.51,121.99
2015-12-08,123.62,123.62,120.65,121.14
2015-12-07,126.68,126.96,125.65,126.14
2015-12-04,126.51,127.23,125.63,126.89
2015-12-03,124.56,127.63,123.93,127.44
2015-12-02,125.26,125.99,124.70,124.83
2015-12-01,124.25,125.69,123.61,125.38
2015-11-30,125.11,125.34,123.36,124.19
2015-11-27,125.46,126.15,125.12,125.57
2015-11-26,125.91,126.78,124.87,125.34
2015-11-25,126.15,127.27,125.66,125.66
2015-11-24,123.80,124.78,123.46,124.64
2015-11-20,124.41,124.61,123.18,124.61
2015-11-19,125.04,125.35,123.49,124.32
2015-11-18,124.72,125.25,122.95,123.74
2015-11-17,123.33,125.41,123.24,124.82
2015-11-16,118.64,122.62,118.64,122.03
2015-11-13,120.46,120.46,118.81,119.38
2015-11-12,120.76,121.46,119.49,121.18
2015-11-11,121.10,124.12,121.06,122.14
2015-11-10,119.90,120.50,119.31,120.42
2015-11-09,121.00,121.78,120.67,121.78
2015-11-06,122.54,122.75,120.28,121.06
2015-11-05,122.60,123.82,121.58,122.46
2015-11-04,120.93,124.24,120.93,122.64
2015-11-02,118.84,119.44,118.02,118.63
2015-10-30,119.14,120.88,118.68,120.20
2015-10-29,120.86,120.86,118.36,119.35
2015-10-28,118.00,118.88,117.61,118.60
2015-10-27,120.21,121.50,118.18,118.42
2015-10-26,123.94,123.94,122.00,122.23
2015-10-23,124.18,124.18,122.45,122.95
