日付,時刻,始値,高値,安値,終値
2016-12-30,後場,301.86,302.93,301.00,301.52
2016-12-30,前場,300.62,301.32,298.68,301.11
2016-12-29,後場,301.19,303.11,299.96,302.91
2016-12-29,前場,303.83,303.90,300.81,301.67
2016-12-28,後場,305.08,305.59,304.15,304.35
2016-12-28,前場,305.31,305.36,303.43,304.73
2016-12-27,後場,306.62,306.62,304.52,304.95
2016-12-27,前場,306.15,307.40,305.00,306.13
2016-12-26,後場,307.87,308.55,307.65,307.88
2016-12-26,前場,306.85,307.83,306.14,307.79
2016-12-22,後場,305.92,307.12,305.21,307.04
2016-12-22,前場,306.39,307.25,304.55,306.15
2016-12-21,後場,308.34,309.15,306.47,307.49
2016-12-21,前場,309.66,311.72,308.19,308.47
2016-12-20,後場,306.95,308.54,306.61,308.11
2016-12-20,前場,305.51,306.85,304.93,306.64
2016-12-19,後場,304.72,305.83,304.72,305.00
2016-12-19,前場,307.15,307.83,304.48,304.73
2016-12-16,後場,305.94,306.04,304.78,305.83
2016-12-16,前場,308.97,308.97,305.72,306.09
2016-12-15,後場,304.27,307.16,302.91,305.22
2016-12-15,前場,305.97,309.20,303.79,304.12
2016-12-14,後場,307.71,307.71,304.37,304.80
2016-12-14,前場,309.51,309.71,307.28,307.56
2016-12-13,後場,308.43,309.83,307.04,309.78
2016-12-13,前場,310.93,311.04,308.24,308.39
2016-12-12,後場,308.61,310.79,308.02,310.34
2016-12-12,前場,311.57,313.65,308.88,309.33
2016-12-09,後場,308.82,309.61,308.20,308.70
2016-12-09,前場,308.17,309.42,305.29,308.80
2016-12-08,後場,303.83,308.27,303.38,308.27
2016-12-08,前場,307.65,308.27,303.39,303.82
2016-12-07,後場,301.43,304.31,301.02,304.15
2016-12-07,前場,304.38,304.38,300.38,301.68
2016-12-06,後場,300.25,301.77,299.65,301.38
2016-12-06,前場,300.74,302.19,300.54,301.34
2016-12-05,後場,298.04,298.11,296.68,297.72
2016-12-05,前場,301.10,301.82,297.15,297.60
2016-12-02,後場,303.08,303.19,301.02,302.56
2016-12-02,前場,301.48,304.63,301.48,303.05
2016-12-01,後場,307.53,307.56,302.53,303.62
2016-12-01,前場,304.37,307.96,304.21,307.81
2016-11-30,後場,300.17,301.11,298.86,300.05
2016-11-30,前場,297.88,300.32,297.02,300.14
2016-11-29,後場,298.20,298.60,297.14,297.96
2016-11-29,前場,297.04,299.65,297.04,297.94
2016-11-28,後場,294.34,297.74,294.27,297.18
2016-11-28,前場,292.55,294.37,291.32,293.66
2016-11-25,後場,297.56,297.93,293.72,295.99
2016-11-25,前場,299.10,299.41,296.97,297.87
2016-11-24,後場,299.43,301.23,299.38,300.43
2016-11-24,前場,298.66,299.24,297.35,299.04
2016-11-22,後場,293.99,294.10,293.14,293.66
2016-11-22,前場,292.72,295.69,292.40,293.32
