日付,始値,高値,安値,終値
2013-12-30,397.19,404.32,395.42,400.38
2013-12-27,389.95,393.32,387.13,393.03
2013-12-26,381.52,389.81,380.94,387.10
2013-12-25,379.79,381.83,379.24,380.87
2013-12-24,383.65,383.65,379.18,379.75
2013-12-20,380.34,383.72,378.79,382.25
2013-12-19,375.72,381.19,373.44,380.80
2013-12-18,361.31,370.18,361.09,370.06
2013-12-17,362.15,363.29,359.20,360.29
2013-12-16,363.26,363.26,359.28,359.86
2013-12-13,363.92,367.60,361.40,363.41
2013-12-12,360.52,368.08,360.52,365.12
2013-12-11,365.13,366.62,361.13,363.13
2013-12-10,364.38,369.74,364.13,367.01
2013-12-09,365.55,366.24,361.19,362.68
2013-12-06,361.30,362.23,358.74,361.70
2013-12-05,361.17,366.71,360.57,361.37
2013-12-04,367.41,369.28,362.24,363.48
2013-12-03,373.65,373.73,369.07,369.56
2013-12-02,374.08,374.68,371.19,371.80
2013-11-29,375.77,375.85,371.98,374.15
2013-11-28,374.97,376.99,374.63,376.55
2013-11-27,368.34,375.78,368.34,371.91
2013-11-26,370.44,371.69,367.78,369.91
2013-11-25,373.53,373.57,370.09,372.19
2013-11-22,375.98,376.12,370.13,372.08
2013-11-21,372.14,373.62,369.42,371.71
2013-11-20,377.48,378.01,372.37,373.85
2013-11-19,377.08,379.81,374.98,376.77
2013-11-18,381.71,385.02,376.81,379.45
2013-11-15,374.96,381.24,374.57,379.96
2013-11-14,366.05,373.26,365.39,370.69
2013-11-13,365.07,369.64,360.96,363.41
2013-11-12,352.55,363.31,351.93,363.31
2013-11-11,358.49,359.13,351.31,352.49
2013-11-08,350.68,354.17,350.68,353.08
2013-11-07,359.84,360.36,356.07,356.39
2013-11-06,355.52,360.67,355.42,357.72
2013-11-05,360.56,360.99,356.28,357.81
2013-11-01,363.08,364.38,355.76,357.75
2013-10-31,367.30,369.41,360.80,360.80
2013-10-30,368.94,369.72,366.05,366.45
2013-10-29,364.50,367.54,363.84,365.06
2013-10-28,366.14,368.28,363.19,368.05
2013-10-25,371.72,371.90,362.52,362.54
2013-10-24,368.02,370.53,364.42,369.76
2013-10-23,381.40,382.22,370.36,370.48
2013-10-22,379.12,379.33,375.43,377.49
2013-10-21,375.14,378.97,374.82,378.48
2013-10-18,368.80,373.86,368.55,372.51
2013-10-17,369.03,369.36,364.19,367.31
2013-10-16,363.73,365.90,362.72,364.34
2013-10-15,370.13,370.15,362.29,363.27
2013-10-11,367.99,368.89,364.92,366.52
2013-10-10,361.14,363.40,356.98,362.65
2013-10-09,342.02,359.13,341.69,358.90
2013-10-08,337.17,347.11,335.85,345.98
2013-10-07,349.02,349.50,340.99,341.41
2013-10-04,350.47,353.35,343.84,350.15
2013-10-03,355.57,357.84,352.40,354.43
2013-10-02,366.04,367.83,356.56,358.14
2013-10-01,368.86,370.27,366.44,366.44
2013-09-30,368.36,371.75,365.65,365.86
2013-09-27,373.16,376.60,371.36,374.13
2013-09-26,367.83,373.25,365.48,373.25
2013-09-25,374.04,375.16,370.44,371.57
2013-09-24,377.06,380.15,373.63,377.06
2013-09-20,383.43,384.83,380.98,382.42
2013-09-19,373.80,382.83,373.25,382.83
2013-09-18,366.71,369.00,365.76,367.80
2013-09-17,367.55,368.45,363.57,364.05
2013-09-13,366.68,370.61,364.39,366.44
2013-09-12,369.90,370.27,363.65,367.17
2013-09-11,375.69,376.35,369.58,371.23
2013-09-10,371.39,374.80,367.72,372.10
2013-09-09,353.88,376.76,353.86,365.55
2013-09-06,355.41,355.44,344.65,347.19
2013-09-05,357.45,357.83,351.54,355.24
2013-09-04,346.64,355.41,346.35,354.72
2013-09-03,348.67,349.66,342.41,348.60
2013-09-02,333.35,344.49,333.20,341.90
2013-08-30,337.07,337.36,329.51,331.61
2013-08-29,332.89,334.31,329.50,333.27
2013-08-28,328.40,332.78,325.59,331.42
2013-08-27,338.06,339.68,333.12,334.94
2013-08-26,336.84,342.23,336.84,338.91
2013-08-23,331.08,337.79,330.78,333.76
2013-08-22,322.51,328.80,321.01,325.04
2013-08-21,325.56,330.17,321.30,326.80
2013-08-20,325.14,332.94,323.93,324.46
2013-08-19,324.07,328.30,321.96,328.30
2013-08-16,319.14,327.36,319.09,324.41
2013-08-15,327.96,329.36,323.32,324.51
2013-08-14,329.50,334.27,325.80,333.89
2013-08-13,320.74,324.53,319.53,324.48
2013-08-12,323.61,324.71,316.27,317.66
2013-08-09,332.90,335.01,328.33,329.47
2013-08-08,333.98,341.29,328.61,331.81
2013-08-07,342.67,343.05,333.67,333.67
2013-08-06,343.18,348.14,337.47,348.14
2013-08-05,339.89,343.57,338.02,340.89
2013-08-02,336.63,343.90,336.63,343.36
2013-08-01,320.60,331.17,320.01,330.93
2013-07-31,323.00,327.43,317.74,320.57
2013-07-30,319.93,329.87,318.78,327.40
2013-07-29,324.91,325.82,321.21,321.90
2013-07-26,337.79,339.77,330.02,331.23
2013-07-25,352.68,352.88,343.54,344.22
2013-07-24,353.34,354.58,349.88,351.33
2013-07-23,351.44,356.08,351.07,354.21
2013-07-22,352.27,353.71,348.81,353.65
2013-07-19,351.90,354.44,344.24,348.78
2013-07-18,349.26,350.52,345.74,349.40
2013-07-17,347.82,349.99,346.02,349.18
2013-07-16,351.56,353.31,347.97,351.54
2013-07-12,349.74,350.41,345.33,348.08
2013-07-11,339.00,351.00,339.00,349.95
2013-07-10,345.99,347.00,340.06,343.53
2013-07-09,344.16,348.71,342.98,347.27
2013-07-08,352.69,352.69,338.79,338.90
2013-07-05,351.99,351.99,344.07,350.50
2013-07-04,342.16,350.20,339.19,349.06
2013-07-03,335.00,344.98,331.23,344.98
2013-07-02,328.46,335.74,326.77,334.35
2013-07-01,324.30,324.33,316.47,322.99
2013-06-28,310.10,323.89,309.94,321.23
2013-06-27,284.11,304.48,282.56,304.35
2013-06-26,286.76,291.47,279.79,279.83
2013-06-25,283.82,286.40,277.03,281.80
2013-06-24,288.88,292.71,284.88,284.96
2013-06-21,281.92,289.61,272.37,285.75
2013-06-20,293.65,295.31,286.90,287.81
2013-06-19,300.78,303.04,295.33,298.33
2013-06-18,294.39,300.86,293.65,295.74
2013-06-17,290.60,292.64,285.12,291.86
2013-06-14,287.37,301.86,287.37,294.22
2013-06-13,290.45,290.82,280.90,281.70
2013-06-12,296.03,297.21,287.57,296.13
2013-06-11,311.00,312.09,299.70,301.36
2013-06-10,311.30,316.45,309.51,314.24
2013-06-07,289.92,314.18,289.70,305.45
2013-06-06,296.64,310.45,293.83,294.03
2013-06-05,319.47,323.11,299.05,301.85
2013-06-04,297.08,316.51,292.81,314.03
2013-06-03,310.92,312.35,293.40,295.69
2013-05-31,316.02,325.09,313.31,315.92
2013-05-30,322.87,322.93,308.11,310.41
2013-05-29,334.72,338.49,322.11,328.94
2013-05-28,324.50,330.84,315.89,329.49
2013-05-27,323.65,334.84,317.14,329.13
2013-05-24,329.36,339.50,315.35,328.00
2013-05-23,357.12,357.89,323.72,323.72
2013-05-22,352.37,368.57,350.67,360.27
2013-05-21,364.79,366.30,355.48,356.53
2013-05-20,376.06,376.18,364.87,366.69
2013-05-17,361.52,375.28,360.20,373.67
2013-05-16,359.03,371.15,355.65,360.27
2013-05-15,362.09,365.59,348.26,356.39
2013-05-14,376.99,377.19,361.20,361.76
2013-05-13,379.39,382.65,368.28,378.25
2013-05-10,371.04,382.14,370.73,377.50
2013-05-09,373.87,376.77,363.83,364.22
2013-05-08,383.23,384.46,373.88,375.27
2013-05-07,389.34,392.58,386.89,388.77
2013-05-02,383.42,386.27,376.77,381.53
2013-05-01,379.23,389.52,375.83,383.56
2013-04-30,375.30,383.27,375.25,377.72
2013-04-26,382.27,382.83,375.08,375.41
2013-04-25,382.68,385.58,378.15,382.91
2013-04-24,379.83,381.18,372.27,381.18
2013-04-23,384.33,386.32,375.05,375.97
2013-04-22,395.19,395.19,385.19,387.68
2013-04-19,384.20,388.93,379.56,388.59
2013-04-18,384.18,396.12,380.60,381.96
2013-04-17,384.07,388.84,380.85,387.75
2013-04-16,379.45,388.34,370.79,378.77
2013-04-15,389.88,394.72,384.34,387.10
2013-04-12,384.25,397.65,381.22,397.65
2013-04-11,384.88,390.19,371.75,384.96
2013-04-10,371.12,385.82,366.09,377.74
2013-04-09,395.54,395.54,375.14,376.92
2013-04-08,377.52,394.17,374.11,393.00
2013-04-05,338.85,385.92,338.85,372.02
2013-04-04,305.50,333.36,303.00,332.85
2013-04-03,307.01,310.99,303.05,309.97
2013-04-02,289.45,307.56,284.80,307.37
2013-04-01,302.41,305.83,291.97,292.40
2013-03-29,309.70,311.14,300.34,303.37
2013-03-28,310.37,310.37,304.58,307.75
2013-03-27,307.39,312.50,306.15,311.70
2013-03-26,299.80,304.78,297.62,303.10
2013-03-25,300.41,305.96,299.12,304.63
2013-03-22,295.63,303.12,294.76,296.46
2013-03-21,308.70,309.15,299.01,300.27
2013-03-19,308.03,311.82,301.96,304.68
2013-03-18,309.28,310.14,304.47,304.59
2013-03-15,315.87,317.34,308.15,314.32
2013-03-14,301.48,312.53,300.19,311.78
2013-03-13,295.33,299.87,295.13,297.19
2013-03-12,304.40,306.18,297.81,298.19
2013-03-11,299.60,309.75,296.36,301.17
2013-03-08,281.46,295.98,280.57,295.00
2013-03-07,283.60,284.49,280.36,283.05
2013-03-06,284.27,287.46,281.13,282.54
2013-03-05,290.42,291.14,278.72,279.22
2013-03-04,282.56,294.85,282.56,286.54
2013-03-01,265.95,277.18,265.95,277.03
2013-02-28,255.95,264.61,255.78,263.55
2013-02-27,255.50,256.77,251.88,252.06
2013-02-26,244.93,257.01,244.93,253.43
2013-02-25,243.28,250.42,242.67,249.97
2013-02-22,237.28,240.04,234.66,239.67
2013-02-21,238.89,242.72,237.25,238.57
2013-02-20,243.70,244.38,240.43,240.85
2013-02-19,238.02,241.74,237.79,240.83
2013-02-18,235.61,240.36,235.60,239.74
2013-02-15,234.51,234.92,226.89,230.95
2013-02-14,239.55,239.55,233.21,234.96
2013-02-13,240.13,243.14,235.87,237.41
2013-02-12,243.16,244.05,240.64,240.64
2013-02-08,238.56,242.27,238.08,238.48
2013-02-07,241.29,244.72,240.51,240.87
2013-02-06,234.93,241.74,234.89,239.53
