日付,時刻,始値,高値,安値,終値
2014-12-30,後場,168.78,168.92,167.81,167.81
2014-12-30,前場,169.84,169.94,168.33,168.90
2014-12-29,後場,170.68,171.11,168.41,170.28
2014-12-29,前場,171.33,171.57,170.89,170.96
2014-12-26,後場,170.73,170.87,170.35,170.58
2014-12-26,前場,169.88,170.81,169.88,170.69
2014-12-25,後場,169.82,170.11,169.67,169.98
2014-12-25,前場,169.76,170.36,169.39,169.99
2014-12-24,後場,169.65,170.08,169.52,170.08
2014-12-24,前場,171.39,171.50,169.38,169.52
2014-12-22,後場,169.69,169.87,169.37,169.84
2014-12-22,前場,169.78,170.19,169.12,170.01
2014-12-19,後場,168.78,169.18,168.06,168.70
2014-12-19,前場,168.71,169.07,168.12,168.99
2014-12-18,後場,166.80,166.90,165.51,165.87
2014-12-18,前場,166.57,167.74,166.34,166.79
2014-12-17,後場,164.24,164.55,163.30,163.54
2014-12-17,前場,163.12,164.95,163.12,164.33
2014-12-16,後場,165.09,165.31,163.99,164.12
2014-12-16,前場,166.09,166.38,164.24,164.31
2014-12-15,後場,167.93,168.60,167.27,167.28
2014-12-15,前場,166.70,168.37,166.70,167.63
2014-12-12,後場,169.88,170.27,168.50,168.50
2014-12-12,前場,168.08,169.88,167.95,169.88
2014-12-11,後場,167.35,168.05,167.22,167.74
2014-12-11,前場,167.85,168.65,166.75,167.61
2014-12-10,後場,170.81,170.94,169.51,169.82
2014-12-10,前場,172.15,172.49,170.94,170.99
2014-12-09,後場,172.30,172.60,171.95,172.59
2014-12-09,前場,172.21,172.86,172.06,172.26
2014-12-08,後場,173.18,173.18,172.59,172.79
2014-12-08,前場,172.58,173.03,172.06,172.75
2014-12-05,後場,170.22,171.83,170.22,171.83
2014-12-05,前場,169.66,170.45,169.59,170.28
2014-12-04,後場,170.29,170.52,169.78,170.35
2014-12-04,前場,171.40,171.55,170.08,170.18
2014-12-03,後場,170.06,170.21,169.47,169.97
2014-12-03,前場,171.38,171.38,170.04,170.13
2014-12-02,後場,170.03,170.98,169.85,170.76
2014-12-02,前場,169.21,169.76,169.09,169.57
2014-12-01,後場,169.30,169.57,168.79,169.57
2014-12-01,前場,167.88,170.01,167.88,169.32
2014-11-28,後場,167.86,168.35,167.75,167.98
2014-11-28,前場,167.32,168.59,167.04,167.73
2014-11-27,後場,167.58,167.79,166.62,166.96
2014-11-27,前場,167.67,167.95,167.14,167.78
2014-11-26,後場,169.09,169.09,168.48,168.49
2014-11-26,前場,169.80,170.24,168.85,169.13
2014-11-25,後場,168.95,169.56,168.62,168.76
2014-11-25,前場,171.31,171.31,168.88,169.21
2014-11-21,後場,170.14,171.20,169.73,170.95
2014-11-21,前場,171.19,171.59,169.38,170.11
2014-11-20,後場,171.15,171.63,170.72,171.15
2014-11-20,前場,171.51,172.09,170.69,170.84
2014-11-19,後場,171.44,171.87,170.69,171.14
2014-11-19,前場,171.72,172.91,171.51,171.58
2014-11-18,後場,171.23,171.50,170.66,171.50
2014-11-18,前場,170.74,171.63,170.30,170.81
2014-11-17,後場,168.37,169.36,167.70,168.47
2014-11-17,前場,171.36,171.55,167.64,167.94
2014-11-14,後場,172.45,172.90,171.70,172.90
2014-11-14,前場,173.29,173.31,171.55,172.22
2014-11-13,後場,170.41,172.00,170.37,171.80
2014-11-13,前場,170.90,171.23,170.18,170.63
2014-11-12,後場,171.80,172.77,170.98,171.14
2014-11-12,前場,171.85,172.89,171.17,171.49
2014-11-11,後場,169.80,171.39,169.62,170.93
2014-11-11,前場,168.60,170.19,168.54,169.96
2014-11-10,後場,168.95,168.99,168.33,168.93
2014-11-10,前場,170.30,170.44,168.78,168.93
2014-11-07,後場,170.10,170.80,169.75,170.71
2014-11-07,前場,169.45,171.12,169.35,170.14
2014-11-06,後場,171.80,171.81,168.25,168.97
2014-11-06,前場,172.59,172.60,170.78,171.49
2014-11-05,後場,171.37,172.62,171.34,172.28
2014-11-05,前場,170.85,171.80,170.72,171.66
2014-11-04,後場,172.30,172.32,170.83,170.93
2014-11-04,前場,170.41,173.11,170.32,172.97
2014-10-31,後場,164.07,168.30,163.47,167.24
2014-10-31,前場,163.29,164.55,163.12,164.51
2014-10-30,後場,162.31,162.58,161.89,161.89
2014-10-30,前場,161.58,162.30,161.37,162.08
2014-10-29,後場,161.29,161.40,160.83,161.40
2014-10-29,前場,161.34,161.35,159.79,160.88
2014-10-28,後場,160.45,161.01,160.31,160.81
2014-10-28,前場,160.29,161.38,160.21,160.41
2014-10-27,後場,159.66,160.83,159.66,160.31
2014-10-27,前場,159.74,160.04,159.19,159.80
2014-10-24,後場,158.54,159.08,158.40,158.72
2014-10-24,前場,158.53,158.93,157.52,158.32
2014-10-23,後場,156.70,157.11,155.11,155.96
2014-10-23,前場,156.48,156.98,155.79,156.94
2014-10-22,後場,155.95,157.38,155.81,157.38
2014-10-22,前場,155.01,156.37,154.76,156.20
2014-10-21,後場,153.37,154.58,152.80,153.07
2014-10-21,前場,155.30,156.10,154.30,154.32
2014-10-20,後場,154.03,155.16,153.86,155.03
2014-10-20,前場,151.63,154.61,151.48,153.94
2014-10-17,後場,150.81,150.94,148.75,148.75
2014-10-17,前場,152.60,152.82,150.91,151.02
2014-10-16,後場,154.37,154.82,153.16,153.24
2014-10-16,前場,153.10,154.32,152.39,154.01
2014-10-15,後場,154.68,155.75,154.68,155.55
2014-10-15,前場,156.42,156.42,154.43,154.45
2014-10-14,後場,155.49,155.93,155.03,155.07
2014-10-14,前場,155.67,156.05,154.61,155.57
2014-10-10,後場,158.08,158.16,157.55,157.86
2014-10-10,前場,156.97,158.53,156.97,158.03
2014-10-09,後場,159.83,159.91,158.73,158.73
2014-10-09,前場,160.69,160.92,159.64,160.20
2014-10-08,後場,160.32,160.97,160.19,160.36
2014-10-08,前場,160.62,160.62,159.77,160.22
2014-10-07,後場,162.81,163.11,161.90,162.06
2014-10-07,前場,162.07,163.02,161.89,162.82
2014-10-06,後場,162.29,162.85,162.11,162.11
2014-10-06,前場,161.82,162.34,160.90,162.18
2014-10-03,後場,158.86,159.77,158.50,159.77
2014-10-03,前場,158.21,159.31,157.89,159.07
2014-10-02,後場,160.21,160.49,158.74,158.85
2014-10-02,前場,161.74,161.88,159.81,160.26
2014-10-01,後場,163.29,163.44,162.37,162.41
2014-10-01,前場,162.54,163.57,162.11,163.29
2014-09-30,後場,162.13,162.79,161.71,162.72
2014-09-30,前場,163.98,163.98,161.86,162.04
2014-09-29,後場,163.64,164.15,163.48,163.77
2014-09-29,前場,163.10,163.74,162.13,163.43
2014-09-26,後場,163.19,163.19,162.55,162.94
2014-09-26,前場,162.36,163.64,162.36,163.15
2014-09-25,後場,164.84,165.23,164.32,165.23
2014-09-25,前場,164.73,165.05,164.48,164.93
2014-09-24,後場,164.56,164.57,164.08,164.27
2014-09-24,前場,163.49,165.02,163.49,164.44
2014-09-22,後場,162.90,163.80,162.90,163.79
2014-09-22,前場,163.04,163.48,162.69,163.04
2014-09-19,後場,163.27,163.91,162.91,163.02
2014-09-19,前場,162.13,163.41,162.04,163.27
2014-09-18,後場,161.73,162.20,161.52,161.52
2014-09-18,前場,161.77,162.40,161.49,161.66
2014-09-17,後場,161.47,161.69,160.97,160.97
2014-09-17,前場,161.19,162.42,161.09,161.78
2014-09-16,後場,160.75,161.15,160.62,160.89
2014-09-16,前場,160.78,161.60,160.54,160.97
2014-09-12,後場,161.12,161.24,160.40,161.02
2014-09-12,前場,160.57,161.69,160.40,161.11
2014-09-11,後場,160.15,160.36,159.86,159.95
2014-09-11,前場,160.43,160.47,159.98,160.20
2014-09-10,後場,158.24,159.45,158.18,159.19
2014-09-10,前場,157.96,158.97,157.88,158.24
2014-09-09,後場,158.48,158.65,158.20,158.20
2014-09-09,前場,158.55,158.84,158.14,158.44
2014-09-08,後場,157.67,158.00,157.29,158.00
2014-09-08,前場,157.90,158.19,157.04,157.58
2014-09-05,後場,157.98,158.05,157.31,157.64
2014-09-05,前場,159.35,159.35,157.72,157.97
2014-09-04,後場,158.86,158.95,158.23,158.42
2014-09-04,前場,159.46,159.96,159.14,159.31
2014-09-03,後場,160.43,160.56,159.49,159.66
2014-09-03,前場,160.99,160.99,160.05,160.55
2014-09-02,後場,161.23,161.44,160.27,160.35
2014-09-02,前場,161.36,161.36,160.46,160.99
2014-09-01,後場,160.77,161.16,160.77,161.06
2014-09-01,前場,160.05,160.78,159.96,160.77
2014-08-29,後場,159.93,160.47,159.89,160.16
2014-08-29,前場,160.23,160.62,159.53,159.83
2014-08-28,後場,159.38,160.47,159.38,160.43
2014-08-28,前場,158.46,159.41,158.46,159.29
2014-08-27,後場,158.26,159.42,158.00,159.40
2014-08-27,前場,158.25,159.23,158.11,158.47
2014-08-26,後場,157.47,158.02,157.31,157.76
2014-08-26,前場,157.59,157.80,157.31,157.65
2014-08-25,後場,158.10,158.17,157.53,157.53
2014-08-25,前場,158.99,159.04,157.75,157.80
2014-08-22,後場,158.85,158.85,158.30,158.33
2014-08-22,前場,159.03,159.25,158.74,158.88
2014-08-21,後場,158.05,158.61,157.98,158.58
2014-08-21,前場,157.59,158.67,157.29,158.24
2014-08-20,後場,157.36,157.68,157.15,157.26
2014-08-20,前場,157.59,157.82,157.24,157.36
2014-08-19,後場,157.56,157.94,157.54,157.71
2014-08-19,前場,158.17,158.17,156.98,157.34
2014-08-18,後場,157.52,157.95,157.33,157.45
2014-08-18,前場,156.16,157.89,156.16,157.67
2014-08-15,後場,156.04,156.21,155.79,156.06
2014-08-15,前場,155.75,156.18,155.57,156.10
2014-08-14,後場,154.63,155.28,154.63,155.06
2014-08-14,前場,154.24,154.75,153.87,154.64
2014-08-13,後場,153.63,153.73,153.27,153.50
2014-08-13,前場,153.97,154.43,153.23,153.45
2014-08-12,後場,154.81,154.84,154.26,154.74
2014-08-12,前場,153.68,154.94,153.55,154.86
2014-08-11,後場,152.88,153.66,152.69,153.42
2014-08-11,前場,152.75,153.08,152.02,153.06
2014-08-08,後場,150.10,151.65,150.10,150.67
2014-08-08,前場,152.89,153.06,150.04,150.34
2014-08-07,後場,152.44,153.66,151.92,153.62
2014-08-07,前場,153.19,153.24,152.26,152.66
2014-08-06,後場,152.93,153.43,152.76,153.25
2014-08-06,前場,154.18,154.31,152.88,153.22
2014-08-05,後場,154.82,155.23,154.29,154.37
2014-08-05,前場,154.76,155.12,154.55,154.88
2014-08-04,後場,154.63,155.13,154.31,154.31
2014-08-04,前場,153.01,154.98,152.98,154.89
2014-08-01,後場,154.12,154.35,153.27,153.27
2014-08-01,前場,153.53,154.39,153.53,154.37
2014-07-31,後場,155.28,155.33,154.41,154.45
2014-07-31,前場,155.30,155.82,155.18,155.24
2014-07-30,後場,154.69,154.79,154.49,154.57
2014-07-30,前場,154.46,154.73,154.10,154.69
2014-07-29,後場,154.52,154.69,154.47,154.51
2014-07-29,前場,153.67,154.82,153.64,154.55
2014-07-28,後場,153.78,153.87,153.37,153.59
2014-07-28,前場,152.82,153.96,152.82,153.72
2014-07-25,後場,152.09,153.16,152.09,153.16
2014-07-25,前場,151.76,152.23,151.53,152.16
2014-07-24,後場,151.75,151.76,150.71,151.27
2014-07-24,前場,151.25,152.02,151.18,151.79
2014-07-23,後場,151.64,151.74,151.39,151.65
2014-07-23,前場,151.94,152.14,151.40,151.54
2014-07-22,後場,151.80,151.96,151.40,151.68
