日付,始値,高値,安値,終値
2014-12-30,169.84,169.94,167.81,167.81
2014-12-29,171.33,171.57,168.41,170.28
2014-12-26,169.88,170.87,169.88,170.58
2014-12-25,169.76,170.36,169.39,169.98
2014-12-24,171.39,171.50,169.38,170.08
2014-12-22,169.78,170.19,169.12,169.84
2014-12-19,168.71,169.18,168.06,168.70
2014-12-18,166.57,167.74,165.51,165.87
2014-12-17,163.12,164.95,163.12,163.54
2014-12-16,166.09,166.38,163.99,164.12
2014-12-15,166.70,168.60,166.70,167.28
2014-12-12,168.08,170.27,167.95,168.50
2014-12-11,167.85,168.65,166.75,167.74
2014-12-10,172.15,172.49,169.51,169.82
2014-12-09,172.21,172.86,171.95,172.59
2014-12-08,172.58,173.18,172.06,172.79
2014-12-05,169.66,171.83,169.59,171.83
2014-12-04,171.40,171.55,169.78,170.35
2014-12-03,171.38,171.38,169.47,169.97
2014-12-02,169.21,170.98,169.09,170.76
2014-12-01,167.88,170.01,167.88,169.57
2014-11-28,167.32,168.59,167.04,167.98
2014-11-27,167.67,167.95,166.62,166.96
2014-11-26,169.80,170.24,168.48,168.49
2014-11-25,171.31,171.31,168.62,168.76
2014-11-21,171.19,171.59,169.38,170.95
2014-11-20,171.51,172.09,170.69,171.15
2014-11-19,171.72,172.91,170.69,171.14
2014-11-18,170.74,171.63,170.30,171.50
2014-11-17,171.36,171.55,167.64,168.47
2014-11-14,173.29,173.31,171.55,172.90
2014-11-13,170.90,172.00,170.18,171.80
2014-11-12,171.85,172.89,170.98,171.14
2014-11-11,168.60,171.39,168.54,170.93
2014-11-10,170.30,170.44,168.33,168.93
2014-11-07,169.45,171.12,169.35,170.71
2014-11-06,172.59,172.60,168.25,168.97
2014-11-05,170.85,172.62,170.72,172.28
2014-11-04,170.41,173.11,170.32,170.93
2014-10-31,163.29,168.30,163.12,167.24
2014-10-30,161.58,162.58,161.37,161.89
2014-10-29,161.34,161.40,159.79,161.40
2014-10-28,160.29,161.38,160.21,160.81
2014-10-27,159.74,160.83,159.19,160.31
