日付,時刻,始値,高値,安値,終値
2017-12-12,後場,375.90,375.92,374.79,375.66
2017-12-12,前場,374.39,376.14,374.39,376.14
2017-12-11,後場,371.11,373.88,371.11,373.88
2017-12-11,前場,374.23,374.41,370.65,370.97
2017-12-08,後場,371.26,372.94,370.68,372.88
2017-12-08,前場,366.63,371.68,366.63,371.68
2017-12-07,後場,366.97,367.76,366.69,367.63
2017-12-07,前場,364.53,367.22,364.53,367.15
2017-12-06,後場,365.49,365.49,362.98,363.53
2017-12-06,前場,368.23,368.30,366.83,367.27
2017-12-05,後場,368.44,370.53,368.44,369.87
2017-12-05,前場,367.20,367.85,366.10,367.85
2017-12-04,後場,369.05,369.27,366.74,367.10
2017-12-04,前場,371.25,371.54,368.66,368.75
2017-12-01,後場,368.14,369.78,368.14,369.24
2017-12-01,前場,368.92,369.63,367.18,367.56
2017-11-30,後場,365.72,368.41,365.42,368.01
2017-11-30,前場,366.84,367.05,365.07,365.67
2017-11-29,後場,365.65,366.37,365.39,366.25
2017-11-29,前場,364.31,366.19,363.94,366.01
2017-11-28,後場,361.91,362.04,360.60,360.69
2017-11-28,前場,360.81,363.49,360.51,362.60
2017-11-27,後場,361.39,361.67,360.44,361.19
2017-11-27,前場,363.47,363.57,360.65,361.53
2017-11-24,後場,360.53,362.15,360.38,361.81
2017-11-24,前場,360.08,360.34,359.29,360.34
2017-11-22,後場,362.16,362.17,360.86,361.16
2017-11-22,前場,361.66,362.48,360.86,362.08
2017-11-21,後場,359.71,361.43,359.71,359.81
2017-11-21,前場,360.42,361.39,359.62,359.77
2017-11-20,後場,358.43,359.05,358.16,358.38
2017-11-20,前場,358.51,360.18,357.51,358.31
2017-11-17,後場,360.38,360.87,358.19,358.96
2017-11-17,前場,361.68,362.81,359.12,359.14
2017-11-16,後場,356.14,360.02,355.20,357.45
2017-11-16,前場,354.33,356.55,354.33,356.54
2017-11-15,後場,358.01,358.18,355.11,355.99
2017-11-15,前場,362.32,362.32,357.76,357.95
2017-11-14,後場,366.41,367.08,365.36,365.86
2017-11-14,前場,366.84,367.22,364.89,365.67
2017-11-13,後場,369.58,369.65,367.71,367.71
2017-11-13,前場,371.49,371.57,368.31,369.67
2017-11-10,後場,372.40,374.03,372.32,373.48
2017-11-10,前場,370.74,373.45,370.68,371.97
2017-11-09,後場,378.79,380.08,371.46,375.73
