日付,始値,高値,安値,終値
2017-12-22,388.03,391.42,388.03,391.22
2017-12-21,385.70,387.09,384.02,385.71
2017-12-20,378.54,385.61,378.54,385.17
2017-12-19,379.70,380.00,378.17,378.97
2017-12-18,375.84,377.93,375.63,377.60
2017-12-15,374.27,374.99,371.03,372.59
2017-12-14,374.64,375.84,374.15,375.16
2017-12-13,375.05,375.52,373.59,374.19
2017-12-12,374.39,376.14,374.39,375.66
2017-12-11,374.23,374.41,370.65,373.88
2017-12-08,366.63,372.94,366.63,372.88
2017-12-07,364.53,367.76,364.53,367.63
2017-12-06,368.23,368.30,362.98,363.53
2017-12-05,367.20,370.53,366.10,369.87
2017-12-04,371.25,371.54,366.74,367.10
2017-12-01,368.92,369.78,367.18,369.24
2017-11-30,366.84,368.41,365.07,368.01
2017-11-29,364.31,366.37,363.94,366.25
2017-11-28,360.81,363.49,360.51,360.69
2017-11-27,363.47,363.57,360.44,361.19
2017-11-24,360.08,362.15,359.29,361.81
2017-11-22,361.66,362.48,360.86,361.16
2017-11-21,360.42,361.43,359.62,359.81
2017-11-20,358.51,360.18,357.51,358.38
2017-11-17,361.68,362.81,358.19,358.96
2017-11-16,354.33,360.02,354.33,357.45
2017-11-15,362.32,362.32,355.11,355.99
2017-11-14,366.84,367.22,364.89,365.86
2017-11-13,371.49,371.57,367.71,367.71
2017-11-10,370.74,374.03,370.68,373.48
2017-11-09,376.92,380.10,371.46,375.73
2017-11-08,373.77,375.44,372.76,375.40
2017-11-07,369.71,374.18,369.54,374.18
2017-11-06,366.16,368.78,363.44,368.42
2017-11-02,366.97,367.88,363.48,363.90
2017-11-01,361.43,364.73,361.18,364.34
2017-10-31,360.21,360.40,359.14,359.26
2017-10-30,361.28,361.80,359.01,361.07
2017-10-27,360.23,362.66,359.54,362.62
2017-10-26,358.32,359.40,358.01,359.12
2017-10-25,360.83,361.27,358.32,359.44
2017-10-24,354.02,359.16,353.75,359.16
2017-10-23,352.53,353.94,351.47,353.64
2017-10-20,348.84,350.22,348.84,349.77
2017-10-19,350.35,350.43,348.83,350.02
2017-10-18,349.97,349.97,348.57,349.34
2017-10-17,350.58,351.15,348.94,350.26
2017-10-16,348.24,350.23,347.75,349.17
2017-10-13,345.06,347.76,344.27,346.98
2017-10-12,345.54,345.54,344.57,345.07
2017-10-11,344.35,344.43,342.67,344.10
2017-10-10,343.45,344.26,342.76,344.26
2017-10-06,346.67,347.45,345.63,346.26
2017-10-05,346.35,346.71,345.06,345.32
2017-10-04,346.91,348.03,346.06,347.27
2017-10-03,346.52,347.52,345.66,347.39
2017-10-02,347.39,347.39,344.97,345.89
2017-09-29,347.29,347.80,346.22,347.67
2017-09-28,346.97,347.75,345.72,347.75
2017-09-27,345.21,346.48,344.40,345.84
2017-09-26,348.14,349.64,348.14,349.42
2017-09-25,348.01,348.64,347.25,348.37
2017-09-22,345.63,346.64,344.51,345.94
2017-09-21,347.73,348.20,346.10,346.14
2017-09-20,345.17,346.65,344.99,346.09
2017-09-19,345.33,346.21,344.10,345.99
2017-09-15,340.57,342.65,340.50,342.03
2017-09-14,341.00,342.21,340.07,340.87
2017-09-13,339.88,341.35,339.88,340.80
2017-09-12,339.77,339.87,338.47,339.12
2017-09-11,335.72,338.72,335.72,337.81
2017-09-08,332.98,334.45,332.08,332.62
2017-09-07,334.14,334.73,332.41,333.24
2017-09-06,331.07,333.03,330.15,332.91
2017-09-05,334.17,334.19,331.19,331.76
2017-09-04,335.57,336.37,332.85,333.81
2017-09-01,337.55,337.57,334.80,336.61
2017-08-31,335.23,336.84,335.23,336.52
2017-08-30,331.91,334.28,331.46,333.12
2017-08-29,328.81,331.07,328.81,331.02
2017-08-28,330.11,331.32,329.22,331.08
2017-08-25,327.70,330.01,327.38,329.17
2017-08-24,329.13,330.02,327.35,327.35
2017-08-23,331.81,331.81,328.63,329.02
2017-08-22,329.22,330.09,328.34,329.59
2017-08-21,329.21,329.21,327.70,328.22
2017-08-18,328.19,329.62,327.49,328.78
2017-08-17,330.45,332.00,330.22,331.10
2017-08-16,331.20,332.29,330.15,330.15
2017-08-15,330.10,332.57,329.35,331.21
2017-08-14,329.44,331.10,328.17,328.19
2017-08-10,333.13,334.13,331.82,332.93
2017-08-09,333.98,334.40,331.36,332.95
2017-08-08,336.86,337.48,334.31,335.16
2017-08-07,336.40,337.38,336.04,336.86
2017-08-04,335.23,335.45,334.21,334.61
2017-08-03,330.85,334.52,330.29,334.48
2017-08-02,331.17,331.96,329.15,330.33
2017-08-01,327.78,329.84,327.28,329.84
2017-07-31,326.28,328.27,325.68,327.06
2017-07-28,325.16,326.45,324.65,326.45
2017-07-27,325.84,327.58,325.24,325.82
2017-07-26,326.77,326.78,325.35,326.22
2017-07-25,325.86,326.37,324.64,324.64
2017-07-24,326.09,326.72,324.86,326.43
2017-07-21,327.82,328.27,327.38,328.20
2017-07-20,326.86,329.00,326.18,328.84
2017-07-19,325.41,326.84,324.81,326.08
2017-07-18,326.76,326.85,323.95,326.08
2017-07-14,327.36,328.22,326.23,327.69
2017-07-13,325.51,326.01,324.53,325.59
2017-07-12,326.85,326.98,325.66,325.83
2017-07-11,325.63,326.77,324.55,326.69
2017-07-10,326.73,326.73,324.46,325.21
2017-07-07,322.59,326.05,322.59,324.15
2017-07-06,325.26,325.95,323.77,324.69
2017-07-05,323.90,326.42,323.36,326.42
2017-07-04,325.36,325.92,322.35,323.24
