日付,時刻,始値,高値,安値,終値
2012-12-28,後場,98.35,99.06,98.33,98.84
2012-12-28,前場,98.41,98.47,98.00,98.34
2012-12-27,後場,97.84,98.31,97.83,98.04
2012-12-27,前場,97.37,98.27,97.20,97.76
2012-12-26,後場,96.07,96.96,96.01,96.96
2012-12-26,前場,96.29,96.45,95.86,96.11
2012-12-25,後場,96.06,96.31,95.79,96.00
2012-12-25,前場,96.45,96.61,95.96,96.08
2012-12-21,後場,96.30,96.51,95.68,95.69
2012-12-21,前場,96.66,96.83,96.39,96.63
2012-12-20,後場,96.56,96.65,96.04,96.32
2012-12-20,前場,96.69,96.78,96.27,96.59
2012-12-19,後場,95.78,96.65,95.77,96.65
2012-12-19,前場,96.09,96.24,95.38,95.76
2012-12-18,後場,95.60,95.86,95.55,95.59
2012-12-18,前場,95.51,95.88,95.39,95.59
2012-12-17,後場,95.71,95.73,95.40,95.54
2012-12-17,前場,95.73,95.91,95.22,95.76
2012-12-14,後場,95.19,95.23,94.83,94.83
2012-12-14,前場,95.03,95.74,94.86,95.07
2012-12-13,後場,95.73,95.73,95.35,95.39
2012-12-13,前場,96.09,96.09,95.11,95.53
2012-12-12,後場,95.36,95.81,95.36,95.72
2012-12-12,前場,96.05,96.05,95.22,95.30
2012-12-11,後場,95.26,95.65,95.26,95.57
2012-12-11,前場,95.12,95.63,95.12,95.26
2012-12-10,後場,95.28,95.33,94.89,95.23
2012-12-10,前場,95.47,95.47,94.92,95.34
2012-12-07,後場,94.91,95.05,94.77,94.81
2012-12-07,前場,94.93,95.29,94.71,94.92
2012-12-06,後場,95.19,95.28,94.92,95.10
2012-12-06,前場,95.18,95.37,95.03,95.13
2012-12-05,後場,94.74,94.78,94.36,94.60
2012-12-05,前場,93.66,94.67,93.66,94.62
2012-12-04,後場,93.75,94.00,93.68,93.95
2012-12-04,前場,93.46,93.87,93.05,93.68
2012-12-03,後場,93.68,93.70,93.17,93.22
2012-12-03,前場,93.92,94.03,93.57,93.79
2012-11-30,後場,93.33,93.56,93.25,93.25
2012-11-30,前場,93.27,93.38,92.91,93.32
2012-11-29,後場,92.77,93.12,92.65,92.93
2012-11-29,前場,92.41,92.79,92.27,92.75
2012-11-28,後場,92.71,92.82,92.35,92.42
2012-11-28,前場,92.76,92.90,92.50,92.72
2012-11-27,後場,92.33,92.75,92.32,92.61
2012-11-27,前場,91.73,92.36,91.72,92.28
2012-11-26,後場,91.84,91.91,91.42,91.46
2012-11-26,前場,91.95,92.18,91.55,91.79
2012-11-22,後場,91.61,91.66,91.25,91.39
2012-11-22,前場,92.37,92.37,91.53,91.58
2012-11-21,後場,91.79,91.83,91.41,91.82
2012-11-21,前場,91.99,92.05,91.62,91.72
2012-11-20,後場,91.59,91.78,91.36,91.49
2012-11-20,前場,91.51,91.75,91.36,91.52
2012-11-19,後場,91.14,91.38,91.05,91.21
2012-11-19,前場,90.55,91.11,90.35,91.03
2012-11-16,後場,89.85,89.98,89.52,89.98
2012-11-16,前場,90.13,90.39,89.71,89.79
2012-11-15,後場,89.87,90.18,89.70,90.18
2012-11-15,前場,90.31,90.47,89.77,89.82
2012-11-14,後場,90.36,90.65,90.18,90.49
2012-11-14,前場,90.07,90.54,90.04,90.42
2012-11-13,後場,90.19,90.26,89.87,90.08
2012-11-13,前場,89.85,90.48,89.76,90.19
2012-11-12,後場,90.14,90.19,89.84,89.84
2012-11-12,前場,90.67,90.75,89.89,90.10
2012-11-09,後場,91.00,91.09,90.65,90.99
2012-11-09,前場,90.90,90.95,90.56,90.87
2012-11-08,後場,91.09,91.27,91.05,91.25
2012-11-08,前場,91.63,91.80,91.31,91.43
2012-11-07,後場,91.81,92.41,91.81,92.12
2012-11-07,前場,92.72,92.90,91.86,91.91
2012-11-06,後場,92.46,92.66,92.42,92.64
2012-11-06,前場,93.08,93.08,92.36,92.46
2012-11-05,後場,93.55,93.55,92.93,93.17
2012-11-05,前場,93.98,93.98,93.51,93.67
2012-11-02,後場,94.31,94.43,94.16,94.35
2012-11-02,前場,94.90,95.21,94.27,94.34
2012-11-01,後場,94.67,94.67,94.16,94.32
2012-11-01,前場,94.87,94.87,94.14,94.45
2012-10-31,後場,94.82,95.30,94.58,94.58
2012-10-31,前場,94.62,94.92,94.47,94.72
2012-10-30,後場,95.00,95.59,94.45,94.45
2012-10-30,前場,95.44,95.78,95.20,95.24
2012-10-29,後場,95.07,95.38,95.05,95.31
2012-10-29,前場,94.96,95.49,94.96,95.21
2012-10-26,後場,95.03,95.11,94.61,94.84
2012-10-26,前場,95.26,95.85,95.17,95.37
2012-10-25,後場,94.26,95.25,94.18,95.25
2012-10-25,前場,93.91,94.44,93.81,94.26
2012-10-24,後場,93.88,94.35,93.67,93.80
2012-10-24,前場,92.80,93.95,92.80,93.84
2012-10-23,後場,92.97,93.51,92.94,93.41
2012-10-23,前場,93.26,93.54,93.00,93.13
2012-10-22,後場,93.24,93.39,93.04,93.30
2012-10-22,前場,92.71,93.20,92.67,92.98
2012-10-19,後場,93.02,93.51,92.97,93.51
2012-10-19,前場,93.28,93.65,92.95,93.13
2012-10-18,後場,93.51,93.81,93.37,93.80
2012-10-18,前場,93.49,93.57,92.99,93.34
2012-10-17,後場,92.44,92.99,92.44,92.96
2012-10-17,前場,92.32,92.85,92.09,92.41
2012-10-16,後場,91.62,91.93,91.46,91.81
2012-10-16,前場,90.69,91.55,90.62,91.51
2012-10-15,後場,90.30,90.31,90.06,90.26
2012-10-15,前場,90.32,90.65,90.13,90.33
2012-10-12,後場,90.36,90.72,90.36,90.52
2012-10-12,前場,90.81,91.18,90.31,90.46
2012-10-11,後場,90.98,91.03,90.72,90.80
2012-10-11,前場,91.13,91.27,90.62,90.78
2012-10-10,後場,91.61,91.78,91.43,91.59
2012-10-10,前場,92.06,92.07,91.22,91.59
2012-10-09,後場,92.46,92.82,92.12,92.15
