日付,始値,高値,安値,終値
2013-12-30,151.00,151.10,150.26,150.95
2013-12-27,148.77,150.30,148.38,150.30
2013-12-26,147.13,148.28,147.12,148.23
2013-12-25,145.28,146.60,145.24,146.60
2013-12-24,146.18,146.58,144.86,145.23
2013-12-20,145.51,146.13,144.98,146.13
2013-12-19,145.01,146.11,144.96,145.88
2013-12-18,141.94,143.60,141.94,143.60
2013-12-17,141.23,142.37,141.23,141.84
2013-12-16,142.18,142.22,140.28,140.28
2013-12-13,141.48,142.78,140.76,141.58
2013-12-12,141.73,141.98,141.05,141.85
2013-12-11,142.14,142.67,141.41,142.30
2013-12-10,142.42,142.85,142.04,142.74
2013-12-09,142.37,142.56,141.76,142.56
2013-12-06,140.29,140.94,139.52,140.77
2013-12-05,141.80,142.47,140.54,140.61
2013-12-04,142.79,143.58,141.64,141.95
2013-12-03,144.03,144.08,143.25,143.60
2013-12-02,143.39,143.77,142.85,143.59
2013-11-29,143.16,143.98,142.40,143.48
2013-11-28,143.07,143.51,142.66,143.49
2013-11-27,141.68,142.65,141.65,142.19
2013-11-26,142.58,142.84,142.18,142.51
2013-11-25,142.60,143.54,142.28,143.54
2013-11-22,143.25,143.47,141.40,141.85
2013-11-21,141.53,142.83,141.32,142.68
2013-11-20,141.65,141.93,140.69,140.83
2013-11-19,140.88,141.59,140.36,141.34
2013-11-18,141.84,141.84,140.74,141.26
2013-11-15,140.60,141.57,140.23,141.13
2013-11-14,137.75,140.16,137.70,139.38
2013-11-13,137.17,137.47,136.47,136.97
2013-11-12,134.58,136.98,134.58,136.88
2013-11-11,134.88,135.03,133.92,134.32
2013-11-08,134.29,134.70,133.31,133.68
2013-11-07,136.78,136.88,135.57,135.64
2013-11-06,135.80,137.50,135.68,136.75
2013-11-05,137.64,137.65,135.72,136.40
2013-11-01,138.28,138.37,136.01,136.55
2013-10-31,138.98,139.31,137.83,137.97
2013-10-30,138.58,139.73,138.25,139.31
2013-10-29,136.68,138.14,136.30,137.84
2013-10-28,137.18,137.96,136.60,137.78
2013-10-25,138.33,138.48,135.95,135.95
2013-10-24,137.08,138.47,136.06,138.36
2013-10-23,139.92,140.11,137.29,137.38
2013-10-22,139.15,139.34,138.75,139.29
2013-10-21,138.57,139.37,138.32,139.09
2013-10-18,138.01,138.51,137.34,137.92
2013-10-17,138.39,138.75,136.83,137.73
2013-10-16,137.49,137.95,136.96,137.35
2013-10-15,138.08,138.08,137.32,137.51
2013-10-11,136.78,137.48,135.87,137.04
2013-10-10,134.17,135.66,133.78,135.46
2013-10-09,131.80,133.48,131.46,133.48
2013-10-08,132.15,133.29,131.90,132.79
2013-10-07,134.70,134.86,132.44,132.58
2013-10-04,134.19,135.45,133.85,134.26
2013-10-03,135.57,136.05,134.67,135.04
2013-10-02,138.59,138.96,135.43,135.61
2013-10-01,139.17,139.65,138.23,138.29
2013-09-30,138.94,139.56,138.10,138.71
2013-09-27,140.92,141.18,140.33,140.56
2013-09-26,139.57,140.37,137.66,140.37
2013-09-25,139.06,139.56,138.45,138.92
2013-09-24,138.40,140.03,138.40,139.71
2013-09-20,139.61,139.93,139.27,139.68
2013-09-19,138.22,139.25,137.47,139.25
2013-09-18,136.10,137.56,135.83,136.92
2013-09-17,137.72,137.72,135.57,135.57
2013-09-13,135.50,137.48,135.50,137.06
2013-09-12,137.06,137.29,135.71,136.19
2013-09-11,138.81,138.87,137.13,137.13
2013-09-10,137.72,138.66,137.48,138.47
2013-09-09,135.84,137.12,135.62,137.03
2013-09-06,135.49,135.70,133.01,133.46
2013-09-05,135.86,135.86,134.03,134.75
2013-09-04,134.10,135.57,133.73,135.57
2013-09-03,133.54,135.08,133.44,135.08
2013-09-02,131.53,132.55,130.95,132.03
2013-08-30,133.26,133.48,130.97,131.05
2013-08-29,131.27,132.65,131.14,132.44
2013-08-28,130.49,131.88,130.02,131.12
2013-08-27,134.78,134.93,133.43,133.69
2013-08-26,135.65,135.89,135.02,135.40
2013-08-23,134.08,135.82,133.91,134.90
2013-08-22,131.74,133.19,131.39,132.63
2013-08-21,132.08,132.73,130.43,132.23
2013-08-20,133.86,134.52,132.20,132.23
2013-08-19,134.48,134.85,133.75,134.67
2013-08-16,133.83,135.26,133.83,134.44
2013-08-15,136.63,137.38,135.41,135.61
2013-08-14,137.36,138.22,135.67,138.22
2013-08-13,134.97,136.89,134.97,136.89
2013-08-12,133.60,135.14,133.15,133.91
2013-08-09,136.38,136.55,133.68,134.43
2013-08-08,137.33,139.49,135.92,136.21
2013-08-07,141.28,141.35,138.11,138.11
2013-08-06,142.14,143.24,139.65,143.17
2013-08-05,142.68,143.48,142.38,142.64
2013-08-02,141.78,144.14,141.53,144.14
2013-08-01,137.60,140.49,137.58,140.49
2013-07-31,138.09,138.30,136.60,137.24
2013-07-30,136.78,139.67,136.68,139.44
2013-07-29,138.76,139.59,137.31,137.31
2013-07-26,142.68,143.39,140.77,140.77
2013-07-25,146.44,146.44,144.44,144.64
2013-07-24,146.76,147.14,146.03,146.40
2013-07-23,145.50,147.26,145.44,146.88
2013-07-22,147.16,147.16,144.61,146.31
2013-07-19,148.04,148.26,144.73,145.68
2013-07-18,145.91,147.34,145.76,147.13
2013-07-17,144.65,145.84,144.23,145.62
2013-07-16,145.38,146.57,144.93,145.70
2013-07-12,146.59,146.68,145.50,145.90
2013-07-11,145.30,147.03,145.11,146.85
2013-07-10,146.07,147.37,145.64,146.68
2013-07-09,143.61,146.03,142.81,145.94
2013-07-08,143.58,144.06,142.04,142.04
2013-07-05,141.18,142.12,141.00,142.12
2013-07-04,138.99,140.38,138.99,140.13
2013-07-03,140.36,140.38,138.98,139.82
2013-07-02,139.21,140.23,138.32,140.23
2013-07-01,136.62,138.10,135.10,137.99
2013-06-28,132.93,136.09,132.68,135.95
2013-06-27,128.78,131.88,128.67,131.88
2013-06-26,130.74,131.08,127.63,127.94
2013-06-25,130.00,130.84,127.16,128.95
2013-06-24,132.55,132.61,129.81,130.14
2013-06-21,126.23,131.39,126.03,130.96
2013-06-20,129.17,129.31,127.31,128.24
2013-06-19,129.81,130.69,128.78,130.22
2013-06-18,127.93,128.41,126.63,127.78
2013-06-17,123.36,127.72,123.01,127.72
2013-06-14,123.16,125.83,123.05,123.89
2013-06-13,126.02,126.47,120.96,121.11
2013-06-12,124.90,128.48,123.69,128.05
2013-06-11,128.79,129.38,126.35,126.77
2013-06-10,126.14,128.45,126.04,128.45
2013-06-07,122.51,125.40,120.62,123.74
2013-06-06,125.69,127.28,123.67,124.01
2013-06-05,129.90,133.30,126.78,126.78
2013-06-04,127.06,130.19,125.66,129.79
2013-06-03,130.83,131.33,128.06,128.06
2013-05-31,132.83,134.09,131.31,132.25
2013-05-30,135.79,135.79,130.99,131.23
2013-05-29,138.17,139.41,135.80,137.75
2013-05-28,134.74,137.01,134.21,136.53
2013-05-27,136.47,138.49,132.89,136.62
2013-05-24,138.43,142.09,134.75,138.22
2013-05-23,146.20,148.27,136.80,136.80
2013-05-22,145.26,147.07,144.64,146.43
2013-05-21,145.47,145.55,144.19,145.20
2013-05-20,146.98,146.98,145.58,146.17
2013-05-17,144.42,146.95,144.38,146.47
2013-05-16,148.49,148.49,143.94,145.21
2013-05-15,147.45,149.14,147.40,148.74
2013-05-14,146.16,146.28,145.13,145.69
2013-05-13,146.68,146.68,145.25,145.88
2013-05-10,146.35,146.83,144.87,145.82
2013-05-09,146.23,146.77,144.18,144.27
2013-05-08,146.56,147.07,145.58,145.79
2013-05-07,145.38,146.53,144.72,146.39
2013-05-02,143.31,143.94,142.44,143.08
2013-05-01,143.96,144.39,142.87,143.71
2013-04-30,143.61,144.50,143.61,144.11
2013-04-26,144.10,144.16,142.43,142.82
2013-04-25,143.63,144.20,142.71,143.69
2013-04-24,143.44,144.03,142.74,143.27
2013-04-23,143.32,143.62,142.30,142.59
2013-04-22,141.06,143.27,141.00,143.08
2013-04-19,139.59,139.97,138.25,139.65
2013-04-18,138.93,141.46,138.22,139.57
2013-04-17,138.60,140.10,138.60,140.05
2013-04-16,135.20,138.40,135.17,137.86
2013-04-15,138.50,139.23,137.53,137.91
2013-04-12,139.77,139.90,138.15,139.25
2013-04-11,139.82,140.65,138.45,140.31
2013-04-10,137.34,139.79,136.87,138.61
2013-04-09,138.96,139.20,136.96,137.63
2013-04-08,136.41,138.93,135.76,138.07
2013-04-05,131.87,139.30,131.70,134.35
2013-04-04,126.06,129.72,123.78,129.72
2013-04-03,124.06,127.09,124.06,127.09
2013-04-02,122.41,124.70,119.75,123.89
2013-04-01,127.08,127.21,122.58,122.58
2013-03-29,128.01,128.01,126.11,127.82
2013-03-28,127.81,128.55,127.18,127.59
2013-03-27,126.28,127.33,125.92,127.09
2013-03-26,124.85,126.22,124.85,125.95
2013-03-25,123.81,126.17,123.81,125.67
2013-03-22,124.51,124.65,122.57,122.57
2013-03-21,123.27,124.55,123.21,124.50
2013-03-19,121.07,122.19,121.07,122.03
2013-03-18,120.69,121.07,119.78,119.78
2013-03-15,119.28,121.14,119.28,120.93
2013-03-14,117.39,118.37,117.16,118.15
2013-03-13,117.91,118.12,116.84,117.11
2013-03-12,119.02,119.65,118.42,118.43
2013-03-11,118.67,119.25,118.25,119.13
2013-03-08,116.43,118.12,116.39,118.11
2013-03-07,116.89,117.40,116.15,116.29
2013-03-06,114.26,116.36,114.25,116.36
2013-03-05,113.81,114.31,113.10,113.20
2013-03-04,112.01,113.22,111.81,112.82
2013-03-01,109.95,111.84,109.59,111.59
2013-02-28,108.80,110.39,108.79,110.29
2013-02-27,109.64,109.92,108.11,108.11
2013-02-26,109.86,110.40,109.53,109.82
2013-02-25,112.17,112.59,111.88,112.18
2013-02-22,110.27,111.49,110.25,111.43
2013-02-21,111.15,111.94,110.63,110.71
2013-02-20,110.95,111.36,110.64,111.32
2013-02-19,109.63,110.65,109.63,110.21
2013-02-18,108.36,109.91,108.31,109.80
2013-02-15,108.79,109.08,107.46,108.08
2013-02-14,108.90,109.18,108.60,108.91
2013-02-13,109.54,109.86,108.47,108.92
2013-02-12,109.05,110.47,109.05,109.66
2013-02-08,108.66,109.35,107.85,108.00
2013-02-07,109.21,109.51,108.95,109.24
2013-02-06,108.92,109.69,108.79,109.45
2013-02-05,108.42,108.61,107.90,107.90
2013-02-04,109.61,109.61,108.65,108.90
2013-02-01,108.50,109.69,108.50,109.16
2013-01-31,107.23,108.01,106.98,107.92
2013-01-30,106.64,107.42,106.32,107.37
2013-01-29,106.26,106.73,105.83,106.09
2013-01-28,106.82,106.95,106.38,106.55
2013-01-25,104.63,105.84,104.56,105.82
2013-01-24,103.13,103.62,102.91,103.62
2013-01-23,104.09,104.79,103.55,103.59
2013-01-22,105.00,105.35,103.86,104.37
2013-01-21,105.13,105.42,104.57,104.79
2013-01-18,104.36,104.76,104.04,104.76
2013-01-17,103.66,103.88,102.62,103.62
2013-01-16,103.53,104.17,103.22,103.28
2013-01-15,103.73,103.81,103.49,103.66
2013-01-11,102.40,103.17,102.12,102.83
2013-01-10,102.33,102.53,101.56,101.97
2013-01-09,101.97,102.68,101.64,102.33
2013-01-08,102.10,102.56,101.71,101.96
2013-01-07,100.62,102.09,100.23,101.87
2013-01-04,100.45,100.81,99.56,100.07
