日付,時刻,始値,高値,安値,終値
2009-12-30,後場,114.63,115.27,114.23,114.23
2009-12-30,前場,116.02,116.05,114.47,114.52
2009-12-29,後場,115.65,115.68,115.25,115.64
2009-12-29,前場,115.48,116.50,115.36,115.68
2009-12-28,後場,115.32,115.74,115.23,115.29
2009-12-28,前場,114.36,115.40,114.31,115.12
2009-12-25,後場,114.13,114.24,113.94,114.10
2009-12-25,前場,114.76,114.76,114.15,114.32
2009-12-24,後場,114.47,114.91,114.47,114.64
2009-12-24,前場,113.47,114.61,113.40,114.57
2009-12-22,後場,112.30,113.24,112.26,113.03
2009-12-22,前場,111.94,112.62,111.85,112.35
2009-12-21,後場,111.40,111.63,111.14,111.14
2009-12-21,前場,111.45,111.58,111.12,111.49
2009-12-18,後場,110.20,111.19,110.18,111.06
2009-12-18,前場,110.66,111.03,110.01,110.30
2009-12-17,後場,111.60,111.72,111.17,111.17
2009-12-17,前場,111.85,112.43,111.52,111.79
2009-12-16,後場,111.65,111.74,111.06,111.52
2009-12-16,前場,111.52,112.40,111.50,111.97
2009-12-15,後場,111.05,111.19,110.26,110.38
2009-12-15,前場,110.86,111.19,110.44,111.08
2009-12-14,後場,109.71,111.33,109.59,111.19
2009-12-14,前場,110.77,110.80,109.77,109.77
2009-12-11,後場,109.75,110.78,109.57,110.78
2009-12-11,前場,109.01,109.42,108.76,109.40
2009-12-10,後場,109.27,109.32,107.96,108.13
2009-12-10,前場,108.99,110.47,108.99,109.53
2009-12-09,後場,109.06,109.37,108.93,108.95
2009-12-09,前場,109.72,109.74,108.94,109.24
2009-12-08,後場,110.37,110.86,110.32,110.63
2009-12-08,前場,110.30,110.99,110.30,110.51
2009-12-07,後場,110.60,110.98,110.24,110.85
2009-12-07,前場,110.78,111.54,110.78,111.04
2009-12-04,後場,109.16,109.31,108.44,109.30
2009-12-04,前場,109.58,109.58,108.33,109.41
2009-12-03,後場,108.58,109.60,108.42,109.60
2009-12-03,前場,106.80,108.30,106.78,108.21
2009-12-02,後場,105.68,105.90,105.23,105.69
2009-12-02,前場,105.80,106.45,104.91,105.18
2009-12-01,後場,103.79,106.01,103.79,106.01
2009-12-01,前場,102.90,103.71,102.15,102.55
2009-11-30,後場,102.65,103.46,102.50,103.46
2009-11-30,前場,100.62,102.70,100.62,102.49
2009-11-27,後場,100.41,100.82,99.38,99.64
2009-11-27,前場,101.45,101.63,99.32,100.13
2009-11-26,後場,102.90,103.07,102.60,102.90
2009-11-26,前場,102.82,103.46,102.18,103.38
2009-11-25,後場,103.44,103.94,103.29,103.81
2009-11-25,前場,103.67,104.14,102.92,103.49
2009-11-24,後場,104.35,104.35,103.54,103.75
2009-11-24,前場,105.60,105.64,104.33,104.33
2009-11-20,後場,104.23,105.17,104.22,105.17
2009-11-20,前場,103.85,105.08,103.85,104.16
2009-11-19,後場,104.42,104.93,104.15,104.65
2009-11-19,前場,105.96,106.00,103.88,104.84
2009-11-18,後場,105.92,105.98,105.33,105.74
2009-11-18,前場,106.58,107.17,106.12,106.13
2009-11-17,後場,107.33,107.36,106.78,107.02
2009-11-17,前場,108.31,108.47,107.32,107.38
2009-11-16,後場,108.71,108.73,107.83,108.01
2009-11-16,前場,108.80,108.90,107.55,108.45
2009-11-13,後場,109.01,109.19,108.86,109.00
2009-11-13,前場,109.56,109.98,108.53,108.93
2009-11-12,後場,110.31,110.31,109.49,109.52
2009-11-12,前場,111.08,111.31,110.34,110.37
2009-11-11,後場,111.51,111.63,110.70,110.78
2009-11-11,前場,111.37,111.87,111.25,111.63
2009-11-10,後場,111.84,111.98,110.86,111.05
2009-11-10,前場,111.36,112.02,111.17,111.94
2009-11-09,後場,110.64,110.96,110.25,110.48
2009-11-09,前場,110.38,110.83,109.67,110.66
2009-11-06,後場,110.76,110.83,110.06,110.26
2009-11-06,前場,110.55,110.86,110.27,110.67
2009-11-05,後場,109.36,109.97,109.18,109.82
2009-11-05,前場,110.31,110.69,109.56,109.66
2009-11-04,後場,110.32,110.70,110.18,110.59
2009-11-04,前場,109.98,110.19,109.40,110.07
2009-11-02,後場,110.39,110.78,110.36,110.76
2009-11-02,前場,111.25,111.28,110.13,110.13
2009-10-30,後場,112.29,112.85,112.28,112.42
2009-10-30,前場,111.93,112.31,111.73,112.11
2009-10-29,後場,109.97,111.00,109.81,110.74
2009-10-29,前場,110.79,110.79,109.61,109.98
2009-10-28,後場,112.60,112.83,111.95,112.34
2009-10-28,前場,113.60,114.02,112.93,113.02
2009-10-27,後場,113.48,113.92,113.25,113.56
2009-10-27,前場,114.57,114.76,113.35,113.48
2009-10-26,後場,115.33,115.36,114.73,115.36
2009-10-26,前場,114.47,115.62,114.25,115.52
2009-10-23,後場,115.57,115.74,114.66,114.78
2009-10-23,前場,115.31,115.91,114.97,115.58
2009-10-22,後場,113.71,114.58,113.10,114.58
2009-10-22,前場,114.03,114.41,113.57,113.74
2009-10-21,後場,114.11,114.74,114.08,114.50
2009-10-21,前場,114.29,114.44,113.99,114.13
2009-10-20,後場,114.90,114.93,114.58,114.68
2009-10-20,前場,114.00,115.10,114.00,115.02
2009-10-19,後場,111.75,113.15,111.67,113.12
2009-10-19,前場,112.34,112.52,111.60,111.74
2009-10-16,後場,113.52,113.52,112.70,113.27
2009-10-16,前場,114.39,114.39,113.50,113.67
2009-10-15,後場,114.38,114.38,113.44,113.94
2009-10-15,前場,113.97,114.75,113.85,114.50
2009-10-14,後場,112.67,113.01,112.31,112.94
