日付,始値,高値,安値,終値
2010-12-30,116.61,116.71,115.46,115.75
2010-12-29,115.90,117.09,115.81,117.09
2010-12-28,116.27,116.43,116.06,116.14
2010-12-27,116.02,116.62,116.01,116.51
2010-12-24,116.48,116.54,115.88,116.06
2010-12-22,116.95,117.53,116.84,117.06
2010-12-21,116.12,117.25,116.01,117.10
2010-12-20,116.45,116.60,115.38,115.88
2010-12-17,116.64,116.81,116.08,116.26
2010-12-16,116.13,117.03,116.09,116.73
2010-12-15,116.48,116.75,115.69,116.29
2010-12-14,115.03,116.00,115.01,116.00
2010-12-13,114.06,115.09,113.84,115.09
2010-12-10,115.24,115.24,113.86,113.86
2010-12-09,115.01,115.30,114.33,114.68
2010-12-08,114.27,114.87,114.14,114.87
2010-12-07,113.45,113.74,112.88,113.72
2010-12-06,112.86,113.56,112.86,113.41
2010-12-03,113.47,113.58,112.36,112.59
2010-12-02,112.04,112.61,111.79,112.54
2010-12-01,109.96,110.31,109.34,110.31
2010-11-30,112.19,112.36,110.51,110.51
2010-11-29,111.47,112.63,111.44,112.52
2010-11-26,111.86,112.64,111.33,111.34
2010-11-25,111.70,112.05,110.99,111.75
2010-11-24,109.84,111.15,109.65,110.72
2010-11-22,111.49,111.88,111.27,111.49
2010-11-19,111.72,111.86,110.35,110.39
2010-11-18,108.35,110.79,108.28,110.79
2010-11-17,106.77,108.11,106.77,108.07
2010-11-16,109.16,109.34,107.89,108.00
2010-11-15,108.54,108.67,108.08,108.54
2010-11-12,108.62,109.28,107.83,107.95
2010-11-11,108.79,109.34,108.60,109.13
2010-11-10,107.92,109.13,107.82,108.76
2010-11-09,107.53,108.22,107.41,107.94
2010-11-08,106.92,107.74,106.81,107.74
2010-11-05,105.23,106.51,105.20,106.10
2010-11-04,102.38,103.81,102.33,103.66
2010-11-02,101.20,101.71,100.94,101.23
2010-11-01,101.22,102.13,100.89,101.14
2010-10-29,103.76,103.88,101.06,101.76
2010-10-28,104.64,104.64,103.81,104.01
2010-10-27,105.57,105.81,104.52,105.01
2010-10-26,105.42,105.92,105.07,105.07
2010-10-25,105.80,106.08,105.28,105.36
2010-10-22,105.42,106.01,105.35,105.84
2010-10-21,105.64,106.07,104.72,105.27
2010-10-20,105.48,105.84,104.59,105.58
2010-10-19,106.56,107.52,106.46,106.71
2010-10-18,106.28,107.14,106.18,106.80
2010-10-15,106.83,106.89,105.88,106.09
2010-10-14,106.69,107.68,106.47,107.37
2010-10-13,106.79,106.96,105.39,105.40
2010-10-12,109.14,109.14,105.91,105.92
2010-10-08,108.85,109.20,108.23,108.23
2010-10-07,108.43,109.48,108.43,109.16
2010-10-06,107.21,108.67,106.92,108.67
2010-10-05,104.71,106.49,103.98,106.01
2010-10-04,106.40,106.95,104.99,105.14
2010-10-01,107.25,107.36,105.87,106.27
2010-09-30,108.58,108.93,106.59,106.59
2010-09-29,107.99,108.64,107.69,108.52
2010-09-28,108.31,108.40,107.45,107.74
2010-09-27,108.29,108.80,107.83,108.80
2010-09-24,107.17,108.40,106.63,107.17
2010-09-22,108.35,108.68,108.12,108.14
2010-09-21,109.64,109.75,108.36,108.43
2010-09-17,108.34,109.22,107.89,109.02
2010-09-16,109.22,109.25,107.30,107.59
2010-09-15,105.70,108.61,105.38,108.19
2010-09-14,107.16,107.21,105.72,105.99
2010-09-13,107.76,108.24,107.14,107.18
2010-09-10,106.57,107.71,106.51,106.89
2010-09-09,106.34,106.49,105.62,106.25
