日付,時刻,始値,高値,安値,終値
2008-12-30,後場,94.94,94.94,94.94,94.94
2008-12-30,前場,94.10,94.94,93.92,94.94
2008-12-29,後場,93.69,94.59,93.66,94.42
2008-12-29,前場,94.08,94.57,93.80,93.80
2008-12-26,後場,93.73,94.23,93.51,94.23
2008-12-26,前場,93.30,93.90,93.12,93.68
2008-12-25,後場,92.82,93.07,92.43,93.07
2008-12-25,前場,92.83,93.26,92.77,92.78
2008-12-24,後場,92.92,93.35,92.63,92.82
2008-12-24,前場,94.46,94.63,92.58,92.72
2008-12-22,後場,94.65,95.64,94.54,95.32
2008-12-22,前場,93.95,95.17,93.90,94.97
2008-12-19,後場,93.63,94.96,93.63,93.71
2008-12-19,前場,93.47,94.10,93.44,93.65
2008-12-18,後場,94.01,94.12,93.03,93.72
2008-12-18,前場,93.69,94.68,93.56,94.01
2008-12-17,後場,93.62,93.79,91.95,93.79
2008-12-17,前場,93.56,94.23,93.40,93.78
2008-12-16,後場,92.77,92.97,92.42,92.60
2008-12-16,前場,93.30,93.34,91.88,93.00
2008-12-15,後場,93.95,94.45,93.47,93.68
2008-12-15,前場,92.06,94.15,92.06,93.84
2008-12-12,後場,92.83,92.89,89.72,90.85
2008-12-12,前場,93.10,93.55,92.17,93.55
2008-12-11,後場,93.43,93.77,93.11,93.77
2008-12-11,前場,94.24,94.24,92.98,93.44
2008-12-10,後場,94.21,94.96,93.73,94.41
2008-12-10,前場,92.47,94.07,92.46,93.99
2008-12-09,後場,92.13,92.64,91.61,92.43
2008-12-09,前場,92.37,92.97,92.12,92.18
2008-12-08,後場,91.71,92.37,91.47,92.05
2008-12-08,前場,90.36,90.94,89.86,90.94
2008-12-05,後場,90.44,90.99,89.92,90.17
2008-12-05,前場,89.33,90.24,89.19,90.21
2008-12-04,後場,89.32,89.32,88.17,89.06
2008-12-04,前場,89.19,89.69,88.90,89.43
2008-12-03,後場,88.36,89.13,88.25,88.98
2008-12-03,前場,86.80,88.08,86.76,88.00
2008-12-02,後場,86.89,87.02,85.83,85.83
2008-12-02,前場,87.81,87.81,85.44,86.65
2008-12-01,後場,88.48,89.12,88.10,88.96
2008-12-01,前場,88.41,88.59,87.52,88.09
2008-11-28,後場,87.99,88.95,87.75,88.50
2008-11-28,前場,88.95,89.15,87.72,87.95
2008-11-27,後場,89.37,89.65,88.09,88.75
2008-11-27,前場,89.15,90.27,89.01,89.20
2008-11-26,後場,88.57,89.21,88.35,88.60
2008-11-26,前場,88.15,88.81,87.51,88.24
2008-11-25,後場,87.39,88.80,86.38,88.80
2008-11-25,前場,86.43,88.89,86.42,87.71
2008-11-21,後場,82.00,85.84,81.43,85.26
2008-11-21,前場,83.07,83.11,80.65,81.54
2008-11-20,後場,85.50,85.50,84.07,84.07
2008-11-20,前場,87.00,87.05,85.11,85.51
2008-11-19,後場,87.23,88.12,86.82,88.12
2008-11-19,前場,87.91,88.87,87.38,87.44
2008-11-18,後場,88.20,88.47,87.62,87.62
2008-11-18,前場,87.85,88.73,87.24,88.73
2008-11-17,後場,88.84,89.80,87.74,88.36
2008-11-17,前場,87.40,88.39,86.02,88.30
2008-11-14,後場,88.14,88.94,87.18,87.95
2008-11-14,前場,87.23,89.90,87.23,88.28
2008-11-13,後場,86.61,87.43,85.46,86.03
2008-11-13,前場,89.52,89.52,86.17,86.24
2008-11-12,後場,90.20,91.00,89.80,90.81
2008-11-12,前場,89.02,90.77,88.30,90.73
2008-11-11,後場,90.28,91.84,89.96,90.01
2008-11-11,前場,91.91,92.08,88.90,89.79
2008-11-10,後場,92.23,92.93,91.73,92.75
2008-11-10,前場,90.88,93.94,90.83,92.59
2008-11-07,後場,90.07,91.46,88.48,89.70
2008-11-07,前場,90.18,90.18,87.22,89.50
2008-11-06,後場,90.74,92.05,90.14,91.14
2008-11-06,前場,92.65,92.76,90.40,90.71
2008-11-05,後場,93.65,93.99,92.57,93.99
2008-11-05,前場,90.82,93.58,90.79,93.06
2008-11-04,後場,88.70,90.18,88.69,89.67
2008-11-04,前場,86.51,89.15,86.51,88.35
2008-10-31,後場,87.38,88.69,85.33,85.42
2008-10-31,前場,87.55,87.95,85.97,87.09
2008-10-30,後場,84.31,87.67,83.91,87.67
2008-10-30,前場,83.52,84.84,83.31,84.10
2008-10-29,後場,81.73,83.09,78.96,83.09
2008-10-29,前場,78.53,82.37,78.53,81.59
2008-10-28,後場,73.70,77.33,73.68,77.33
2008-10-28,前場,75.30,75.78,73.20,73.67
2008-10-27,後場,78.60,79.23,75.53,75.71
2008-10-27,前場,79.39,80.53,77.82,78.90
2008-10-24,後場,81.91,82.40,79.80,79.97
2008-10-24,前場,84.91,84.91,82.41,82.49
2008-10-23,後場,83.08,85.57,82.01,85.45
2008-10-23,前場,85.25,85.28,81.85,82.90
2008-10-22,後場,89.30,89.30,86.41,86.41
2008-10-22,前場,90.99,90.99,89.34,89.66
2008-10-21,後場,91.59,92.05,90.70,92.03
2008-10-21,前場,91.25,92.96,91.25,91.59
2008-10-20,後場,88.48,90.39,88.48,90.23
2008-10-20,前場,88.69,89.06,87.58,88.07
2008-10-17,後場,87.46,88.18,86.93,88.18
2008-10-17,前場,85.64,88.43,85.59,86.93
2008-10-16,後場,86.58,87.55,84.47,84.47
2008-10-16,前場,89.82,89.82,84.17,86.41
2008-10-15,後場,89.12,91.36,88.95,91.15
2008-10-15,前場,89.57,90.50,88.78,89.39
2008-10-14,後場,89.71,90.58,89.43,90.48
2008-10-14,前場,83.27,90.45,83.27,89.66
2008-10-10,後場,81.02,83.14,80.58,82.10
2008-10-10,前場,87.50,87.50,81.15,81.15
2008-10-09,後場,89.94,90.60,88.69,88.75
2008-10-09,前場,87.91,89.80,87.30,89.71
2008-10-08,後場,92.71,92.71,88.49,88.49
2008-10-08,前場,93.83,93.93,91.71,92.21
2008-10-07,後場,94.99,96.37,94.93,95.03
2008-10-07,前場,94.92,95.07,91.74,94.54
2008-10-06,後場,97.11,97.76,95.70,96.08
2008-10-06,前場,99.63,99.76,97.15,97.17
2008-10-03,後場,100.80,101.28,100.48,100.58
2008-10-03,前場,102.53,102.57,100.75,100.76
2008-10-02,後場,103.42,104.33,103.08,103.50
2008-10-02,前場,103.56,104.90,103.43,103.43
2008-10-01,後場,102.62,103.59,102.47,102.79
2008-10-01,前場,104.60,104.83,102.76,103.04
2008-09-30,後場,103.72,105.05,103.55,103.76
2008-09-30,前場,105.69,105.69,102.35,102.90
2008-09-29,後場,108.32,108.32,106.78,107.10
2008-09-29,前場,108.13,109.74,108.13,108.90
2008-09-26,後場,108.44,108.44,107.31,108.34
2008-09-26,前場,108.32,108.73,108.27,108.50
2008-09-25,後場,108.26,108.52,107.85,108.13
2008-09-25,前場,107.48,108.54,106.95,108.48
2008-09-24,後場,107.63,108.94,107.63,108.94
2008-09-24,前場,108.19,108.34,106.60,107.46
2008-09-22,後場,108.99,109.01,108.17,108.50
2008-09-22,前場,108.78,109.81,108.39,108.83
2008-09-19,後場,106.47,107.54,106.41,107.54
2008-09-19,前場,105.46,106.94,105.42,106.32
2008-09-18,後場,103.91,105.30,102.88,104.54
2008-09-18,前場,105.59,105.60,103.47,103.99
2008-09-17,後場,107.34,107.34,106.21,106.93
2008-09-17,前場,106.61,108.13,106.33,107.90
2008-09-16,後場,105.71,106.16,105.29,105.70
2008-09-16,前場,109.38,109.40,105.34,105.34
2008-09-12,後場,110.86,111.01,110.09,110.83
2008-09-12,前場,111.32,111.32,110.45,111.09
2008-09-11,後場,110.60,110.88,110.26,110.35
2008-09-11,前場,111.41,111.45,110.55,110.85
2008-09-10,後場,111.98,112.81,111.64,112.49
2008-09-10,前場,111.51,112.62,111.26,111.90
2008-09-09,後場,113.15,113.27,112.33,112.69
2008-09-09,前場,114.43,114.43,113.22,113.37
2008-09-08,後場,115.47,115.54,114.54,114.82
2008-09-08,前場,114.31,115.73,114.20,115.54
2008-09-05,後場,113.53,113.88,112.66,113.45
2008-09-05,前場,115.02,115.02,112.97,113.53
2008-09-04,後場,117.23,117.44,116.42,116.64
2008-09-04,前場,117.20,117.55,116.23,117.42
2008-09-03,後場,117.60,118.18,117.43,117.88
2008-09-03,前場,116.90,117.92,116.88,117.68
2008-09-02,後場,118.33,118.34,115.49,116.25
2008-09-02,前場,117.29,118.70,117.28,118.33
2008-09-01,後場,117.94,118.09,117.59,117.59
2008-09-01,前場,117.18,118.26,116.99,117.97
2008-08-29,後場,116.25,117.95,115.98,117.87
2008-08-29,前場,115.15,116.33,115.13,116.32
2008-08-28,後場,114.15,114.23,113.65,113.99
2008-08-28,前場,114.60,114.68,113.60,114.19
2008-08-27,後場,113.73,114.54,113.70,114.18
2008-08-27,前場,114.46,114.55,113.50,113.76
2008-08-26,後場,113.61,114.46,113.61,114.37
2008-08-26,前場,114.27,114.29,113.38,113.65
2008-08-25,後場,116.23,116.34,115.50,115.57
2008-08-25,前場,115.31,116.47,115.31,116.11
2008-08-22,後場,114.30,114.45,113.89,114.40
2008-08-22,前場,114.02,114.84,113.47,114.28
2008-08-21,後場,113.90,114.20,113.39,113.63
2008-08-21,前場,115.66,115.66,113.70,114.22
2008-08-20,後場,115.86,115.88,115.35,115.51
2008-08-20,前場,114.10,115.37,114.10,115.33
2008-08-19,後場,114.83,115.23,114.66,114.78
2008-08-19,前場,116.16,116.16,114.18,114.70
2008-08-18,後場,117.63,117.78,117.28,117.56
2008-08-18,前場,116.12,117.98,115.88,117.77
2008-08-15,後場,115.38,116.02,115.28,115.93
2008-08-15,前場,116.18,116.21,115.32,115.33
2008-08-14,後場,116.47,116.84,115.96,116.19
2008-08-14,前場,116.29,117.33,116.16,116.32
2008-08-13,後場,116.44,117.42,116.22,117.05
2008-08-13,前場,118.77,118.82,116.40,116.74
2008-08-12,後場,119.27,119.77,119.02,119.33
2008-08-12,前場,119.77,119.94,119.04,119.22
2008-08-11,後場,119.50,119.61,118.85,119.32
2008-08-11,前場,119.25,120.03,119.21,119.58
2008-08-08,後場,118.82,119.77,118.82,118.88
2008-08-08,前場,117.98,118.72,117.18,118.57
2008-08-07,後場,118.37,118.92,118.12,118.91
2008-08-07,前場,121.06,121.06,118.59,118.68
2008-08-06,後場,120.67,121.44,120.58,121.15
2008-08-06,前場,120.22,120.75,119.99,120.62
2008-08-05,後場,119.50,119.74,118.95,119.16
2008-08-05,前場,119.47,119.68,118.76,119.48
2008-08-04,後場,119.03,120.14,118.93,119.61
2008-08-04,前場,119.12,120.29,118.72,119.04
2008-08-01,後場,117.45,118.51,117.42,118.42
2008-08-01,前場,119.56,119.79,117.46,117.61
2008-07-31,後場,119.47,120.34,119.47,120.14
2008-07-31,前場,121.41,121.75,119.66,119.66
2008-07-30,後場,120.37,121.10,120.29,121.10
2008-07-30,前場,119.43,120.46,119.43,120.30
2008-07-29,後場,117.58,118.68,117.54,118.60
2008-07-29,前場,118.13,118.17,117.01,117.54
