日付,始値,高値,安値,終値
2016-12-30,184.20,185.50,184.06,184.91
2016-12-29,185.87,185.87,184.08,184.69
2016-12-28,185.52,186.44,185.39,185.94
2016-12-27,185.54,186.22,185.23,185.59
2016-12-26,185.15,185.92,185.03,185.58
2016-12-22,185.23,185.66,184.93,185.66
2016-12-21,186.78,187.01,185.43,185.69
2016-12-20,184.50,187.30,184.35,186.74
2016-12-19,185.13,185.49,184.74,185.26
2016-12-16,186.79,186.79,185.08,185.74
2016-12-15,186.73,187.96,185.99,186.28
2016-12-14,186.10,187.38,185.97,186.76
2016-12-13,184.49,185.93,183.89,185.79
2016-12-12,183.07,184.21,182.58,183.60
2016-12-09,179.92,181.59,179.31,181.28
2016-12-08,179.45,180.75,179.14,180.25
2016-12-07,177.00,177.60,176.57,177.53
2016-12-06,177.51,177.59,176.43,176.81
2016-12-05,177.26,177.62,175.89,176.37
2016-12-02,178.92,179.09,176.91,177.67
2016-12-01,180.02,181.23,179.19,179.72
2016-11-30,178.11,179.04,178.01,178.84
2016-11-29,177.98,178.72,177.92,177.97
2016-11-28,177.29,178.60,176.89,178.40
2016-11-25,177.44,177.57,176.46,177.39
2016-11-24,177.81,178.08,177.05,177.12
2016-11-22,175.54,177.13,175.49,176.98
2016-11-21,173.81,175.29,173.62,175.16
2016-11-18,173.70,173.70,172.43,172.69
2016-11-17,171.63,173.22,171.41,172.79
2016-11-16,171.71,172.35,171.16,172.06
2016-11-15,169.04,169.67,168.14,169.51
2016-11-14,168.78,170.19,168.51,169.76
2016-11-11,172.25,172.25,168.04,168.51
2016-11-10,168.32,172.43,168.20,172.20
2016-11-09,172.93,174.15,163.57,165.26
2016-11-08,173.58,173.74,172.05,172.26
2016-11-07,173.37,173.57,171.89,172.91
2016-11-04,172.62,173.07,170.85,171.85
2016-11-02,176.10,176.10,173.74,174.64
2016-11-01,177.23,178.13,176.61,177.78
2016-10-31,177.05,178.07,176.61,177.43
2016-10-28,177.88,177.91,176.91,177.47
2016-10-27,177.14,177.97,176.75,177.31
2016-10-26,176.42,177.43,176.02,177.41
2016-10-25,175.41,176.15,175.40,175.97
