日付,時刻,始値,高値,安値,終値
2009-12-30,後場,174.11,175.15,173.74,173.74
2009-12-30,前場,176.24,176.28,173.63,173.93
2009-12-29,後場,175.18,175.51,174.75,175.46
2009-12-29,前場,174.96,175.92,174.81,174.98
2009-12-28,後場,175.48,176.04,175.02,175.02
2009-12-28,前場,174.48,176.04,174.19,175.20
2009-12-25,後場,174.13,174.24,173.68,173.99
2009-12-25,前場,175.09,175.09,174.00,174.48
2009-12-24,後場,174.18,175.30,174.16,174.99
2009-12-24,前場,173.25,174.30,173.10,174.21
2009-12-22,後場,170.51,172.12,170.44,171.75
2009-12-22,前場,170.01,170.77,169.67,170.38
2009-12-21,後場,169.64,169.75,169.02,169.02
2009-12-21,前場,170.30,170.36,169.56,169.86
2009-12-18,後場,168.13,170.05,168.11,169.72
2009-12-18,前場,169.52,169.91,167.83,168.49
2009-12-17,後場,170.94,171.32,170.45,170.45
2009-12-17,前場,172.04,172.59,171.05,171.21
2009-12-16,後場,172.01,172.18,170.73,171.51
2009-12-16,前場,172.64,173.80,171.81,172.43
2009-12-15,後場,170.88,171.75,170.80,171.37
2009-12-15,前場,170.38,171.21,169.94,171.19
2009-12-14,後場,169.34,171.13,168.94,171.13
2009-12-14,前場,170.59,170.85,169.37,169.37
2009-12-11,後場,167.74,170.10,167.74,170.07
2009-12-11,前場,166.80,167.76,166.37,166.89
2009-12-10,後場,166.60,166.67,164.46,165.12
2009-12-10,前場,166.58,168.63,166.37,167.00
2009-12-09,後場,168.07,168.33,167.48,167.76
2009-12-09,前場,168.65,168.70,167.53,168.41
2009-12-08,後場,170.03,171.27,169.97,170.92
2009-12-08,前場,170.32,170.94,169.83,170.30
2009-12-07,後場,171.00,172.03,170.68,171.98
2009-12-07,前場,169.82,172.29,169.82,171.85
2009-12-04,後場,166.79,167.43,165.81,167.34
2009-12-04,前場,167.44,167.44,165.31,167.12
2009-12-03,後場,165.09,166.37,164.73,166.37
2009-12-03,前場,161.77,164.75,161.77,164.32
2009-12-02,後場,159.82,160.45,159.29,159.90
2009-12-02,前場,158.22,160.66,157.67,158.94
2009-12-01,後場,154.84,158.28,154.84,158.28
2009-12-01,前場,153.06,154.77,152.41,152.72
2009-11-30,後場,153.22,154.18,152.63,153.59
2009-11-30,前場,149.97,153.55,149.97,153.04
2009-11-27,後場,150.19,150.38,147.60,148.04
2009-11-27,前場,152.42,152.47,149.19,150.16
2009-11-26,後場,155.22,155.31,154.41,154.58
2009-11-26,前場,154.18,156.48,153.46,156.23
2009-11-25,後場,153.96,156.00,153.84,155.72
2009-11-25,前場,153.61,154.87,153.06,154.26
2009-11-24,後場,155.95,155.95,154.38,154.47
2009-11-24,前場,157.52,157.91,156.10,156.10
2009-11-20,後場,155.65,156.83,155.32,156.83
2009-11-20,前場,155.54,157.07,155.04,155.54
2009-11-19,後場,156.48,157.31,155.99,157.31
2009-11-19,前場,158.98,159.02,156.20,157.15
2009-11-18,後場,158.57,158.96,157.92,158.94
2009-11-18,前場,160.52,161.05,158.92,158.92
2009-11-17,後場,162.00,162.00,160.52,160.99
2009-11-17,前場,163.35,163.58,161.87,162.01
2009-11-16,後場,163.43,163.44,162.15,162.65
2009-11-16,前場,163.92,164.07,162.02,163.06
2009-11-13,後場,164.11,164.47,163.64,163.78
2009-11-13,前場,164.58,165.05,162.79,163.93
2009-11-12,後場,166.34,166.34,164.95,165.21
2009-11-12,前場,166.47,167.07,166.42,166.66
2009-11-11,後場,166.31,166.71,165.39,165.92
2009-11-11,前場,166.60,167.07,166.26,166.34
2009-11-10,後場,167.42,167.49,165.47,165.81
2009-11-10,前場,166.78,168.06,166.55,167.77
2009-11-09,後場,164.23,165.53,164.21,165.17
2009-11-09,前場,163.18,164.58,162.32,164.00
2009-11-06,後場,164.34,164.44,162.88,163.24
2009-11-06,前場,164.73,164.73,163.89,164.26
2009-11-05,後場,162.55,163.44,161.91,163.10
2009-11-05,前場,164.31,164.65,162.73,163.01
2009-11-04,後場,164.42,164.60,164.00,164.59
2009-11-04,前場,162.88,164.41,162.48,164.08
2009-11-02,後場,162.74,163.40,162.64,163.34
2009-11-02,前場,164.66,164.67,162.16,162.21
2009-10-30,後場,166.99,167.77,166.53,167.18
2009-10-30,前場,166.42,166.95,166.09,166.84
2009-10-29,後場,163.50,164.71,163.13,164.20
2009-10-29,前場,165.03,165.06,163.41,163.52
2009-10-28,後場,168.41,168.54,166.87,167.63
2009-10-28,前場,170.16,170.36,168.26,168.94
2009-10-27,後場,170.47,171.28,169.86,170.26
2009-10-27,前場,172.82,172.94,170.21,170.33
2009-10-26,後場,173.89,174.07,172.99,173.99
2009-10-26,前場,171.07,174.41,171.03,174.09
2009-10-23,後場,171.43,172.04,170.21,170.58
2009-10-23,前場,171.32,171.48,170.60,171.42
2009-10-22,後場,168.94,170.01,168.13,170.01
2009-10-22,前場,169.17,169.83,168.74,169.27
2009-10-21,後場,169.43,170.55,169.42,170.21
2009-10-21,前場,169.28,170.00,169.28,169.56
2009-10-20,後場,170.84,170.84,169.82,170.02
2009-10-20,前場,171.50,171.92,170.62,171.08
2009-10-19,後場,167.35,169.51,167.25,169.40
2009-10-19,前場,168.08,168.68,166.90,167.04
2009-10-16,後場,169.33,169.43,168.44,169.41
2009-10-16,前場,170.55,170.55,169.11,169.46
2009-10-15,後場,170.36,170.42,169.19,169.83
2009-10-15,前場,169.30,170.61,169.28,170.48
2009-10-14,後場,167.10,167.53,166.37,167.22
2009-10-14,前場,169.43,169.43,165.83,166.91
2009-10-13,後場,169.69,170.24,169.58,169.70
2009-10-13,前場,168.37,169.56,168.27,169.31
2009-10-09,後場,166.37,167.82,166.37,167.18
2009-10-09,前場,165.24,167.06,164.67,166.05
2009-10-08,後場,164.18,164.48,163.27,164.09
2009-10-08,前場,162.80,164.60,161.57,164.48
2009-10-07,後場,162.03,162.76,161.90,162.59
2009-10-07,前場,160.11,162.29,159.83,161.89
2009-10-06,後場,158.43,158.97,157.38,158.89
2009-10-06,前場,158.94,159.91,158.53,158.59
2009-10-05,後場,159.60,159.62,157.11,157.81
2009-10-05,前場,162.20,162.23,159.24,159.51
2009-10-02,後場,159.74,162.51,159.14,162.51
2009-10-02,前場,162.54,162.54,159.05,159.50
2009-10-01,後場,165.68,165.75,164.84,165.24
2009-10-01,前場,168.40,168.69,165.51,165.64
2009-09-30,後場,168.92,169.51,168.28,169.51
2009-09-30,前場,168.77,169.84,168.59,168.95
2009-09-29,後場,169.53,169.63,168.32,169.10
2009-09-29,前場,169.65,170.25,168.89,169.25
2009-09-28,後場,168.67,168.74,167.96,168.61
2009-09-28,前場,172.41,172.45,168.27,168.63
2009-09-25,後場,174.86,176.21,174.86,175.07
2009-09-25,前場,175.79,175.79,174.31,174.65
2009-09-24,後場,178.27,178.27,176.86,178.27
2009-09-24,前場,176.49,179.39,176.37,178.94
2009-09-18,後場,174.13,175.55,173.82,175.54
2009-09-18,前場,175.06,175.25,173.44,174.00
2009-09-17,後場,175.54,175.95,174.41,175.95
2009-09-17,前場,175.24,176.08,174.78,175.68
2009-09-16,後場,173.76,174.82,172.48,172.99
2009-09-16,前場,172.69,174.45,172.69,173.74
2009-09-15,後場,172.14,172.45,171.16,171.62
2009-09-15,前場,172.09,173.18,171.48,171.83
2009-09-14,後場,171.48,171.88,170.76,171.21
2009-09-14,前場,174.99,174.99,170.56,171.26
2009-09-11,後場,176.43,176.99,175.37,175.91
2009-09-11,前場,176.75,177.64,175.71,176.68
2009-09-10,後場,176.28,177.01,176.13,176.83
2009-09-10,前場,174.40,176.63,174.32,176.09
2009-09-09,後場,174.18,174.21,172.65,173.22
2009-09-09,前場,174.32,174.81,173.52,174.57
2009-09-08,後場,173.22,174.88,173.22,174.83
2009-09-08,前場,174.23,174.23,172.70,173.03
2009-09-07,後場,173.09,173.99,172.90,173.60
2009-09-07,前場,171.88,173.17,171.62,172.83
2009-09-04,後場,170.08,170.43,169.44,169.78
2009-09-04,前場,171.78,172.09,170.22,170.67
2009-09-03,後場,172.94,173.04,171.54,171.58
2009-09-03,前場,172.58,172.84,171.25,172.17
2009-09-02,後場,173.24,173.82,172.68,173.74
2009-09-02,前場,174.48,174.48,172.52,173.34
2009-09-01,後場,176.17,177.35,176.03,176.97
2009-09-01,前場,174.54,176.47,174.11,176.10
2009-08-31,後場,175.44,176.34,174.42,175.45
2009-08-31,前場,178.29,180.34,175.51,175.78
2009-08-28,後場,177.17,177.72,176.73,177.56
2009-08-28,前場,177.86,178.42,177.21,177.74
2009-08-27,後場,176.23,177.20,174.74,176.92
2009-08-27,前場,177.72,178.58,175.60,176.41
2009-08-26,後場,177.35,178.94,177.31,178.57
2009-08-26,前場,176.89,177.34,176.39,176.61
2009-08-25,後場,175.01,176.83,174.94,175.92
2009-08-25,前場,175.16,176.45,174.73,175.62
2009-08-24,後場,175.77,176.30,175.01,176.10
2009-08-24,前場,174.17,176.37,174.17,175.72
2009-08-21,後場,171.02,171.81,169.12,171.46
2009-08-21,前場,173.85,173.99,171.27,171.45
2009-08-20,後場,172.02,174.50,171.63,173.84
2009-08-20,前場,172.60,172.76,171.12,172.05
2009-08-19,後場,173.09,173.30,171.95,172.05
2009-08-19,前場,173.36,174.77,173.04,173.17
2009-08-18,後場,173.19,173.41,171.54,173.30
2009-08-18,前場,171.90,173.80,171.75,173.65
2009-08-17,後場,174.79,174.93,173.61,173.90
2009-08-17,前場,176.96,176.96,174.90,175.12
2009-08-14,後場,177.52,178.67,176.91,177.87
2009-08-14,前場,174.30,178.03,174.19,177.94
2009-08-13,後場,172.25,173.82,172.19,173.51
2009-08-13,前場,171.76,172.66,171.73,172.31
2009-08-12,後場,170.67,170.86,170.21,170.21
2009-08-12,前場,171.27,171.56,170.88,171.12
2009-08-11,後場,172.02,172.91,171.99,172.86
2009-08-11,前場,171.49,172.41,171.47,172.26
2009-08-10,後場,171.71,171.98,170.72,171.73
2009-08-10,前場,170.06,172.11,170.06,171.81
2009-08-07,後場,165.80,167.70,165.14,167.70
2009-08-07,前場,169.05,169.07,165.94,166.01
2009-08-06,後場,168.36,169.64,168.31,169.15
2009-08-06,前場,167.97,169.49,167.90,168.61
2009-08-05,後場,169.36,169.61,167.65,167.65
2009-08-05,前場,171.54,171.76,168.88,169.35
2009-08-04,後場,172.58,172.67,170.33,170.80
2009-08-04,前場,172.54,173.32,172.44,172.68
2009-08-03,後場,170.22,170.67,169.54,170.61
2009-08-03,前場,169.40,170.74,168.97,169.97
2009-07-31,後場,169.01,169.67,167.76,168.84
2009-07-31,前場,169.17,169.70,168.65,169.20
2009-07-30,後場,165.42,167.69,165.03,167.45
2009-07-30,前場,167.22,167.38,164.91,165.63
2009-07-29,後場,166.37,167.20,166.08,166.60
2009-07-29,前場,164.59,167.80,164.54,166.61
2009-07-28,後場,165.16,166.09,164.75,165.92
2009-07-28,前場,166.91,166.91,164.82,165.05
2009-07-27,後場,167.65,168.47,166.58,166.75
2009-07-27,前場,167.11,168.30,166.79,167.70
2009-07-24,後場,166.06,166.06,164.63,165.42
