日付,始値,高値,安値,終値
2015-12-30,301.10,303.08,299.58,299.58
2015-12-29,297.13,299.74,294.09,299.51
2015-12-28,293.98,298.91,293.98,297.42
2015-12-25,295.37,295.99,291.36,292.03
2015-12-24,299.07,301.23,295.23,295.70
2015-12-22,296.21,296.97,294.75,295.89
2015-12-21,295.99,297.35,292.89,296.29
2015-12-18,305.58,309.83,298.38,298.38
2015-12-17,307.24,310.33,305.87,306.27
2015-12-16,299.60,302.14,298.94,301.53
2015-12-15,300.58,301.57,294.74,294.74
2015-12-14,302.93,302.97,296.11,301.24
2015-12-11,304.48,309.33,304.48,308.55
2015-12-10,306.32,308.10,305.49,305.70
2015-12-09,310.42,312.19,309.26,309.96
2015-12-08,318.02,318.47,311.65,312.14
2015-12-07,317.89,319.80,317.63,317.84
2015-12-04,315.85,317.18,313.64,314.61
2015-12-03,320.33,322.03,319.77,321.52
2015-12-02,320.96,321.53,318.91,320.70
2015-12-01,316.70,321.47,316.58,321.47
2015-11-30,315.61,316.67,314.08,315.39
2015-11-27,315.23,315.23,313.18,314.55
2015-11-26,313.78,315.40,313.38,314.55
2015-11-25,314.52,314.52,312.35,313.66
2015-11-24,312.97,315.89,312.57,315.49
2015-11-20,312.94,313.38,310.87,313.38
2015-11-19,313.96,314.85,312.19,313.37
2015-11-18,313.46,314.47,310.21,310.35
2015-11-17,310.47,312.42,310.38,310.95
2015-11-16,303.43,306.69,302.80,305.93
2015-11-13,307.97,308.55,305.79,308.36
2015-11-12,309.37,312.31,307.07,311.80
2015-11-11,310.04,311.73,308.00,310.05
2015-11-10,305.26,310.07,304.49,309.61
2015-11-09,303.82,308.46,303.25,308.46
2015-11-06,300.56,302.76,300.22,302.03
2015-11-05,298.35,300.15,297.47,299.16
2015-11-04,299.05,301.75,297.55,297.77
2015-11-02,295.80,296.54,293.15,293.86
2015-10-30,299.68,302.35,296.82,300.14
2015-10-29,300.67,302.94,298.29,300.69
2015-10-28,297.63,297.79,295.16,296.99
2015-10-27,304.13,304.13,297.99,298.79
2015-10-26,305.09,306.91,304.29,304.35
2015-10-23,298.65,301.84,298.52,300.60
2015-10-22,292.35,297.57,291.86,293.22
2015-10-21,286.28,296.59,286.28,295.99
2015-10-20,286.37,287.49,284.46,286.80
2015-10-19,288.82,288.82,284.04,286.07
2015-10-16,290.29,291.03,287.82,289.71
2015-10-15,281.35,287.73,280.45,286.36
2015-10-14,288.35,289.12,281.79,283.73
2015-10-13,295.08,295.94,291.10,292.18
2015-10-09,290.38,295.33,290.38,295.00
2015-10-08,287.96,293.15,285.56,286.13
2015-10-07,278.67,286.89,278.64,286.29
2015-10-06,278.93,282.18,277.80,278.49
2015-10-05,272.01,276.21,271.46,274.24
2015-10-02,265.55,269.28,262.88,267.82
2015-10-01,262.79,270.42,262.42,268.71
2015-09-30,258.77,262.27,258.55,260.84
2015-09-29,261.52,261.52,254.49,254.64
2015-09-28,268.18,269.72,265.07,266.01
2015-09-25,266.68,268.93,263.07,268.93
2015-09-24,275.89,276.39,266.60,266.60
2015-09-18,284.35,284.35,279.87,280.64
2015-09-17,284.90,288.36,284.75,287.73
2015-09-16,280.33,284.60,278.99,282.05
2015-09-15,278.52,281.33,276.22,276.22
2015-09-14,283.00,283.36,276.73,277.38
2015-09-11,279.99,282.71,279.42,280.85
2015-09-10,280.70,282.91,276.53,282.59
2015-09-09,278.73,285.90,278.67,285.90
2015-09-08,275.10,278.66,273.33,273.55
2015-09-07,272.26,277.02,269.41,274.92
2015-09-04,282.40,282.48,271.34,274.53
2015-09-03,281.52,284.76,279.94,279.97
2015-09-02,276.82,283.12,275.87,278.15
2015-09-01,289.78,290.03,281.49,281.49
2015-08-31,294.88,294.88,289.19,291.66
2015-08-28,291.07,298.64,290.99,296.97
2015-08-27,289.51,292.59,284.69,285.68
2015-08-26,278.26,286.23,274.26,284.17
2015-08-25,280.01,291.06,271.23,276.14
2015-08-24,295.29,295.68,285.95,285.95
2015-08-21,304.59,304.74,301.24,301.24
2015-08-20,314.02,314.08,310.43,310.47
2015-08-19,320.01,320.73,315.38,315.85
2015-08-18,322.11,323.83,320.94,321.25
2015-08-17,322.83,322.83,320.53,321.56
2015-08-14,324.50,324.62,319.81,321.12
2015-08-13,322.45,326.09,322.28,325.47
2015-08-12,326.15,327.75,321.96,323.47
2015-08-11,329.22,331.94,327.12,328.83
2015-08-10,327.64,327.70,323.73,326.29
2015-08-07,325.19,329.58,325.19,329.39
2015-08-06,324.69,326.69,324.22,325.05
2015-08-05,316.71,322.57,316.38,320.72
2015-08-04,319.12,319.43,315.35,317.19
2015-08-03,322.98,322.98,319.24,320.77
2015-07-31,321.58,323.81,320.94,323.81
2015-07-30,320.32,325.12,319.86,322.35
2015-07-29,320.91,320.91,316.44,317.20
2015-07-28,321.25,324.65,319.39,321.29
2015-07-27,325.71,327.10,323.30,325.10
2015-07-24,331.55,331.58,327.79,328.18
2015-07-23,336.96,337.06,331.70,333.04
2015-07-22,337.10,337.15,335.47,335.72
2015-07-21,341.35,341.82,338.72,340.49
2015-07-17,339.54,339.73,337.44,338.82
2015-07-16,339.40,339.90,337.12,339.49
2015-07-15,341.52,341.52,336.92,338.47
2015-07-14,339.34,343.28,338.49,339.69
2015-07-13,332.71,335.25,331.90,333.66
2015-07-10,332.34,333.60,328.77,329.82
2015-07-09,325.64,331.14,317.61,331.07
2015-07-08,343.03,343.42,331.79,331.79
2015-07-07,347.80,349.00,344.25,344.36
2015-07-06,344.92,346.55,342.74,343.84
2015-07-03,350.59,351.20,348.41,350.61
2015-07-02,351.89,353.21,350.45,351.04
2015-07-01,348.01,349.24,346.79,348.56
2015-06-30,346.96,347.31,344.87,347.13
2015-06-29,349.06,349.56,345.78,346.27
2015-06-26,356.68,357.05,353.50,355.99
2015-06-25,357.51,358.89,356.39,357.69
2015-06-24,359.92,360.52,358.38,359.22
2015-06-23,355.19,358.49,354.52,358.49
2015-06-22,351.03,353.00,350.53,352.64
2015-06-19,352.21,352.45,348.91,351.63
2015-06-18,354.18,354.36,349.00,349.00
2015-06-17,356.08,357.00,352.74,353.83
2015-06-16,359.22,359.44,355.33,355.56
2015-06-15,357.98,360.25,357.07,360.04
2015-06-12,358.87,360.94,358.03,360.68
2015-06-11,360.07,360.73,357.80,359.08
2015-06-10,357.29,361.03,355.94,356.72
2015-06-09,359.98,361.06,357.35,357.43
2015-06-08,366.48,366.81,362.60,364.31
2015-06-05,365.86,366.23,363.53,365.92
2015-06-04,366.99,369.10,366.25,367.55
2015-06-03,363.62,366.17,363.48,365.65
2015-06-02,365.11,366.64,363.41,364.63
2015-06-01,360.60,364.34,360.35,364.11
2015-05-29,361.67,364.41,360.23,363.77
2015-05-28,361.53,364.90,361.12,361.76
2015-05-27,356.25,360.28,356.24,359.18
2015-05-26,358.15,359.17,356.32,356.70
2015-05-25,355.63,358.00,355.57,357.56
2015-05-22,350.65,353.85,350.65,353.57
2015-05-21,349.18,352.31,349.12,350.02
2015-05-20,348.29,349.07,347.01,347.97
2015-05-19,344.96,347.07,344.74,345.98
2015-05-18,343.19,344.63,342.21,344.63
2015-05-15,343.80,344.96,341.69,343.52
2015-05-14,340.64,343.73,340.64,341.48
2015-05-13,336.37,341.52,335.75,341.23
2015-05-12,334.86,336.91,333.96,336.91
2015-05-11,336.45,336.45,334.35,334.61
2015-05-08,332.19,334.10,330.12,333.15
2015-05-07,329.59,332.93,329.59,331.00
2015-05-01,332.66,333.89,329.52,332.43
2015-04-30,337.52,337.78,332.69,333.38
2015-04-28,338.69,341.80,338.66,341.80
2015-04-27,337.31,338.11,334.46,337.97
2015-04-24,339.55,339.66,337.07,337.58
2015-04-23,340.79,341.56,339.04,340.22
2015-04-22,336.17,339.15,335.77,339.15
2015-04-21,333.47,335.27,333.26,335.27
2015-04-20,330.76,333.43,330.06,331.94
2015-04-17,336.92,337.03,332.74,333.25
2015-04-16,336.08,338.15,334.95,338.15
2015-04-15,335.23,337.12,334.79,336.21
2015-04-14,336.08,337.41,335.70,336.72
2015-04-13,337.48,337.55,334.43,336.67
2015-04-10,338.04,338.44,335.24,336.46
2015-04-09,337.78,338.09,336.31,337.27
2015-04-08,337.17,338.26,336.35,336.93
2015-04-07,334.00,337.03,332.96,335.68
2015-04-06,330.92,331.69,329.55,331.28
2015-04-03,330.81,333.76,330.62,333.76
2015-04-02,328.10,333.43,327.89,330.76
2015-04-01,328.34,328.95,324.06,325.36
2015-03-31,333.19,335.26,329.52,329.52
2015-03-30,328.93,329.99,326.04,329.45
2015-03-27,331.39,336.76,327.29,329.69
2015-03-26,335.63,336.25,332.36,333.46
2015-03-25,337.77,338.94,335.52,338.64
2015-03-24,338.52,338.65,336.28,337.06
2015-03-23,338.57,340.32,338.28,339.95
2015-03-20,336.22,336.77,334.33,336.45
2015-03-19,336.94,337.93,333.14,335.53
2015-03-18,337.06,338.11,335.24,338.07
2015-03-17,337.93,339.16,336.72,337.24
2015-03-16,333.19,335.86,332.66,334.92
2015-03-13,329.95,334.46,328.93,333.59
2015-03-12,325.38,328.46,325.38,327.56
2015-03-11,322.45,325.77,322.13,324.62
2015-03-10,324.53,326.34,322.30,323.31
2015-03-09,322.98,323.86,321.26,322.62
2015-03-06,322.41,324.95,322.21,324.64
2015-03-05,322.21,323.35,321.34,322.75
2015-03-04,322.35,323.21,319.13,322.51
2015-03-03,327.03,327.10,322.50,324.17
2015-03-02,325.66,326.70,324.17,325.00
2015-02-27,324.31,326.14,323.80,324.67
2015-02-26,321.07,323.49,321.06,323.40
2015-02-25,323.54,323.54,320.99,321.51
2015-02-24,321.54,323.47,320.15,322.97
2015-02-23,322.92,323.30,320.38,321.09
2015-02-20,319.41,321.14,318.21,321.02
2015-02-19,316.36,318.42,316.31,317.65
2015-02-18,315.22,316.30,314.42,315.94
2015-02-17,310.11,313.17,308.87,312.85
2015-02-16,312.30,313.52,311.35,311.55
2015-02-13,309.52,310.82,309.16,310.31
2015-02-12,311.32,311.35,308.80,309.82
2015-02-10,309.84,310.04,307.17,307.93
2015-02-09,310.56,311.30,309.25,310.68
2015-02-06,309.30,309.31,306.55,307.09
2015-02-05,310.10,310.59,305.73,306.01
2015-02-04,310.95,314.82,310.29,311.53
2015-02-03,312.52,313.49,305.83,306.84
2015-02-02,308.76,310.24,308.14,309.71
2015-01-30,312.42,313.06,310.43,311.28
2015-01-29,314.35,314.55,308.55,309.09
2015-01-28,314.66,317.99,313.99,316.91
2015-01-27,316.91,318.67,316.41,318.67
2015-01-26,310.52,314.38,309.87,314.38
2015-01-23,313.58,314.63,312.91,313.96
2015-01-22,308.52,309.40,307.17,309.40
2015-01-21,310.79,310.79,307.34,308.25
2015-01-20,305.73,312.50,305.69,312.50
2015-01-19,304.68,305.18,301.69,304.29
2015-01-16,299.93,301.14,297.03,301.14
2015-01-15,301.93,305.26,300.72,304.68
2015-01-14,305.05,306.19,300.60,301.08
2015-01-13,305.07,306.86,301.23,306.86
2015-01-09,311.38,311.39,308.21,309.21
2015-01-08,308.40,310.23,307.56,309.10
2015-01-07,303.53,305.63,302.76,304.39
2015-01-06,310.65,310.65,305.23,305.23
2015-01-05,314.32,317.67,312.54,315.90
