日付,時刻,始値,高値,安値,終値
2012-12-28,後場,105.82,106.22,105.72,105.90
2012-12-28,前場,105.66,106.08,105.42,105.80
2012-12-27,後場,105.22,105.38,104.76,104.89
2012-12-27,前場,104.91,105.57,104.72,105.37
2012-12-26,後場,103.45,104.31,103.40,104.25
2012-12-26,前場,103.41,103.69,103.26,103.44
2012-12-25,後場,103.16,103.28,102.72,102.90
2012-12-25,前場,103.78,104.19,103.22,103.25
2012-12-21,後場,102.66,102.73,101.93,102.19
2012-12-21,前場,104.36,104.67,102.71,102.97
2012-12-20,後場,103.22,104.26,103.04,103.37
2012-12-20,前場,103.26,103.66,103.02,103.20
2012-12-19,後場,102.32,103.40,102.32,103.29
2012-12-19,前場,101.79,102.45,101.70,102.25
2012-12-18,後場,101.15,101.41,100.74,100.74
2012-12-18,前場,100.65,101.26,100.64,101.18
2012-12-17,後場,100.83,100.89,100.07,100.36
2012-12-17,前場,101.54,101.55,100.73,100.87
2012-12-14,後場,100.66,100.70,100.27,100.41
2012-12-14,前場,100.26,100.77,99.98,100.44
2012-12-13,後場,100.92,101.09,100.63,100.64
2012-12-13,前場,100.54,100.89,100.43,100.77
2012-12-12,後場,99.48,99.88,99.47,99.57
2012-12-12,前場,99.85,99.91,99.46,99.52
2012-12-11,後場,99.12,99.30,99.01,99.16
2012-12-11,前場,99.64,99.78,99.06,99.21
2012-12-10,後場,99.86,99.92,99.49,99.71
2012-12-10,前場,100.30,100.47,99.67,99.86
2012-12-07,後場,99.77,99.96,99.54,99.57
2012-12-07,前場,99.49,99.90,99.45,99.70
2012-12-06,後場,99.36,99.59,99.17,99.55
2012-12-06,前場,99.25,99.44,98.94,99.36
2012-12-05,後場,98.76,98.97,98.06,98.29
2012-12-05,前場,97.66,98.40,97.60,98.37
2012-12-04,後場,97.86,98.25,97.81,98.13
2012-12-04,前場,97.82,98.37,97.73,97.83
2012-12-03,後場,98.48,98.57,97.98,98.06
2012-12-03,前場,98.77,98.83,98.07,98.56
2012-11-30,後場,98.58,98.61,98.27,98.27
2012-11-30,前場,98.32,98.78,97.59,98.66
2012-11-29,後場,97.57,98.12,97.56,97.91
2012-11-29,前場,97.20,97.64,97.11,97.57
2012-11-28,後場,96.80,96.92,96.50,96.58
2012-11-28,前場,97.45,97.53,96.58,96.73
2012-11-27,後場,97.93,98.14,97.52,97.90
2012-11-27,前場,97.67,98.28,97.55,97.98
2012-11-26,後場,97.83,98.18,97.72,97.75
2012-11-26,前場,98.34,98.77,97.80,97.81
2012-11-22,後場,96.77,97.29,96.73,97.29
2012-11-22,前場,96.90,97.06,96.53,96.75
2012-11-21,後場,95.94,95.98,95.15,95.65
2012-11-21,前場,95.24,96.05,95.14,95.91
