日付,始値,高値,安値,終値
2014-12-30,184.57,184.57,182.32,182.32
2014-12-29,185.49,185.78,182.84,184.67
2014-12-26,183.70,184.65,183.52,184.47
2014-12-25,183.81,183.89,183.21,183.70
2014-12-24,183.33,183.75,182.83,183.75
2014-12-22,181.21,181.44,180.17,180.96
2014-12-19,179.91,180.37,178.68,180.37
2014-12-18,178.43,179.18,176.60,176.86
2014-12-17,174.78,176.60,174.78,175.26
2014-12-16,177.24,178.15,175.28,175.74
2014-12-15,180.44,181.50,179.41,179.42
2014-12-12,181.77,184.42,181.66,182.37
2014-12-11,179.66,182.25,179.18,181.70
2014-12-10,184.91,185.27,181.61,182.13
2014-12-09,186.20,188.01,186.20,186.98
2014-12-08,187.96,188.26,186.87,187.45
2014-12-05,185.49,186.85,184.62,186.81
2014-12-04,184.32,185.37,184.19,185.37
2014-12-03,182.96,183.84,182.21,182.40
2014-12-02,179.98,181.99,179.94,181.80
2014-12-01,179.12,181.01,179.12,180.77
2014-11-28,177.25,178.74,177.14,178.69
2014-11-27,176.92,177.48,175.83,176.27
2014-11-26,177.68,178.49,177.44,177.67
2014-11-25,178.00,178.33,177.01,178.25
2014-11-21,174.99,176.66,174.30,176.47
2014-11-20,175.64,176.20,175.26,175.48
2014-11-19,175.48,176.73,174.68,174.76
2014-11-18,172.32,174.81,172.32,174.78
2014-11-17,173.19,173.26,169.68,170.17
2014-11-14,173.74,173.97,172.29,173.97
2014-11-13,169.63,172.15,169.20,172.15
2014-11-12,170.11,171.67,169.50,169.70
2014-11-11,167.49,169.36,167.30,168.99
2014-11-10,166.66,167.13,166.47,167.09
2014-11-07,167.20,167.48,166.68,167.18
2014-11-06,167.32,168.03,165.55,166.36
2014-11-05,165.00,166.98,164.96,166.81
2014-11-04,166.79,169.01,165.31,165.31
2014-10-31,159.75,164.52,159.75,163.76
2014-10-30,157.19,158.68,157.19,158.31
2014-10-29,156.68,157.40,155.57,157.40
2014-10-28,156.60,157.03,155.94,156.65
2014-10-27,156.48,157.62,156.08,157.13
2014-10-24,155.82,155.87,154.69,155.24
2014-10-23,152.99,154.73,152.73,154.10
2014-10-22,152.57,153.81,152.18,153.79
2014-10-21,153.04,153.11,149.84,150.26
2014-10-20,150.24,152.37,150.12,152.35
2014-10-17,150.50,150.67,147.35,147.41
2014-10-16,150.02,151.46,149.49,150.40
2014-10-15,151.72,152.52,150.77,152.46
2014-10-14,151.67,152.83,151.20,151.33
2014-10-10,154.38,154.66,153.67,154.38
2014-10-09,159.05,159.06,156.77,156.91
2014-10-08,158.05,158.98,157.97,158.50
2014-10-07,160.68,161.77,160.07,160.26
2014-10-06,160.58,161.47,160.07,160.69
2014-10-03,156.98,158.76,156.98,158.73
2014-10-02,159.76,159.76,157.30,157.30
2014-10-01,162.23,162.71,161.40,161.46
2014-09-30,162.54,162.54,160.71,161.74
2014-09-29,163.43,163.43,162.32,162.85
2014-09-26,161.31,162.41,161.31,162.28
2014-09-25,163.13,164.19,162.81,164.19
2014-09-24,161.07,162.32,161.07,162.06
2014-09-22,162.13,162.29,161.13,161.85
2014-09-19,160.99,162.32,160.66,162.23
2014-09-18,160.43,160.93,160.34,160.51
2014-09-17,160.15,160.32,159.49,159.49
2014-09-16,159.78,160.13,159.54,159.91
2014-09-12,159.81,160.30,159.34,159.77
2014-09-11,160.57,160.57,159.74,159.98
2014-09-10,158.78,160.02,158.49,159.97
2014-09-09,159.72,159.72,159.19,159.19
2014-09-08,159.14,159.27,158.19,159.15
2014-09-05,160.23,160.23,158.38,158.66
2014-09-04,159.70,159.84,159.30,159.44
2014-09-03,160.90,160.92,159.77,159.92
2014-09-02,159.22,160.74,159.16,160.16
2014-09-01,157.67,158.69,157.62,158.69
2014-08-29,157.52,157.56,156.68,157.40
2014-08-28,157.61,157.79,157.22,157.74
2014-08-27,157.88,158.02,157.17,157.88
2014-08-26,158.26,158.29,157.45,157.61
2014-08-25,157.62,158.21,157.39,158.11
2014-08-22,157.76,157.76,156.59,156.78
2014-08-21,156.82,157.55,156.82,157.37
2014-08-20,156.28,156.72,156.18,156.21
2014-08-19,155.87,156.27,155.54,155.89
2014-08-18,154.61,155.07,154.31,154.91
2014-08-15,154.42,154.58,154.18,154.40
2014-08-14,154.02,154.67,153.86,154.44
2014-08-13,152.73,153.36,152.59,153.24
2014-08-12,152.74,153.38,152.58,152.86
2014-08-11,150.79,152.68,150.50,152.59
2014-08-08,151.02,151.45,148.43,148.55
2014-08-07,151.01,151.62,149.83,151.61
2014-08-06,152.19,152.50,150.92,151.09
2014-08-05,153.76,153.99,152.51,152.61
2014-08-04,153.31,154.30,153.23,153.72
2014-08-01,153.58,154.29,153.43,153.43
2014-07-31,155.39,155.45,154.65,154.69
2014-07-30,154.97,155.39,154.53,155.20
2014-07-29,154.10,154.92,154.10,154.79
2014-07-28,153.38,154.50,153.31,154.00
2014-07-25,152.63,153.45,152.21,153.45
2014-07-24,152.53,152.77,151.50,152.06
2014-07-23,152.09,152.32,151.86,152.10
2014-07-22,150.83,151.91,150.78,151.71
2014-07-18,150.03,150.48,149.45,150.36
2014-07-17,152.09,152.30,151.34,151.52
2014-07-16,151.40,152.25,151.37,151.62
2014-07-15,151.00,151.72,151.00,151.41
2014-07-14,149.56,150.66,149.56,150.50
2014-07-11,148.18,149.24,148.18,149.17
2014-07-10,150.76,150.87,149.21,149.21
2014-07-09,149.64,150.68,149.54,150.43
2014-07-08,150.44,151.10,149.46,150.57
2014-07-07,151.76,151.80,150.85,150.87
2014-07-04,151.91,151.96,151.33,151.85
2014-07-03,151.78,151.81,150.46,150.95
2014-07-02,151.74,151.75,151.10,151.20
2014-07-01,149.39,151.38,149.39,151.05
2014-06-30,148.26,149.06,147.72,149.06
2014-06-27,149.00,149.00,146.55,147.68
2014-06-26,149.46,149.57,148.55,148.79
2014-06-25,149.99,150.36,149.11,149.11
2014-06-24,149.40,150.47,148.78,150.33
2014-06-23,149.45,149.77,149.16,149.61
2014-06-20,149.62,149.69,148.30,148.92
2014-06-19,147.72,149.69,147.72,149.52
2014-06-18,146.46,147.64,146.38,147.54
2014-06-17,145.63,146.38,145.60,146.15
2014-06-16,145.55,145.61,144.70,145.10
2014-06-13,144.38,145.88,143.95,145.77
2014-06-12,144.45,145.18,143.92,145.18
2014-06-11,144.50,145.35,144.45,145.35
2014-06-10,145.61,146.13,144.27,144.47
2014-06-09,146.50,146.52,145.47,145.48
2014-06-06,145.92,146.16,145.18,145.67
2014-06-05,146.06,146.48,145.20,145.47
2014-06-04,145.98,145.98,144.91,145.61
2014-06-03,146.91,146.91,145.76,145.76
2014-06-02,144.79,145.99,144.79,145.66
2014-05-30,143.82,144.29,143.43,143.63
