日付,時刻,始値,高値,安値,終値
2011-12-30,後場,96.01,96.78,95.99,96.78
2011-12-30,前場,95.99,96.27,95.72,95.99
2011-12-29,後場,95.48,95.81,95.04,95.77
2011-12-29,前場,94.98,95.40,94.74,95.29
2011-12-28,後場,95.92,95.92,95.54,95.63
2011-12-28,前場,95.29,95.96,95.29,95.87
2011-12-27,後場,95.86,95.95,95.52,95.52
2011-12-27,前場,95.72,96.03,95.54,95.80
2011-12-26,後場,96.00,96.26,95.87,95.92
2011-12-26,前場,96.41,96.55,95.93,95.95
2011-12-22,後場,95.02,95.11,94.64,95.10
2011-12-22,前場,95.31,95.69,94.86,94.90
2011-12-21,後場,95.69,95.69,95.33,95.49
2011-12-21,前場,95.69,95.96,95.43,95.61
2011-12-20,後場,94.24,94.53,94.12,94.12
2011-12-20,前場,94.50,94.98,94.15,94.23
2011-12-19,後場,93.58,94.50,93.19,93.69
2011-12-19,前場,93.92,94.64,93.79,94.09
2011-12-16,後場,93.88,94.33,93.71,93.87
2011-12-16,前場,95.05,95.05,93.75,93.83
2011-12-15,後場,95.42,95.75,94.87,94.87
2011-12-15,前場,96.05,96.32,95.20,95.26
2011-12-14,後場,96.66,96.98,96.46,96.70
2011-12-14,前場,97.17,97.59,96.59,96.64
2011-12-13,後場,97.47,98.32,97.41,97.68
2011-12-13,前場,97.39,97.52,96.93,97.50
2011-12-12,後場,99.62,99.95,99.06,99.06
2011-12-12,前場,100.01,100.33,99.66,99.74
2011-12-09,後場,98.03,99.23,97.90,98.57
2011-12-09,前場,97.34,98.62,97.20,98.41
2011-12-08,後場,98.92,99.78,98.88,99.13
2011-12-08,前場,99.61,99.80,98.79,98.88
2011-12-07,後場,99.57,100.69,99.36,100.51
2011-12-07,前場,99.49,100.06,99.35,99.48
2011-12-06,後場,99.17,99.25,98.61,98.72
2011-12-06,前場,99.34,100.05,99.12,99.27
2011-12-05,後場,99.59,100.30,99.57,100.16
2011-12-05,前場,100.52,100.59,99.48,99.50
2011-12-02,後場,98.60,99.34,98.28,99.34
2011-12-02,前場,98.56,99.05,98.13,98.61
2011-12-01,後場,98.95,99.36,98.49,98.66
2011-12-01,前場,98.47,99.79,98.47,99.04
2011-11-30,後場,95.35,96.44,95.13,96.44
2011-11-30,前場,96.23,96.47,95.52,95.76
2011-11-29,後場,95.57,96.96,95.51,96.80
2011-11-29,前場,95.45,95.71,95.00,95.36
2011-11-28,後場,94.39,94.87,94.36,94.44
2011-11-28,前場,93.36,94.91,93.36,94.59
2011-11-25,後場,91.68,92.79,91.52,91.83
2011-11-25,前場,90.46,92.06,90.43,91.96
2011-11-24,後場,91.74,91.91,91.03,91.14
2011-11-24,前場,90.05,91.83,89.86,91.67
2011-11-22,後場,91.77,92.11,90.90,91.89
2011-11-22,前場,89.98,92.06,89.92,91.91
2011-11-21,後場,91.26,91.41,91.00,91.19
2011-11-21,前場,92.42,92.47,90.83,91.22
2011-11-18,後場,93.08,93.28,93.03,93.16
2011-11-18,前場,93.77,93.81,93.01,93.08
2011-11-17,後場,94.82,95.71,94.61,95.22
2011-11-17,前場,94.08,94.92,93.52,94.71
2011-11-16,後場,95.26,95.28,94.48,94.60
2011-11-16,前場,95.67,96.01,95.36,95.65
2011-11-15,後場,96.25,96.43,95.80,95.89
2011-11-15,前場,95.87,96.73,95.82,96.26
2011-11-14,後場,96.79,96.91,96.25,96.77
2011-11-14,前場,97.37,97.51,96.60,96.60
2011-11-11,後場,95.96,96.37,95.70,95.79
2011-11-11,前場,96.21,96.47,95.34,95.41
2011-11-10,後場,95.69,96.06,95.37,95.90
2011-11-10,前場,96.63,96.74,95.94,96.13
2011-11-09,後場,98.54,98.82,97.95,98.67
2011-11-09,前場,98.69,99.36,98.56,98.82
2011-11-08,後場,98.85,98.94,97.66,97.71
2011-11-08,前場,98.69,99.04,98.36,98.89
2011-11-07,後場,98.74,99.27,98.42,99.26
2011-11-07,前場,99.59,99.69,98.58,98.69
2011-11-04,後場,99.54,100.11,99.36,99.96
2011-11-04,前場,98.88,99.82,98.75,99.64
2011-11-02,後場,97.48,97.88,97.09,97.14
2011-11-02,前場,99.06,99.06,97.12,97.14
2011-11-01,後場,101.03,101.15,100.02,100.23
2011-11-01,前場,100.36,101.82,100.24,101.38
2011-10-31,後場,103.03,103.11,102.08,102.08
2011-10-31,前場,101.60,103.99,101.32,103.35
2011-10-28,後場,102.08,102.40,101.64,102.03
2011-10-28,前場,102.05,102.73,102.05,102.68
2011-10-27,後場,99.43,100.38,99.30,100.28
2011-10-27,前場,98.18,98.96,98.18,98.88
2011-10-26,後場,97.46,98.66,97.30,97.92
2011-10-26,前場,97.22,97.42,96.36,97.31
2011-10-25,後場,98.65,98.72,98.16,98.25
2011-10-25,前場,99.65,99.67,98.72,98.79
2011-10-24,後場,99.09,99.68,99.00,99.51
2011-10-24,前場,98.39,99.13,98.39,98.97
2011-10-21,後場,97.93,97.99,97.64,97.70
2011-10-21,前場,97.97,98.39,97.69,97.90
2011-10-20,後場,97.73,98.11,97.42,97.92
2011-10-20,前場,99.36,99.38,97.79,97.92
2011-10-19,後場,99.98,100.28,99.20,99.62
2011-10-19,前場,100.68,100.82,99.98,100.00
2011-10-18,後場,99.81,100.13,99.58,99.90
2011-10-18,前場,98.90,100.31,98.29,99.77
2011-10-17,後場,100.37,101.19,100.35,100.90
2011-10-17,前場,100.05,100.53,100.01,100.44
2011-10-14,後場,98.20,98.43,97.80,98.29
2011-10-14,前場,98.78,98.78,98.02,98.41
2011-10-13,後場,100.66,100.73,99.59,99.81
2011-10-13,前場,100.40,100.83,100.29,100.44
2011-10-12,後場,98.18,99.14,98.17,98.81
2011-10-12,前場,97.71,98.18,96.95,98.11
2011-10-11,後場,99.28,99.68,98.77,98.89
2011-10-11,前場,98.01,99.81,98.01,99.37
2011-10-07,後場,97.82,97.96,96.20,96.32
2011-10-07,前場,97.47,98.04,97.31,97.42
2011-10-06,後場,96.67,96.71,95.97,96.25
2011-10-06,前場,95.91,97.14,95.91,96.92
2011-10-05,後場,95.05,95.46,94.53,94.69
2011-10-05,前場,96.92,97.10,94.86,94.94
2011-10-04,後場,95.77,96.35,95.24,96.28
2011-10-04,前場,96.94,96.96,95.26,95.97
2011-10-03,後場,97.46,98.81,96.78,98.69
2011-10-03,前場,99.17,99.33,97.80,97.80
2011-09-30,後場,100.69,101.40,100.01,101.04
2011-09-30,前場,101.50,101.71,100.49,100.79
2011-09-29,後場,98.70,101.68,98.63,101.68
2011-09-29,前場,98.51,99.30,98.34,98.60
2011-09-28,後場,99.42,100.29,99.13,100.02
2011-09-28,前場,98.92,99.85,98.88,99.34
2011-09-27,後場,97.18,98.73,96.85,98.73
2011-09-27,前場,96.94,97.43,96.51,96.95
2011-09-26,後場,95.35,96.16,94.77,95.39
2011-09-26,前場,97.67,97.72,95.25,95.65
2011-09-22,後場,97.15,97.59,96.91,97.59
2011-09-22,前場,98.44,98.46,97.01,97.62
2011-09-21,後場,100.22,100.41,99.80,99.98
2011-09-21,前場,99.95,100.56,99.69,100.19
2011-09-20,後場,100.58,100.65,99.44,100.01
2011-09-20,前場,101.28,101.61,100.30,100.52
2011-09-16,後場,101.43,102.20,101.36,102.13
