日付,始値,高値,安値,終値
2013-12-30,210.49,210.59,209.57,210.36
2013-12-27,208.34,209.20,206.76,209.13
2013-12-26,204.89,208.31,204.80,207.38
2013-12-25,202.72,203.63,202.37,203.52
2013-12-24,203.57,204.54,202.38,203.06
2013-12-20,202.79,203.31,202.04,203.31
2013-12-19,204.58,205.59,202.87,203.43
2013-12-18,198.15,202.38,198.15,202.15
2013-12-17,199.31,199.76,197.51,198.59
2013-12-16,200.19,200.19,197.04,197.20
2013-12-13,201.04,202.95,199.81,201.39
2013-12-12,201.69,201.82,199.95,200.93
2013-12-11,202.88,203.45,201.32,202.44
2013-12-10,204.55,204.69,203.64,203.96
2013-12-09,203.82,204.87,203.57,204.59
2013-12-06,199.98,201.57,199.67,201.29
2013-12-05,202.50,203.06,200.00,200.10
2013-12-04,204.08,204.68,202.60,202.81
2013-12-03,206.97,207.46,205.89,206.61
2013-12-02,206.99,207.55,205.46,206.20
2013-11-29,205.62,206.55,204.55,206.55
2013-11-28,205.60,206.29,205.28,206.29
2013-11-27,203.67,204.43,203.05,203.32
2013-11-26,205.00,205.24,204.02,204.11
2013-11-25,204.76,205.91,203.88,205.91
2013-11-22,204.30,205.17,202.51,203.42
2013-11-21,201.08,202.65,200.96,202.34
2013-11-20,201.41,201.78,200.39,200.53
2013-11-19,201.44,201.94,200.35,200.86
2013-11-18,202.25,203.36,200.99,202.11
2013-11-15,200.68,202.09,200.50,201.48
2013-11-14,198.04,199.73,197.08,199.15
2013-11-13,197.36,198.23,196.53,197.55
2013-11-12,194.96,197.80,194.75,197.47
2013-11-11,196.10,196.11,194.16,194.89
2013-11-08,192.62,194.04,192.33,193.19
2013-11-07,196.80,197.09,194.07,194.81
2013-11-06,194.74,197.48,194.29,196.40
2013-11-05,197.85,197.85,193.47,195.02
2013-11-01,199.24,199.55,195.83,196.93
2013-10-31,200.04,200.38,198.17,198.17
2013-10-30,199.61,200.70,199.03,200.11
2013-10-29,197.11,198.46,196.46,197.53
2013-10-28,197.75,199.03,196.65,198.81
2013-10-25,198.95,198.95,195.17,195.46
2013-10-24,197.48,199.47,196.64,199.32
2013-10-23,202.02,202.44,198.07,198.07
2013-10-22,201.44,202.11,200.44,201.31
2013-10-21,201.16,202.09,199.90,200.59
2013-10-18,201.51,201.53,199.76,200.20
2013-10-17,202.00,202.73,200.27,201.25
2013-10-16,200.34,200.81,199.39,199.94
2013-10-15,201.53,201.93,200.21,200.65
2013-10-11,200.68,201.31,199.71,200.64
2013-10-10,195.98,198.14,195.02,198.14
2013-10-09,189.27,194.96,189.00,194.96
2013-10-08,189.42,191.38,188.89,190.53
2013-10-07,192.72,192.96,190.08,190.38
2013-10-04,193.29,194.29,191.79,192.96
2013-10-03,194.01,196.26,194.01,195.17
2013-10-02,197.12,197.68,194.35,194.73
2013-10-01,197.99,199.27,197.27,197.27
2013-09-30,199.07,199.21,196.69,196.86
2013-09-27,203.03,203.37,201.25,201.90
2013-09-26,199.85,203.32,198.85,203.25
2013-09-25,201.20,201.79,200.43,201.16
2013-09-24,199.69,201.98,199.69,201.09
2013-09-20,202.28,202.79,201.34,202.16
2013-09-19,199.12,200.94,198.28,200.94
2013-09-18,196.66,198.87,196.10,197.71
2013-09-17,196.57,196.92,195.03,195.10
2013-09-13,194.96,196.81,193.70,195.87
